[['2, k, 0', [-0.312456, -0.214189, 1.0]], ['2, k, 1', [-0.332132, -0.162029, 1.0]], ['2, k, 2', [-0.349979, -0.110287, 1.0]], ['2, k, 3', [-0.367693, 0.0343959, 1.0]], ['2, k, 4', [-0.519078, -0.19105, 1.0]], ['2, k, 5', [-0.611592, -0.286019, 1.0]], ['2, k, 6', [-0.614304, -0.408606, 1.0]], ['2, k, 7', [-0.611418, -0.374579, 1.0]], ['2, k, 8', [-0.199631, -0.181856, 1.0]], ['2, k, 9', [-0.0875568, -0.246543, 1.0]], ['2, k, 10', [0.0166466, -0.315061, 1.0]], ['2, k, 11', [0.04083, -0.383414, 1.0]], ['2, k, 12', [-0.38143, -0.213726, 1.0]], ['2, k, 13', [-0.682173, -0.30534, 1.0]], ['2, k, 14', [-0.455326, -0.429417, 1.0]], ['2, k, 15', [-0.323041, -0.413699, 1.0]], ['2, k, 16', [-0.236029, -0.209544, 1.0]], ['2, k, 17', [-0.684963, -0.284905, 1.0]], ['2, k, 18', [-0.24893, -0.283514, 1.0]], ['2, k, 19', [-0.155698, -0.312705, 1.0]], ['2, k, 20', [-0.345844, -0.1232, 1.0]], ['2, k, 21', [-0.616477, -0.37984, 1.0]], ['2, k, 22', [-0.549371, -0.380518, 1.0]], ['2, k, 23', [0.03895, -0.394176, 1.0]], ['2, k, 24', [-0.00733044, -0.394908, 1.0]]]
[['2, k, 0', [-0.300926, -0.35414, 1.0]], ['2, k, 1', [-0.314673, -0.168464, 1.0]], ['2, k, 2', [-0.327875, 0.017327, 1.0]], ['2, k, 3', [-0.32242, 0.138739, 1.0]], ['2, k, 4', [-0.445077, -0.0560313, 1.0]], ['2, k, 5', [-0.488449, -0.124065, 1.0]], ['2, k, 6', [-0.488753, -0.140472, 1.0]], ['2, k, 7', [-0.527117, -0.160422, 1.0]], ['2, k, 8', [-0.184281, -0.0575999, 1.0]], ['2, k, 9', [-0.065734, -0.124339, 1.0]], ['2, k, 10', [0.0331528, -0.156828, 1.0]], ['2, k, 11', [0.105524, -0.189997, 1.0]], ['2, k, 12', [-0.357671, -0.355633, 1.0]], ['2, k, 13', [-0.548883, -0.134988, 1.0]], ['2, k, 14', [-0.491516, -0.373795, 1.0]], ['2, k, 15', [-0.44723, -0.391017, 1.0]], ['2, k, 16', [-0.237661, -0.349035, 1.0]], ['2, k, 17', [-0.0410454, -0.544682, 1.0]], ['2, k, 18', [-0.0362157, -0.805171, 1.0]], ['2, k, 19', [-0.124939, -0.736816, 1.0]], ['2, k, 20', [-0.324543, -0.0290069, 1.0]], ['2, k, 21', [-0.550333, -0.166936, 1.0]], ['2, k, 22', [-0.473256, -0.171479, 1.0]], ['2, k, 23', [0.143199, -0.200027, 1.0]], ['2, k, 24', [0.154792, -0.185902, 1.0]]]
[['2, k, 0', [-0.294281, -0.358308, 1.0]], ['2, k, 1', [-0.311522, -0.170342, 1.0]], ['2, k, 2', [-0.325701, 0.015353, 1.0]], ['2, k, 3', [-0.320575, 0.136146, 1.0]], ['2, k, 4', [-0.444694, -0.0594139, 1.0]], ['2, k, 5', [-0.489722, -0.133973, 1.0]], ['2, k, 6', [-0.514891, -0.157508, 1.0]], ['2, k, 7', [-0.532115, -0.181912, 1.0]], ['2, k, 8', [-0.181953, -0.0612053, 1.0]], ['2, k, 9', [-0.0650125, -0.129662, 1.0]], ['2, k, 10', [0.0307073, -0.164648, 1.0]], ['2, k, 11', [0.104839, -0.206145, 1.0]], ['2, k, 12', [-0.352732, -0.357462, 1.0]], ['2, k, 13', [-0.549752, -0.135455, 1.0]], ['2, k, 14', [-0.492661, -0.37161, 1.0]], ['2, k, 15', [-0.446902, -0.399274, 1.0]], ['2, k, 16', [-0.230327, -0.354344, 1.0]], ['2, k, 17', [-0.0396063, -0.546077, 1.0]], ['2, k, 18', [-0.0344768, -0.800817, 1.0]], ['2, k, 19', [-0.0734542, -0.695474, 1.0]], ['2, k, 20', [-0.322007, -0.0310062, 1.0]], ['2, k, 21', [-0.539413, -0.190195, 1.0]], ['2, k, 22', [-0.477993, -0.191785, 1.0]], ['2, k, 23', [0.126664, -0.21684, 1.0]], ['2, k, 24', [0.149182, -0.199264, 1.0]]]
[['2, k, 0', [-0.29295, -0.361338, 1.0]], ['2, k, 1', [-0.310279, -0.173015, 1.0]], ['2, k, 2', [-0.3246, 0.0112487, 1.0]], ['2, k, 3', [-0.316293, 0.130212, 1.0]], ['2, k, 4', [-0.442376, -0.0672076, 1.0]], ['2, k, 5', [-0.475537, -0.118354, 1.0]], ['2, k, 6', [-0.519377, -0.182734, 1.0]], ['2, k, 7', [-0.535128, -0.209134, 1.0]], ['2, k, 8', [-0.180849, -0.0650677, 1.0]], ['2, k, 9', [-0.066291, -0.138436, 1.0]], ['2, k, 10', [0.0201048, -0.192316, 1.0]], ['2, k, 11', [0.103679, -0.226939, 1.0]], ['2, k, 12', [-0.351705, -0.360893, 1.0]], ['2, k, 13', [-0.562178, -0.164411, 1.0]], ['2, k, 14', [-0.50454, -0.398497, 1.0]], ['2, k, 15', [-0.457723, -0.438728, 1.0]], ['2, k, 16', [-0.229017, -0.356173, 1.0]], ['2, k, 17', [-0.0405185, -0.542034, 1.0]], ['2, k, 18', [-0.0326717, -0.794446, 1.0]], ['2, k, 19', [-0.0657737, -0.688304, 1.0]], ['2, k, 20', [-0.32092, -0.0347834, 1.0]], ['2, k, 21', [-0.549734, -0.213792, 1.0]], ['2, k, 22', [-0.485318, -0.221316, 1.0]], ['2, k, 23', [0.120843, -0.236947, 1.0]], ['2, k, 24', [0.151834, -0.222166, 1.0]]]
[['2, k, 0', [-0.290424, -0.361057, 1.0]], ['2, k, 1', [-0.307418, -0.177465, 1.0]], ['2, k, 2', [-0.322672, 0.00125485, 1.0]], ['2, k, 3', [-0.312895, 0.120842, 1.0]], ['2, k, 4', [-0.442335, -0.0672629, 1.0]], ['2, k, 5', [-0.474554, -0.124361, 1.0]], ['2, k, 6', [-0.514273, -0.200862, 1.0]], ['2, k, 7', [-0.536621, -0.239483, 1.0]], ['2, k, 8', [-0.176992, -0.0708332, 1.0]], ['2, k, 9', [-0.0647428, -0.144968, 1.0]], ['2, k, 10', [0.0211693, -0.204474, 1.0]], ['2, k, 11', [0.0881673, -0.234296, 1.0]], ['2, k, 12', [-0.348932, -0.36059, 1.0]], ['2, k, 13', [-0.565039, -0.170439, 1.0]], ['2, k, 14', [-0.507281, -0.404363, 1.0]], ['2, k, 15', [-0.460652, -0.44438, 1.0]], ['2, k, 16', [-0.22656, -0.355601, 1.0]], ['2, k, 17', [-0.0486373, -0.539358, 1.0]], ['2, k, 18', [-0.0394057, -0.789732, 1.0]], ['2, k, 19', [-0.0751215, -0.687486, 1.0]], ['2, k, 20', [-0.318862, -0.0431956, 1.0]], ['2, k, 21', [-0.53734, -0.252344, 1.0]], ['2, k, 22', [-0.484678, -0.250086, 1.0]], ['2, k, 23', [0.0941495, -0.236164, 1.0]], ['2, k, 24', [0.11016, -0.21754, 1.0]]]
[['2, k, 0', [-0.290036, -0.360855, 1.0]], ['2, k, 1', [-0.306604, -0.181754, 1.0]], ['2, k, 2', [-0.322559, -0.0150687, 1.0]], ['2, k, 3', [-0.309236, 0.106071, 1.0]], ['2, k, 4', [-0.434784, -0.102717, 1.0]], ['2, k, 5', [-0.50809, -0.167823, 1.0]], ['2, k, 6', [-0.514239, -0.2281, 1.0]], ['2, k, 7', [-0.531324, -0.274335, 1.0]], ['2, k, 8', [-0.174232, -0.0821735, 1.0]], ['2, k, 9', [-0.0609234, -0.151636, 1.0]], ['2, k, 10', [0.037719, -0.225307, 1.0]], ['2, k, 11', [0.102771, -0.283575, 1.0]], ['2, k, 12', [-0.348567, -0.36017, 1.0]], ['2, k, 13', [-0.566063, -0.180645, 1.0]], ['2, k, 14', [-0.508223, -0.414545, 1.0]], ['2, k, 15', [-0.461482, -0.454515, 1.0]], ['2, k, 16', [-0.226067, -0.355446, 1.0]], ['2, k, 17', [0.00940099, -0.207641, 1.0]], ['2, k, 18', [-0.0844585, -0.529536, 1.0]], ['2, k, 19', [-0.0886334, -0.590703, 1.0]], ['2, k, 20', [-0.318563, -0.0558198, 1.0]], ['2, k, 21', [-0.542913, -0.289456, 1.0]], ['2, k, 22', [-0.477007, -0.284219, 1.0]], ['2, k, 23', [0.120456, -0.296453, 1.0]], ['2, k, 24', [0.145045, -0.273573, 1.0]]]
[['2, k, 0', [-0.28568, -0.419185, 1.0]], ['2, k, 1', [-0.301873, -0.229759, 1.0]], ['2, k, 2', [-0.318116, -0.037025, 1.0]], ['2, k, 3', [-0.305809, 0.0826691, 1.0]], ['2, k, 4', [-0.433469, -0.112838, 1.0]], ['2, k, 5', [-0.553151, -0.217538, 1.0]], ['2, k, 6', [-0.537429, -0.256481, 1.0]], ['2, k, 7', [-0.533846, -0.313747, 1.0]], ['2, k, 8', [-0.169414, -0.104594, 1.0]], ['2, k, 9', [-0.0440795, -0.190779, 1.0]], ['2, k, 10', [0.0618823, -0.267044, 1.0]], ['2, k, 11', [0.106367, -0.31898, 1.0]], ['2, k, 12', [-0.346118, -0.419674, 1.0]], ['2, k, 13', [-0.580706, -0.242002, 1.0]], ['2, k, 14', [-0.577218, -0.497629, 1.0]], ['2, k, 15', [-0.560179, -0.444144, 1.0]], ['2, k, 16', [-0.220052, -0.411078, 1.0]], ['2, k, 17', [0.0100882, -0.212138, 1.0]], ['2, k, 18', [-0.0852099, -0.533968, 1.0]], ['2, k, 19', [-0.0852455, -0.591065, 1.0]], ['2, k, 20', [-0.314449, -0.0822858, 1.0]], ['2, k, 21', [-0.533725, -0.33738, 1.0]], ['2, k, 22', [-0.474005, -0.320031, 1.0]], ['2, k, 23', [0.12498, -0.332397, 1.0]], ['2, k, 24', [0.14409, -0.30113, 1.0]]]
[['2, k, 0', [-0.358002, -0.428473, 1.0]], ['2, k, 1', [-0.325817, -0.242115, 1.0]], ['2, k, 2', [-0.31111, -0.0568675, 1.0]], ['2, k, 3', [-0.304204, 0.0627066, 1.0]], ['2, k, 4', [-0.433015, -0.116128, 1.0]], ['2, k, 5', [-0.495092, -0.210425, 1.0]], ['2, k, 6', [-0.495801, -0.297269, 1.0]], ['2, k, 7', [-0.502234, -0.348166, 1.0]], ['2, k, 8', [-0.171441, -0.108902, 1.0]], ['2, k, 9', [-0.0494184, -0.205118, 1.0]], ['2, k, 10', [0.0313532, -0.300087, 1.0]], ['2, k, 11', [0.100106, -0.361215, 1.0]], ['2, k, 12', [-0.416468, -0.425044, 1.0]], ['2, k, 13', [-0.570565, -0.22745, 1.0]], ['2, k, 14', [-0.540072, -0.355194, 1.0]], ['2, k, 15', [-0.519799, -0.3627, 1.0]], ['2, k, 16', [-0.292936, -0.424008, 1.0]], ['2, k, 17', [0.0147515, -0.218052, 1.0]], ['2, k, 18', [-0.0933184, -0.53646, 1.0]], ['2, k, 19', [-0.0976802, -0.596188, 1.0]], ['2, k, 20', [-0.314495, -0.100455, 1.0]], ['2, k, 21', [-0.495565, -0.359676, 1.0]], ['2, k, 22', [-0.465858, -0.359714, 1.0]], ['2, k, 23', [0.121471, -0.374128, 1.0]], ['2, k, 24', [0.144564, -0.347463, 1.0]]]
[['2, k, 0', [-0.381912, -0.443435, 1.0]], ['2, k, 1', [-0.339653, -0.261235, 1.0]], ['2, k, 2', [-0.302445, -0.0863618, 1.0]], ['2, k, 3', [-0.299801, 0.0300401, 1.0]], ['2, k, 4', [-0.430895, -0.142487, 1.0]], ['2, k, 5', [-0.487209, -0.251879, 1.0]], ['2, k, 6', [-0.518117, -0.349403, 1.0]], ['2, k, 7', [-0.583674, -0.374855, 1.0]], ['2, k, 8', [-0.175408, -0.133323, 1.0]], ['2, k, 9', [-0.0515883, -0.223492, 1.0]], ['2, k, 10', [0.0277202, -0.320262, 1.0]], ['2, k, 11', [0.0862712, -0.381256, 1.0]], ['2, k, 12', [-0.440368, -0.438244, 1.0]], ['2, k, 13', [-0.546266, -0.233726, 1.0]], ['2, k, 14', [-0.539934, -0.389907, 1.0]], ['2, k, 15', [-0.522327, -0.402636, 1.0]], ['2, k, 16', [-0.316502, -0.440534, 1.0]], ['2, k, 17', [-0.00215992, -0.244944, 1.0]], ['2, k, 18', [-0.113074, -0.559526, 1.0]], ['2, k, 19', [-0.0904796, -0.618787, 1.0]], ['2, k, 20', [-0.312535, -0.1292, 1.0]], ['2, k, 21', [-0.585091, -0.374962, 1.0]], ['2, k, 22', [-0.574438, -0.37388, 1.0]], ['2, k, 23', [0.0839489, -0.392332, 1.0]], ['2, k, 24', [0.107027, -0.377123, 1.0]]]
[['2, k, 0', [-0.378002, -0.473096, 1.0]], ['2, k, 1', [-0.333044, -0.302397, 1.0]], ['2, k, 2', [-0.287952, -0.131293, 1.0]], ['2, k, 3', [-0.296248, -0.00434933, 1.0]], ['2, k, 4', [-0.428687, -0.19936, 1.0]], ['2, k, 5', [-0.51533, -0.292237, 1.0]], ['2, k, 6', [-0.573737, -0.415676, 1.0]], ['2, k, 7', [-0.538035, -0.455352, 1.0]], ['2, k, 8', [-0.170821, -0.174662, 1.0]], ['2, k, 9', [-0.0808667, -0.272959, 1.0]], ['2, k, 10', [0.0311224, -0.377522, 1.0]], ['2, k, 11', [0.0902534, -0.430389, 1.0]], ['2, k, 12', [-0.434561, -0.46538, 1.0]], ['2, k, 13', [-0.51729, -0.22384, 1.0]], ['2, k, 14', [-0.575216, -0.425985, 1.0]], ['2, k, 15', [-0.545193, -0.439483, 1.0]], ['2, k, 16', [-0.314525, -0.472378, 1.0]], ['2, k, 17', [-0.0609569, -0.236706, 1.0]], ['2, k, 18', [0.0962076, -0.418133, 1.0]], ['2, k, 19', [0.103662, -0.4464, 1.0]], ['2, k, 20', [-0.299261, -0.174503, 1.0]], ['2, k, 21', [-0.520732, -0.476958, 1.0]], ['2, k, 22', [-0.498414, -0.446615, 1.0]], ['2, k, 23', [0.0984377, -0.441054, 1.0]], ['2, k, 24', [0.113859, -0.42345, 1.0]]]
[['2, k, 0', [-0.341394, -0.509132, 1.0]], ['2, k, 1', [-0.331784, -0.315952, 1.0]], ['2, k, 2', [-0.309082, -0.140493, 1.0]], ['2, k, 3', [-0.293649, -0.0409131, 1.0]], ['2, k, 4', [-0.422258, -0.20014, 1.0]], ['2, k, 5', [-0.529984, -0.341, 1.0]], ['2, k, 6', [-0.583769, -0.467951, 1.0]], ['2, k, 7', [-0.546552, -0.507171, 1.0]], ['2, k, 8', [-0.167882, -0.220833, 1.0]], ['2, k, 9', [-0.0549395, -0.304822, 1.0]], ['2, k, 10', [0.0525867, -0.42514, 1.0]], ['2, k, 11', [0.108083, -0.502231, 1.0]], ['2, k, 12', [-0.39788, -0.497594, 1.0]], ['2, k, 13', [-0.504534, -0.226498, 1.0]], ['2, k, 14', [-0.564444, -0.47588, 1.0]], ['2, k, 15', [-0.536863, -0.494338, 1.0]], ['2, k, 16', [-0.278599, -0.511258, 1.0]], ['2, k, 17', [-0.0671542, -0.240915, 1.0]], ['2, k, 18', [0.0789085, -0.443829, 1.0]], ['2, k, 19', [0.0938877, -0.467207, 1.0]], ['2, k, 20', [-0.311779, -0.18293, 1.0]], ['2, k, 21', [-0.539854, -0.529687, 1.0]], ['2, k, 22', [-0.507033, -0.499267, 1.0]], ['2, k, 23', [0.128565, -0.519615, 1.0]], ['2, k, 24', [0.165272, -0.498271, 1.0]]]
[['2, k, 0', [-0.42574, -0.517889, 1.0]], ['2, k, 1', [-0.354347, -0.359772, 1.0]], ['2, k, 2', [-0.28282, -0.202919, 1.0]], ['2, k, 3', [-0.292733, -0.0776742, 1.0]], ['2, k, 4', [-0.414944, -0.260362, 1.0]], ['2, k, 5', [-0.537843, -0.393895, 1.0]], ['2, k, 6', [-0.584641, -0.520191, 1.0]], ['2, k, 7', [-0.547054, -0.561, 1.0]], ['2, k, 8', [-0.167139, -0.234193, 1.0]], ['2, k, 9', [-0.0473399, -0.356411, 1.0]], ['2, k, 10', [0.0390892, -0.475921, 1.0]], ['2, k, 11', [0.0906652, -0.525641, 1.0]], ['2, k, 12', [-0.472931, -0.498593, 1.0]], ['2, k, 13', [-0.48881, -0.229904, 1.0]], ['2, k, 14', [-0.560194, -0.495595, 1.0]], ['2, k, 15', [-0.536811, -0.53102, 1.0]], ['2, k, 16', [-0.370517, -0.527408, 1.0]], ['2, k, 17', [-0.0955426, -0.270429, 1.0]], ['2, k, 18', [0.0711905, -0.500309, 1.0]], ['2, k, 19', [0.094536, -0.526273, 1.0]], ['2, k, 20', [-0.300775, -0.242003, 1.0]], ['2, k, 21', [-0.540565, -0.580776, 1.0]], ['2, k, 22', [-0.507213, -0.555643, 1.0]], ['2, k, 23', [0.0870316, -0.546334, 1.0]], ['2, k, 24', [0.111398, -0.515774, 1.0]]]
[['2, k, 0', [-0.422857, -0.527258, 1.0]], ['2, k, 1', [-0.351842, -0.378532, 1.0]], ['2, k, 2', [-0.28141, -0.234769, 1.0]], ['2, k, 3', [-0.293912, -0.114648, 1.0]], ['2, k, 4', [-0.389871, -0.229489, 1.0]], ['2, k, 5', [-0.438818, -0.345664, 1.0]], ['2, k, 6', [-0.504722, -0.469792, 1.0]], ['2, k, 7', [-0.561055, -0.519111, 1.0]], ['2, k, 8', [-0.163138, -0.28416, 1.0]], ['2, k, 9', [-0.0455341, -0.390646, 1.0]], ['2, k, 10', [0.037653, -0.520399, 1.0]], ['2, k, 11', [0.0922489, -0.604259, 1.0]], ['2, k, 12', [-0.470922, -0.503224, 1.0]], ['2, k, 13', [-0.503539, -0.251981, 1.0]], ['2, k, 14', [-0.583626, -0.568096, 1.0]], ['2, k, 15', [-0.542606, -0.59374, 1.0]], ['2, k, 16', [-0.366722, -0.542961, 1.0]], ['2, k, 17', [-0.103761, -0.35098, 1.0]], ['2, k, 18', [0.0843928, -0.55356, 1.0]], ['2, k, 19', [0.102329, -0.593915, 1.0]], ['2, k, 20', [-0.299016, -0.270253, 1.0]], ['2, k, 21', [-0.565926, -0.556994, 1.0]], ['2, k, 22', [-0.548681, -0.557619, 1.0]], ['2, k, 23', [0.102, -0.625253, 1.0]], ['2, k, 24', [0.135724, -0.580808, 1.0]]]
[['2, k, 0', [-0.413832, -0.577413, 1.0]], ['2, k, 1', [-0.351816, -0.419782, 1.0]], ['2, k, 2', [-0.287551, -0.263265, 1.0]], ['2, k, 3', [-0.295107, -0.148385, 1.0]], ['2, k, 4', [-0.412792, -0.321116, 1.0]], ['2, k, 5', [-0.540535, -0.469398, 1.0]], ['2, k, 6', [-0.553151, -0.598309, 1.0]], ['2, k, 7', [-0.541049, -0.659138, 1.0]], ['2, k, 8', [-0.165032, -0.299077, 1.0]], ['2, k, 9', [-0.0356841, -0.426373, 1.0]], ['2, k, 10', [0.0430383, -0.559794, 1.0]], ['2, k, 11', [0.097311, -0.652637, 1.0]], ['2, k, 12', [-0.471387, -0.554853, 1.0]], ['2, k, 13', [-0.494123, -0.292731, 1.0]], ['2, k, 14', [-0.583211, -0.601356, 1.0]], ['2, k, 15', [-0.548286, -0.631513, 1.0]], ['2, k, 16', [-0.348477, -0.588699, 1.0]], ['2, k, 17', [-0.0112207, -0.448979, 1.0]], ['2, k, 18', [0.059732, -0.633855, 1.0]], ['2, k, 19', [0.102495, -0.642884, 1.0]], ['2, k, 20', [-0.303928, -0.302159, 1.0]], ['2, k, 21', [-0.527958, -0.68417, 1.0]], ['2, k, 22', [-0.493369, -0.649246, 1.0]], ['2, k, 23', [0.117327, -0.668556, 1.0]], ['2, k, 24', [0.139937, -0.631715, 1.0]]]
[['2, k, 0', [-0.440551, -0.59423, 1.0]], ['2, k, 1', [-0.349275, -0.442753, 1.0]], ['2, k, 2', [-0.256409, -0.307045, 1.0]], ['2, k, 3', [-0.289277, -0.191021, 1.0]], ['2, k, 4', [-0.429567, -0.370218, 1.0]], ['2, k, 5', [-0.48768, -0.49202, 1.0]], ['2, k, 6', [-0.521896, -0.627466, 1.0]], ['2, k, 7', [-0.529343, -0.707243, 1.0]], ['2, k, 8', [-0.160777, -0.312001, 1.0]], ['2, k, 9', [-0.0376394, -0.438195, 1.0]], ['2, k, 10', [0.0336284, -0.584295, 1.0]], ['2, k, 11', [0.0979343, -0.693181, 1.0]], ['2, k, 12', [-0.476701, -0.568734, 1.0]], ['2, k, 13', [-0.470866, -0.324648, 1.0]], ['2, k, 14', [-0.569932, -0.578302, 1.0]], ['2, k, 15', [-0.528655, -0.644902, 1.0]], ['2, k, 16', [-0.395484, -0.60688, 1.0]], ['2, k, 17', [-0.491634, -0.938533, 1.0]], ['2, k, 18', [-0.491337, -1.36343, 1.0]], ['2, k, 19', [-0.418893, -1.27496, 1.0]], ['2, k, 20', [-0.281116, -0.340073, 1.0]], ['2, k, 21', [-0.526951, -0.733527, 1.0]], ['2, k, 22', [-0.468582, -0.710528, 1.0]], ['2, k, 23', [0.107719, -0.709736, 1.0]], ['2, k, 24', [0.140533, -0.678449, 1.0]]]
[['2, k, 0', [-0.445134, -0.619311, 1.0]], ['2, k, 1', [-0.355196, -0.464281, 1.0]], ['2, k, 2', [-0.262979, -0.316716, 1.0]], ['2, k, 3', [-0.294243, -0.208235, 1.0]], ['2, k, 4', [-0.409836, -0.32782, 1.0]], ['2, k, 5', [-0.486043, -0.487673, 1.0]], ['2, k, 6', [-0.511446, -0.624779, 1.0]], ['2, k, 7', [-0.525644, -0.747411, 1.0]], ['2, k, 8', [-0.134069, -0.384859, 1.0]], ['2, k, 9', [-0.0272567, -0.49385, 1.0]], ['2, k, 10', [0.0550187, -0.639224, 1.0]], ['2, k, 11', [0.0966151, -0.730357, 1.0]], ['2, k, 12', [-0.484478, -0.584094, 1.0]], ['2, k, 13', [-0.57506, -0.491449, 1.0]], ['2, k, 14', [-0.622121, -0.69396, 1.0]], ['2, k, 15', [-0.561523, -0.749023, 1.0]], ['2, k, 16', [-0.396052, -0.640255, 1.0]], ['2, k, 17', [-0.483561, -0.984753, 1.0]], ['2, k, 18', [-0.444068, -1.23083, 1.0]], ['2, k, 19', [-0.367894, -1.15414, 1.0]], ['2, k, 20', [-0.286877, -0.352519, 1.0]], ['2, k, 21', [-0.528047, -0.768287, 1.0]], ['2, k, 22', [-0.464233, -0.747706, 1.0]], ['2, k, 23', [0.109149, -0.745645, 1.0]], ['2, k, 24', [0.14225, -0.712978, 1.0]]]
[['2, k, 0', [-0.465252, -0.744064, 1.0]], ['2, k, 1', [-0.36949, -0.545529, 1.0]], ['2, k, 2', [-0.270415, -0.338216, 1.0]], ['2, k, 3', [-0.295464, -0.22657, 1.0]], ['2, k, 4', [-0.447799, -0.419796, 1.0]], ['2, k, 5', [-0.49178, -0.55176, 1.0]], ['2, k, 6', [-0.523958, -0.696452, 1.0]], ['2, k, 7', [-0.531075, -0.78427, 1.0]], ['2, k, 8', [-0.136951, -0.393094, 1.0]], ['2, k, 9', [0.0103161, -0.546206, 1.0]], ['2, k, 10', [0.0867406, -0.686322, 1.0]], ['2, k, 11', [0.0879789, -0.768079, 1.0]], ['2, k, 12', [-0.489618, -0.746242, 1.0]], ['2, k, 13', [-0.74918, -0.988943, 1.0]], ['2, k, 14', [-0.590811, -0.694965, 1.0]], ['2, k, 15', [-0.573906, -0.716724, 1.0]], ['2, k, 16', [-0.432083, -0.727807, 1.0]], ['2, k, 17', [-0.509466, -1.06873, 1.0]], ['2, k, 18', [-0.493098, -1.36156, 1.0]], ['2, k, 19', [-0.415724, -1.27734, 1.0]], ['2, k, 20', [-0.297026, -0.394273, 1.0]], ['2, k, 21', [-0.527614, -0.805633, 1.0]], ['2, k, 22', [-0.469171, -0.783772, 1.0]], ['2, k, 23', [0.0718531, -0.803988, 1.0]], ['2, k, 24', [0.131413, -0.75329, 1.0]]]
[['2, k, 0', [-0.485662, -0.776732, 1.0]], ['2, k, 1', [-0.380832, -0.562509, 1.0]], ['2, k, 2', [-0.279927, -0.353975, 1.0]], ['2, k, 3', [-0.292229, -0.244983, 1.0]], ['2, k, 4', [-0.43354, -0.452434, 1.0]], ['2, k, 5', [-0.537191, -0.613611, 1.0]], ['2, k, 6', [-0.561267, -0.753496, 1.0]], ['2, k, 7', [-0.537973, -0.815033, 1.0]], ['2, k, 8', [-0.140496, -0.412125, 1.0]], ['2, k, 9', [-0.0361254, -0.544127, 1.0]], ['2, k, 10', [0.0303929, -0.691078, 1.0]], ['2, k, 11', [0.0791474, -0.792783, 1.0]], ['2, k, 12', [-0.522181, -0.774378, 1.0]], ['2, k, 13', [-0.679521, -0.990922, 1.0]], ['2, k, 14', [-0.517116, -0.700699, 1.0]], ['2, k, 15', [-0.518732, -0.740087, 1.0]], ['2, k, 16', [-0.443519, -0.767724, 1.0]], ['2, k, 17', [-0.522255, -1.10256, 1.0]], ['2, k, 18', [-0.496154, -1.34897, 1.0]], ['2, k, 19', [-0.41822, -1.26523, 1.0]], ['2, k, 20', [-0.30449, -0.40555, 1.0]], ['2, k, 21', [-0.524643, -0.839345, 1.0]], ['2, k, 22', [-0.480533, -0.810834, 1.0]], ['2, k, 23', [0.0808948, -0.825293, 1.0]], ['2, k, 24', [0.121348, -0.78672, 1.0]]]
[['2, k, 0', [-0.493073, -0.790152, 1.0]], ['2, k, 1', [-0.389842, -0.590254, 1.0]], ['2, k, 2', [-0.28561, -0.393126, 1.0]], ['2, k, 3', [-0.288334, -0.275006, 1.0]], ['2, k, 4', [-0.428693, -0.463798, 1.0]], ['2, k, 5', [-0.536563, -0.623295, 1.0]], ['2, k, 6', [-0.558168, -0.769942, 1.0]], ['2, k, 7', [-0.540785, -0.84106, 1.0]], ['2, k, 8', [-0.145454, -0.446117, 1.0]], ['2, k, 9', [0.00685125, -0.597622, 1.0]], ['2, k, 10', [0.0875327, -0.74445, 1.0]], ['2, k, 11', [0.087905, -0.815158, 1.0]], ['2, k, 12', [-0.533262, -0.77958, 1.0]], ['2, k, 13', [-0.643122, -1.10641, 1.0]], ['2, k, 14', [-0.480285, -0.815036, 1.0]], ['2, k, 15', [-0.510402, -0.824848, 1.0]], ['2, k, 16', [-0.445608, -0.794025, 1.0]], ['2, k, 17', [-0.540219, -1.10553, 1.0]], ['2, k, 18', [-0.500429, -1.35107, 1.0]], ['2, k, 19', [-0.419093, -1.27167, 1.0]], ['2, k, 20', [-0.311841, -0.442565, 1.0]], ['2, k, 21', [-0.53577, -0.859038, 1.0]], ['2, k, 22', [-0.490054, -0.833623, 1.0]], ['2, k, 23', [0.0878063, -0.835566, 1.0]], ['2, k, 24', [0.133914, -0.792334, 1.0]]]
