[['2, k, 0', [-0.28295, -0.46555, 1.0]], ['2, k, 1', [-0.277821, -0.15228, 1.0]], ['2, k, 2', [-0.271019, 0.153561, 1.0]], ['2, k, 3', [-0.288193, 0.309641, 1.0]], ['2, k, 4', [-0.459619, 0.0363334, 1.0]], ['2, k, 5', [-0.516027, -0.235583, 1.0]], ['2, k, 6', [-0.500175, -0.466999, 1.0]], ['2, k, 7', [-0.493111, -0.469259, 1.0]], ['2, k, 8', [-0.0891852, 0.0285036, 1.0]], ['2, k, 9', [-0.0285092, -0.226214, 1.0]], ['2, k, 10', [-0.0163173, -0.458076, 1.0]], ['2, k, 11', [-0.0272179, -0.471953, 1.0]], ['2, k, 12', [-0.363142, -0.456504, 1.0]], ['2, k, 13', [-0.416486, -0.77774, 1.0]], ['2, k, 14', [-0.487696, -1.0852, 1.0]], ['2, k, 15', [-0.53082, -1.14209, 1.0]], ['2, k, 16', [-0.194027, -0.460292, 1.0]], ['2, k, 17', [-0.110075, -0.780045, 1.0]], ['2, k, 18', [-0.0301984, -1.10242, 1.0]], ['2, k, 19', [0.00381435, -1.13491, 1.0]], ['2, k, 20', [-0.273011, 0.0781517, 1.0]], ['2, k, 21', [-0.491622, -0.538, 1.0]], ['2, k, 22', [-0.445582, -0.45421, 1.0]], ['2, k, 23', [-0.0337306, -0.540199, 1.0]], ['2, k, 24', [-0.0558803, -0.473589, 1.0]]]
[['2, k, 0', [-0.277928, -0.587781, 1.0]], ['2, k, 1', [-0.278546, -0.299109, 1.0]], ['2, k, 2', [-0.277458, -0.0162849, 1.0]], ['2, k, 3', [-0.286784, 0.138097, 1.0]], ['2, k, 4', [-0.425151, -0.109654, 1.0]], ['2, k, 5', [-0.538853, -0.113186, 1.0]], ['2, k, 6', [-0.55815, -0.137262, 1.0]], ['2, k, 7', [-0.574436, -0.150574, 1.0]], ['2, k, 8', [-0.153063, -0.0839993, 1.0]], ['2, k, 9', [-0.0818454, -0.0877291, 1.0]], ['2, k, 10', [-0.0922063, -0.128969, 1.0]], ['2, k, 11', [-0.101603, -0.14854, 1.0]], ['2, k, 12', [-0.357827, -0.58383, 1.0]], ['2, k, 13', [-0.511501, -0.823397, 1.0]], ['2, k, 14', [-0.49434, -1.08289, 1.0]], ['2, k, 15', [-0.537632, -1.14203, 1.0]], ['2, k, 16', [-0.189672, -0.574428, 1.0]], ['2, k, 17', [-0.0514928, -0.823689, 1.0]], ['2, k, 18', [-0.0227819, -1.10128, 1.0]], ['2, k, 19', [0.013992, -1.14494, 1.0]], ['2, k, 20', [-0.278035, -0.0862073, 1.0]], ['2, k, 21', [-0.596189, -0.143953, 1.0]], ['2, k, 22', [-0.529459, -0.173339, 1.0]], ['2, k, 23', [-0.11355, -0.131442, 1.0]], ['2, k, 24', [-0.155039, -0.179541, 1.0]]]
[['2, k, 0', [-0.278352, -0.59013, 1.0]], ['2, k, 1', [-0.278562, -0.301498, 1.0]], ['2, k, 2', [-0.277052, -0.0186318, 1.0]], ['2, k, 3', [-0.286429, 0.135639, 1.0]], ['2, k, 4', [-0.425631, -0.11184, 1.0]], ['2, k, 5', [-0.528903, -0.122798, 1.0]], ['2, k, 6', [-0.564698, -0.150032, 1.0]], ['2, k, 7', [-0.577421, -0.159478, 1.0]], ['2, k, 8', [-0.153719, -0.0887904, 1.0]], ['2, k, 9', [-0.0822025, -0.0891494, 1.0]], ['2, k, 10', [-0.0702104, -0.128148, 1.0]], ['2, k, 11', [-0.0972906, -0.149292, 1.0]], ['2, k, 12', [-0.3583, -0.585804, 1.0]], ['2, k, 13', [-0.512431, -0.824776, 1.0]], ['2, k, 14', [-0.489246, -1.08236, 1.0]], ['2, k, 15', [-0.536205, -1.13984, 1.0]], ['2, k, 16', [-0.190045, -0.577075, 1.0]], ['2, k, 17', [-0.0512941, -0.825711, 1.0]], ['2, k, 18', [-0.0231672, -1.10286, 1.0]], ['2, k, 19', [0.0147031, -1.14573, 1.0]], ['2, k, 20', [-0.277735, -0.0885729, 1.0]], ['2, k, 21', [-0.603609, -0.149941, 1.0]], ['2, k, 22', [-0.532335, -0.183732, 1.0]], ['2, k, 23', [-0.11208, -0.135364, 1.0]], ['2, k, 24', [-0.144891, -0.178745, 1.0]]]
[['2, k, 0', [-0.278725, -0.591189, 1.0]], ['2, k, 1', [-0.27877, -0.302594, 1.0]], ['2, k, 2', [-0.277098, -0.0197652, 1.0]], ['2, k, 3', [-0.286569, 0.134164, 1.0]], ['2, k, 4', [-0.425849, -0.112878, 1.0]], ['2, k, 5', [-0.537932, -0.122209, 1.0]], ['2, k, 6', [-0.558421, -0.147094, 1.0]], ['2, k, 7', [-0.576402, -0.161072, 1.0]], ['2, k, 8', [-0.153624, -0.090471, 1.0]], ['2, k, 9', [-0.0824161, -0.090228, 1.0]], ['2, k, 10', [-0.0701168, -0.128364, 1.0]], ['2, k, 11', [-0.0962264, -0.149096, 1.0]], ['2, k, 12', [-0.358611, -0.586628, 1.0]], ['2, k, 13', [-0.512594, -0.825446, 1.0]], ['2, k, 14', [-0.498921, -1.0562, 1.0]], ['2, k, 15', [-0.527335, -1.1193, 1.0]], ['2, k, 16', [-0.190482, -0.578335, 1.0]], ['2, k, 17', [-0.05124, -0.826549, 1.0]], ['2, k, 18', [-0.0218588, -1.10146, 1.0]], ['2, k, 19', [0.0143603, -1.14571, 1.0]], ['2, k, 20', [-0.277822, -0.0896977, 1.0]], ['2, k, 21', [-0.596082, -0.156373, 1.0]], ['2, k, 22', [-0.534097, -0.18731, 1.0]], ['2, k, 23', [-0.110085, -0.136189, 1.0]], ['2, k, 24', [-0.139985, -0.178317, 1.0]]]
[['2, k, 0', [-0.278961, -0.591758, 1.0]], ['2, k, 1', [-0.278867, -0.303135, 1.0]], ['2, k, 2', [-0.277072, -0.0203108, 1.0]], ['2, k, 3', [-0.286757, 0.133827, 1.0]], ['2, k, 4', [-0.426066, -0.113403, 1.0]], ['2, k, 5', [-0.530412, -0.125202, 1.0]], ['2, k, 6', [-0.570349, -0.157066, 1.0]], ['2, k, 7', [-0.580318, -0.164046, 1.0]], ['2, k, 8', [-0.154528, -0.092242, 1.0]], ['2, k, 9', [-0.082752, -0.0904527, 1.0]], ['2, k, 10', [-0.070043, -0.128446, 1.0]], ['2, k, 11', [-0.0972793, -0.148696, 1.0]], ['2, k, 12', [-0.358991, -0.58717, 1.0]], ['2, k, 13', [-0.512623, -0.826077, 1.0]], ['2, k, 14', [-0.50111, -1.09225, 1.0]], ['2, k, 15', [-0.53783, -1.1425, 1.0]], ['2, k, 16', [-0.190586, -0.578922, 1.0]], ['2, k, 17', [-0.0511927, -0.826976, 1.0]], ['2, k, 18', [-0.021536, -1.10517, 1.0]], ['2, k, 19', [0.016224, -1.14805, 1.0]], ['2, k, 20', [-0.277827, -0.0902396, 1.0]], ['2, k, 21', [-0.607576, -0.154891, 1.0]], ['2, k, 22', [-0.53024, -0.188544, 1.0]], ['2, k, 23', [-0.108792, -0.135675, 1.0]], ['2, k, 24', [-0.141796, -0.177595, 1.0]]]
[['2, k, 0', [-0.279007, -0.591298, 1.0]], ['2, k, 1', [-0.278946, -0.303054, 1.0]], ['2, k, 2', [-0.277321, -0.0203893, 1.0]], ['2, k, 3', [-0.286888, 0.133983, 1.0]], ['2, k, 4', [-0.426304, -0.113398, 1.0]], ['2, k, 5', [-0.530299, -0.123295, 1.0]], ['2, k, 6', [-0.561661, -0.155387, 1.0]], ['2, k, 7', [-0.580726, -0.162834, 1.0]], ['2, k, 8', [-0.155447, -0.0858141, 1.0]], ['2, k, 9', [-0.0874803, -0.0982125, 1.0]], ['2, k, 10', [-0.0924321, -0.13671, 1.0]], ['2, k, 11', [-0.100343, -0.146393, 1.0]], ['2, k, 12', [-0.358924, -0.586906, 1.0]], ['2, k, 13', [-0.512442, -0.825873, 1.0]], ['2, k, 14', [-0.489639, -1.07727, 1.0]], ['2, k, 15', [-0.53398, -1.13712, 1.0]], ['2, k, 16', [-0.190827, -0.578166, 1.0]], ['2, k, 17', [-0.0515347, -0.826427, 1.0]], ['2, k, 18', [-0.0221671, -1.10511, 1.0]], ['2, k, 19', [0.0160997, -1.14764, 1.0]], ['2, k, 20', [-0.278013, -0.0902592, 1.0]], ['2, k, 21', [-0.605369, -0.155016, 1.0]], ['2, k, 22', [-0.531964, -0.18834, 1.0]], ['2, k, 23', [-0.110313, -0.131465, 1.0]], ['2, k, 24', [-0.148014, -0.17679, 1.0]]]
[['2, k, 0', [-0.279207, -0.589103, 1.0]], ['2, k, 1', [-0.2794, -0.301588, 1.0]], ['2, k, 2', [-0.277925, -0.0194267, 1.0]], ['2, k, 3', [-0.287331, 0.135058, 1.0]], ['2, k, 4', [-0.426919, -0.11182, 1.0]], ['2, k, 5', [-0.543567, -0.104209, 1.0]], ['2, k, 6', [-0.560248, -0.1457, 1.0]], ['2, k, 7', [-0.581225, -0.159004, 1.0]], ['2, k, 8', [-0.156041, -0.0804371, 1.0]], ['2, k, 9', [-0.08294, -0.0861452, 1.0]], ['2, k, 10', [-0.0914385, -0.132667, 1.0]], ['2, k, 11', [-0.101304, -0.143359, 1.0]], ['2, k, 12', [-0.358934, -0.585141, 1.0]], ['2, k, 13', [-0.511551, -0.824731, 1.0]], ['2, k, 14', [-0.487756, -1.08788, 1.0]], ['2, k, 15', [-0.537744, -1.14249, 1.0]], ['2, k, 16', [-0.191242, -0.575543, 1.0]], ['2, k, 17', [-0.0527852, -0.824668, 1.0]], ['2, k, 18', [-0.0224082, -1.10582, 1.0]], ['2, k, 19', [0.0161089, -1.14794, 1.0]], ['2, k, 20', [-0.278584, -0.0891994, 1.0]], ['2, k, 21', [-0.604313, -0.152661, 1.0]], ['2, k, 22', [-0.532655, -0.184067, 1.0]], ['2, k, 23', [-0.111608, -0.13029, 1.0]], ['2, k, 24', [-0.156288, -0.175727, 1.0]]]
[['2, k, 0', [-0.280874, -0.583996, 1.0]], ['2, k, 1', [-0.280857, -0.297093, 1.0]], ['2, k, 2', [-0.279194, -0.0154488, 1.0]], ['2, k, 3', [-0.28813, 0.139002, 1.0]], ['2, k, 4', [-0.428076, -0.107645, 1.0]], ['2, k, 5', [-0.535462, -0.10841, 1.0]], ['2, k, 6', [-0.563532, -0.147, 1.0]], ['2, k, 7', [-0.580203, -0.155309, 1.0]], ['2, k, 8', [-0.156308, -0.0754893, 1.0]], ['2, k, 9', [-0.0848801, -0.08383, 1.0]], ['2, k, 10', [-0.0938484, -0.127757, 1.0]], ['2, k, 11', [-0.106447, -0.139065, 1.0]], ['2, k, 12', [-0.360362, -0.579884, 1.0]], ['2, k, 13', [-0.509078, -0.822306, 1.0]], ['2, k, 14', [-0.494901, -1.09201, 1.0]], ['2, k, 15', [-0.538416, -1.14235, 1.0]], ['2, k, 16', [-0.193054, -0.570753, 1.0]], ['2, k, 17', [-0.0549594, -0.821023, 1.0]], ['2, k, 18', [-0.0232024, -1.10578, 1.0]], ['2, k, 19', [0.0158632, -1.14746, 1.0]], ['2, k, 20', [-0.279898, -0.0851166, 1.0]], ['2, k, 21', [-0.602826, -0.148874, 1.0]], ['2, k, 22', [-0.531435, -0.180488, 1.0]], ['2, k, 23', [-0.113788, -0.123762, 1.0]], ['2, k, 24', [-0.159006, -0.170367, 1.0]]]
[['2, k, 0', [-0.281952, -0.577717, 1.0]], ['2, k, 1', [-0.281995, -0.290079, 1.0]], ['2, k, 2', [-0.280333, -0.00787502, 1.0]], ['2, k, 3', [-0.28927, 0.1469, 1.0]], ['2, k, 4', [-0.428027, -0.102615, 1.0]], ['2, k, 5', [-0.539262, -0.102051, 1.0]], ['2, k, 6', [-0.560973, -0.129027, 1.0]], ['2, k, 7', [-0.576718, -0.145559, 1.0]], ['2, k, 8', [-0.156257, -0.07071, 1.0]], ['2, k, 9', [-0.0843623, -0.0702618, 1.0]], ['2, k, 10', [-0.0772448, -0.115473, 1.0]], ['2, k, 11', [-0.107358, -0.13347, 1.0]], ['2, k, 12', [-0.36132, -0.573775, 1.0]], ['2, k, 13', [-0.507011, -0.818394, 1.0]], ['2, k, 14', [-0.49657, -1.09829, 1.0]], ['2, k, 15', [-0.539099, -1.14262, 1.0]], ['2, k, 16', [-0.194208, -0.564433, 1.0]], ['2, k, 17', [-0.0568876, -0.816429, 1.0]], ['2, k, 18', [-0.0231203, -1.10577, 1.0]], ['2, k, 19', [0.0157994, -1.14748, 1.0]], ['2, k, 20', [-0.281046, -0.0776736, 1.0]], ['2, k, 21', [-0.596015, -0.143701, 1.0]], ['2, k, 22', [-0.532562, -0.171616, 1.0]], ['2, k, 23', [-0.117633, -0.119167, 1.0]], ['2, k, 24', [-0.156229, -0.161913, 1.0]]]
[['2, k, 0', [-0.285721, -0.567647, 1.0]], ['2, k, 1', [-0.284636, -0.279761, 1.0]], ['2, k, 2', [-0.281841, 0.0025794, 1.0]], ['2, k, 3', [-0.291036, 0.157949, 1.0]], ['2, k, 4', [-0.430356, -0.0903858, 1.0]], ['2, k, 5', [-0.541219, -0.0960127, 1.0]], ['2, k, 6', [-0.561022, -0.127542, 1.0]], ['2, k, 7', [-0.575588, -0.137135, 1.0]], ['2, k, 8', [-0.15665, -0.0663184, 1.0]], ['2, k, 9', [-0.0808098, -0.0637296, 1.0]], ['2, k, 10', [-0.0820564, -0.11075, 1.0]], ['2, k, 11', [-0.108684, -0.125657, 1.0]], ['2, k, 12', [-0.365614, -0.56277, 1.0]], ['2, k, 13', [-0.502257, -0.813234, 1.0]], ['2, k, 14', [-0.497398, -1.09681, 1.0]], ['2, k, 15', [-0.53977, -1.14242, 1.0]], ['2, k, 16', [-0.197343, -0.55557, 1.0]], ['2, k, 17', [-0.0605076, -0.809167, 1.0]], ['2, k, 18', [-0.0232383, -1.10587, 1.0]], ['2, k, 19', [0.0154664, -1.14753, 1.0]], ['2, k, 20', [-0.282841, -0.0672409, 1.0]], ['2, k, 21', [-0.592567, -0.137225, 1.0]], ['2, k, 22', [-0.531881, -0.16571, 1.0]], ['2, k, 23', [-0.116793, -0.111307, 1.0]], ['2, k, 24', [-0.153886, -0.153727, 1.0]]]
[['2, k, 0', [-0.287691, -0.556908, 1.0]], ['2, k, 1', [-0.287225, -0.267287, 1.0]], ['2, k, 2', [-0.285067, 0.0167565, 1.0]], ['2, k, 3', [-0.293356, 0.16919, 1.0]], ['2, k, 4', [-0.4324, -0.0794415, 1.0]], ['2, k, 5', [-0.542958, -0.0870035, 1.0]], ['2, k, 6', [-0.558903, -0.116895, 1.0]], ['2, k, 7', [-0.572642, -0.129429, 1.0]], ['2, k, 8', [-0.15692, -0.0546767, 1.0]], ['2, k, 9', [-0.0795872, -0.0530333, 1.0]], ['2, k, 10', [-0.0931408, -0.105064, 1.0]], ['2, k, 11', [-0.104411, -0.116281, 1.0]], ['2, k, 12', [-0.367572, -0.552065, 1.0]], ['2, k, 13', [-0.49903, -0.805974, 1.0]], ['2, k, 14', [-0.490156, -1.08846, 1.0]], ['2, k, 15', [-0.539184, -1.14231, 1.0]], ['2, k, 16', [-0.199222, -0.545148, 1.0]], ['2, k, 17', [-0.0641736, -0.800856, 1.0]], ['2, k, 18', [-0.024052, -1.10486, 1.0]], ['2, k, 19', [0.0146617, -1.1465, 1.0]], ['2, k, 20', [-0.28591, -0.0534753, 1.0]], ['2, k, 21', [-0.591397, -0.128934, 1.0]], ['2, k, 22', [-0.527629, -0.155867, 1.0]], ['2, k, 23', [-0.112357, -0.104765, 1.0]], ['2, k, 24', [-0.15703, -0.145684, 1.0]]]
[['2, k, 0', [-0.290775, -0.546101, 1.0]], ['2, k, 1', [-0.290235, -0.254837, 1.0]], ['2, k, 2', [-0.287875, 0.0306034, 1.0]], ['2, k, 3', [-0.294399, 0.18284, 1.0]], ['2, k, 4', [-0.433519, -0.0673443, 1.0]], ['2, k, 5', [-0.541589, -0.0764705, 1.0]], ['2, k, 6', [-0.558593, -0.108473, 1.0]], ['2, k, 7', [-0.572386, -0.121358, 1.0]], ['2, k, 8', [-0.15714, -0.0465126, 1.0]], ['2, k, 9', [-0.0828006, -0.045925, 1.0]], ['2, k, 10', [-0.0953839, -0.0993105, 1.0]], ['2, k, 11', [-0.108379, -0.108589, 1.0]], ['2, k, 12', [-0.370588, -0.540894, 1.0]], ['2, k, 13', [-0.495858, -0.798468, 1.0]], ['2, k, 14', [-0.489617, -1.08895, 1.0]], ['2, k, 15', [-0.539334, -1.14227, 1.0]], ['2, k, 16', [-0.202266, -0.534968, 1.0]], ['2, k, 17', [-0.0680033, -0.792275, 1.0]], ['2, k, 18', [-0.0248899, -1.10435, 1.0]], ['2, k, 19', [0.0136118, -1.14603, 1.0]], ['2, k, 20', [-0.288782, -0.0399453, 1.0]], ['2, k, 21', [-0.590777, -0.12056, 1.0]], ['2, k, 22', [-0.526374, -0.146964, 1.0]], ['2, k, 23', [-0.117678, -0.0958469, 1.0]], ['2, k, 24', [-0.161523, -0.139235, 1.0]]]
[['2, k, 0', [-0.293132, -0.533562, 1.0]], ['2, k, 1', [-0.292372, -0.241389, 1.0]], ['2, k, 2', [-0.289761, 0.0447491, 1.0]], ['2, k, 3', [-0.296313, 0.195599, 1.0]], ['2, k, 4', [-0.436282, -0.0521544, 1.0]], ['2, k, 5', [-0.543517, -0.0767348, 1.0]], ['2, k, 6', [-0.558064, -0.102034, 1.0]], ['2, k, 7', [-0.574497, -0.113, 1.0]], ['2, k, 8', [-0.159084, -0.0336627, 1.0]], ['2, k, 9', [-0.0828376, -0.0363228, 1.0]], ['2, k, 10', [-0.0972761, -0.092147, 1.0]], ['2, k, 11', [-0.111895, -0.100904, 1.0]], ['2, k, 12', [-0.372992, -0.528167, 1.0]], ['2, k, 13', [-0.491307, -0.78948, 1.0]], ['2, k, 14', [-0.488004, -1.09285, 1.0]], ['2, k, 15', [-0.536986, -1.14042, 1.0]], ['2, k, 16', [-0.204501, -0.522884, 1.0]], ['2, k, 17', [-0.0729695, -0.782265, 1.0]], ['2, k, 18', [-0.0255396, -1.10511, 1.0]], ['2, k, 19', [0.0134652, -1.14563, 1.0]], ['2, k, 20', [-0.290734, -0.0259479, 1.0]], ['2, k, 21', [-0.595198, -0.111846, 1.0]], ['2, k, 22', [-0.526888, -0.138912, 1.0]], ['2, k, 23', [-0.11831, -0.0887264, 1.0]], ['2, k, 24', [-0.158366, -0.128746, 1.0]]]
[['2, k, 0', [-0.295285, -0.525729, 1.0]], ['2, k, 1', [-0.29392, -0.233719, 1.0]], ['2, k, 2', [-0.290739, 0.0522035, 1.0]], ['2, k, 3', [-0.298723, 0.211353, 1.0]], ['2, k, 4', [-0.437301, -0.0450506, 1.0]], ['2, k, 5', [-0.546216, -0.0409365, 1.0]], ['2, k, 6', [-0.560102, -0.0869338, 1.0]], ['2, k, 7', [-0.570686, -0.100077, 1.0]], ['2, k, 8', [-0.159187, -0.0333952, 1.0]], ['2, k, 9', [-0.0885398, -0.0361268, 1.0]], ['2, k, 10', [-0.0821004, -0.0625003, 1.0]], ['2, k, 11', [-0.102093, -0.083589, 1.0]], ['2, k, 12', [-0.375596, -0.519588, 1.0]], ['2, k, 13', [-0.486665, -0.784161, 1.0]], ['2, k, 14', [-0.488557, -1.09492, 1.0]], ['2, k, 15', [-0.536584, -1.14017, 1.0]], ['2, k, 16', [-0.206161, -0.516001, 1.0]], ['2, k, 17', [-0.0757074, -0.776565, 1.0]], ['2, k, 18', [-0.024288, -1.10645, 1.0]], ['2, k, 19', [0.013614, -1.14608, 1.0]], ['2, k, 20', [-0.291852, -0.0184316, 1.0]], ['2, k, 21', [-0.586541, -0.104287, 1.0]], ['2, k, 22', [-0.527195, -0.12803, 1.0]], ['2, k, 23', [-0.111946, -0.0769232, 1.0]], ['2, k, 24', [-0.146212, -0.112002, 1.0]]]
[['2, k, 0', [-0.294857, -0.506742, 1.0]], ['2, k, 1', [-0.294915, -0.212666, 1.0]], ['2, k, 2', [-0.293274, 0.0752464, 1.0]], ['2, k, 3', [-0.300587, 0.224401, 1.0]], ['2, k, 4', [-0.438258, -0.023102, 1.0]], ['2, k, 5', [-0.549668, -0.0336556, 1.0]], ['2, k, 6', [-0.560858, -0.0919579, 1.0]], ['2, k, 7', [-0.578834, -0.0951339, 1.0]], ['2, k, 8', [-0.161956, 0.0015485, 1.0]], ['2, k, 9', [-0.0930443, -0.0126802, 1.0]], ['2, k, 10', [-0.101873, -0.073232, 1.0]], ['2, k, 11', [-0.108536, -0.0763785, 1.0]], ['2, k, 12', [-0.374908, -0.503044, 1.0]], ['2, k, 13', [-0.478584, -0.770401, 1.0]], ['2, k, 14', [-0.488501, -1.09484, 1.0]], ['2, k, 15', [-0.536601, -1.14019, 1.0]], ['2, k, 16', [-0.205973, -0.4951, 1.0]], ['2, k, 17', [-0.0842637, -0.760157, 1.0]], ['2, k, 18', [-0.0243232, -1.10665, 1.0]], ['2, k, 19', [0.0131256, -1.1458, 1.0]], ['2, k, 20', [-0.293993, 0.00413579, 1.0]], ['2, k, 21', [-0.591685, -0.0951231, 1.0]], ['2, k, 22', [-0.520013, -0.117684, 1.0]], ['2, k, 23', [-0.110792, -0.0683391, 1.0]], ['2, k, 24', [-0.163548, -0.110185, 1.0]]]
[['2, k, 0', [-0.294374, -0.493278, 1.0]], ['2, k, 1', [-0.294567, -0.199095, 1.0]], ['2, k, 2', [-0.292977, 0.0886194, 1.0]], ['2, k, 3', [-0.302446, 0.238901, 1.0]], ['2, k, 4', [-0.440339, -0.0118056, 1.0]], ['2, k, 5', [-0.550725, -0.036167, 1.0]], ['2, k, 6', [-0.553961, -0.0448085, 1.0]], ['2, k, 7', [-0.57114, -0.0772257, 1.0]], ['2, k, 8', [-0.164222, 0.0116568, 1.0]], ['2, k, 9', [-0.0892882, -3.88074e-05, 1.0]], ['2, k, 10', [-0.0852906, -0.0496322, 1.0]], ['2, k, 11', [-0.10978, -0.0641473, 1.0]], ['2, k, 12', [-0.373973, -0.489406, 1.0]], ['2, k, 13', [-0.470289, -0.758435, 1.0]], ['2, k, 14', [-0.488886, -1.09255, 1.0]], ['2, k, 15', [-0.536658, -1.1398, 1.0]], ['2, k, 16', [-0.205888, -0.482175, 1.0]], ['2, k, 17', [-0.0878982, -0.756134, 1.0]], ['2, k, 18', [-0.0244769, -1.10752, 1.0]], ['2, k, 19', [0.012601, -1.14513, 1.0]], ['2, k, 20', [-0.293692, 0.0175931, 1.0]], ['2, k, 21', [-0.584984, -0.0831735, 1.0]], ['2, k, 22', [-0.525084, -0.107705, 1.0]], ['2, k, 23', [-0.121946, -0.0565434, 1.0]], ['2, k, 24', [-0.158405, -0.0950411, 1.0]]]
[['2, k, 0', [-0.293921, -0.479386, 1.0]], ['2, k, 1', [-0.295762, -0.185018, 1.0]], ['2, k, 2', [-0.295797, 0.102931, 1.0]], ['2, k, 3', [-0.304572, 0.253485, 1.0]], ['2, k, 4', [-0.441947, 0.00360272, 1.0]], ['2, k, 5', [-0.548422, -0.00852406, 1.0]], ['2, k, 6', [-0.560333, -0.0478169, 1.0]], ['2, k, 7', [-0.570296, -0.0654455, 1.0]], ['2, k, 8', [-0.164876, 0.0277342, 1.0]], ['2, k, 9', [-0.088403, 0.00829653, 1.0]], ['2, k, 10', [-0.10219, -0.050273, 1.0]], ['2, k, 11', [-0.119245, -0.0570401, 1.0]], ['2, k, 12', [-0.373035, -0.476034, 1.0]], ['2, k, 13', [-0.463448, -0.748182, 1.0]], ['2, k, 14', [-0.488784, -1.08977, 1.0]], ['2, k, 15', [-0.537915, -1.13815, 1.0]], ['2, k, 16', [-0.205923, -0.468258, 1.0]], ['2, k, 17', [-0.0920792, -0.750338, 1.0]], ['2, k, 18', [-0.0253347, -1.1073, 1.0]], ['2, k, 19', [0.0120719, -1.14425, 1.0]], ['2, k, 20', [-0.296108, 0.03185, 1.0]], ['2, k, 21', [-0.583608, -0.0717475, 1.0]], ['2, k, 22', [-0.522079, -0.0943591, 1.0]], ['2, k, 23', [-0.128679, -0.0490402, 1.0]], ['2, k, 24', [-0.163258, -0.083322, 1.0]]]
[['2, k, 0', [-0.293782, -0.471693, 1.0]], ['2, k, 1', [-0.295533, -0.175793, 1.0]], ['2, k, 2', [-0.295413, 0.113643, 1.0]], ['2, k, 3', [-0.306525, 0.26737, 1.0]], ['2, k, 4', [-0.442408, 0.00976624, 1.0]], ['2, k, 5', [-0.548542, -0.000222779, 1.0]], ['2, k, 6', [-0.556281, -0.0269365, 1.0]], ['2, k, 7', [-0.571432, -0.0532327, 1.0]], ['2, k, 8', [-0.164815, 0.0281266, 1.0]], ['2, k, 9', [-0.06899, 0.0599275, 1.0]], ['2, k, 10', [-0.0921941, -0.0100799, 1.0]], ['2, k, 11', [-0.118531, -0.0427206, 1.0]], ['2, k, 12', [-0.373472, -0.468436, 1.0]], ['2, k, 13', [-0.457846, -0.746061, 1.0]], ['2, k, 14', [-0.488697, -1.08832, 1.0]], ['2, k, 15', [-0.5376, -1.13757, 1.0]], ['2, k, 16', [-0.205198, -0.460653, 1.0]], ['2, k, 17', [-0.0944979, -0.74684, 1.0]], ['2, k, 18', [-0.0267226, -1.10574, 1.0]], ['2, k, 19', [0.0112364, -1.14205, 1.0]], ['2, k, 20', [-0.29577, 0.0422035, 1.0]], ['2, k, 21', [-0.588016, -0.0585907, 1.0]], ['2, k, 22', [-0.523064, -0.0824909, 1.0]], ['2, k, 23', [-0.129744, -0.0336509, 1.0]], ['2, k, 24', [-0.169349, -0.0737331, 1.0]]]
[['2, k, 0', [-0.293125, -0.461269, 1.0]], ['2, k, 1', [-0.296559, -0.163669, 1.0]], ['2, k, 2', [-0.298332, 0.127458, 1.0]], ['2, k, 3', [-0.3066, 0.277454, 1.0]], ['2, k, 4', [-0.444401, 0.0247897, 1.0]], ['2, k, 5', [-0.537977, 0.0152826, 1.0]], ['2, k, 6', [-0.565948, -0.037077, 1.0]], ['2, k, 7', [-0.574926, -0.0435527, 1.0]], ['2, k, 8', [-0.167814, 0.0444683, 1.0]], ['2, k, 9', [-0.067064, 0.0575569, 1.0]], ['2, k, 10', [-0.0933926, 0.00103626, 1.0]], ['2, k, 11', [-0.122448, -0.030079, 1.0]], ['2, k, 12', [-0.37272, -0.459381, 1.0]], ['2, k, 13', [-0.451279, -0.745222, 1.0]], ['2, k, 14', [-0.486967, -1.0863, 1.0]], ['2, k, 15', [-0.536785, -1.13614, 1.0]], ['2, k, 16', [-0.204659, -0.449119, 1.0]], ['2, k, 17', [-0.0969408, -0.744218, 1.0]], ['2, k, 18', [-0.0259989, -1.10704, 1.0]], ['2, k, 19', [0.0115363, -1.14194, 1.0]], ['2, k, 20', [-0.298198, 0.0556065, 1.0]], ['2, k, 21', [-0.594373, -0.0449756, 1.0]], ['2, k, 22', [-0.527018, -0.0714545, 1.0]], ['2, k, 23', [-0.133987, -0.0217262, 1.0]], ['2, k, 24', [-0.169039, -0.0590226, 1.0]]]
