[['2, k, 0', [-0.262287, -0.624473, 1.0]], ['2, k, 1', [-0.260058, -0.32867, 1.0]], ['2, k, 2', [-0.256553, -0.0379651, 1.0]], ['2, k, 3', [-0.230471, 0.0548331, 1.0]], ['2, k, 4', [-0.397186, -0.119903, 1.0]], ['2, k, 5', [-0.529855, -0.0802829, 1.0]], ['2, k, 6', [-0.560294, 0.0237977, 1.0]], ['2, k, 7', [-0.545826, 0.11749, 1.0]], ['2, k, 8', [-0.0976254, -0.108023, 1.0]], ['2, k, 9', [0.0721074, -0.0710552, 1.0]], ['2, k, 10', [0.147963, 0.0298084, 1.0]], ['2, k, 11', [0.17715, 0.122789, 1.0]], ['2, k, 12', [-0.327105, -0.619049, 1.0]], ['2, k, 13', [-0.347879, -0.928473, 1.0]], ['2, k, 14', [-0.373488, -1.38032, 1.0]], ['2, k, 15', [-0.368161, -1.40111, 1.0]], ['2, k, 16', [-0.19067, -0.613738, 1.0]], ['2, k, 17', [-0.103026, -0.950623, 1.0]], ['2, k, 18', [-0.0671854, -1.38619, 1.0]], ['2, k, 19', [-0.0598017, -1.40509, 1.0]], ['2, k, 20', [-0.257658, -0.109977, 1.0]], ['2, k, 21', [-0.523728, 0.149924, 1.0]], ['2, k, 22', [-0.576324, 0.136633, 1.0]], ['2, k, 23', [0.168281, 0.143402, 1.0]], ['2, k, 24', [0.216166, 0.139571, 1.0]]]
[['2, k, 0', [-0.229632, -0.657476, 1.0]], ['2, k, 1', [-0.233354, -0.343065, 1.0]], ['2, k, 2', [-0.2348, -0.0392681, 1.0]], ['2, k, 3', [-0.226893, 0.0787637, 1.0]], ['2, k, 4', [-0.401375, -0.114442, 1.0]], ['2, k, 5', [-0.495706, -0.0801678, 1.0]], ['2, k, 6', [-0.513385, -0.23516, 1.0]], ['2, k, 7', [-0.498982, -0.109027, 1.0]], ['2, k, 8', [-0.0713672, -0.114067, 1.0]], ['2, k, 9', [0.102949, -0.195616, 1.0]], ['2, k, 10', [0.181641, -0.151088, 1.0]], ['2, k, 11', [0.211011, -0.109188, 1.0]], ['2, k, 12', [-0.303898, -0.647405, 1.0]], ['2, k, 13', [-0.353933, -1.02237, 1.0]], ['2, k, 14', [-0.37881, -1.40499, 1.0]], ['2, k, 15', [-0.376377, -1.4459, 1.0]], ['2, k, 16', [-0.148955, -0.649983, 1.0]], ['2, k, 17', [-0.102248, -1.03869, 1.0]], ['2, k, 18', [-0.0611846, -1.40809, 1.0]], ['2, k, 19', [-0.0507605, -1.44605, 1.0]], ['2, k, 20', [-0.234702, -0.114405, 1.0]], ['2, k, 21', [-0.499294, -0.118696, 1.0]], ['2, k, 22', [-0.424387, -0.107064, 1.0]], ['2, k, 23', [0.250883, -0.0932488, 1.0]], ['2, k, 24', [0.14192, -0.103936, 1.0]]]
[['2, k, 0', [-0.230574, -0.662094, 1.0]], ['2, k, 1', [-0.227524, -0.373922, 1.0]], ['2, k, 2', [-0.217998, -0.0971311, 1.0]], ['2, k, 3', [-0.22454, 0.0700327, 1.0]], ['2, k, 4', [-0.381497, -0.146212, 1.0]], ['2, k, 5', [-0.510529, -0.127747, 1.0]], ['2, k, 6', [-0.499229, -0.065294, 1.0]], ['2, k, 7', [-0.503083, -0.0335322, 1.0]], ['2, k, 8', [-0.075246, -0.137897, 1.0]], ['2, k, 9', [0.11223, -0.107577, 1.0]], ['2, k, 10', [0.171518, -0.0471486, 1.0]], ['2, k, 11', [0.207235, -0.0257573, 1.0]], ['2, k, 12', [-0.305232, -0.650665, 1.0]], ['2, k, 13', [-0.354632, -1.02328, 1.0]], ['2, k, 14', [-0.378822, -1.40501, 1.0]], ['2, k, 15', [-0.371256, -1.44631, 1.0]], ['2, k, 16', [-0.149397, -0.655997, 1.0]], ['2, k, 17', [-0.102327, -1.03865, 1.0]], ['2, k, 18', [-0.0605441, -1.40582, 1.0]], ['2, k, 19', [-0.0454804, -1.44391, 1.0]], ['2, k, 20', [-0.220168, -0.167854, 1.0]], ['2, k, 21', [-0.46113, -0.031965, 1.0]], ['2, k, 22', [-0.455946, -0.0478489, 1.0]], ['2, k, 23', [0.189546, -0.0194547, 1.0]], ['2, k, 24', [0.133494, -0.0213577, 1.0]]]
[['2, k, 0', [-0.22759, -0.633957, 1.0]], ['2, k, 1', [-0.235072, -0.337825, 1.0]], ['2, k, 2', [-0.244817, -0.0443106, 1.0]], ['2, k, 3', [-0.223524, 0.0980117, 1.0]], ['2, k, 4', [-0.386834, -0.0962099, 1.0]], ['2, k, 5', [-0.510009, -0.0790709, 1.0]], ['2, k, 6', [-0.514919, -0.00808263, 1.0]], ['2, k, 7', [-0.508197, 0.0450965, 1.0]], ['2, k, 8', [-0.0812586, -0.101057, 1.0]], ['2, k, 9', [0.109395, -0.0852594, 1.0]], ['2, k, 10', [0.177299, -0.00189939, 1.0]], ['2, k, 11', [0.206828, 0.0471261, 1.0]], ['2, k, 12', [-0.30137, -0.624956, 1.0]], ['2, k, 13', [-0.354454, -1.01476, 1.0]], ['2, k, 14', [-0.378476, -1.40156, 1.0]], ['2, k, 15', [-0.374345, -1.44167, 1.0]], ['2, k, 16', [-0.147591, -0.625207, 1.0]], ['2, k, 17', [-0.10285, -1.03328, 1.0]], ['2, k, 18', [-0.0610974, -1.40714, 1.0]], ['2, k, 19', [-0.0492037, -1.44487, 1.0]], ['2, k, 20', [-0.242971, -0.1154, 1.0]], ['2, k, 21', [-0.449196, 0.049898, 1.0]], ['2, k, 22', [-0.465288, 0.028007, 1.0]], ['2, k, 23', [0.224072, 0.0658593, 1.0]], ['2, k, 24', [0.164283, 0.0533748, 1.0]]]
[['2, k, 0', [-0.227575, -0.633764, 1.0]], ['2, k, 1', [-0.235329, -0.336694, 1.0]], ['2, k, 2', [-0.244788, -0.0423754, 1.0]], ['2, k, 3', [-0.224393, 0.0835975, 1.0]], ['2, k, 4', [-0.386718, -0.0967734, 1.0]], ['2, k, 5', [-0.513843, -0.0640556, 1.0]], ['2, k, 6', [-0.519677, 0.0381553, 1.0]], ['2, k, 7', [-0.514655, 0.119471, 1.0]], ['2, k, 8', [-0.0815074, -0.100237, 1.0]], ['2, k, 9', [0.111088, -0.0332369, 1.0]], ['2, k, 10', [0.176692, 0.0656899, 1.0]], ['2, k, 11', [0.200086, 0.118129, 1.0]], ['2, k, 12', [-0.301446, -0.624739, 1.0]], ['2, k, 13', [-0.354451, -1.01415, 1.0]], ['2, k, 14', [-0.378541, -1.40212, 1.0]], ['2, k, 15', [-0.374181, -1.4423, 1.0]], ['2, k, 16', [-0.147447, -0.625078, 1.0]], ['2, k, 17', [-0.103382, -1.03035, 1.0]], ['2, k, 18', [-0.0612111, -1.39922, 1.0]], ['2, k, 19', [-0.0489735, -1.43631, 1.0]], ['2, k, 20', [-0.242968, -0.114225, 1.0]], ['2, k, 21', [-0.479505, 0.128017, 1.0]], ['2, k, 22', [-0.471351, 0.0978431, 1.0]], ['2, k, 23', [0.212318, 0.147981, 1.0]], ['2, k, 24', [0.152841, 0.12498, 1.0]]]
[['2, k, 0', [-0.227456, -0.631075, 1.0]], ['2, k, 1', [-0.235473, -0.332841, 1.0]], ['2, k, 2', [-0.244351, -0.0385861, 1.0]], ['2, k, 3', [-0.223473, 0.0879836, 1.0]], ['2, k, 4', [-0.386635, -0.0967199, 1.0]], ['2, k, 5', [-0.514686, -0.0418069, 1.0]], ['2, k, 6', [-0.522384, 0.0977774, 1.0]], ['2, k, 7', [-0.521197, 0.189505, 1.0]], ['2, k, 8', [-0.0798026, -0.0964606, 1.0]], ['2, k, 9', [0.110371, -0.0125968, 1.0]], ['2, k, 10', [0.171025, 0.13561, 1.0]], ['2, k, 11', [0.196183, 0.182712, 1.0]], ['2, k, 12', [-0.301693, -0.621798, 1.0]], ['2, k, 13', [-0.354558, -1.01309, 1.0]], ['2, k, 14', [-0.377117, -1.40031, 1.0]], ['2, k, 15', [-0.371916, -1.44052, 1.0]], ['2, k, 16', [-0.147018, -0.622857, 1.0]], ['2, k, 17', [-0.103237, -1.02955, 1.0]], ['2, k, 18', [-0.061152, -1.39917, 1.0]], ['2, k, 19', [-0.0483427, -1.43613, 1.0]], ['2, k, 20', [-0.242623, -0.11095, 1.0]], ['2, k, 21', [-0.489641, 0.207481, 1.0]], ['2, k, 22', [-0.46876, 0.177923, 1.0]], ['2, k, 23', [0.211861, 0.207105, 1.0]], ['2, k, 24', [0.150611, 0.196985, 1.0]]]
[['2, k, 0', [-0.227042, -0.629291, 1.0]], ['2, k, 1', [-0.235545, -0.33188, 1.0]], ['2, k, 2', [-0.244475, -0.0382988, 1.0]], ['2, k, 3', [-0.22263, 0.0891184, 1.0]], ['2, k, 4', [-0.386001, -0.0969457, 1.0]], ['2, k, 5', [-0.51991, -0.0118553, 1.0]], ['2, k, 6', [-0.524613, 0.180135, 1.0]], ['2, k, 7', [-0.527326, 0.251482, 1.0]], ['2, k, 8', [-0.0791218, -0.0946243, 1.0]], ['2, k, 9', [0.108664, 0.0178319, 1.0]], ['2, k, 10', [0.16445, 0.175183, 1.0]], ['2, k, 11', [0.189446, 0.241596, 1.0]], ['2, k, 12', [-0.301655, -0.619957, 1.0]], ['2, k, 13', [-0.354568, -1.01272, 1.0]], ['2, k, 14', [-0.377237, -1.40085, 1.0]], ['2, k, 15', [-0.372049, -1.44122, 1.0]], ['2, k, 16', [-0.146238, -0.62123, 1.0]], ['2, k, 17', [-0.103215, -1.02956, 1.0]], ['2, k, 18', [-0.0611034, -1.39923, 1.0]], ['2, k, 19', [-0.0483112, -1.43619, 1.0]], ['2, k, 20', [-0.24269, -0.110583, 1.0]], ['2, k, 21', [-0.521004, 0.281242, 1.0]], ['2, k, 22', [-0.470049, 0.262061, 1.0]], ['2, k, 23', [0.207735, 0.27359, 1.0]], ['2, k, 24', [0.155462, 0.255768, 1.0]]]
[['2, k, 0', [-0.226619, -0.624719, 1.0]], ['2, k, 1', [-0.23432, -0.329808, 1.0]], ['2, k, 2', [-0.241609, -0.0380315, 1.0]], ['2, k, 3', [-0.221334, 0.0924198, 1.0]], ['2, k, 4', [-0.385591, -0.0938698, 1.0]], ['2, k, 5', [-0.522436, 0.0167526, 1.0]], ['2, k, 6', [-0.528471, 0.226611, 1.0]], ['2, k, 7', [-0.531381, 0.306142, 1.0]], ['2, k, 8', [-0.0783118, -0.0889136, 1.0]], ['2, k, 9', [0.10936, 0.0479479, 1.0]], ['2, k, 10', [0.161837, 0.220675, 1.0]], ['2, k, 11', [0.179238, 0.296544, 1.0]], ['2, k, 12', [-0.30168, -0.615214, 1.0]], ['2, k, 13', [-0.354369, -1.01142, 1.0]], ['2, k, 14', [-0.37717, -1.40083, 1.0]], ['2, k, 15', [-0.371881, -1.44132, 1.0]], ['2, k, 16', [-0.145409, -0.617057, 1.0]], ['2, k, 17', [-0.102994, -1.02905, 1.0]], ['2, k, 18', [-0.061394, -1.40437, 1.0]], ['2, k, 19', [-0.0485932, -1.44194, 1.0]], ['2, k, 20', [-0.24029, -0.109955, 1.0]], ['2, k, 21', [-0.521706, 0.345809, 1.0]], ['2, k, 22', [-0.470828, 0.323567, 1.0]], ['2, k, 23', [0.199738, 0.329649, 1.0]], ['2, k, 24', [0.10557, 0.313091, 1.0]]]
[['2, k, 0', [-0.226625, -0.621429, 1.0]], ['2, k, 1', [-0.234018, -0.327249, 1.0]], ['2, k, 2', [-0.24098, -0.0367752, 1.0]], ['2, k, 3', [-0.221296, 0.0935568, 1.0]], ['2, k, 4', [-0.385356, -0.0910653, 1.0]], ['2, k, 5', [-0.526756, 0.0395621, 1.0]], ['2, k, 6', [-0.529658, 0.279289, 1.0]], ['2, k, 7', [-0.533875, 0.356355, 1.0]], ['2, k, 8', [-0.0785822, -0.0816335, 1.0]], ['2, k, 9', [0.113423, 0.0706177, 1.0]], ['2, k, 10', [0.157645, 0.26072, 1.0]], ['2, k, 11', [0.169742, 0.342425, 1.0]], ['2, k, 12', [-0.301566, -0.612246, 1.0]], ['2, k, 13', [-0.354484, -1.01067, 1.0]], ['2, k, 14', [-0.377605, -1.40305, 1.0]], ['2, k, 15', [-0.371823, -1.44395, 1.0]], ['2, k, 16', [-0.145533, -0.613584, 1.0]], ['2, k, 17', [-0.102947, -1.02828, 1.0]], ['2, k, 18', [-0.0615047, -1.40364, 1.0]], ['2, k, 19', [-0.0481594, -1.44112, 1.0]], ['2, k, 20', [-0.239676, -0.108499, 1.0]], ['2, k, 21', [-0.527801, 0.395704, 1.0]], ['2, k, 22', [-0.445107, 0.364759, 1.0]], ['2, k, 23', [0.188181, 0.380708, 1.0]], ['2, k, 24', [0.0873752, 0.357019, 1.0]]]
[['2, k, 0', [-0.227392, -0.617171, 1.0]], ['2, k, 1', [-0.234041, -0.324414, 1.0]], ['2, k, 2', [-0.240413, -0.0355034, 1.0]], ['2, k, 3', [-0.221202, 0.0935272, 1.0]], ['2, k, 4', [-0.385789, -0.087964, 1.0]], ['2, k, 5', [-0.533693, 0.0602672, 1.0]], ['2, k, 6', [-0.53077, 0.316421, 1.0]], ['2, k, 7', [-0.540434, 0.394016, 1.0]], ['2, k, 8', [-0.0775623, -0.0770632, 1.0]], ['2, k, 9', [0.119369, 0.0823854, 1.0]], ['2, k, 10', [0.152807, 0.313084, 1.0]], ['2, k, 11', [0.16537, 0.379305, 1.0]], ['2, k, 12', [-0.302266, -0.60819, 1.0]], ['2, k, 13', [-0.354249, -1.00832, 1.0]], ['2, k, 14', [-0.37751, -1.40346, 1.0]], ['2, k, 15', [-0.316203, -1.46771, 1.0]], ['2, k, 16', [-0.146332, -0.609247, 1.0]], ['2, k, 17', [-0.102715, -1.0262, 1.0]], ['2, k, 18', [-0.061749, -1.40276, 1.0]], ['2, k, 19', [-0.0487407, -1.44047, 1.0]], ['2, k, 20', [-0.239183, -0.10696, 1.0]], ['2, k, 21', [-0.540298, 0.439738, 1.0]], ['2, k, 22', [-0.458004, 0.407518, 1.0]], ['2, k, 23', [0.180458, 0.423156, 1.0]], ['2, k, 24', [0.103589, 0.401555, 1.0]]]
[['2, k, 0', [-0.227312, -0.611952, 1.0]], ['2, k, 1', [-0.234277, -0.320387, 1.0]], ['2, k, 2', [-0.24056, -0.033144, 1.0]], ['2, k, 3', [-0.221034, 0.0931651, 1.0]], ['2, k, 4', [-0.386887, -0.0856324, 1.0]], ['2, k, 5', [-0.53932, 0.0812875, 1.0]], ['2, k, 6', [-0.539349, 0.353371, 1.0]], ['2, k, 7', [-0.547259, 0.425119, 1.0]], ['2, k, 8', [-0.0757798, -0.0726065, 1.0]], ['2, k, 9', [0.121831, 0.0972532, 1.0]], ['2, k, 10', [0.147655, 0.340989, 1.0]], ['2, k, 11', [0.160884, 0.411539, 1.0]], ['2, k, 12', [-0.302431, -0.602578, 1.0]], ['2, k, 13', [-0.354407, -1.00626, 1.0]], ['2, k, 14', [-0.377896, -1.4018, 1.0]], ['2, k, 15', [-0.347503, -1.48033, 1.0]], ['2, k, 16', [-0.14602, -0.604554, 1.0]], ['2, k, 17', [-0.102823, -1.02349, 1.0]], ['2, k, 18', [-0.0612903, -1.40049, 1.0]], ['2, k, 19', [-0.0485347, -1.43835, 1.0]], ['2, k, 20', [-0.239322, -0.104251, 1.0]], ['2, k, 21', [-0.547254, 0.476996, 1.0]], ['2, k, 22', [-0.467277, 0.438981, 1.0]], ['2, k, 23', [0.17726, 0.461189, 1.0]], ['2, k, 24', [0.0890024, 0.430378, 1.0]]]
[['2, k, 0', [-0.227988, -0.60774, 1.0]], ['2, k, 1', [-0.233946, -0.317607, 1.0]], ['2, k, 2', [-0.239463, -0.0317034, 1.0]], ['2, k, 3', [-0.220706, 0.0928463, 1.0]], ['2, k, 4', [-0.389135, -0.0824762, 1.0]], ['2, k, 5', [-0.544149, 0.0973893, 1.0]], ['2, k, 6', [-0.549789, 0.380545, 1.0]], ['2, k, 7', [-0.553194, 0.453063, 1.0]], ['2, k, 8', [-0.074232, -0.0696778, 1.0]], ['2, k, 9', [0.0970847, 0.0970227, 1.0]], ['2, k, 10', [0.144037, 0.377113, 1.0]], ['2, k, 11', [0.153809, 0.433363, 1.0]], ['2, k, 12', [-0.302958, -0.598056, 1.0]], ['2, k, 13', [-0.354216, -1.00468, 1.0]], ['2, k, 14', [-0.378135, -1.40214, 1.0]], ['2, k, 15', [-0.374131, -1.44352, 1.0]], ['2, k, 16', [-0.146786, -0.600761, 1.0]], ['2, k, 17', [-0.102955, -1.02312, 1.0]], ['2, k, 18', [-0.0613134, -1.40047, 1.0]], ['2, k, 19', [-0.0493161, -1.43862, 1.0]], ['2, k, 20', [-0.238357, -0.102519, 1.0]], ['2, k, 21', [-0.550442, 0.509311, 1.0]], ['2, k, 22', [-0.471544, 0.468951, 1.0]], ['2, k, 23', [0.173623, 0.484805, 1.0]], ['2, k, 24', [0.0674711, 0.455771, 1.0]]]
[['2, k, 0', [-0.228705, -0.605822, 1.0]], ['2, k, 1', [-0.233945, -0.316161, 1.0]], ['2, k, 2', [-0.238929, -0.0308415, 1.0]], ['2, k, 3', [-0.220042, 0.0924289, 1.0]], ['2, k, 4', [-0.391506, -0.0808729, 1.0]], ['2, k, 5', [-0.550728, 0.109339, 1.0]], ['2, k, 6', [-0.557554, 0.394278, 1.0]], ['2, k, 7', [-0.56167, 0.469349, 1.0]], ['2, k, 8', [-0.0735878, -0.071642, 1.0]], ['2, k, 9', [0.111808, 0.108069, 1.0]], ['2, k, 10', [0.138236, 0.368727, 1.0]], ['2, k, 11', [0.148542, 0.44921, 1.0]], ['2, k, 12', [-0.303657, -0.596234, 1.0]], ['2, k, 13', [-0.354218, -1.00257, 1.0]], ['2, k, 14', [-0.378002, -1.40211, 1.0]], ['2, k, 15', [-0.374289, -1.44379, 1.0]], ['2, k, 16', [-0.147485, -0.598795, 1.0]], ['2, k, 17', [-0.103066, -1.02109, 1.0]], ['2, k, 18', [-0.0613773, -1.40029, 1.0]], ['2, k, 19', [-0.0495702, -1.43902, 1.0]], ['2, k, 20', [-0.237922, -0.101535, 1.0]], ['2, k, 21', [-0.557291, 0.524939, 1.0]], ['2, k, 22', [-0.483691, 0.487795, 1.0]], ['2, k, 23', [0.163761, 0.507906, 1.0]], ['2, k, 24', [0.097023, 0.484265, 1.0]]]
[['2, k, 0', [-0.228896, -0.60487, 1.0]], ['2, k, 1', [-0.234131, -0.31607, 1.0]], ['2, k, 2', [-0.239128, -0.031196, 1.0]], ['2, k, 3', [-0.219401, 0.0926386, 1.0]], ['2, k, 4', [-0.391767, -0.0810288, 1.0]], ['2, k, 5', [-0.55529, 0.118528, 1.0]], ['2, k, 6', [-0.565494, 0.399082, 1.0]], ['2, k, 7', [-0.569797, 0.478122, 1.0]], ['2, k, 8', [-0.0730547, -0.0727836, 1.0]], ['2, k, 9', [0.104187, 0.11047, 1.0]], ['2, k, 10', [0.134982, 0.363898, 1.0]], ['2, k, 11', [0.141069, 0.460771, 1.0]], ['2, k, 12', [-0.303964, -0.595425, 1.0]], ['2, k, 13', [-0.354318, -1.0021, 1.0]], ['2, k, 14', [-0.377967, -1.40197, 1.0]], ['2, k, 15', [-0.374097, -1.4438, 1.0]], ['2, k, 16', [-0.147535, -0.597707, 1.0]], ['2, k, 17', [-0.102986, -1.01863, 1.0]], ['2, k, 18', [-0.0612087, -1.40056, 1.0]], ['2, k, 19', [-0.0491686, -1.43975, 1.0]], ['2, k, 20', [-0.238055, -0.101694, 1.0]], ['2, k, 21', [-0.561101, 0.537142, 1.0]], ['2, k, 22', [-0.495487, 0.497871, 1.0]], ['2, k, 23', [0.15617, 0.522091, 1.0]], ['2, k, 24', [0.0920801, 0.498319, 1.0]]]
[['2, k, 0', [-0.228509, -0.602794, 1.0]], ['2, k, 1', [-0.234093, -0.315806, 1.0]], ['2, k, 2', [-0.239104, -0.0317494, 1.0]], ['2, k, 3', [-0.218985, 0.092423, 1.0]], ['2, k, 4', [-0.392231, -0.0808235, 1.0]], ['2, k, 5', [-0.559982, 0.123612, 1.0]], ['2, k, 6', [-0.572762, 0.401975, 1.0]], ['2, k, 7', [-0.577281, 0.485035, 1.0]], ['2, k, 8', [-0.0721852, -0.0713872, 1.0]], ['2, k, 9', [0.101392, 0.107214, 1.0]], ['2, k, 10', [0.127948, 0.361991, 1.0]], ['2, k, 11', [0.133303, 0.463299, 1.0]], ['2, k, 12', [-0.303762, -0.593883, 1.0]], ['2, k, 13', [-0.35415, -1.00059, 1.0]], ['2, k, 14', [-0.377344, -1.40051, 1.0]], ['2, k, 15', [-0.373224, -1.44236, 1.0]], ['2, k, 16', [-0.146936, -0.595074, 1.0]], ['2, k, 17', [-0.102771, -1.01557, 1.0]], ['2, k, 18', [-0.061757, -1.3979, 1.0]], ['2, k, 19', [-0.0495306, -1.43752, 1.0]], ['2, k, 20', [-0.238041, -0.101957, 1.0]], ['2, k, 21', [-0.570655, 0.545922, 1.0]], ['2, k, 22', [-0.502684, 0.505099, 1.0]], ['2, k, 23', [0.148681, 0.526196, 1.0]], ['2, k, 24', [0.0867115, 0.501403, 1.0]]]
[['2, k, 0', [-0.22858, -0.602165, 1.0]], ['2, k, 1', [-0.23354, -0.3146, 1.0]], ['2, k, 2', [-0.23786, -0.0305685, 1.0]], ['2, k, 3', [-0.218644, 0.0922293, 1.0]], ['2, k, 4', [-0.392454, -0.0807205, 1.0]], ['2, k, 5', [-0.563081, 0.125411, 1.0]], ['2, k, 6', [-0.578434, 0.405807, 1.0]], ['2, k, 7', [-0.582815, 0.491105, 1.0]], ['2, k, 8', [-0.0717566, -0.0709046, 1.0]], ['2, k, 9', [0.0989832, 0.104804, 1.0]], ['2, k, 10', [0.126578, 0.366153, 1.0]], ['2, k, 11', [0.127233, 0.465969, 1.0]], ['2, k, 12', [-0.303865, -0.593446, 1.0]], ['2, k, 13', [-0.354129, -1.00029, 1.0]], ['2, k, 14', [-0.37528, -1.40478, 1.0]], ['2, k, 15', [-0.370568, -1.44736, 1.0]], ['2, k, 16', [-0.146964, -0.59425, 1.0]], ['2, k, 17', [-0.102838, -1.01473, 1.0]], ['2, k, 18', [-0.0618506, -1.39793, 1.0]], ['2, k, 19', [-0.0493284, -1.43782, 1.0]], ['2, k, 20', [-0.237009, -0.100832, 1.0]], ['2, k, 21', [-0.575975, 0.553135, 1.0]], ['2, k, 22', [-0.506012, 0.511705, 1.0]], ['2, k, 23', [0.139616, 0.531255, 1.0]], ['2, k, 24', [0.0897909, 0.506448, 1.0]]]
[['2, k, 0', [-0.228972, -0.599461, 1.0]], ['2, k, 1', [-0.233578, -0.314174, 1.0]], ['2, k, 2', [-0.237704, -0.0310523, 1.0]], ['2, k, 3', [-0.217381, 0.0918921, 1.0]], ['2, k, 4', [-0.39929, -0.0667006, 1.0]], ['2, k, 5', [-0.56982, 0.127694, 1.0]], ['2, k, 6', [-0.582984, 0.410884, 1.0]], ['2, k, 7', [-0.588752, 0.493538, 1.0]], ['2, k, 8', [-0.0710987, -0.0693694, 1.0]], ['2, k, 9', [0.0992551, 0.106679, 1.0]], ['2, k, 10', [0.124383, 0.368386, 1.0]], ['2, k, 11', [0.120923, 0.469161, 1.0]], ['2, k, 12', [-0.304233, -0.590571, 1.0]], ['2, k, 13', [-0.354029, -0.999329, 1.0]], ['2, k, 14', [-0.375689, -1.40575, 1.0]], ['2, k, 15', [-0.374134, -1.44835, 1.0]], ['2, k, 16', [-0.14737, -0.591797, 1.0]], ['2, k, 17', [-0.103099, -1.01403, 1.0]], ['2, k, 18', [-0.0616061, -1.39863, 1.0]], ['2, k, 19', [-0.0519609, -1.43906, 1.0]], ['2, k, 20', [-0.236951, -0.100976, 1.0]], ['2, k, 21', [-0.572136, 0.559695, 1.0]], ['2, k, 22', [-0.513651, 0.512846, 1.0]], ['2, k, 23', [0.133628, 0.53586, 1.0]], ['2, k, 24', [0.0690342, 0.505718, 1.0]]]
[['2, k, 0', [-0.228237, -0.598347, 1.0]], ['2, k, 1', [-0.231712, -0.31226, 1.0]], ['2, k, 2', [-0.234486, -0.0293356, 1.0]], ['2, k, 3', [-0.217251, 0.0917278, 1.0]], ['2, k, 4', [-0.39808, -0.0696933, 1.0]], ['2, k, 5', [-0.572251, 0.129647, 1.0]], ['2, k, 6', [-0.585007, 0.413467, 1.0]], ['2, k, 7', [-0.592046, 0.49344, 1.0]], ['2, k, 8', [-0.0707802, -0.0684102, 1.0]], ['2, k, 9', [0.0986987, 0.105297, 1.0]], ['2, k, 10', [0.12299, 0.369998, 1.0]], ['2, k, 11', [0.116396, 0.469155, 1.0]], ['2, k, 12', [-0.303662, -0.589625, 1.0]], ['2, k, 13', [-0.353959, -0.996933, 1.0]], ['2, k, 14', [-0.377245, -1.4102, 1.0]], ['2, k, 15', [-0.312934, -1.47137, 1.0]], ['2, k, 16', [-0.14649, -0.59055, 1.0]], ['2, k, 17', [-0.103305, -1.01387, 1.0]], ['2, k, 18', [-0.0617769, -1.39597, 1.0]], ['2, k, 19', [-0.0513925, -1.43627, 1.0]], ['2, k, 20', [-0.234111, -0.0992734, 1.0]], ['2, k, 21', [-0.586847, 0.555049, 1.0]], ['2, k, 22', [-0.514465, 0.512232, 1.0]], ['2, k, 23', [0.124761, 0.538999, 1.0]], ['2, k, 24', [0.0693056, 0.505328, 1.0]]]
[['2, k, 0', [-0.228142, -0.597885, 1.0]], ['2, k, 1', [-0.231806, -0.312287, 1.0]], ['2, k, 2', [-0.234922, -0.0302427, 1.0]], ['2, k, 3', [-0.21725, 0.0915979, 1.0]], ['2, k, 4', [-0.397612, -0.0711899, 1.0]], ['2, k, 5', [-0.574853, 0.131348, 1.0]], ['2, k, 6', [-0.587901, 0.4144, 1.0]], ['2, k, 7', [-0.594326, 0.493994, 1.0]], ['2, k, 8', [-0.0704992, -0.0675164, 1.0]], ['2, k, 9', [0.0975606, 0.10514, 1.0]], ['2, k, 10', [0.122062, 0.371211, 1.0]], ['2, k, 11', [0.114148, 0.471796, 1.0]], ['2, k, 12', [-0.303489, -0.589065, 1.0]], ['2, k, 13', [-0.353837, -0.996708, 1.0]], ['2, k, 14', [-0.377166, -1.41048, 1.0]], ['2, k, 15', [-0.360019, -1.48763, 1.0]], ['2, k, 16', [-0.146465, -0.590194, 1.0]], ['2, k, 17', [-0.103358, -1.01419, 1.0]], ['2, k, 18', [-0.0615498, -1.39664, 1.0]], ['2, k, 19', [-0.0506146, -1.43721, 1.0]], ['2, k, 20', [-0.234383, -0.0997987, 1.0]], ['2, k, 21', [-0.582792, 0.559692, 1.0]], ['2, k, 22', [-0.516491, 0.513078, 1.0]], ['2, k, 23', [0.122068, 0.543177, 1.0]], ['2, k, 24', [0.0627743, 0.502355, 1.0]]]
