[['2, k, 0', [-0.183157, -0.751792, 1.0]], ['2, k, 1', [-0.187714, -0.45569, 1.0]], ['2, k, 2', [-0.191201, -0.164118, 1.0]], ['2, k, 3', [-0.18545, -0.0201523, 1.0]], ['2, k, 4', [-0.378939, -0.256444, 1.0]], ['2, k, 5', [-0.514299, -0.435918, 1.0]], ['2, k, 6', [-0.421637, -0.578705, 1.0]], ['2, k, 7', [-0.370525, -0.611462, 1.0]], ['2, k, 8', [0.00523713, -0.264207, 1.0]], ['2, k, 9', [0.130068, -0.419135, 1.0]], ['2, k, 10', [0.0615509, -0.577863, 1.0]], ['2, k, 11', [0.0202356, -0.609867, 1.0]], ['2, k, 12', [-0.268298, -0.740142, 1.0]], ['2, k, 13', [-0.325619, -1.05925, 1.0]], ['2, k, 14', [-0.340332, -1.4048, 1.0]], ['2, k, 15', [-0.290685, -1.50243, 1.0]], ['2, k, 16', [-0.0932107, -0.743777, 1.0]], ['2, k, 17', [-0.0545653, -1.07704, 1.0]], ['2, k, 18', [-0.0331566, -1.42159, 1.0]], ['2, k, 19', [-0.0732439, -1.49181, 1.0]], ['2, k, 20', [-0.190515, -0.236453, 1.0]], ['2, k, 21', [-0.327925, -0.676691, 1.0]], ['2, k, 22', [-0.329085, -0.561052, 1.0]], ['2, k, 23', [-0.0026192, -0.681387, 1.0]], ['2, k, 24', [-0.00586467, -0.574251, 1.0]]]
[['2, k, 0', [-0.198095, -0.750642, 1.0]], ['2, k, 1', [-0.19421, -0.466072, 1.0]], ['2, k, 2', [-0.18008, -0.18486, 1.0]], ['2, k, 3', [-0.191421, -0.0564074, 1.0]], ['2, k, 4', [-0.38773, -0.297297, 1.0]], ['2, k, 5', [-0.502376, -0.478154, 1.0]], ['2, k, 6', [-0.440769, -0.592335, 1.0]], ['2, k, 7', [-0.369628, -0.612545, 1.0]], ['2, k, 8', [-0.000547277, -0.286923, 1.0]], ['2, k, 9', [0.147235, -0.440362, 1.0]], ['2, k, 10', [0.0595599, -0.583934, 1.0]], ['2, k, 11', [0.0017038, -0.616943, 1.0]], ['2, k, 12', [-0.277468, -0.746705, 1.0]], ['2, k, 13', [-0.32599, -1.06158, 1.0]], ['2, k, 14', [-0.335066, -1.41652, 1.0]], ['2, k, 15', [-0.364526, -1.47663, 1.0]], ['2, k, 16', [-0.112853, -0.733958, 1.0]], ['2, k, 17', [-0.0692765, -1.05793, 1.0]], ['2, k, 18', [-0.0382814, -1.41879, 1.0]], ['2, k, 19', [-0.0540012, -1.4959, 1.0]], ['2, k, 20', [-0.185535, -0.254951, 1.0]], ['2, k, 21', [-0.328885, -0.657778, 1.0]], ['2, k, 22', [-0.326368, -0.557182, 1.0]], ['2, k, 23', [-0.0339006, -0.685849, 1.0]], ['2, k, 24', [-0.0363248, -0.568051, 1.0]]]
[['2, k, 0', [-0.190957, -0.748325, 1.0]], ['2, k, 1', [-0.19114, -0.464195, 1.0]], ['2, k, 2', [-0.181457, -0.183555, 1.0]], ['2, k, 3', [-0.195607, -0.0547486, 1.0]], ['2, k, 4', [-0.387183, -0.29675, 1.0]], ['2, k, 5', [-0.50013, -0.478167, 1.0]], ['2, k, 6', [-0.411991, -0.59492, 1.0]], ['2, k, 7', [-0.357735, -0.613689, 1.0]], ['2, k, 8', [0.00187426, -0.281862, 1.0]], ['2, k, 9', [0.151557, -0.433977, 1.0]], ['2, k, 10', [0.0675476, -0.577163, 1.0]], ['2, k, 11', [0.0111542, -0.609211, 1.0]], ['2, k, 12', [-0.271344, -0.745015, 1.0]], ['2, k, 13', [-0.316381, -1.0574, 1.0]], ['2, k, 14', [-0.334365, -1.41747, 1.0]], ['2, k, 15', [-0.365685, -1.47699, 1.0]], ['2, k, 16', [-0.105018, -0.731065, 1.0]], ['2, k, 17', [-0.0605789, -1.05792, 1.0]], ['2, k, 18', [-0.0380731, -1.42078, 1.0]], ['2, k, 19', [-0.00158487, -1.47588, 1.0]], ['2, k, 20', [-0.185528, -0.253638, 1.0]], ['2, k, 21', [-0.316238, -0.661393, 1.0]], ['2, k, 22', [-0.317822, -0.559767, 1.0]], ['2, k, 23', [-0.032457, -0.67014, 1.0]], ['2, k, 24', [-0.0294793, -0.555005, 1.0]]]
[['2, k, 0', [-0.180391, -0.747244, 1.0]], ['2, k, 1', [-0.186888, -0.462339, 1.0]], ['2, k, 2', [-0.18321, -0.181271, 1.0]], ['2, k, 3', [-0.199969, -0.0514754, 1.0]], ['2, k, 4', [-0.38517, -0.302508, 1.0]], ['2, k, 5', [-0.497206, -0.478181, 1.0]], ['2, k, 6', [-0.408869, -0.594702, 1.0]], ['2, k, 7', [-0.353405, -0.612301, 1.0]], ['2, k, 8', [0.0032805, -0.277401, 1.0]], ['2, k, 9', [0.155574, -0.4228, 1.0]], ['2, k, 10', [0.069914, -0.575735, 1.0]], ['2, k, 11', [0.014482, -0.611398, 1.0]], ['2, k, 12', [-0.262408, -0.744833, 1.0]], ['2, k, 13', [-0.309283, -1.05675, 1.0]], ['2, k, 14', [-0.335262, -1.41309, 1.0]], ['2, k, 15', [-0.366231, -1.4717, 1.0]], ['2, k, 16', [-0.0929804, -0.729026, 1.0]], ['2, k, 17', [-0.0525855, -1.0579, 1.0]], ['2, k, 18', [-0.0367241, -1.42251, 1.0]], ['2, k, 19', [-7.54595e-05, -1.47565, 1.0]], ['2, k, 20', [-0.185398, -0.251511, 1.0]], ['2, k, 21', [-0.309765, -0.665129, 1.0]], ['2, k, 22', [-0.315986, -0.565524, 1.0]], ['2, k, 23', [-0.0300042, -0.6691, 1.0]], ['2, k, 24', [-0.0280811, -0.55475, 1.0]]]
[['2, k, 0', [-0.167874, -0.746386, 1.0]], ['2, k, 1', [-0.182791, -0.4615, 1.0]], ['2, k, 2', [-0.184922, -0.180484, 1.0]], ['2, k, 3', [-0.203385, -0.0488343, 1.0]], ['2, k, 4', [-0.384539, -0.304555, 1.0]], ['2, k, 5', [-0.494635, -0.480879, 1.0]], ['2, k, 6', [-0.405846, -0.594508, 1.0]], ['2, k, 7', [-0.332285, -0.625162, 1.0]], ['2, k, 8', [0.00493697, -0.273201, 1.0]], ['2, k, 9', [0.157882, -0.416457, 1.0]], ['2, k, 10', [0.0703925, -0.575862, 1.0]], ['2, k, 11', [0.0202287, -0.614271, 1.0]], ['2, k, 12', [-0.251029, -0.74505, 1.0]], ['2, k, 13', [-0.303366, -1.05962, 1.0]], ['2, k, 14', [-0.334835, -1.41272, 1.0]], ['2, k, 15', [-0.365956, -1.46962, 1.0]], ['2, k, 16', [-0.0797577, -0.72711, 1.0]], ['2, k, 17', [-0.0462627, -1.05827, 1.0]], ['2, k, 18', [-0.0356798, -1.42431, 1.0]], ['2, k, 19', [-0.0559235, -1.49518, 1.0]], ['2, k, 20', [-0.185397, -0.250718, 1.0]], ['2, k, 21', [-0.290928, -0.675605, 1.0]], ['2, k, 22', [-0.291872, -0.570514, 1.0]], ['2, k, 23', [-0.023663, -0.668646, 1.0]], ['2, k, 24', [-0.0235558, -0.554329, 1.0]]]
[['2, k, 0', [-0.154973, -0.74561, 1.0]], ['2, k, 1', [-0.178364, -0.460707, 1.0]], ['2, k, 2', [-0.18704, -0.179702, 1.0]], ['2, k, 3', [-0.208578, -0.0461662, 1.0]], ['2, k, 4', [-0.384061, -0.306817, 1.0]], ['2, k, 5', [-0.490948, -0.484866, 1.0]], ['2, k, 6', [-0.404241, -0.598156, 1.0]], ['2, k, 7', [-0.345284, -0.610334, 1.0]], ['2, k, 8', [0.00647394, -0.269469, 1.0]], ['2, k, 9', [0.161547, -0.407334, 1.0]], ['2, k, 10', [0.103559, -0.563722, 1.0]], ['2, k, 11', [0.0544153, -0.605646, 1.0]], ['2, k, 12', [-0.238757, -0.745118, 1.0]], ['2, k, 13', [-0.297614, -1.05893, 1.0]], ['2, k, 14', [-0.33517, -1.41238, 1.0]], ['2, k, 15', [-0.292933, -1.49444, 1.0]], ['2, k, 16', [-0.0667379, -0.725587, 1.0]], ['2, k, 17', [-0.0339918, -1.05906, 1.0]], ['2, k, 18', [-0.0355627, -1.4267, 1.0]], ['2, k, 19', [-0.0795321, -1.48703, 1.0]], ['2, k, 20', [-0.185604, -0.249952, 1.0]], ['2, k, 21', [-0.299493, -0.663018, 1.0]], ['2, k, 22', [-0.302406, -0.560544, 1.0]], ['2, k, 23', [0.031847, -0.676638, 1.0]], ['2, k, 24', [0.0198135, -0.563342, 1.0]]]
[['2, k, 0', [-0.1468, -0.747215, 1.0]], ['2, k, 1', [-0.174342, -0.46054, 1.0]], ['2, k, 2', [-0.188024, -0.178632, 1.0]], ['2, k, 3', [-0.212061, -0.045169, 1.0]], ['2, k, 4', [-0.382703, -0.307747, 1.0]], ['2, k, 5', [-0.48831, -0.486046, 1.0]], ['2, k, 6', [-0.398897, -0.600651, 1.0]], ['2, k, 7', [-0.34014, -0.611593, 1.0]], ['2, k, 8', [0.00497903, -0.270302, 1.0]], ['2, k, 9', [0.165549, -0.398133, 1.0]], ['2, k, 10', [0.108152, -0.553141, 1.0]], ['2, k, 11', [0.0664005, -0.59397, 1.0]], ['2, k, 12', [-0.231638, -0.746363, 1.0]], ['2, k, 13', [-0.292838, -1.05979, 1.0]], ['2, k, 14', [-0.334936, -1.41266, 1.0]], ['2, k, 15', [-0.289691, -1.49936, 1.0]], ['2, k, 16', [-0.0577647, -0.727661, 1.0]], ['2, k, 17', [-0.0269663, -1.05935, 1.0]], ['2, k, 18', [-0.0350783, -1.42704, 1.0]], ['2, k, 19', [-0.0731003, -1.48233, 1.0]], ['2, k, 20', [-0.185259, -0.24909, 1.0]], ['2, k, 21', [-0.291367, -0.664072, 1.0]], ['2, k, 22', [-0.301361, -0.562762, 1.0]], ['2, k, 23', [0.0442673, -0.663836, 1.0]], ['2, k, 24', [0.0263551, -0.557769, 1.0]]]
[['2, k, 0', [-0.138671, -0.747063, 1.0]], ['2, k, 1', [-0.169938, -0.460337, 1.0]], ['2, k, 2', [-0.188274, -0.178392, 1.0]], ['2, k, 3', [-0.216076, -0.0447856, 1.0]], ['2, k, 4', [-0.380702, -0.307904, 1.0]], ['2, k, 5', [-0.481918, -0.49038, 1.0]], ['2, k, 6', [-0.387439, -0.604538, 1.0]], ['2, k, 7', [-0.329387, -0.615003, 1.0]], ['2, k, 8', [0.00587078, -0.263154, 1.0]], ['2, k, 9', [0.167366, -0.394176, 1.0]], ['2, k, 10', [0.113439, -0.550923, 1.0]], ['2, k, 11', [0.0735124, -0.593696, 1.0]], ['2, k, 12', [-0.223552, -0.746785, 1.0]], ['2, k, 13', [-0.286032, -1.05971, 1.0]], ['2, k, 14', [-0.335364, -1.41186, 1.0]], ['2, k, 15', [-0.297056, -1.49891, 1.0]], ['2, k, 16', [-0.0499639, -0.726981, 1.0]], ['2, k, 17', [-0.0205005, -1.05991, 1.0]], ['2, k, 18', [-0.0326041, -1.42063, 1.0]], ['2, k, 19', [0.00771306, -1.46989, 1.0]], ['2, k, 20', [-0.184435, -0.248759, 1.0]], ['2, k, 21', [-0.280991, -0.663949, 1.0]], ['2, k, 22', [-0.289346, -0.563222, 1.0]], ['2, k, 23', [0.0600906, -0.665012, 1.0]], ['2, k, 24', [0.0308048, -0.556903, 1.0]]]
[['2, k, 0', [-0.130133, -0.749688, 1.0]], ['2, k, 1', [-0.166445, -0.460968, 1.0]], ['2, k, 2', [-0.188856, -0.178295, 1.0]], ['2, k, 3', [-0.21928, -0.0445161, 1.0]], ['2, k, 4', [-0.378894, -0.308156, 1.0]], ['2, k, 5', [-0.475676, -0.497826, 1.0]], ['2, k, 6', [-0.37575, -0.609716, 1.0]], ['2, k, 7', [-0.326956, -0.615869, 1.0]], ['2, k, 8', [0.00651849, -0.259392, 1.0]], ['2, k, 9', [0.171551, -0.38767, 1.0]], ['2, k, 10', [0.118148, -0.544907, 1.0]], ['2, k, 11', [0.0863476, -0.583478, 1.0]], ['2, k, 12', [-0.214597, -0.750513, 1.0]], ['2, k, 13', [-0.278931, -1.062, 1.0]], ['2, k, 14', [-0.336112, -1.41067, 1.0]], ['2, k, 15', [-0.297687, -1.49406, 1.0]], ['2, k, 16', [-0.0420644, -0.728543, 1.0]], ['2, k, 17', [-0.00997516, -1.05928, 1.0]], ['2, k, 18', [-0.0307209, -1.42022, 1.0]], ['2, k, 19', [-0.055984, -1.47627, 1.0]], ['2, k, 20', [-0.184116, -0.248726, 1.0]], ['2, k, 21', [-0.27865, -0.668518, 1.0]], ['2, k, 22', [-0.289443, -0.565282, 1.0]], ['2, k, 23', [0.0774753, -0.658094, 1.0]], ['2, k, 24', [0.0463564, -0.562575, 1.0]]]
[['2, k, 0', [-0.123893, -0.75166, 1.0]], ['2, k, 1', [-0.16322, -0.461957, 1.0]], ['2, k, 2', [-0.189497, -0.178546, 1.0]], ['2, k, 3', [-0.221897, -0.044513, 1.0]], ['2, k, 4', [-0.377029, -0.308935, 1.0]], ['2, k, 5', [-0.47135, -0.50016, 1.0]], ['2, k, 6', [-0.370928, -0.614143, 1.0]], ['2, k, 7', [-0.322396, -0.617312, 1.0]], ['2, k, 8', [0.00766576, -0.255231, 1.0]], ['2, k, 9', [0.173078, -0.381146, 1.0]], ['2, k, 10', [0.125855, -0.542104, 1.0]], ['2, k, 11', [0.0927428, -0.586172, 1.0]], ['2, k, 12', [-0.208618, -0.753314, 1.0]], ['2, k, 13', [-0.270988, -1.06221, 1.0]], ['2, k, 14', [-0.336566, -1.41036, 1.0]], ['2, k, 15', [-0.347412, -1.47656, 1.0]], ['2, k, 16', [-0.0357263, -0.729617, 1.0]], ['2, k, 17', [-0.00470127, -1.05749, 1.0]], ['2, k, 18', [-0.0297017, -1.41786, 1.0]], ['2, k, 19', [-0.0546123, -1.47065, 1.0]], ['2, k, 20', [-0.184009, -0.248913, 1.0]], ['2, k, 21', [-0.274082, -0.669704, 1.0]], ['2, k, 22', [-0.283333, -0.566312, 1.0]], ['2, k, 23', [0.0823667, -0.658753, 1.0]], ['2, k, 24', [0.0536995, -0.56094, 1.0]]]
[['2, k, 0', [-0.118126, -0.752296, 1.0]], ['2, k, 1', [-0.160394, -0.462519, 1.0]], ['2, k, 2', [-0.190275, -0.178822, 1.0]], ['2, k, 3', [-0.224387, -0.0443408, 1.0]], ['2, k, 4', [-0.377058, -0.308972, 1.0]], ['2, k, 5', [-0.469094, -0.503494, 1.0]], ['2, k, 6', [-0.363447, -0.616107, 1.0]], ['2, k, 7', [-0.305182, -0.627227, 1.0]], ['2, k, 8', [0.00880046, -0.253182, 1.0]], ['2, k, 9', [0.176469, -0.37603, 1.0]], ['2, k, 10', [0.130374, -0.53969, 1.0]], ['2, k, 11', [0.0990479, -0.584233, 1.0]], ['2, k, 12', [-0.203329, -0.754407, 1.0]], ['2, k, 13', [-0.266548, -1.06331, 1.0]], ['2, k, 14', [-0.337259, -1.40666, 1.0]], ['2, k, 15', [-0.27897, -1.48872, 1.0]], ['2, k, 16', [-0.0296855, -0.729774, 1.0]], ['2, k, 17', [-0.000496114, -1.05962, 1.0]], ['2, k, 18', [-0.0293112, -1.41771, 1.0]], ['2, k, 19', [-0.00239191, -1.47553, 1.0]], ['2, k, 20', [-0.183855, -0.249128, 1.0]], ['2, k, 21', [-0.260452, -0.681502, 1.0]], ['2, k, 22', [-0.263572, -0.586698, 1.0]], ['2, k, 23', [0.0898035, -0.653767, 1.0]], ['2, k, 24', [0.0601179, -0.557341, 1.0]]]
[['2, k, 0', [-0.115638, -0.75284, 1.0]], ['2, k, 1', [-0.159253, -0.463331, 1.0]], ['2, k, 2', [-0.192048, -0.180295, 1.0]], ['2, k, 3', [-0.225949, -0.0442349, 1.0]], ['2, k, 4', [-0.377092, -0.308929, 1.0]], ['2, k, 5', [-0.46512, -0.506359, 1.0]], ['2, k, 6', [-0.356663, -0.619859, 1.0]], ['2, k, 7', [-0.294203, -0.633719, 1.0]], ['2, k, 8', [0.00925284, -0.249948, 1.0]], ['2, k, 9', [0.177392, -0.373365, 1.0]], ['2, k, 10', [0.130459, -0.543987, 1.0]], ['2, k, 11', [0.0997619, -0.590528, 1.0]], ['2, k, 12', [-0.200402, -0.755061, 1.0]], ['2, k, 13', [-0.261256, -1.06232, 1.0]], ['2, k, 14', [-0.337326, -1.40635, 1.0]], ['2, k, 15', [-0.282158, -1.49011, 1.0]], ['2, k, 16', [-0.0277234, -0.730288, 1.0]], ['2, k, 17', [0.00291076, -1.06038, 1.0]], ['2, k, 18', [-0.029056, -1.41762, 1.0]], ['2, k, 19', [-0.0537672, -1.46364, 1.0]], ['2, k, 20', [-0.184351, -0.250142, 1.0]], ['2, k, 21', [-0.249284, -0.695614, 1.0]], ['2, k, 22', [-0.25601, -0.590252, 1.0]], ['2, k, 23', [0.0820457, -0.660503, 1.0]], ['2, k, 24', [0.0597491, -0.559359, 1.0]]]
[['2, k, 0', [-0.112204, -0.754044, 1.0]], ['2, k, 1', [-0.157536, -0.464119, 1.0]], ['2, k, 2', [-0.192649, -0.180803, 1.0]], ['2, k, 3', [-0.226889, -0.043996, 1.0]], ['2, k, 4', [-0.376989, -0.309072, 1.0]], ['2, k, 5', [-0.463628, -0.506632, 1.0]], ['2, k, 6', [-0.350838, -0.619601, 1.0]], ['2, k, 7', [-0.295093, -0.632196, 1.0]], ['2, k, 8', [0.010482, -0.247136, 1.0]], ['2, k, 9', [0.180496, -0.370194, 1.0]], ['2, k, 10', [0.13589, -0.543542, 1.0]], ['2, k, 11', [0.103709, -0.58627, 1.0]], ['2, k, 12', [-0.196728, -0.756908, 1.0]], ['2, k, 13', [-0.256453, -1.06348, 1.0]], ['2, k, 14', [-0.337683, -1.40443, 1.0]], ['2, k, 15', [-0.282078, -1.48812, 1.0]], ['2, k, 16', [-0.0246352, -0.730962, 1.0]], ['2, k, 17', [0.00667312, -1.06089, 1.0]], ['2, k, 18', [-0.0283768, -1.41735, 1.0]], ['2, k, 19', [-0.0522494, -1.45949, 1.0]], ['2, k, 20', [-0.1843, -0.250651, 1.0]], ['2, k, 21', [-0.250825, -0.689104, 1.0]], ['2, k, 22', [-0.254496, -0.592702, 1.0]], ['2, k, 23', [0.0944, -0.656998, 1.0]], ['2, k, 24', [0.0593987, -0.555717, 1.0]]]
[['2, k, 0', [-0.107544, -0.755623, 1.0]], ['2, k, 1', [-0.154315, -0.46505, 1.0]], ['2, k, 2', [-0.192232, -0.180889, 1.0]], ['2, k, 3', [-0.22635, -0.0438635, 1.0]], ['2, k, 4', [-0.376495, -0.309, 1.0]], ['2, k, 5', [-0.461599, -0.50788, 1.0]], ['2, k, 6', [-0.34483, -0.62059, 1.0]], ['2, k, 7', [-0.288347, -0.63784, 1.0]], ['2, k, 8', [0.0122175, -0.244907, 1.0]], ['2, k, 9', [0.180963, -0.368369, 1.0]], ['2, k, 10', [0.139027, -0.539753, 1.0]], ['2, k, 11', [0.10725, -0.584347, 1.0]], ['2, k, 12', [-0.192438, -0.758392, 1.0]], ['2, k, 13', [-0.252861, -1.0608, 1.0]], ['2, k, 14', [-0.337136, -1.4046, 1.0]], ['2, k, 15', [-0.34375, -1.47461, 1.0]], ['2, k, 16', [-0.0197602, -0.732679, 1.0]], ['2, k, 17', [0.00843184, -1.06106, 1.0]], ['2, k, 18', [-0.0268968, -1.41507, 1.0]], ['2, k, 19', [-0.0494889, -1.45575, 1.0]], ['2, k, 20', [-0.183639, -0.250882, 1.0]], ['2, k, 21', [-0.243996, -0.709759, 1.0]], ['2, k, 22', [-0.248481, -0.598336, 1.0]], ['2, k, 23', [0.10061, -0.6528, 1.0]], ['2, k, 24', [0.0675, -0.562657, 1.0]]]
[['2, k, 0', [-0.105352, -0.756744, 1.0]], ['2, k, 1', [-0.152044, -0.465611, 1.0]], ['2, k, 2', [-0.190726, -0.18078, 1.0]], ['2, k, 3', [-0.226134, -0.0431439, 1.0]], ['2, k, 4', [-0.376169, -0.309014, 1.0]], ['2, k, 5', [-0.4597, -0.507987, 1.0]], ['2, k, 6', [-0.339984, -0.620672, 1.0]], ['2, k, 7', [-0.283778, -0.638101, 1.0]], ['2, k, 8', [0.01344, -0.242799, 1.0]], ['2, k, 9', [0.182863, -0.364522, 1.0]], ['2, k, 10', [0.141403, -0.539675, 1.0]], ['2, k, 11', [0.109642, -0.583476, 1.0]], ['2, k, 12', [-0.189874, -0.759771, 1.0]], ['2, k, 13', [-0.250933, -1.08869, 1.0]], ['2, k, 14', [-0.336864, -1.40434, 1.0]], ['2, k, 15', [-0.343557, -1.47442, 1.0]], ['2, k, 16', [-0.0180082, -0.733573, 1.0]], ['2, k, 17', [0.009933, -1.06584, 1.0]], ['2, k, 18', [-0.0255617, -1.41378, 1.0]], ['2, k, 19', [-0.0468523, -1.4515, 1.0]], ['2, k, 20', [-0.182081, -0.25106, 1.0]], ['2, k, 21', [-0.237476, -0.701208, 1.0]], ['2, k, 22', [-0.24467, -0.599835, 1.0]], ['2, k, 23', [0.101847, -0.65541, 1.0]], ['2, k, 24', [0.0670272, -0.557746, 1.0]]]
[['2, k, 0', [-0.103816, -0.759538, 1.0]], ['2, k, 1', [-0.15018, -0.467048, 1.0]], ['2, k, 2', [-0.189743, -0.181362, 1.0]], ['2, k, 3', [-0.223939, -0.0439973, 1.0]], ['2, k, 4', [-0.375475, -0.309181, 1.0]], ['2, k, 5', [-0.459408, -0.507719, 1.0]], ['2, k, 6', [-0.32776, -0.614076, 1.0]], ['2, k, 7', [-0.27079, -0.635405, 1.0]], ['2, k, 8', [0.0145913, -0.241403, 1.0]], ['2, k, 9', [0.184686, -0.36128, 1.0]], ['2, k, 10', [0.142419, -0.545135, 1.0]], ['2, k, 11', [0.10978, -0.591383, 1.0]], ['2, k, 12', [-0.188478, -0.762156, 1.0]], ['2, k, 13', [-0.248627, -1.08308, 1.0]], ['2, k, 14', [-0.337293, -1.39838, 1.0]], ['2, k, 15', [-0.364316, -1.43162, 1.0]], ['2, k, 16', [-0.0163891, -0.736808, 1.0]], ['2, k, 17', [0.0108459, -1.06522, 1.0]], ['2, k, 18', [-0.0255908, -1.41421, 1.0]], ['2, k, 19', [-0.0456517, -1.45055, 1.0]], ['2, k, 20', [-0.181001, -0.251751, 1.0]], ['2, k, 21', [-0.218932, -0.693695, 1.0]], ['2, k, 22', [-0.230535, -0.575185, 1.0]], ['2, k, 23', [0.0995161, -0.664948, 1.0]], ['2, k, 24', [0.0684583, -0.563299, 1.0]]]
[['2, k, 0', [-0.104023, -0.761902, 1.0]], ['2, k, 1', [-0.14877, -0.468436, 1.0]], ['2, k, 2', [-0.187969, -0.182153, 1.0]], ['2, k, 3', [-0.221704, -0.0440342, 1.0]], ['2, k, 4', [-0.374725, -0.309189, 1.0]], ['2, k, 5', [-0.454623, -0.510774, 1.0]], ['2, k, 6', [-0.323653, -0.621608, 1.0]], ['2, k, 7', [-0.268052, -0.645745, 1.0]], ['2, k, 8', [0.0152187, -0.240871, 1.0]], ['2, k, 9', [0.185445, -0.361031, 1.0]], ['2, k, 10', [0.144215, -0.543572, 1.0]], ['2, k, 11', [0.110603, -0.588495, 1.0]], ['2, k, 12', [-0.188519, -0.763976, 1.0]], ['2, k, 13', [-0.250063, -1.0929, 1.0]], ['2, k, 14', [-0.336667, -1.39944, 1.0]], ['2, k, 15', [-0.333984, -1.47949, 1.0]], ['2, k, 16', [-0.0167559, -0.739698, 1.0]], ['2, k, 17', [0.0103944, -1.0664, 1.0]], ['2, k, 18', [-0.0252408, -1.41435, 1.0]], ['2, k, 19', [-0.0781464, -1.47774, 1.0]], ['2, k, 20', [-0.179422, -0.252648, 1.0]], ['2, k, 21', [-0.220711, -0.709967, 1.0]], ['2, k, 22', [-0.229513, -0.598105, 1.0]], ['2, k, 23', [0.10111, -0.661254, 1.0]], ['2, k, 24', [0.0685869, -0.574452, 1.0]]]
[['2, k, 0', [-0.102577, -0.764114, 1.0]], ['2, k, 1', [-0.147122, -0.469827, 1.0]], ['2, k, 2', [-0.186766, -0.182667, 1.0]], ['2, k, 3', [-0.219166, -0.0439938, 1.0]], ['2, k, 4', [-0.366788, -0.307998, 1.0]], ['2, k, 5', [-0.454389, -0.508797, 1.0]], ['2, k, 6', [-0.325123, -0.623954, 1.0]], ['2, k, 7', [-0.264677, -0.643571, 1.0]], ['2, k, 8', [0.0161117, -0.240608, 1.0]], ['2, k, 9', [0.186666, -0.359227, 1.0]], ['2, k, 10', [0.144381, -0.542622, 1.0]], ['2, k, 11', [0.110892, -0.590324, 1.0]], ['2, k, 12', [-0.187245, -0.765685, 1.0]], ['2, k, 13', [-0.250219, -1.09477, 1.0]], ['2, k, 14', [-0.335769, -1.39785, 1.0]], ['2, k, 15', [-0.290138, -1.4851, 1.0]], ['2, k, 16', [-0.0151798, -0.742462, 1.0]], ['2, k, 17', [0.0114028, -1.06848, 1.0]], ['2, k, 18', [-0.0248829, -1.41547, 1.0]], ['2, k, 19', [-0.0401215, -1.44924, 1.0]], ['2, k, 20', [-0.178185, -0.253329, 1.0]], ['2, k, 21', [-0.214255, -0.703877, 1.0]], ['2, k, 22', [-0.225208, -0.587389, 1.0]], ['2, k, 23', [0.100173, -0.662619, 1.0]], ['2, k, 24', [0.066762, -0.562734, 1.0]]]
[['2, k, 0', [-0.102524, -0.765574, 1.0]], ['2, k, 1', [-0.146402, -0.470791, 1.0]], ['2, k, 2', [-0.186332, -0.182837, 1.0]], ['2, k, 3', [-0.216775, -0.0440523, 1.0]], ['2, k, 4', [-0.363286, -0.307222, 1.0]], ['2, k, 5', [-0.454615, -0.506019, 1.0]], ['2, k, 6', [-0.325122, -0.622204, 1.0]], ['2, k, 7', [-0.291672, -0.623416, 1.0]], ['2, k, 8', [0.0172901, -0.24021, 1.0]], ['2, k, 9', [0.187556, -0.358612, 1.0]], ['2, k, 10', [0.145658, -0.541179, 1.0]], ['2, k, 11', [0.110969, -0.588198, 1.0]], ['2, k, 12', [-0.187582, -0.766468, 1.0]], ['2, k, 13', [-0.248492, -1.08843, 1.0]], ['2, k, 14', [-0.335441, -1.39796, 1.0]], ['2, k, 15', [-0.348145, -1.47852, 1.0]], ['2, k, 16', [-0.0146841, -0.744705, 1.0]], ['2, k, 17', [0.0109105, -1.06942, 1.0]], ['2, k, 18', [-0.0249822, -1.41519, 1.0]], ['2, k, 19', [-0.0383473, -1.44812, 1.0]], ['2, k, 20', [-0.177712, -0.253628, 1.0]], ['2, k, 21', [-0.242475, -0.684006, 1.0]], ['2, k, 22', [-0.251521, -0.567627, 1.0]], ['2, k, 23', [0.107677, -0.661238, 1.0]], ['2, k, 24', [0.0675251, -0.582268, 1.0]]]
