[['2, k, 0', [-0.2054355, -0.4365312, 1.0]], ['2, k, 1', [-0.1958667, -0.1958535, 1.0]], ['2, k, 2', [-0.1852338, 0.04166592, 1.0]], ['2, k, 3', [-0.1819345, 0.1698832, 1.0]], ['2, k, 4', [-0.3591161, -0.05958552, 1.0]], ['2, k, 5', [-0.4681786, -0.2495494, 1.0]], ['2, k, 6', [-0.4988019, -0.3858674, 1.0]], ['2, k, 7', [-0.4899689, -0.4398441, 1.0]], ['2, k, 8', [-0.02255144, -0.08395682, 1.0]], ['2, k, 9', [0.03797847, -0.2910567, 1.0]], ['2, k, 10', [0.1075227, -0.3200336, 1.0]], ['2, k, 11', [0.1300072, -0.3138345, 1.0]], ['2, k, 12', [-0.2759701, -0.4259744, 1.0]], ['2, k, 13', [-0.2726194, -0.5466735, 1.0]], ['2, k, 14', [-0.2096963, -0.9029777, 1.0]], ['2, k, 15', [-0.1958318, -0.956449, 1.0]], ['2, k, 16', [-0.1311322, -0.4362632, 1.0]], ['2, k, 17', [-0.05354104, -0.5243028, 1.0]], ['2, k, 18', [-0.009978815, -0.9158683, 1.0]], ['2, k, 19', [-0.0001965184, -0.9857201, 1.0]], ['2, k, 20', [-0.188232, -0.01715264, 1.0]], ['2, k, 21', [-0.4876199, -0.489937, 1.0]], ['2, k, 22', [-0.519983, -0.4534715, 1.0]], ['2, k, 23', [0.1214288, -0.3462622, 1.0]], ['2, k, 24', [0.1911113, -0.2890764, 1.0]]]
[['2, k, 0', [-0.206006, -0.4367552, 1.0]], ['2, k, 1', [-0.2014187, -0.1979727, 1.0]], ['2, k, 2', [-0.1963272, 0.0358714, 1.0]], ['2, k, 3', [-0.1976011, 0.1697837, 1.0]], ['2, k, 4', [-0.3660495, -0.06356137, 1.0]], ['2, k, 5', [-0.4675031, -0.2588963, 1.0]], ['2, k, 6', [-0.5022289, -0.3941461, 1.0]], ['2, k, 7', [-0.4946039, -0.4553508, 1.0]], ['2, k, 8', [-0.02874984, -0.07868271, 1.0]], ['2, k, 9', [0.03180103, -0.3045486, 1.0]], ['2, k, 10', [0.1216357, -0.3036409, 1.0]], ['2, k, 11', [0.1833027, -0.3012609, 1.0]], ['2, k, 12', [-0.2763467, -0.4276294, 1.0]], ['2, k, 13', [-0.2725842, -0.5455541, 1.0]], ['2, k, 14', [-0.2093809, -0.9020469, 1.0]], ['2, k, 15', [-0.1969097, -0.9588117, 1.0]], ['2, k, 16', [-0.1308055, -0.4353326, 1.0]], ['2, k, 17', [-0.05343743, -0.5252209, 1.0]], ['2, k, 18', [-0.009150503, -0.9166341, 1.0]], ['2, k, 19', [-0.007313793, -0.9822004, 1.0]], ['2, k, 20', [-0.1977159, -0.02200068, 1.0]], ['2, k, 21', [-0.488639, -0.5125154, 1.0]], ['2, k, 22', [-0.4486581, -0.4280067, 1.0]], ['2, k, 23', [0.2049923, -0.3218582, 1.0]], ['2, k, 24', [0.2293445, -0.2826002, 1.0]]]
[['2, k, 0', [-0.2060249, -0.4368122, 1.0]], ['2, k, 1', [-0.2013215, -0.1981398, 1.0]], ['2, k, 2', [-0.1959375, 0.03551714, 1.0]], ['2, k, 3', [-0.1972661, 0.1694722, 1.0]], ['2, k, 4', [-0.3659775, -0.06359918, 1.0]], ['2, k, 5', [-0.4681828, -0.2587444, 1.0]], ['2, k, 6', [-0.5022423, -0.3943024, 1.0]], ['2, k, 7', [-0.4955278, -0.4552672, 1.0]], ['2, k, 8', [-0.02890212, -0.07867304, 1.0]], ['2, k, 9', [0.03207888, -0.303964, 1.0]], ['2, k, 10', [0.1221629, -0.3026572, 1.0]], ['2, k, 11', [0.1857857, -0.3068724, 1.0]], ['2, k, 12', [-0.2763646, -0.4276676, 1.0]], ['2, k, 13', [-0.2725807, -0.5455673, 1.0]], ['2, k, 14', [-0.2093492, -0.9020064, 1.0]], ['2, k, 15', [-0.1964808, -0.9578732, 1.0]], ['2, k, 16', [-0.1308243, -0.4354333, 1.0]], ['2, k, 17', [-0.05343135, -0.5251963, 1.0]], ['2, k, 18', [-0.009244708, -0.9165372, 1.0]], ['2, k, 19', [-0.006348865, -0.9828258, 1.0]], ['2, k, 20', [-0.1974188, -0.0223027, 1.0]], ['2, k, 21', [-0.4919889, -0.5096526, 1.0]], ['2, k, 22', [-0.4491364, -0.4304047, 1.0]], ['2, k, 23', [0.2101216, -0.3309516, 1.0]], ['2, k, 24', [0.2457762, -0.2888561, 1.0]]]
[['2, k, 0', [-0.2061428, -0.4368696, 1.0]], ['2, k, 1', [-0.2013783, -0.1982254, 1.0]], ['2, k, 2', [-0.1959474, 0.03540616, 1.0]], ['2, k, 3', [-0.1969945, 0.1695231, 1.0]], ['2, k, 4', [-0.3657497, -0.06368031, 1.0]], ['2, k, 5', [-0.4685015, -0.2581904, 1.0]], ['2, k, 6', [-0.5022672, -0.3943505, 1.0]], ['2, k, 7', [-0.4935774, -0.4557903, 1.0]], ['2, k, 8', [-0.02879452, -0.07835935, 1.0]], ['2, k, 9', [0.03197337, -0.3034256, 1.0]], ['2, k, 10', [0.1460676, -0.3120026, 1.0]], ['2, k, 11', [0.1871888, -0.3136674, 1.0]], ['2, k, 12', [-0.2765566, -0.4277747, 1.0]], ['2, k, 13', [-0.2726015, -0.5454207, 1.0]], ['2, k, 14', [-0.2092177, -0.9023864, 1.0]], ['2, k, 15', [-0.1963534, -0.9580383, 1.0]], ['2, k, 16', [-0.1308832, -0.4354534, 1.0]], ['2, k, 17', [-0.05341305, -0.5251707, 1.0]], ['2, k, 18', [-0.009238317, -0.9164972, 1.0]], ['2, k, 19', [-0.005812634, -0.9828547, 1.0]], ['2, k, 20', [-0.1974404, -0.02240691, 1.0]], ['2, k, 21', [-0.4905127, -0.5096481, 1.0]], ['2, k, 22', [-0.448562, -0.4286589, 1.0]], ['2, k, 23', [0.2158386, -0.3419812, 1.0]], ['2, k, 24', [0.2339852, -0.2950026, 1.0]]]
[['2, k, 0', [-0.2061607, -0.4369232, 1.0]], ['2, k, 1', [-0.2013329, -0.1983961, 1.0]], ['2, k, 2', [-0.1957677, 0.03506762, 1.0]], ['2, k, 3', [-0.1969168, 0.1694604, 1.0]], ['2, k, 4', [-0.3657345, -0.0639315, 1.0]], ['2, k, 5', [-0.4685779, -0.2582737, 1.0]], ['2, k, 6', [-0.5023254, -0.3944646, 1.0]], ['2, k, 7', [-0.4950912, -0.4556533, 1.0]], ['2, k, 8', [-0.02864371, -0.07841997, 1.0]], ['2, k, 9', [0.04252857, -0.2734869, 1.0]], ['2, k, 10', [0.1594249, -0.3135626, 1.0]], ['2, k, 11', [0.190215, -0.3186792, 1.0]], ['2, k, 12', [-0.2765892, -0.4279258, 1.0]], ['2, k, 13', [-0.2725826, -0.5455195, 1.0]], ['2, k, 14', [-0.2090759, -0.9032558, 1.0]], ['2, k, 15', [-0.195684, -0.9576231, 1.0]], ['2, k, 16', [-0.1309021, -0.4354942, 1.0]], ['2, k, 17', [-0.05345054, -0.5251143, 1.0]], ['2, k, 18', [-0.009206812, -0.9164263, 1.0]], ['2, k, 19', [-0.0047302, -0.9829803, 1.0]], ['2, k, 20', [-0.1973003, -0.0227012, 1.0]], ['2, k, 21', [-0.4893455, -0.5103877, 1.0]], ['2, k, 22', [-0.448377, -0.4301645, 1.0]], ['2, k, 23', [0.2165812, -0.3486328, 1.0]], ['2, k, 24', [0.2420247, -0.2995601, 1.0]]]
[['2, k, 0', [-0.2062402, -0.4370099, 1.0]], ['2, k, 1', [-0.2013573, -0.1984735, 1.0]], ['2, k, 2', [-0.1957572, 0.034992, 1.0]], ['2, k, 3', [-0.1962956, 0.1690192, 1.0]], ['2, k, 4', [-0.3657388, -0.06442052, 1.0]], ['2, k, 5', [-0.4682919, -0.2583214, 1.0]], ['2, k, 6', [-0.5023985, -0.3945397, 1.0]], ['2, k, 7', [-0.4955621, -0.456854, 1.0]], ['2, k, 8', [-0.02852493, -0.07845891, 1.0]], ['2, k, 9', [0.04215023, -0.2728705, 1.0]], ['2, k, 10', [0.1590269, -0.3138076, 1.0]], ['2, k, 11', [0.1935957, -0.3234624, 1.0]], ['2, k, 12', [-0.2766617, -0.4280514, 1.0]], ['2, k, 13', [-0.2725543, -0.5455396, 1.0]], ['2, k, 14', [-0.2090353, -0.9034811, 1.0]], ['2, k, 15', [-0.1955733, -0.9573892, 1.0]], ['2, k, 16', [-0.1310187, -0.4355569, 1.0]], ['2, k, 17', [-0.05346545, -0.5251051, 1.0]], ['2, k, 18', [-0.009281248, -0.9161577, 1.0]], ['2, k, 19', [-0.004723265, -0.9829167, 1.0]], ['2, k, 20', [-0.1972984, -0.02277539, 1.0]], ['2, k, 21', [-0.4898767, -0.5112692, 1.0]], ['2, k, 22', [-0.4514009, -0.4328935, 1.0]], ['2, k, 23', [0.2219669, -0.3560475, 1.0]], ['2, k, 24', [0.2455327, -0.3041627, 1.0]]]
[['2, k, 0', [-0.2059474, -0.4368878, 1.0]], ['2, k, 1', [-0.2013408, -0.1988012, 1.0]], ['2, k, 2', [-0.1959843, 0.03400896, 1.0]], ['2, k, 3', [-0.1944478, 0.169367, 1.0]], ['2, k, 4', [-0.3652183, -0.06467785, 1.0]], ['2, k, 5', [-0.4680059, -0.2587969, 1.0]], ['2, k, 6', [-0.5027164, -0.3948061, 1.0]], ['2, k, 7', [-0.4950595, -0.4560511, 1.0]], ['2, k, 8', [-0.02875507, -0.07827958, 1.0]], ['2, k, 9', [0.03009562, -0.2968986, 1.0]], ['2, k, 10', [0.1507219, -0.318736, 1.0]], ['2, k, 11', [0.1988853, -0.3400473, 1.0]], ['2, k, 12', [-0.2764497, -0.4279715, 1.0]], ['2, k, 13', [-0.272572, -0.5453821, 1.0]], ['2, k, 14', [-0.2094978, -0.9044428, 1.0]], ['2, k, 15', [-0.1969185, -0.9597124, 1.0]], ['2, k, 16', [-0.1305837, -0.4353052, 1.0]], ['2, k, 17', [-0.05356747, -0.5249801, 1.0]], ['2, k, 18', [-0.009658417, -0.9163566, 1.0]], ['2, k, 19', [-0.003842511, -0.9835871, 1.0]], ['2, k, 20', [-0.1974514, -0.02356855, 1.0]], ['2, k, 21', [-0.4900196, -0.5058619, 1.0]], ['2, k, 22', [-0.4489071, -0.4307944, 1.0]], ['2, k, 23', [0.2342468, -0.3789597, 1.0]], ['2, k, 24', [0.2638117, -0.3243905, 1.0]]]
[['2, k, 0', [-0.2059291, -0.4369054, 1.0]], ['2, k, 1', [-0.2011493, -0.1989641, 1.0]], ['2, k, 2', [-0.1953481, 0.03353691, 1.0]], ['2, k, 3', [-0.194213, 0.1693696, 1.0]], ['2, k, 4', [-0.3651791, -0.06470855, 1.0]], ['2, k, 5', [-0.4675423, -0.2586051, 1.0]], ['2, k, 6', [-0.5028484, -0.3949785, 1.0]], ['2, k, 7', [-0.4959912, -0.4561443, 1.0]], ['2, k, 8', [-0.02889635, -0.07820679, 1.0]], ['2, k, 9', [0.02943066, -0.2976791, 1.0]], ['2, k, 10', [0.1482652, -0.3204062, 1.0]], ['2, k, 11', [0.1980253, -0.3411822, 1.0]], ['2, k, 12', [-0.2764373, -0.4279831, 1.0]], ['2, k, 13', [-0.2727199, -0.5448637, 1.0]], ['2, k, 14', [-0.2100117, -0.9030343, 1.0]], ['2, k, 15', [-0.1982161, -0.9643394, 1.0]], ['2, k, 16', [-0.1305605, -0.4353004, 1.0]], ['2, k, 17', [-0.05362031, -0.5249503, 1.0]], ['2, k, 18', [-0.009772577, -0.9162199, 1.0]], ['2, k, 19', [-0.00341334, -0.9838349, 1.0]], ['2, k, 20', [-0.1969507, -0.02395506, 1.0]], ['2, k, 21', [-0.491304, -0.5083947, 1.0]], ['2, k, 22', [-0.4493209, -0.4301748, 1.0]], ['2, k, 23', [0.2320962, -0.3818728, 1.0]], ['2, k, 24', [0.2536047, -0.319524, 1.0]]]
[['2, k, 0', [-0.2059139, -0.4369198, 1.0]], ['2, k, 1', [-0.2011649, -0.1990695, 1.0]], ['2, k, 2', [-0.1954961, 0.03331788, 1.0]], ['2, k, 3', [-0.1941038, 0.1692309, 1.0]], ['2, k, 4', [-0.3651695, -0.06473028, 1.0]], ['2, k, 5', [-0.4673624, -0.2586046, 1.0]], ['2, k, 6', [-0.5029692, -0.3951529, 1.0]], ['2, k, 7', [-0.4954197, -0.4567135, 1.0]], ['2, k, 8', [-0.02895366, -0.07819459, 1.0]], ['2, k, 9', [0.02937834, -0.2973072, 1.0]], ['2, k, 10', [0.1496673, -0.3215985, 1.0]], ['2, k, 11', [0.1987118, -0.3430994, 1.0]], ['2, k, 12', [-0.2764187, -0.4280087, 1.0]], ['2, k, 13', [-0.2726013, -0.545117, 1.0]], ['2, k, 14', [-0.2096366, -0.9035398, 1.0]], ['2, k, 15', [-0.1973543, -0.9613603, 1.0]], ['2, k, 16', [-0.1305409, -0.4353026, 1.0]], ['2, k, 17', [-0.0536669, -0.5248864, 1.0]], ['2, k, 18', [-0.009582678, -0.9160296, 1.0]], ['2, k, 19', [-0.001551119, -0.9860318, 1.0]], ['2, k, 20', [-0.1970539, -0.02414707, 1.0]], ['2, k, 21', [-0.4894081, -0.512866, 1.0]], ['2, k, 22', [-0.44611, -0.4356378, 1.0]], ['2, k, 23', [0.2275493, -0.3814499, 1.0]], ['2, k, 24', [0.2571021, -0.3231557, 1.0]]]
[['2, k, 0', [-0.2059076, -0.4369367, 1.0]], ['2, k, 1', [-0.2011552, -0.1991424, 1.0]], ['2, k, 2', [-0.1954972, 0.03321688, 1.0]], ['2, k, 3', [-0.1940939, 0.1693166, 1.0]], ['2, k, 4', [-0.3647192, -0.06500679, 1.0]], ['2, k, 5', [-0.4675144, -0.2585703, 1.0]], ['2, k, 6', [-0.5033747, -0.3952428, 1.0]], ['2, k, 7', [-0.495729, -0.457577, 1.0]], ['2, k, 8', [-0.0291175, -0.07815681, 1.0]], ['2, k, 9', [0.02926291, -0.2972323, 1.0]], ['2, k, 10', [0.1503199, -0.3250425, 1.0]], ['2, k, 11', [0.1984798, -0.3445888, 1.0]], ['2, k, 12', [-0.2764222, -0.4280352, 1.0]], ['2, k, 13', [-0.2725986, -0.5451252, 1.0]], ['2, k, 14', [-0.2095618, -0.9036022, 1.0]], ['2, k, 15', [-0.1970169, -0.9603976, 1.0]], ['2, k, 16', [-0.1304995, -0.4352925, 1.0]], ['2, k, 17', [-0.05361566, -0.5248268, 1.0]], ['2, k, 18', [-0.009404144, -0.9159787, 1.0]], ['2, k, 19', [-0.001672314, -0.9859315, 1.0]], ['2, k, 20', [-0.1970515, -0.02424516, 1.0]], ['2, k, 21', [-0.4903386, -0.5131596, 1.0]], ['2, k, 22', [-0.4494121, -0.4349427, 1.0]], ['2, k, 23', [0.2335937, -0.3878518, 1.0]], ['2, k, 24', [0.2492538, -0.3249829, 1.0]]]
[['2, k, 0', [-0.2058815, -0.4369803, 1.0]], ['2, k, 1', [-0.201177, -0.1992074, 1.0]], ['2, k, 2', [-0.1956092, 0.03313506, 1.0]], ['2, k, 3', [-0.1938942, 0.1693754, 1.0]], ['2, k, 4', [-0.364861, -0.0650135, 1.0]], ['2, k, 5', [-0.4675457, -0.2586404, 1.0]], ['2, k, 6', [-0.5033207, -0.3952908, 1.0]], ['2, k, 7', [-0.4954756, -0.457047, 1.0]], ['2, k, 8', [-0.02932391, -0.07806579, 1.0]], ['2, k, 9', [0.02892125, -0.2973722, 1.0]], ['2, k, 10', [0.1507749, -0.3254898, 1.0]], ['2, k, 11', [0.1976892, -0.3460074, 1.0]], ['2, k, 12', [-0.2763793, -0.4281137, 1.0]], ['2, k, 13', [-0.2726489, -0.5449455, 1.0]], ['2, k, 14', [-0.2095154, -0.9034572, 1.0]], ['2, k, 15', [-0.1969484, -0.9601079, 1.0]], ['2, k, 16', [-0.1304818, -0.4353073, 1.0]], ['2, k, 17', [-0.05361991, -0.5249513, 1.0]], ['2, k, 18', [-0.009355367, -0.9160256, 1.0]], ['2, k, 19', [-0.005218521, -0.9839353, 1.0]], ['2, k, 20', [-0.1971343, -0.02432474, 1.0]], ['2, k, 21', [-0.4914194, -0.511835, 1.0]], ['2, k, 22', [-0.4488338, -0.4309207, 1.0]], ['2, k, 23', [0.2323244, -0.38669, 1.0]], ['2, k, 24', [0.2571943, -0.3275601, 1.0]]]
[['2, k, 0', [-0.2058807, -0.4370367, 1.0]], ['2, k, 1', [-0.2011798, -0.1992234, 1.0]], ['2, k, 2', [-0.1956344, 0.03314552, 1.0]], ['2, k, 3', [-0.193233, 0.1695167, 1.0]], ['2, k, 4', [-0.3648562, -0.06510042, 1.0]], ['2, k, 5', [-0.4675701, -0.2585933, 1.0]], ['2, k, 6', [-0.5033333, -0.3961827, 1.0]], ['2, k, 7', [-0.4948716, -0.4552583, 1.0]], ['2, k, 8', [-0.02934554, -0.07806921, 1.0]], ['2, k, 9', [0.02859456, -0.2978689, 1.0]], ['2, k, 10', [0.1504396, -0.3291566, 1.0]], ['2, k, 11', [0.1968325, -0.3461986, 1.0]], ['2, k, 12', [-0.2763621, -0.4281699, 1.0]], ['2, k, 13', [-0.2726452, -0.5449573, 1.0]], ['2, k, 14', [-0.2095862, -0.9041575, 1.0]], ['2, k, 15', [-0.1965978, -0.9601081, 1.0]], ['2, k, 16', [-0.1304854, -0.4353523, 1.0]], ['2, k, 17', [-0.05358879, -0.5250274, 1.0]], ['2, k, 18', [-0.008313092, -0.9186968, 1.0]], ['2, k, 19', [-0.007505465, -0.9798199, 1.0]], ['2, k, 20', [-0.1971507, -0.02432902, 1.0]], ['2, k, 21', [-0.4885106, -0.507647, 1.0]], ['2, k, 22', [-0.4505084, -0.4236517, 1.0]], ['2, k, 23', [0.2283555, -0.3862879, 1.0]], ['2, k, 24', [0.2486131, -0.3240409, 1.0]]]
[['2, k, 0', [-0.2058978, -0.4370445, 1.0]], ['2, k, 1', [-0.2012292, -0.1993227, 1.0]], ['2, k, 2', [-0.1957344, 0.03295523, 1.0]], ['2, k, 3', [-0.1932258, 0.1695085, 1.0]], ['2, k, 4', [-0.3649769, -0.06486921, 1.0]], ['2, k, 5', [-0.4677824, -0.2584396, 1.0]], ['2, k, 6', [-0.503293, -0.3962214, 1.0]], ['2, k, 7', [-0.4958803, -0.4570893, 1.0]], ['2, k, 8', [-0.02932083, -0.07808192, 1.0]], ['2, k, 9', [0.02831867, -0.2980804, 1.0]], ['2, k, 10', [0.1473567, -0.3268346, 1.0]], ['2, k, 11', [0.1981386, -0.3461474, 1.0]], ['2, k, 12', [-0.2763644, -0.4281817, 1.0]], ['2, k, 13', [-0.2726288, -0.5449814, 1.0]], ['2, k, 14', [-0.2095734, -0.9042974, 1.0]], ['2, k, 15', [-0.1965192, -0.9597881, 1.0]], ['2, k, 16', [-0.130519, -0.4353541, 1.0]], ['2, k, 17', [-0.05358446, -0.5250148, 1.0]], ['2, k, 18', [-0.008378761, -0.9187686, 1.0]], ['2, k, 19', [-0.007400488, -0.9798552, 1.0]], ['2, k, 20', [-0.197238, -0.0245005, 1.0]], ['2, k, 21', [-0.4874994, -0.5112162, 1.0]], ['2, k, 22', [-0.4514583, -0.4317669, 1.0]], ['2, k, 23', [0.2278263, -0.3857763, 1.0]], ['2, k, 24', [0.2548769, -0.3312753, 1.0]]]
[['2, k, 0', [-0.2058836, -0.4370781, 1.0]], ['2, k, 1', [-0.2012171, -0.1994282, 1.0]], ['2, k, 2', [-0.1957423, 0.03282183, 1.0]], ['2, k, 3', [-0.1932154, 0.1694235, 1.0]], ['2, k, 4', [-0.365082, -0.06487489, 1.0]], ['2, k, 5', [-0.4678694, -0.2584789, 1.0]], ['2, k, 6', [-0.5031632, -0.3962945, 1.0]], ['2, k, 7', [-0.4959256, -0.4591892, 1.0]], ['2, k, 8', [-0.02942649, -0.07798751, 1.0]], ['2, k, 9', [0.02808597, -0.2985499, 1.0]], ['2, k, 10', [0.1497457, -0.3288822, 1.0]], ['2, k, 11', [0.1994563, -0.3448971, 1.0]], ['2, k, 12', [-0.2763272, -0.4283096, 1.0]], ['2, k, 13', [-0.2726625, -0.545019, 1.0]], ['2, k, 14', [-0.2094371, -0.9046079, 1.0]], ['2, k, 15', [-0.1970403, -0.9604555, 1.0]], ['2, k, 16', [-0.1304923, -0.4353648, 1.0]], ['2, k, 17', [-0.05358292, -0.524985, 1.0]], ['2, k, 18', [-0.008586111, -0.9188173, 1.0]], ['2, k, 19', [-0.005062382, -0.9818906, 1.0]], ['2, k, 20', [-0.1972406, -0.02463126, 1.0]], ['2, k, 21', [-0.4913862, -0.5148568, 1.0]], ['2, k, 22', [-0.4491811, -0.4302798, 1.0]], ['2, k, 23', [0.2288788, -0.3836975, 1.0]], ['2, k, 24', [0.2584459, -0.3218663, 1.0]]]
[['2, k, 0', [-0.2058246, -0.4370616, 1.0]], ['2, k, 1', [-0.2012134, -0.1994325, 1.0]], ['2, k, 2', [-0.1957709, 0.03280789, 1.0]], ['2, k, 3', [-0.193199, 0.169441, 1.0]], ['2, k, 4', [-0.3651309, -0.06494293, 1.0]], ['2, k, 5', [-0.4673481, -0.258911, 1.0]], ['2, k, 6', [-0.5031629, -0.396273, 1.0]], ['2, k, 7', [-0.4958279, -0.4566131, 1.0]], ['2, k, 8', [-0.02953418, -0.07786249, 1.0]], ['2, k, 9', [0.02790197, -0.2987177, 1.0]], ['2, k, 10', [0.1501279, -0.3282395, 1.0]], ['2, k, 11', [0.1996648, -0.3434797, 1.0]], ['2, k, 12', [-0.276248, -0.4283009, 1.0]], ['2, k, 13', [-0.2725413, -0.5453159, 1.0]], ['2, k, 14', [-0.2094478, -0.9046223, 1.0]], ['2, k, 15', [-0.1968076, -0.9603317, 1.0]], ['2, k, 16', [-0.1304433, -0.4353341, 1.0]], ['2, k, 17', [-0.05360559, -0.5248199, 1.0]], ['2, k, 18', [-0.008588614, -0.9186875, 1.0]], ['2, k, 19', [-0.004258865, -0.9827912, 1.0]], ['2, k, 20', [-0.1972553, -0.02464196, 1.0]], ['2, k, 21', [-0.4912585, -0.5100144, 1.0]], ['2, k, 22', [-0.4496107, -0.4313498, 1.0]], ['2, k, 23', [0.2308411, -0.3830622, 1.0]], ['2, k, 24', [0.2537685, -0.3242717, 1.0]]]
[['2, k, 0', [-0.2058456, -0.4370714, 1.0]], ['2, k, 1', [-0.2012122, -0.1994474, 1.0]], ['2, k, 2', [-0.1957639, 0.03280124, 1.0]], ['2, k, 3', [-0.1931497, 0.1694536, 1.0]], ['2, k, 4', [-0.3651376, -0.06504092, 1.0]], ['2, k, 5', [-0.4672966, -0.2593868, 1.0]], ['2, k, 6', [-0.5029368, -0.3968586, 1.0]], ['2, k, 7', [-0.4948804, -0.4576607, 1.0]], ['2, k, 8', [-0.02959037, -0.0778955, 1.0]], ['2, k, 9', [0.02794595, -0.2988676, 1.0]], ['2, k, 10', [0.1497816, -0.3260739, 1.0]], ['2, k, 11', [0.1984214, -0.3394155, 1.0]], ['2, k, 12', [-0.2762784, -0.4283468, 1.0]], ['2, k, 13', [-0.2724791, -0.5455565, 1.0]], ['2, k, 14', [-0.209335, -0.9048573, 1.0]], ['2, k, 15', [-0.1969252, -0.9605311, 1.0]], ['2, k, 16', [-0.1304526, -0.435266, 1.0]], ['2, k, 17', [-0.05360512, -0.5248236, 1.0]], ['2, k, 18', [-0.008666344, -0.9184607, 1.0]], ['2, k, 19', [-0.00448488, -0.983514, 1.0]], ['2, k, 20', [-0.1972499, -0.0246501, 1.0]], ['2, k, 21', [-0.4874601, -0.5101915, 1.0]], ['2, k, 22', [-0.4506141, -0.431709, 1.0]], ['2, k, 23', [0.2307411, -0.3772513, 1.0]], ['2, k, 24', [0.2498683, -0.3186548, 1.0]]]
[['2, k, 0', [-0.2058495, -0.4370716, 1.0]], ['2, k, 1', [-0.2012436, -0.1994614, 1.0]], ['2, k, 2', [-0.195857, 0.03279079, 1.0]], ['2, k, 3', [-0.1931688, 0.1694769, 1.0]], ['2, k, 4', [-0.3651332, -0.06509382, 1.0]], ['2, k, 5', [-0.4671803, -0.2598062, 1.0]], ['2, k, 6', [-0.5029154, -0.3968524, 1.0]], ['2, k, 7', [-0.4950825, -0.4579754, 1.0]], ['2, k, 8', [-0.02965549, -0.07794033, 1.0]], ['2, k, 9', [0.02793068, -0.2988729, 1.0]], ['2, k, 10', [0.1499123, -0.3259254, 1.0]], ['2, k, 11', [0.1989449, -0.3361248, 1.0]], ['2, k, 12', [-0.2762882, -0.4283451, 1.0]], ['2, k, 13', [-0.2725999, -0.5448011, 1.0]], ['2, k, 14', [-0.2104765, -0.9033853, 1.0]], ['2, k, 15', [-0.1961547, -0.9631426, 1.0]], ['2, k, 16', [-0.1304542, -0.4352662, 1.0]], ['2, k, 17', [-0.05361042, -0.5246621, 1.0]], ['2, k, 18', [-0.008343326, -0.9166157, 1.0]], ['2, k, 19', [-0.004572499, -0.9830574, 1.0]], ['2, k, 20', [-0.1973258, -0.02466488, 1.0]], ['2, k, 21', [-0.4906726, -0.5097035, 1.0]], ['2, k, 22', [-0.4498703, -0.43429, 1.0]], ['2, k, 23', [0.2280039, -0.3701668, 1.0]], ['2, k, 24', [0.2455608, -0.316226, 1.0]]]
[['2, k, 0', [-0.2058212, -0.4370595, 1.0]], ['2, k, 1', [-0.2012592, -0.1994586, 1.0]], ['2, k, 2', [-0.1960179, 0.03281874, 1.0]], ['2, k, 3', [-0.1931652, 0.1694682, 1.0]], ['2, k, 4', [-0.3651561, -0.06512088, 1.0]], ['2, k, 5', [-0.467636, -0.260006, 1.0]], ['2, k, 6', [-0.5029394, -0.3964867, 1.0]], ['2, k, 7', [-0.4943115, -0.456545, 1.0]], ['2, k, 8', [-0.02965903, -0.07795323, 1.0]], ['2, k, 9', [0.02815344, -0.2985829, 1.0]], ['2, k, 10', [0.1501528, -0.3221944, 1.0]], ['2, k, 11', [0.1994548, -0.3260148, 1.0]], ['2, k, 12', [-0.2762738, -0.4283491, 1.0]], ['2, k, 13', [-0.27259, -0.5449607, 1.0]], ['2, k, 14', [-0.2105153, -0.90345, 1.0]], ['2, k, 15', [-0.1949283, -0.9612072, 1.0]], ['2, k, 16', [-0.1303882, -0.43521, 1.0]], ['2, k, 17', [-0.0536173, -0.5246699, 1.0]], ['2, k, 18', [-0.008352483, -0.9166223, 1.0]], ['2, k, 19', [-0.00279665, -0.9854344, 1.0]], ['2, k, 20', [-0.1974356, -0.02464801, 1.0]], ['2, k, 21', [-0.4886287, -0.5089524, 1.0]], ['2, k, 22', [-0.4501361, -0.4322737, 1.0]], ['2, k, 23', [0.2308795, -0.3593418, 1.0]], ['2, k, 24', [0.2477442, -0.309145, 1.0]]]
