[['2, k, 0', [-0.298033, -0.243676, 1.0]], ['2, k, 1', [-0.310291, 0.0654331, 1.0]], ['2, k, 2', [-0.320367, 0.36642, 1.0]], ['2, k, 3', [-0.34661, 0.519147, 1.0]], ['2, k, 4', [-0.507839, 0.252297, 1.0]], ['2, k, 5', [-0.566248, -0.0351428, 1.0]], ['2, k, 6', [-0.593741, -0.286672, 1.0]], ['2, k, 7', [-0.578998, -0.311288, 1.0]], ['2, k, 8', [-0.135811, 0.278113, 1.0]], ['2, k, 9', [-0.0451508, -0.0128051, 1.0]], ['2, k, 10', [0.00257692, -0.262472, 1.0]], ['2, k, 11', [0.00233132, -0.265059, 1.0]], ['2, k, 12', [-0.378584, -0.246008, 1.0]], ['2, k, 13', [-0.406785, -0.645091, 1.0]], ['2, k, 14', [-0.415787, -0.984343, 1.0]], ['2, k, 15', [-0.411377, -1.02637, 1.0]], ['2, k, 16', [-0.208904, -0.234348, 1.0]], ['2, k, 17', [-0.174616, -0.639307, 1.0]], ['2, k, 18', [-0.14649, -1.00133, 1.0]], ['2, k, 19', [-0.118286, -1.06934, 1.0]], ['2, k, 20', [-0.318219, 0.292366, 1.0]], ['2, k, 21', [-0.574601, -0.368743, 1.0]], ['2, k, 22', [-0.515651, -0.341278, 1.0]], ['2, k, 23', [0.0232182, -0.325943, 1.0]], ['2, k, 24', [-0.047886, -0.301906, 1.0]]]
[['2, k, 0', [-0.293746, -0.240424, 1.0]], ['2, k, 1', [-0.31019, 0.0670625, 1.0]], ['2, k, 2', [-0.324006, 0.365012, 1.0]], ['2, k, 3', [-0.348259, 0.513858, 1.0]], ['2, k, 4', [-0.499352, 0.25464, 1.0]], ['2, k, 5', [-0.616015, 0.0400029, 1.0]], ['2, k, 6', [-0.645204, -0.164812, 1.0]], ['2, k, 7', [-0.621513, -0.22072, 1.0]], ['2, k, 8', [-0.140172, 0.27919, 1.0]], ['2, k, 9', [-0.0582098, 0.0445056, 1.0]], ['2, k, 10', [-0.021624, -0.172432, 1.0]], ['2, k, 11', [-0.0243602, -0.210247, 1.0]], ['2, k, 12', [-0.373547, -0.242784, 1.0]], ['2, k, 13', [-0.400385, -0.639904, 1.0]], ['2, k, 14', [-0.414466, -0.990345, 1.0]], ['2, k, 15', [-0.404214, -1.04692, 1.0]], ['2, k, 16', [-0.204072, -0.231295, 1.0]], ['2, k, 17', [-0.165614, -0.635886, 1.0]], ['2, k, 18', [-0.148685, -1.00794, 1.0]], ['2, k, 19', [-0.126736, -1.06703, 1.0]], ['2, k, 20', [-0.320827, 0.29163, 1.0]], ['2, k, 21', [-0.624525, -0.248207, 1.0]], ['2, k, 22', [-0.551861, -0.229637, 1.0]], ['2, k, 23', [-0.0186253, -0.257808, 1.0]], ['2, k, 24', [-0.107728, -0.233648, 1.0]]]
[['2, k, 0', [-0.292066, -0.241293, 1.0]], ['2, k, 1', [-0.309491, 0.066138, 1.0]], ['2, k, 2', [-0.32404, 0.363919, 1.0]], ['2, k, 3', [-0.348691, 0.512873, 1.0]], ['2, k, 4', [-0.500993, 0.252592, 1.0]], ['2, k, 5', [-0.616141, 0.0334739, 1.0]], ['2, k, 6', [-0.649663, -0.182665, 1.0]], ['2, k, 7', [-0.630529, -0.217888, 1.0]], ['2, k, 8', [-0.139903, 0.278903, 1.0]], ['2, k, 9', [-0.0596104, 0.0414186, 1.0]], ['2, k, 10', [-0.0261567, -0.185859, 1.0]], ['2, k, 11', [-0.0286206, -0.224353, 1.0]], ['2, k, 12', [-0.371504, -0.245062, 1.0]], ['2, k, 13', [-0.39903, -0.638359, 1.0]], ['2, k, 14', [-0.414522, -0.991574, 1.0]], ['2, k, 15', [-0.407744, -1.05169, 1.0]], ['2, k, 16', [-0.202666, -0.231308, 1.0]], ['2, k, 17', [-0.164651, -0.635012, 1.0]], ['2, k, 18', [-0.148896, -1.00766, 1.0]], ['2, k, 19', [-0.128243, -1.06809, 1.0]], ['2, k, 20', [-0.320677, 0.290623, 1.0]], ['2, k, 21', [-0.621432, -0.261433, 1.0]], ['2, k, 22', [-0.553765, -0.238219, 1.0]], ['2, k, 23', [-0.0223247, -0.274821, 1.0]], ['2, k, 24', [-0.113608, -0.250107, 1.0]]]
[['2, k, 0', [-0.290268, -0.242277, 1.0]], ['2, k, 1', [-0.308648, 0.0652985, 1.0]], ['2, k, 2', [-0.323915, 0.363344, 1.0]], ['2, k, 3', [-0.349077, 0.511619, 1.0]], ['2, k, 4', [-0.502123, 0.251207, 1.0]], ['2, k, 5', [-0.615511, 0.0280387, 1.0]], ['2, k, 6', [-0.650089, -0.189712, 1.0]], ['2, k, 7', [-0.63327, -0.230639, 1.0]], ['2, k, 8', [-0.139663, 0.278409, 1.0]], ['2, k, 9', [-0.0604393, 0.0383585, 1.0]], ['2, k, 10', [-0.0282225, -0.194644, 1.0]], ['2, k, 11', [-0.0280423, -0.235657, 1.0]], ['2, k, 12', [-0.370307, -0.245803, 1.0]], ['2, k, 13', [-0.398822, -0.638043, 1.0]], ['2, k, 14', [-0.414539, -0.991777, 1.0]], ['2, k, 15', [-0.409071, -1.05341, 1.0]], ['2, k, 16', [-0.20065, -0.232301, 1.0]], ['2, k, 17', [-0.164358, -0.634773, 1.0]], ['2, k, 18', [-0.148933, -1.008, 1.0]], ['2, k, 19', [-0.129086, -1.06843, 1.0]], ['2, k, 20', [-0.32041, 0.290005, 1.0]], ['2, k, 21', [-0.623657, -0.276076, 1.0]], ['2, k, 22', [-0.562601, -0.255139, 1.0]], ['2, k, 23', [-0.0218295, -0.285851, 1.0]], ['2, k, 24', [-0.114388, -0.260731, 1.0]]]
[['2, k, 0', [-0.289779, -0.243055, 1.0]], ['2, k, 1', [-0.308211, 0.0644799, 1.0]], ['2, k, 2', [-0.323673, 0.362735, 1.0]], ['2, k, 3', [-0.349249, 0.5103, 1.0]], ['2, k, 4', [-0.503339, 0.250248, 1.0]], ['2, k, 5', [-0.613583, 0.0231741, 1.0]], ['2, k, 6', [-0.653737, -0.203183, 1.0]], ['2, k, 7', [-0.628118, -0.257767, 1.0]], ['2, k, 8', [-0.139545, 0.277121, 1.0]], ['2, k, 9', [-0.0586838, 0.0304471, 1.0]], ['2, k, 10', [-0.0269669, -0.204641, 1.0]], ['2, k, 11', [-0.025251, -0.244079, 1.0]], ['2, k, 12', [-0.36982, -0.24656, 1.0]], ['2, k, 13', [-0.398718, -0.637803, 1.0]], ['2, k, 14', [-0.414706, -0.992936, 1.0]], ['2, k, 15', [-0.40969, -1.05901, 1.0]], ['2, k, 16', [-0.200305, -0.233025, 1.0]], ['2, k, 17', [-0.163119, -0.633421, 1.0]], ['2, k, 18', [-0.147523, -1.00648, 1.0]], ['2, k, 19', [-0.132008, -1.06686, 1.0]], ['2, k, 20', [-0.32013, 0.289346, 1.0]], ['2, k, 21', [-0.621687, -0.288565, 1.0]], ['2, k, 22', [-0.549295, -0.269688, 1.0]], ['2, k, 23', [-0.0159205, -0.29607, 1.0]], ['2, k, 24', [-0.103428, -0.269086, 1.0]]]
[['2, k, 0', [-0.289743, -0.243167, 1.0]], ['2, k, 1', [-0.308172, 0.064157, 1.0]], ['2, k, 2', [-0.323733, 0.362297, 1.0]], ['2, k, 3', [-0.349297, 0.509911, 1.0]], ['2, k, 4', [-0.503713, 0.249367, 1.0]], ['2, k, 5', [-0.612167, 0.0201323, 1.0]], ['2, k, 6', [-0.654005, -0.209051, 1.0]], ['2, k, 7', [-0.626754, -0.266398, 1.0]], ['2, k, 8', [-0.139145, 0.276278, 1.0]], ['2, k, 9', [-0.0553115, 0.0216569, 1.0]], ['2, k, 10', [-0.0235824, -0.217622, 1.0]], ['2, k, 11', [-0.0247657, -0.252086, 1.0]], ['2, k, 12', [-0.369869, -0.246712, 1.0]], ['2, k, 13', [-0.398264, -0.637531, 1.0]], ['2, k, 14', [-0.413988, -0.989237, 1.0]], ['2, k, 15', [-0.410322, -1.05636, 1.0]], ['2, k, 16', [-0.200221, -0.233112, 1.0]], ['2, k, 17', [-0.16256, -0.633419, 1.0]], ['2, k, 18', [-0.148102, -1.00791, 1.0]], ['2, k, 19', [-0.132079, -1.06665, 1.0]], ['2, k, 20', [-0.320169, 0.288931, 1.0]], ['2, k, 21', [-0.617535, -0.299598, 1.0]], ['2, k, 22', [-0.551177, -0.27776, 1.0]], ['2, k, 23', [-0.0191663, -0.304236, 1.0]], ['2, k, 24', [-0.110616, -0.278067, 1.0]]]
[['2, k, 0', [-0.28943, -0.243402, 1.0]], ['2, k, 1', [-0.307737, 0.0637871, 1.0]], ['2, k, 2', [-0.323207, 0.361881, 1.0]], ['2, k, 3', [-0.349347, 0.509509, 1.0]], ['2, k, 4', [-0.49943, 0.252787, 1.0]], ['2, k, 5', [-0.608431, 0.0216315, 1.0]], ['2, k, 6', [-0.649618, -0.210735, 1.0]], ['2, k, 7', [-0.630031, -0.257038, 1.0]], ['2, k, 8', [-0.138713, 0.275778, 1.0]], ['2, k, 9', [-0.0530919, 0.0138611, 1.0]], ['2, k, 10', [-0.0209966, -0.229042, 1.0]], ['2, k, 11', [-0.0233008, -0.258718, 1.0]], ['2, k, 12', [-0.369575, -0.247028, 1.0]], ['2, k, 13', [-0.398269, -0.637444, 1.0]], ['2, k, 14', [-0.414122, -0.990069, 1.0]], ['2, k, 15', [-0.408264, -1.0589, 1.0]], ['2, k, 16', [-0.199709, -0.233429, 1.0]], ['2, k, 17', [-0.162342, -0.633047, 1.0]], ['2, k, 18', [-0.147741, -1.00775, 1.0]], ['2, k, 19', [-0.128073, -1.06832, 1.0]], ['2, k, 20', [-0.319673, 0.288527, 1.0]], ['2, k, 21', [-0.621597, -0.306683, 1.0]], ['2, k, 22', [-0.548908, -0.281987, 1.0]], ['2, k, 23', [-0.018264, -0.311189, 1.0]], ['2, k, 24', [-0.11056, -0.287514, 1.0]]]
[['2, k, 0', [-0.289312, -0.243878, 1.0]], ['2, k, 1', [-0.307399, 0.0633077, 1.0]], ['2, k, 2', [-0.322643, 0.361489, 1.0]], ['2, k, 3', [-0.349194, 0.509129, 1.0]], ['2, k, 4', [-0.502258, 0.250729, 1.0]], ['2, k, 5', [-0.608027, 0.0177383, 1.0]], ['2, k, 6', [-0.646622, -0.217349, 1.0]], ['2, k, 7', [-0.622718, -0.280295, 1.0]], ['2, k, 8', [-0.138418, 0.275207, 1.0]], ['2, k, 9', [-0.0503685, 0.00987773, 1.0]], ['2, k, 10', [-0.0148973, -0.235791, 1.0]], ['2, k, 11', [-0.0196029, -0.264498, 1.0]], ['2, k, 12', [-0.36945, -0.247471, 1.0]], ['2, k, 13', [-0.398104, -0.637118, 1.0]], ['2, k, 14', [-0.4142, -0.989914, 1.0]], ['2, k, 15', [-0.409267, -1.05735, 1.0]], ['2, k, 16', [-0.199696, -0.233907, 1.0]], ['2, k, 17', [-0.161924, -0.631777, 1.0]], ['2, k, 18', [-0.147822, -1.00755, 1.0]], ['2, k, 19', [-0.128517, -1.06788, 1.0]], ['2, k, 20', [-0.319182, 0.288117, 1.0]], ['2, k, 21', [-0.613646, -0.315869, 1.0]], ['2, k, 22', [-0.546902, -0.29342, 1.0]], ['2, k, 23', [-0.0162862, -0.319839, 1.0]], ['2, k, 24', [-0.106743, -0.290064, 1.0]]]
[['2, k, 0', [-0.289146, -0.244586, 1.0]], ['2, k, 1', [-0.307054, 0.062754, 1.0]], ['2, k, 2', [-0.322199, 0.361145, 1.0]], ['2, k, 3', [-0.348252, 0.508532, 1.0]], ['2, k, 4', [-0.502982, 0.249383, 1.0]], ['2, k, 5', [-0.606479, 0.0147782, 1.0]], ['2, k, 6', [-0.639122, -0.22492, 1.0]], ['2, k, 7', [-0.621725, -0.270784, 1.0]], ['2, k, 8', [-0.138187, 0.274641, 1.0]], ['2, k, 9', [-0.0443544, 0.000856897, 1.0]], ['2, k, 10', [-0.0114845, -0.246278, 1.0]], ['2, k, 11', [-0.0165035, -0.271236, 1.0]], ['2, k, 12', [-0.369388, -0.248228, 1.0]], ['2, k, 13', [-0.397863, -0.637236, 1.0]], ['2, k, 14', [-0.413973, -0.99055, 1.0]], ['2, k, 15', [-0.408982, -1.05826, 1.0]], ['2, k, 16', [-0.199578, -0.234432, 1.0]], ['2, k, 17', [-0.161921, -0.631798, 1.0]], ['2, k, 18', [-0.147852, -1.0075, 1.0]], ['2, k, 19', [-0.125351, -1.06893, 1.0]], ['2, k, 20', [-0.318774, 0.287734, 1.0]], ['2, k, 21', [-0.611804, -0.319308, 1.0]], ['2, k, 22', [-0.538977, -0.294072, 1.0]], ['2, k, 23', [-0.0169607, -0.324296, 1.0]], ['2, k, 24', [-0.102947, -0.296263, 1.0]]]
[['2, k, 0', [-0.28913, -0.245694, 1.0]], ['2, k, 1', [-0.306677, 0.062232, 1.0]], ['2, k, 2', [-0.321465, 0.360973, 1.0]], ['2, k, 3', [-0.347572, 0.508037, 1.0]], ['2, k, 4', [-0.504672, 0.247284, 1.0]], ['2, k, 5', [-0.603035, 0.00999583, 1.0]], ['2, k, 6', [-0.636541, -0.229812, 1.0]], ['2, k, 7', [-0.616567, -0.27379, 1.0]], ['2, k, 8', [-0.137663, 0.273774, 1.0]], ['2, k, 9', [-0.0417347, -0.00258259, 1.0]], ['2, k, 10', [-0.00934831, -0.251959, 1.0]], ['2, k, 11', [-0.0130848, -0.272347, 1.0]], ['2, k, 12', [-0.369329, -0.249462, 1.0]], ['2, k, 13', [-0.397892, -0.63788, 1.0]], ['2, k, 14', [-0.414496, -0.989632, 1.0]], ['2, k, 15', [-0.409021, -1.05832, 1.0]], ['2, k, 16', [-0.199715, -0.235313, 1.0]], ['2, k, 17', [-0.161964, -0.632133, 1.0]], ['2, k, 18', [-0.148589, -1.01026, 1.0]], ['2, k, 19', [-0.123766, -1.06925, 1.0]], ['2, k, 20', [-0.318173, 0.287486, 1.0]], ['2, k, 21', [-0.60529, -0.324039, 1.0]], ['2, k, 22', [-0.532423, -0.299811, 1.0]], ['2, k, 23', [-0.0121064, -0.326526, 1.0]], ['2, k, 24', [-0.0958055, -0.300794, 1.0]]]
[['2, k, 0', [-0.289219, -0.246671, 1.0]], ['2, k, 1', [-0.306263, 0.0617006, 1.0]], ['2, k, 2', [-0.320219, 0.36072, 1.0]], ['2, k, 3', [-0.346753, 0.507743, 1.0]], ['2, k, 4', [-0.505601, 0.246839, 1.0]], ['2, k, 5', [-0.602045, 0.0086486, 1.0]], ['2, k, 6', [-0.632707, -0.2338, 1.0]], ['2, k, 7', [-0.61354, -0.278406, 1.0]], ['2, k, 8', [-0.137268, 0.273222, 1.0]], ['2, k, 9', [-0.0401081, -0.0024738, 1.0]], ['2, k, 10', [-0.00664297, -0.253394, 1.0]], ['2, k, 11', [-0.00776068, -0.27336, 1.0]], ['2, k, 12', [-0.36941, -0.250325, 1.0]], ['2, k, 13', [-0.397994, -0.638436, 1.0]], ['2, k, 14', [-0.414891, -0.988494, 1.0]], ['2, k, 15', [-0.408549, -1.05777, 1.0]], ['2, k, 16', [-0.199924, -0.236318, 1.0]], ['2, k, 17', [-0.16205, -0.632604, 1.0]], ['2, k, 18', [-0.148224, -1.01124, 1.0]], ['2, k, 19', [-0.1238, -1.06952, 1.0]], ['2, k, 20', [-0.317202, 0.287141, 1.0]], ['2, k, 21', [-0.604857, -0.329315, 1.0]], ['2, k, 22', [-0.529284, -0.301553, 1.0]], ['2, k, 23', [-0.00940507, -0.332888, 1.0]], ['2, k, 24', [-0.0737093, -0.30168, 1.0]]]
[['2, k, 0', [-0.289294, -0.24692, 1.0]], ['2, k, 1', [-0.305972, 0.0615376, 1.0]], ['2, k, 2', [-0.319217, 0.360687, 1.0]], ['2, k, 3', [-0.345865, 0.507628, 1.0]], ['2, k, 4', [-0.506384, 0.246941, 1.0]], ['2, k, 5', [-0.600523, 0.00774067, 1.0]], ['2, k, 6', [-0.629908, -0.237562, 1.0]], ['2, k, 7', [-0.607702, -0.280853, 1.0]], ['2, k, 8', [-0.136549, 0.272561, 1.0]], ['2, k, 9', [-0.0347539, -0.00906322, 1.0]], ['2, k, 10', [0.000290437, -0.259715, 1.0]], ['2, k, 11', [-0.00268454, -0.275388, 1.0]], ['2, k, 12', [-0.369482, -0.25059, 1.0]], ['2, k, 13', [-0.397129, -0.641788, 1.0]], ['2, k, 14', [-0.414722, -0.989674, 1.0]], ['2, k, 15', [-0.412125, -1.06166, 1.0]], ['2, k, 16', [-0.200045, -0.236503, 1.0]], ['2, k, 17', [-0.162221, -0.632412, 1.0]], ['2, k, 18', [-0.148678, -1.00959, 1.0]], ['2, k, 19', [-0.12401, -1.06712, 1.0]], ['2, k, 20', [-0.316413, 0.287059, 1.0]], ['2, k, 21', [-0.599744, -0.33137, 1.0]], ['2, k, 22', [-0.527152, -0.305726, 1.0]], ['2, k, 23', [-0.0106003, -0.335746, 1.0]], ['2, k, 24', [-0.0706453, -0.305183, 1.0]]]
[['2, k, 0', [-0.289706, -0.247403, 1.0]], ['2, k, 1', [-0.305755, 0.061408, 1.0]], ['2, k, 2', [-0.318474, 0.360785, 1.0]], ['2, k, 3', [-0.345342, 0.507591, 1.0]], ['2, k, 4', [-0.506589, 0.247912, 1.0]], ['2, k, 5', [-0.598186, 0.00658227, 1.0]], ['2, k, 6', [-0.6284, -0.238833, 1.0]], ['2, k, 7', [-0.606483, -0.282579, 1.0]], ['2, k, 8', [-0.136157, 0.272153, 1.0]], ['2, k, 9', [-0.0337088, -0.00890933, 1.0]], ['2, k, 10', [0.00529706, -0.260054, 1.0]], ['2, k, 11', [0.00320114, -0.276243, 1.0]], ['2, k, 12', [-0.369682, -0.250854, 1.0]], ['2, k, 13', [-0.39775, -0.644765, 1.0]], ['2, k, 14', [-0.41358, -1.00038, 1.0]], ['2, k, 15', [-0.408807, -1.06676, 1.0]], ['2, k, 16', [-0.200762, -0.237117, 1.0]], ['2, k, 17', [-0.162884, -0.634152, 1.0]], ['2, k, 18', [-0.148988, -1.01091, 1.0]], ['2, k, 19', [-0.124491, -1.06823, 1.0]], ['2, k, 20', [-0.315863, 0.287086, 1.0]], ['2, k, 21', [-0.601982, -0.333206, 1.0]], ['2, k, 22', [-0.527873, -0.30618, 1.0]], ['2, k, 23', [-0.00307241, -0.331441, 1.0]], ['2, k, 24', [-0.0617231, -0.303034, 1.0]]]
[['2, k, 0', [-0.289934, -0.247664, 1.0]], ['2, k, 1', [-0.305171, 0.0611009, 1.0]], ['2, k, 2', [-0.315951, 0.360376, 1.0]], ['2, k, 3', [-0.344531, 0.507486, 1.0]], ['2, k, 4', [-0.506744, 0.248012, 1.0]], ['2, k, 5', [-0.597634, 0.00616854, 1.0]], ['2, k, 6', [-0.626924, -0.241322, 1.0]], ['2, k, 7', [-0.603056, -0.283289, 1.0]], ['2, k, 8', [-0.135299, 0.271334, 1.0]], ['2, k, 9', [-0.0323807, -0.00972263, 1.0]], ['2, k, 10', [0.0098436, -0.260924, 1.0]], ['2, k, 11', [0.0062002, -0.276302, 1.0]], ['2, k, 12', [-0.369897, -0.250961, 1.0]], ['2, k, 13', [-0.397963, -0.644603, 1.0]], ['2, k, 14', [-0.413929, -0.997717, 1.0]], ['2, k, 15', [-0.409272, -1.06267, 1.0]], ['2, k, 16', [-0.201068, -0.237492, 1.0]], ['2, k, 17', [-0.163547, -0.6368, 1.0]], ['2, k, 18', [-0.148966, -1.01106, 1.0]], ['2, k, 19', [-0.1218, -1.0678, 1.0]], ['2, k, 20', [-0.313903, 0.286691, 1.0]], ['2, k, 21', [-0.595672, -0.332916, 1.0]], ['2, k, 22', [-0.520849, -0.306344, 1.0]], ['2, k, 23', [0.00443397, -0.34004, 1.0]], ['2, k, 24', [-0.0550727, -0.304902, 1.0]]]
[['2, k, 0', [-0.290518, -0.24764, 1.0]], ['2, k, 1', [-0.304856, 0.0610827, 1.0]], ['2, k, 2', [-0.314816, 0.360505, 1.0]], ['2, k, 3', [-0.34304, 0.507277, 1.0]], ['2, k, 4', [-0.5066, 0.248103, 1.0]], ['2, k, 5', [-0.596767, 0.00342235, 1.0]], ['2, k, 6', [-0.623846, -0.243176, 1.0]], ['2, k, 7', [-0.600285, -0.283991, 1.0]], ['2, k, 8', [-0.133779, 0.269914, 1.0]], ['2, k, 9', [-0.0290418, -0.0122099, 1.0]], ['2, k, 10', [0.0139907, -0.263747, 1.0]], ['2, k, 11', [0.0102431, -0.276522, 1.0]], ['2, k, 12', [-0.370363, -0.250403, 1.0]], ['2, k, 13', [-0.398215, -0.643737, 1.0]], ['2, k, 14', [-0.415334, -0.995526, 1.0]], ['2, k, 15', [-0.409129, -1.06212, 1.0]], ['2, k, 16', [-0.201975, -0.238093, 1.0]], ['2, k, 17', [-0.164033, -0.636866, 1.0]], ['2, k, 18', [-0.150071, -1.01183, 1.0]], ['2, k, 19', [-0.121834, -1.06802, 1.0]], ['2, k, 20', [-0.312989, 0.286781, 1.0]], ['2, k, 21', [-0.587259, -0.333122, 1.0]], ['2, k, 22', [-0.521761, -0.30803, 1.0]], ['2, k, 23', [0.0065863, -0.342001, 1.0]], ['2, k, 24', [-0.0489893, -0.30727, 1.0]]]
[['2, k, 0', [-0.291174, -0.247526, 1.0]], ['2, k, 1', [-0.304757, 0.0611637, 1.0]], ['2, k, 2', [-0.314442, 0.360706, 1.0]], ['2, k, 3', [-0.34172, 0.507302, 1.0]], ['2, k, 4', [-0.506532, 0.248173, 1.0]], ['2, k, 5', [-0.595655, 0.000800514, 1.0]], ['2, k, 6', [-0.622684, -0.24626, 1.0]], ['2, k, 7', [-0.597377, -0.284446, 1.0]], ['2, k, 8', [-0.132253, 0.268856, 1.0]], ['2, k, 9', [-0.0263912, -0.012952, 1.0]], ['2, k, 10', [0.0179887, -0.264442, 1.0]], ['2, k, 11', [0.013127, -0.277613, 1.0]], ['2, k, 12', [-0.370859, -0.249936, 1.0]], ['2, k, 13', [-0.398358, -0.644228, 1.0]], ['2, k, 14', [-0.415453, -0.995657, 1.0]], ['2, k, 15', [-0.409232, -1.06256, 1.0]], ['2, k, 16', [-0.202897, -0.238387, 1.0]], ['2, k, 17', [-0.164643, -0.637082, 1.0]], ['2, k, 18', [-0.150261, -1.01272, 1.0]], ['2, k, 19', [-0.122719, -1.06748, 1.0]], ['2, k, 20', [-0.312664, 0.286952, 1.0]], ['2, k, 21', [-0.588004, -0.334052, 1.0]], ['2, k, 22', [-0.517797, -0.308299, 1.0]], ['2, k, 23', [0.00458852, -0.339828, 1.0]], ['2, k, 24', [-0.0506377, -0.308178, 1.0]]]
[['2, k, 0', [-0.292093, -0.247687, 1.0]], ['2, k, 1', [-0.30473, 0.0610958, 1.0]], ['2, k, 2', [-0.314191, 0.360769, 1.0]], ['2, k, 3', [-0.340362, 0.507343, 1.0]], ['2, k, 4', [-0.506222, 0.24828, 1.0]], ['2, k, 5', [-0.594929, -0.000347955, 1.0]], ['2, k, 6', [-0.620958, -0.247854, 1.0]], ['2, k, 7', [-0.594505, -0.284475, 1.0]], ['2, k, 8', [-0.131146, 0.268434, 1.0]], ['2, k, 9', [-0.0224366, -0.0134081, 1.0]], ['2, k, 10', [0.0213848, -0.265019, 1.0]], ['2, k, 11', [0.015507, -0.27663, 1.0]], ['2, k, 12', [-0.371511, -0.249551, 1.0]], ['2, k, 13', [-0.398965, -0.644617, 1.0]], ['2, k, 14', [-0.41533, -0.991311, 1.0]], ['2, k, 15', [-0.408787, -1.06212, 1.0]], ['2, k, 16', [-0.204164, -0.239294, 1.0]], ['2, k, 17', [-0.165503, -0.637752, 1.0]], ['2, k, 18', [-0.150092, -1.01288, 1.0]], ['2, k, 19', [-0.122922, -1.06995, 1.0]], ['2, k, 20', [-0.312436, 0.286996, 1.0]], ['2, k, 21', [-0.584483, -0.335192, 1.0]], ['2, k, 22', [-0.513697, -0.308809, 1.0]], ['2, k, 23', [0.00975957, -0.340005, 1.0]], ['2, k, 24', [-0.0451893, -0.308975, 1.0]]]
[['2, k, 0', [-0.292441, -0.247878, 1.0]], ['2, k, 1', [-0.304252, 0.0610479, 1.0]], ['2, k, 2', [-0.313139, 0.360945, 1.0]], ['2, k, 3', [-0.33892, 0.507337, 1.0]], ['2, k, 4', [-0.505748, 0.248376, 1.0]], ['2, k, 5', [-0.594525, -0.00177802, 1.0]], ['2, k, 6', [-0.619375, -0.250219, 1.0]], ['2, k, 7', [-0.594893, -0.285708, 1.0]], ['2, k, 8', [-0.129393, 0.267614, 1.0]], ['2, k, 9', [-0.0193114, -0.0139467, 1.0]], ['2, k, 10', [0.023886, -0.26575, 1.0]], ['2, k, 11', [0.0181336, -0.275552, 1.0]], ['2, k, 12', [-0.37185, -0.249715, 1.0]], ['2, k, 13', [-0.399104, -0.645014, 1.0]], ['2, k, 14', [-0.416154, -0.991431, 1.0]], ['2, k, 15', [-0.408692, -1.06207, 1.0]], ['2, k, 16', [-0.204486, -0.239375, 1.0]], ['2, k, 17', [-0.166827, -0.638934, 1.0]], ['2, k, 18', [-0.150906, -1.01559, 1.0]], ['2, k, 19', [-0.123549, -1.07114, 1.0]], ['2, k, 20', [-0.311554, 0.287114, 1.0]], ['2, k, 21', [-0.584948, -0.336687, 1.0]], ['2, k, 22', [-0.518031, -0.309337, 1.0]], ['2, k, 23', [0.0172646, -0.34192, 1.0]], ['2, k, 24', [-0.0371311, -0.310329, 1.0]]]
[['2, k, 0', [-0.292931, -0.247896, 1.0]], ['2, k, 1', [-0.303947, 0.0609032, 1.0]], ['2, k, 2', [-0.312304, 0.360789, 1.0]], ['2, k, 3', [-0.336859, 0.507095, 1.0]], ['2, k, 4', [-0.505571, 0.248341, 1.0]], ['2, k, 5', [-0.594134, -0.00242534, 1.0]], ['2, k, 6', [-0.615539, -0.251695, 1.0]], ['2, k, 7', [-0.592314, -0.287297, 1.0]], ['2, k, 8', [-0.128227, 0.267041, 1.0]], ['2, k, 9', [-0.017615, -0.0140341, 1.0]], ['2, k, 10', [0.02658, -0.265618, 1.0]], ['2, k, 11', [0.0187842, -0.273813, 1.0]], ['2, k, 12', [-0.372173, -0.24942, 1.0]], ['2, k, 13', [-0.399483, -0.645894, 1.0]], ['2, k, 14', [-0.415795, -0.993187, 1.0]], ['2, k, 15', [-0.409145, -1.06181, 1.0]], ['2, k, 16', [-0.205173, -0.239745, 1.0]], ['2, k, 17', [-0.167203, -0.639162, 1.0]], ['2, k, 18', [-0.150171, -1.0161, 1.0]], ['2, k, 19', [-0.12328, -1.07253, 1.0]], ['2, k, 20', [-0.31087, 0.286977, 1.0]], ['2, k, 21', [-0.583445, -0.339335, 1.0]], ['2, k, 22', [-0.513217, -0.310665, 1.0]], ['2, k, 23', [0.0234699, -0.340931, 1.0]], ['2, k, 24', [-0.0343768, -0.309361, 1.0]]]
