[['2, k, 0', [0.0883765, -0.277336, 1.0]], ['2, k, 1', [-0.000167102, 0.0180009, 1.0]], ['2, k, 2', [-0.0866472, 0.306358, 1.0]], ['2, k, 3', [-0.180376, 0.421855, 1.0]], ['2, k, 4', [-0.271386, 0.362845, 1.0]], ['2, k, 5', [-0.375701, 0.114106, 1.0]], ['2, k, 6', [-0.632971, 0.149623, 1.0]], ['2, k, 7', [-0.717506, 0.198933, 1.0]], ['2, k, 8', [0.0525529, 0.263824, 1.0]], ['2, k, 9', [-0.125644, 0.463403, 1.0]], ['2, k, 10', [-0.346188, 0.619206, 1.0]], ['2, k, 11', [-0.430814, 0.643582, 1.0]], ['2, k, 12', [0.0133732, -0.250982, 1.0]], ['2, k, 13', [-0.0659229, -0.544696, 1.0]], ['2, k, 14', [-0.0361111, -0.603006, 1.0]], ['2, k, 15', [-0.0434956, -0.728131, 1.0]], ['2, k, 16', [0.161028, -0.296258, 1.0]], ['2, k, 17', [0.065636, -0.612163, 1.0]], ['2, k, 18', [0.139848, -0.63754, 1.0]], ['2, k, 19', [0.12287, -0.76125, 1.0]], ['2, k, 20', [-0.0653278, 0.235288, 1.0]], ['2, k, 21', [-0.781504, 0.235246, 1.0]], ['2, k, 22', [-0.75657, 0.156085, 1.0]], ['2, k, 23', [-0.49715, 0.669209, 1.0]], ['2, k, 24', [-0.499001, 0.569673, 1.0]]]
[['2, k, 0', [-0.111806, -0.209692, 1.0]], ['2, k, 1', [-0.0580021, 0.0622151, 1.0]], ['2, k, 2', [0.000256919, 0.326423, 1.0]], ['2, k, 3', [0.0790984, 0.441898, 1.0]], ['2, k, 4', [-0.134793, 0.287478, 1.0]], ['2, k, 5', [0.00334712, 0.525855, 1.0]], ['2, k, 6', [0.220314, 0.702445, 1.0]], ['2, k, 7', [0.275168, 0.733555, 1.0]], ['2, k, 8', [0.116345, 0.251185, 1.0]], ['2, k, 9', [0.316511, 0.197159, 1.0]], ['2, k, 10', [0.575829, 0.30128, 1.0]], ['2, k, 11', [0.625858, 0.350978, 1.0]], ['2, k, 12', [-0.169342, -0.198878, 1.0]], ['2, k, 13', [-0.205731, -0.507826, 1.0]], ['2, k, 14', [-0.213467, -0.751779, 1.0]], ['2, k, 15', [-0.177289, -0.803831, 1.0]], ['2, k, 16', [-0.0524557, -0.216042, 1.0]], ['2, k, 17', [-0.0189155, -0.485474, 1.0]], ['2, k, 18', [-0.0182411, -0.719788, 1.0]], ['2, k, 19', [0.0046144, -0.767854, 1.0]], ['2, k, 20', [-0.0137852, 0.261546, 1.0]], ['2, k, 21', [0.338854, 0.749385, 1.0]], ['2, k, 22', [0.314538, 0.702095, 1.0]], ['2, k, 23', [0.65276, 0.387957, 1.0]], ['2, k, 24', [0.582552, 0.43108, 1.0]]]
[['2, k, 0', [-0.11232, -0.210944, 1.0]], ['2, k, 1', [-0.0582898, 0.0623001, 1.0]], ['2, k, 2', [-0.00257457, 0.32967, 1.0]], ['2, k, 3', [0.0825824, 0.436379, 1.0]], ['2, k, 4', [-0.134108, 0.287052, 1.0]], ['2, k, 5', [0.0230503, 0.515637, 1.0]], ['2, k, 6', [0.233383, 0.699467, 1.0]], ['2, k, 7', [0.295304, 0.733612, 1.0]], ['2, k, 8', [0.118155, 0.247773, 1.0]], ['2, k, 9', [0.317508, 0.19251, 1.0]], ['2, k, 10', [0.512744, 0.257965, 1.0]], ['2, k, 11', [0.596115, 0.307765, 1.0]], ['2, k, 12', [-0.169478, -0.200214, 1.0]], ['2, k, 13', [-0.206942, -0.509474, 1.0]], ['2, k, 14', [-0.213459, -0.751934, 1.0]], ['2, k, 15', [-0.177114, -0.804044, 1.0]], ['2, k, 16', [-0.0531357, -0.216994, 1.0]], ['2, k, 17', [-0.0216012, -0.493542, 1.0]], ['2, k, 18', [-0.0186901, -0.719446, 1.0]], ['2, k, 19', [0.0151443, -0.75096, 1.0]], ['2, k, 20', [-0.0158238, 0.263526, 1.0]], ['2, k, 21', [0.340847, 0.739817, 1.0]], ['2, k, 22', [0.331691, 0.694183, 1.0]], ['2, k, 23', [0.643087, 0.378006, 1.0]], ['2, k, 24', [0.61204, 0.387695, 1.0]]]
[['2, k, 0', [-0.112604, -0.211977, 1.0]], ['2, k, 1', [-0.0580821, 0.0635601, 1.0]], ['2, k, 2', [-0.00172745, 0.339464, 1.0]], ['2, k, 3', [0.0856012, 0.433298, 1.0]], ['2, k, 4', [-0.133096, 0.28643, 1.0]], ['2, k, 5', [0.024177, 0.515791, 1.0]], ['2, k, 6', [0.234345, 0.68913, 1.0]], ['2, k, 7', [0.299543, 0.71864, 1.0]], ['2, k, 8', [0.119604, 0.246416, 1.0]], ['2, k, 9', [0.318734, 0.189005, 1.0]], ['2, k, 10', [0.51437, 0.255164, 1.0]], ['2, k, 11', [0.610087, 0.289264, 1.0]], ['2, k, 12', [-0.16946, -0.200843, 1.0]], ['2, k, 13', [-0.210898, -0.509937, 1.0]], ['2, k, 14', [-0.209161, -0.729929, 1.0]], ['2, k, 15', [-0.172526, -0.782247, 1.0]], ['2, k, 16', [-0.0536913, -0.218325, 1.0]], ['2, k, 17', [-0.0224408, -0.494255, 1.0]], ['2, k, 18', [-0.0191248, -0.718588, 1.0]], ['2, k, 19', [0.0300614, -0.761539, 1.0]], ['2, k, 20', [-0.0153664, 0.27059, 1.0]], ['2, k, 21', [0.361002, 0.720297, 1.0]], ['2, k, 22', [0.334648, 0.676381, 1.0]], ['2, k, 23', [0.670084, 0.318372, 1.0]], ['2, k, 24', [0.630685, 0.335251, 1.0]]]
[['2, k, 0', [-0.11443, -0.214598, 1.0]], ['2, k, 1', [-0.0588859, 0.0630481, 1.0]], ['2, k, 2', [-0.00302114, 0.338746, 1.0]], ['2, k, 3', [0.0939642, 0.423553, 1.0]], ['2, k, 4', [-0.132619, 0.285484, 1.0]], ['2, k, 5', [0.0251841, 0.515348, 1.0]], ['2, k, 6', [0.233495, 0.681244, 1.0]], ['2, k, 7', [0.305121, 0.7084, 1.0]], ['2, k, 8', [0.119118, 0.242709, 1.0]], ['2, k, 9', [0.318315, 0.184941, 1.0]], ['2, k, 10', [0.51665, 0.243668, 1.0]], ['2, k, 11', [0.613468, 0.278853, 1.0]], ['2, k, 12', [-0.170824, -0.202697, 1.0]], ['2, k, 13', [-0.212449, -0.512007, 1.0]], ['2, k, 14', [-0.209373, -0.732013, 1.0]], ['2, k, 15', [-0.172683, -0.784317, 1.0]], ['2, k, 16', [-0.0556799, -0.221452, 1.0]], ['2, k, 17', [-0.0264034, -0.498216, 1.0]], ['2, k, 18', [-0.0194334, -0.719472, 1.0]], ['2, k, 19', [0.0151342, -0.771844, 1.0]], ['2, k, 20', [-0.0165584, 0.270076, 1.0]], ['2, k, 21', [0.364812, 0.721703, 1.0]], ['2, k, 22', [0.330119, 0.667311, 1.0]], ['2, k, 23', [0.670459, 0.314895, 1.0]], ['2, k, 24', [0.626291, 0.324295, 1.0]]]
[['2, k, 0', [-0.117016, -0.217116, 1.0]], ['2, k, 1', [-0.0591949, 0.0630651, 1.0]], ['2, k, 2', [-0.00296065, 0.339276, 1.0]], ['2, k, 3', [0.0942863, 0.422646, 1.0]], ['2, k, 4', [-0.132248, 0.284465, 1.0]], ['2, k, 5', [0.0288041, 0.512917, 1.0]], ['2, k, 6', [0.230298, 0.669008, 1.0]], ['2, k, 7', [0.306446, 0.697874, 1.0]], ['2, k, 8', [0.118843, 0.238845, 1.0]], ['2, k, 9', [0.315332, 0.170557, 1.0]], ['2, k, 10', [0.512148, 0.235409, 1.0]], ['2, k, 11', [0.609416, 0.265846, 1.0]], ['2, k, 12', [-0.172694, -0.204943, 1.0]], ['2, k, 13', [-0.214147, -0.515302, 1.0]], ['2, k, 14', [-0.209289, -0.734368, 1.0]], ['2, k, 15', [-0.172643, -0.786721, 1.0]], ['2, k, 16', [-0.0587782, -0.224005, 1.0]], ['2, k, 17', [-0.0319541, -0.499235, 1.0]], ['2, k, 18', [-0.0199549, -0.719787, 1.0]], ['2, k, 19', [0.0145766, -0.772223, 1.0]], ['2, k, 20', [-0.0166351, 0.270507, 1.0]], ['2, k, 21', [0.366149, 0.708556, 1.0]], ['2, k, 22', [0.331725, 0.661651, 1.0]], ['2, k, 23', [0.661774, 0.305542, 1.0]], ['2, k, 24', [0.629641, 0.325648, 1.0]]]
[['2, k, 0', [-0.121751, -0.229016, 1.0]], ['2, k, 1', [-0.0598986, 0.0611376, 1.0]], ['2, k, 2', [-0.00274749, 0.3394, 1.0]], ['2, k, 3', [0.0946326, 0.422045, 1.0]], ['2, k, 4', [-0.13191, 0.283528, 1.0]], ['2, k, 5', [0.0315895, 0.511137, 1.0]], ['2, k, 6', [0.268604, 0.664966, 1.0]], ['2, k, 7', [0.321662, 0.69306, 1.0]], ['2, k, 8', [0.119476, 0.225297, 1.0]], ['2, k, 9', [0.319844, 0.167066, 1.0]], ['2, k, 10', [0.519231, 0.224008, 1.0]], ['2, k, 11', [0.614907, 0.254545, 1.0]], ['2, k, 12', [-0.178599, -0.217565, 1.0]], ['2, k, 13', [-0.21796, -0.525393, 1.0]], ['2, k, 14', [-0.209916, -0.743842, 1.0]], ['2, k, 15', [-0.22312, -0.82094, 1.0]], ['2, k, 16', [-0.0622903, -0.235116, 1.0]], ['2, k, 17', [-0.0346962, -0.499788, 1.0]], ['2, k, 18', [-0.0193327, -0.720946, 1.0]], ['2, k, 19', [0.0156795, -0.773296, 1.0]], ['2, k, 20', [-0.016605, 0.270499, 1.0]], ['2, k, 21', [0.378736, 0.698212, 1.0]], ['2, k, 22', [0.374652, 0.647518, 1.0]], ['2, k, 23', [0.671739, 0.285012, 1.0]], ['2, k, 24', [0.634748, 0.309239, 1.0]]]
[['2, k, 0', [-0.122637, -0.233741, 1.0]], ['2, k, 1', [-0.0603203, 0.0594722, 1.0]], ['2, k, 2', [-0.00260287, 0.339572, 1.0]], ['2, k, 3', [0.095327, 0.419786, 1.0]], ['2, k, 4', [-0.131879, 0.282106, 1.0]], ['2, k, 5', [0.0379388, 0.506138, 1.0]], ['2, k, 6', [0.278234, 0.655771, 1.0]], ['2, k, 7', [0.32489, 0.683614, 1.0]], ['2, k, 8', [0.119638, 0.218998, 1.0]], ['2, k, 9', [0.321159, 0.163092, 1.0]], ['2, k, 10', [0.522947, 0.213952, 1.0]], ['2, k, 11', [0.617505, 0.244727, 1.0]], ['2, k, 12', [-0.179408, -0.222604, 1.0]], ['2, k, 13', [-0.219532, -0.529654, 1.0]], ['2, k, 14', [-0.210026, -0.747487, 1.0]], ['2, k, 15', [-0.221901, -0.821883, 1.0]], ['2, k, 16', [-0.0631518, -0.23957, 1.0]], ['2, k, 17', [-0.0360252, -0.501666, 1.0]], ['2, k, 18', [-0.019397, -0.722663, 1.0]], ['2, k, 19', [0.0158856, -0.774993, 1.0]], ['2, k, 20', [-0.0165833, 0.270487, 1.0]], ['2, k, 21', [0.391482, 0.67977, 1.0]], ['2, k, 22', [0.332739, 0.642588, 1.0]], ['2, k, 23', [0.674775, 0.271238, 1.0]], ['2, k, 24', [0.634103, 0.299683, 1.0]]]
[['2, k, 0', [-0.123469, -0.235984, 1.0]], ['2, k, 1', [-0.0616601, 0.0563423, 1.0]], ['2, k, 2', [-0.00314356, 0.338212, 1.0]], ['2, k, 3', [0.0989482, 0.413279, 1.0]], ['2, k, 4', [-0.131366, 0.280621, 1.0]], ['2, k, 5', [0.0417361, 0.503286, 1.0]], ['2, k, 6', [0.279717, 0.657255, 1.0]], ['2, k, 7', [0.327763, 0.678962, 1.0]], ['2, k, 8', [0.120175, 0.216251, 1.0]], ['2, k, 9', [0.321187, 0.156754, 1.0]], ['2, k, 10', [0.522436, 0.210898, 1.0]], ['2, k, 11', [0.618245, 0.235984, 1.0]], ['2, k, 12', [-0.179869, -0.224485, 1.0]], ['2, k, 13', [-0.22046, -0.53183, 1.0]], ['2, k, 14', [-0.20973, -0.749323, 1.0]], ['2, k, 15', [-0.226578, -0.823547, 1.0]], ['2, k, 16', [-0.0643119, -0.242019, 1.0]], ['2, k, 17', [-0.0372328, -0.501745, 1.0]], ['2, k, 18', [-0.0197363, -0.722736, 1.0]], ['2, k, 19', [0.0157532, -0.775062, 1.0]], ['2, k, 20', [-0.0173517, 0.268761, 1.0]], ['2, k, 21', [0.386455, 0.689068, 1.0]], ['2, k, 22', [0.364156, 0.63849, 1.0]], ['2, k, 23', [0.673485, 0.265724, 1.0]], ['2, k, 24', [0.631618, 0.291708, 1.0]]]
[['2, k, 0', [-0.125696, -0.237748, 1.0]], ['2, k, 1', [-0.0627054, 0.0546283, 1.0]], ['2, k, 2', [-0.00301306, 0.337432, 1.0]], ['2, k, 3', [0.0983129, 0.412515, 1.0]], ['2, k, 4', [-0.131477, 0.279447, 1.0]], ['2, k, 5', [0.0434454, 0.500772, 1.0]], ['2, k, 6', [0.289192, 0.642388, 1.0]], ['2, k, 7', [0.331538, 0.670127, 1.0]], ['2, k, 8', [0.12051, 0.215753, 1.0]], ['2, k, 9', [0.31933, 0.149116, 1.0]], ['2, k, 10', [0.584187, 0.193909, 1.0]], ['2, k, 11', [0.629304, 0.229612, 1.0]], ['2, k, 12', [-0.181467, -0.225984, 1.0]], ['2, k, 13', [-0.221346, -0.533558, 1.0]], ['2, k, 14', [-0.208446, -0.751365, 1.0]], ['2, k, 15', [-0.226364, -0.827204, 1.0]], ['2, k, 16', [-0.0672552, -0.243984, 1.0]], ['2, k, 17', [-0.0381473, -0.501699, 1.0]], ['2, k, 18', [-0.0207025, -0.723133, 1.0]], ['2, k, 19', [0.0148126, -0.775483, 1.0]], ['2, k, 20', [-0.0174647, 0.267818, 1.0]], ['2, k, 21', [0.383601, 0.681401, 1.0]], ['2, k, 22', [0.386479, 0.62523, 1.0]], ['2, k, 23', [0.67623, 0.253837, 1.0]], ['2, k, 24', [0.637049, 0.274792, 1.0]]]
[['2, k, 0', [-0.128444, -0.239952, 1.0]], ['2, k, 1', [-0.0639489, 0.052883, 1.0]], ['2, k, 2', [-0.00293182, 0.336639, 1.0]], ['2, k, 3', [0.0981713, 0.412379, 1.0]], ['2, k, 4', [-0.131866, 0.278201, 1.0]], ['2, k, 5', [0.0440915, 0.49947, 1.0]], ['2, k, 6', [0.290349, 0.641204, 1.0]], ['2, k, 7', [0.333885, 0.665337, 1.0]], ['2, k, 8', [0.119996, 0.213208, 1.0]], ['2, k, 9', [0.313369, 0.13179, 1.0]], ['2, k, 10', [0.576142, 0.185682, 1.0]], ['2, k, 11', [0.627323, 0.221548, 1.0]], ['2, k, 12', [-0.18316, -0.227626, 1.0]], ['2, k, 13', [-0.222155, -0.535607, 1.0]], ['2, k, 14', [-0.207173, -0.753073, 1.0]], ['2, k, 15', [-0.231925, -0.825921, 1.0]], ['2, k, 16', [-0.0710502, -0.246593, 1.0]], ['2, k, 17', [-0.0390842, -0.502026, 1.0]], ['2, k, 18', [-0.0213406, -0.723814, 1.0]], ['2, k, 19', [-0.0200601, -0.787543, 1.0]], ['2, k, 20', [-0.0176737, 0.266839, 1.0]], ['2, k, 21', [0.394419, 0.666771, 1.0]], ['2, k, 22', [0.385961, 0.617982, 1.0]], ['2, k, 23', [0.675915, 0.250916, 1.0]], ['2, k, 24', [0.633812, 0.265388, 1.0]]]
[['2, k, 0', [-0.129585, -0.2417, 1.0]], ['2, k, 1', [-0.0648149, 0.0512337, 1.0]], ['2, k, 2', [-0.00311192, 0.335741, 1.0]], ['2, k, 3', [0.0978864, 0.412167, 1.0]], ['2, k, 4', [-0.131792, 0.277156, 1.0]], ['2, k, 5', [0.0452452, 0.498098, 1.0]], ['2, k, 6', [0.291895, 0.639995, 1.0]], ['2, k, 7', [0.337174, 0.660476, 1.0]], ['2, k, 8', [0.120034, 0.2129, 1.0]], ['2, k, 9', [0.311056, 0.12541, 1.0]], ['2, k, 10', [0.512824, 0.182603, 1.0]], ['2, k, 11', [0.611393, 0.210172, 1.0]], ['2, k, 12', [-0.183568, -0.229513, 1.0]], ['2, k, 13', [-0.222859, -0.537903, 1.0]], ['2, k, 14', [-0.20675, -0.755772, 1.0]], ['2, k, 15', [-0.237137, -0.827575, 1.0]], ['2, k, 16', [-0.0729517, -0.248088, 1.0]], ['2, k, 17', [-0.040209, -0.502258, 1.0]], ['2, k, 18', [-0.0211337, -0.724417, 1.0]], ['2, k, 19', [0.0143886, -0.776829, 1.0]], ['2, k, 20', [-0.018056, 0.265717, 1.0]], ['2, k, 21', [0.395103, 0.659778, 1.0]], ['2, k, 22', [0.372119, 0.61849, 1.0]], ['2, k, 23', [0.664127, 0.254725, 1.0]], ['2, k, 24', [0.6327, 0.273758, 1.0]]]
[['2, k, 0', [-0.130454, -0.242896, 1.0]], ['2, k, 1', [-0.0656452, 0.0501012, 1.0]], ['2, k, 2', [-0.00347262, 0.335135, 1.0]], ['2, k, 3', [0.0978015, 0.410454, 1.0]], ['2, k, 4', [-0.132269, 0.275959, 1.0]], ['2, k, 5', [0.0463427, 0.496411, 1.0]], ['2, k, 6', [0.293872, 0.637883, 1.0]], ['2, k, 7', [0.33986, 0.657019, 1.0]], ['2, k, 8', [0.120101, 0.212737, 1.0]], ['2, k, 9', [0.31277, 0.127434, 1.0]], ['2, k, 10', [0.516388, 0.178989, 1.0]], ['2, k, 11', [0.614554, 0.205985, 1.0]], ['2, k, 12', [-0.184164, -0.230829, 1.0]], ['2, k, 13', [-0.223504, -0.539699, 1.0]], ['2, k, 14', [-0.206863, -0.757501, 1.0]], ['2, k, 15', [-0.239265, -0.828997, 1.0]], ['2, k, 16', [-0.0739469, -0.249045, 1.0]], ['2, k, 17', [-0.043441, -0.514969, 1.0]], ['2, k, 18', [-0.0203552, -0.735259, 1.0]], ['2, k, 19', [0.0150716, -0.787592, 1.0]], ['2, k, 20', [-0.0185834, 0.264943, 1.0]], ['2, k, 21', [0.399946, 0.654851, 1.0]], ['2, k, 22', [0.393494, 0.60446, 1.0]], ['2, k, 23', [0.670969, 0.234736, 1.0]], ['2, k, 24', [0.628697, 0.260173, 1.0]]]
[['2, k, 0', [-0.132643, -0.244881, 1.0]], ['2, k, 1', [-0.0668555, 0.0482738, 1.0]], ['2, k, 2', [-0.00365884, 0.333752, 1.0]], ['2, k, 3', [0.0980711, 0.408808, 1.0]], ['2, k, 4', [-0.133126, 0.273899, 1.0]], ['2, k, 5', [0.0463695, 0.494444, 1.0]], ['2, k, 6', [0.292409, 0.639527, 1.0]], ['2, k, 7', [0.339328, 0.653314, 1.0]], ['2, k, 8', [0.120094, 0.212509, 1.0]], ['2, k, 9', [0.313198, 0.1264, 1.0]], ['2, k, 10', [0.519122, 0.169428, 1.0]], ['2, k, 11', [0.616832, 0.201841, 1.0]], ['2, k, 12', [-0.185991, -0.232673, 1.0]], ['2, k, 13', [-0.224495, -0.54188, 1.0]], ['2, k, 14', [-0.206728, -0.759072, 1.0]], ['2, k, 15', [-0.243401, -0.824297, 1.0]], ['2, k, 16', [-0.076306, -0.251036, 1.0]], ['2, k, 17', [-0.0438756, -0.521048, 1.0]], ['2, k, 18', [-0.0204402, -0.740798, 1.0]], ['2, k, 19', [-0.0526962, -0.800341, 1.0]], ['2, k, 20', [-0.0190393, 0.263442, 1.0]], ['2, k, 21', [0.397285, 0.649858, 1.0]], ['2, k, 22', [0.351783, 0.613453, 1.0]], ['2, k, 23', [0.673838, 0.226335, 1.0]], ['2, k, 24', [0.632161, 0.255065, 1.0]]]
[['2, k, 0', [-0.134017, -0.245661, 1.0]], ['2, k, 1', [-0.067427, 0.0475926, 1.0]], ['2, k, 2', [-0.00360932, 0.333166, 1.0]], ['2, k, 3', [0.0983219, 0.407097, 1.0]], ['2, k, 4', [-0.133267, 0.273613, 1.0]], ['2, k, 5', [0.0468095, 0.494375, 1.0]], ['2, k, 6', [0.293439, 0.639608, 1.0]], ['2, k, 7', [0.339675, 0.651557, 1.0]], ['2, k, 8', [0.120118, 0.212423, 1.0]], ['2, k, 9', [0.313478, 0.125649, 1.0]], ['2, k, 10', [0.520039, 0.167617, 1.0]], ['2, k, 11', [0.614703, 0.199025, 1.0]], ['2, k, 12', [-0.187367, -0.233509, 1.0]], ['2, k, 13', [-0.225891, -0.543101, 1.0]], ['2, k, 14', [-0.206277, -0.759669, 1.0]], ['2, k, 15', [-0.24841, -0.82524, 1.0]], ['2, k, 16', [-0.0775651, -0.251713, 1.0]], ['2, k, 17', [-0.0444106, -0.522881, 1.0]], ['2, k, 18', [-0.0203339, -0.742481, 1.0]], ['2, k, 19', [-0.052252, -0.802194, 1.0]], ['2, k, 20', [-0.0191549, 0.262857, 1.0]], ['2, k, 21', [0.390978, 0.661793, 1.0]], ['2, k, 22', [0.385344, 0.608067, 1.0]], ['2, k, 23', [0.671402, 0.232919, 1.0]], ['2, k, 24', [0.62946, 0.252125, 1.0]]]
[['2, k, 0', [-0.135482, -0.245281, 1.0]], ['2, k, 1', [-0.0681129, 0.0474287, 1.0]], ['2, k, 2', [-0.00374926, 0.332843, 1.0]], ['2, k, 3', [0.0885341, 0.413154, 1.0]], ['2, k, 4', [-0.13256, 0.277681, 1.0]], ['2, k, 5', [0.0486741, 0.497195, 1.0]], ['2, k, 6', [0.294452, 0.643809, 1.0]], ['2, k, 7', [0.339712, 0.649429, 1.0]], ['2, k, 8', [0.120095, 0.212399, 1.0]], ['2, k, 9', [0.313431, 0.125307, 1.0]], ['2, k, 10', [0.520229, 0.165983, 1.0]], ['2, k, 11', [0.61179, 0.196853, 1.0]], ['2, k, 12', [-0.188514, -0.233173, 1.0]], ['2, k, 13', [-0.226203, -0.543082, 1.0]], ['2, k, 14', [-0.205846, -0.760403, 1.0]], ['2, k, 15', [-0.249117, -0.825833, 1.0]], ['2, k, 16', [-0.0793004, -0.251281, 1.0]], ['2, k, 17', [-0.0448222, -0.524118, 1.0]], ['2, k, 18', [-0.0206528, -0.743928, 1.0]], ['2, k, 19', [-0.0511024, -0.806006, 1.0]], ['2, k, 20', [-0.0194098, 0.262563, 1.0]], ['2, k, 21', [0.391109, 0.653247, 1.0]], ['2, k, 22', [0.376699, 0.607721, 1.0]], ['2, k, 23', [0.666095, 0.230218, 1.0]], ['2, k, 24', [0.631034, 0.250496, 1.0]]]
[['2, k, 0', [-0.136761, -0.246193, 1.0]], ['2, k, 1', [-0.0690059, 0.0467209, 1.0]], ['2, k, 2', [-0.00401897, 0.332487, 1.0]], ['2, k, 3', [0.0863472, 0.414866, 1.0]], ['2, k, 4', [-0.133291, 0.276087, 1.0]], ['2, k, 5', [0.0475594, 0.495831, 1.0]], ['2, k, 6', [0.29341, 0.642319, 1.0]], ['2, k, 7', [0.339079, 0.650344, 1.0]], ['2, k, 8', [0.12008, 0.212397, 1.0]], ['2, k, 9', [0.313662, 0.12562, 1.0]], ['2, k, 10', [0.520585, 0.165151, 1.0]], ['2, k, 11', [0.613387, 0.198224, 1.0]], ['2, k, 12', [-0.189813, -0.234139, 1.0]], ['2, k, 13', [-0.226905, -0.544154, 1.0]], ['2, k, 14', [-0.205736, -0.761894, 1.0]], ['2, k, 15', [-0.236961, -0.830009, 1.0]], ['2, k, 16', [-0.08051, -0.252124, 1.0]], ['2, k, 17', [-0.0450667, -0.524965, 1.0]], ['2, k, 18', [-0.0208389, -0.745399, 1.0]], ['2, k, 19', [0.0145745, -0.797642, 1.0]], ['2, k, 20', [-0.0198462, 0.262103, 1.0]], ['2, k, 21', [0.393257, 0.651111, 1.0]], ['2, k, 22', [0.383057, 0.60644, 1.0]], ['2, k, 23', [0.669314, 0.220899, 1.0]], ['2, k, 24', [0.630999, 0.251694, 1.0]]]
[['2, k, 0', [-0.138392, -0.24719, 1.0]], ['2, k, 1', [-0.069864, 0.0461321, 1.0]], ['2, k, 2', [-0.00414778, 0.33231, 1.0]], ['2, k, 3', [0.0871467, 0.413575, 1.0]], ['2, k, 4', [-0.133719, 0.275629, 1.0]], ['2, k, 5', [0.0470993, 0.495347, 1.0]], ['2, k, 6', [0.287012, 0.637405, 1.0]], ['2, k, 7', [0.333655, 0.651375, 1.0]], ['2, k, 8', [0.117766, 0.206896, 1.0]], ['2, k, 9', [0.314079, 0.127586, 1.0]], ['2, k, 10', [0.521494, 0.164613, 1.0]], ['2, k, 11', [0.61193, 0.200835, 1.0]], ['2, k, 12', [-0.191453, -0.235121, 1.0]], ['2, k, 13', [-0.227642, -0.545147, 1.0]], ['2, k, 14', [-0.205401, -0.763688, 1.0]], ['2, k, 15', [-0.238953, -0.830697, 1.0]], ['2, k, 16', [-0.0820921, -0.253121, 1.0]], ['2, k, 17', [-0.045452, -0.525899, 1.0]], ['2, k, 18', [-0.0208901, -0.746687, 1.0]], ['2, k, 19', [0.0139156, -0.798929, 1.0]], ['2, k, 20', [-0.0201314, 0.261824, 1.0]], ['2, k, 21', [0.388738, 0.653076, 1.0]], ['2, k, 22', [0.381486, 0.604657, 1.0]], ['2, k, 23', [0.665366, 0.221469, 1.0]], ['2, k, 24', [0.627479, 0.251064, 1.0]]]
[['2, k, 0', [-0.13884, -0.247797, 1.0]], ['2, k, 1', [-0.070416, 0.0456684, 1.0]], ['2, k, 2', [-0.00448171, 0.332096, 1.0]], ['2, k, 3', [0.0893299, 0.410241, 1.0]], ['2, k, 4', [-0.134201, 0.275206, 1.0]], ['2, k, 5', [0.0463982, 0.495075, 1.0]], ['2, k, 6', [0.2852, 0.635641, 1.0]], ['2, k, 7', [0.331948, 0.652526, 1.0]], ['2, k, 8', [0.116969, 0.203939, 1.0]], ['2, k, 9', [0.314828, 0.128648, 1.0]], ['2, k, 10', [0.522253, 0.16566, 1.0]], ['2, k, 11', [0.610777, 0.203619, 1.0]], ['2, k, 12', [-0.191959, -0.235813, 1.0]], ['2, k, 13', [-0.228264, -0.546071, 1.0]], ['2, k, 14', [-0.205485, -0.765047, 1.0]], ['2, k, 15', [-0.239055, -0.832333, 1.0]], ['2, k, 16', [-0.0824571, -0.253634, 1.0]], ['2, k, 17', [-0.0455134, -0.526867, 1.0]], ['2, k, 18', [-0.021725, -0.748554, 1.0]], ['2, k, 19', [0.0130697, -0.800768, 1.0]], ['2, k, 20', [-0.0205675, 0.261532, 1.0]], ['2, k, 21', [0.387708, 0.653246, 1.0]], ['2, k, 22', [0.386856, 0.597938, 1.0]], ['2, k, 23', [0.667915, 0.230206, 1.0]], ['2, k, 24', [0.624985, 0.246689, 1.0]]]
[['2, k, 0', [-0.13915, -0.24818, 1.0]], ['2, k, 1', [-0.0708213, 0.0454765, 1.0]], ['2, k, 2', [-0.00474021, 0.332063, 1.0]], ['2, k, 3', [0.0824057, 0.416655, 1.0]], ['2, k, 4', [-0.134351, 0.275128, 1.0]], ['2, k, 5', [0.0440011, 0.496401, 1.0]], ['2, k, 6', [0.225174, 0.623938, 1.0]], ['2, k, 7', [0.308179, 0.651653, 1.0]], ['2, k, 8', [0.116087, 0.202003, 1.0]], ['2, k, 9', [0.315744, 0.131398, 1.0]], ['2, k, 10', [0.521828, 0.175636, 1.0]], ['2, k, 11', [0.611065, 0.209759, 1.0]], ['2, k, 12', [-0.192377, -0.236289, 1.0]], ['2, k, 13', [-0.229003, -0.546669, 1.0]], ['2, k, 14', [-0.205685, -0.766144, 1.0]], ['2, k, 15', [-0.259476, -0.824045, 1.0]], ['2, k, 16', [-0.0826393, -0.25391, 1.0]], ['2, k, 17', [-0.0458549, -0.527058, 1.0]], ['2, k, 18', [-0.0217258, -0.749122, 1.0]], ['2, k, 19', [0.0130264, -0.801271, 1.0]], ['2, k, 20', [-0.0208943, 0.261459, 1.0]], ['2, k, 21', [0.369763, 0.667297, 1.0]], ['2, k, 22', [0.348623, 0.617263, 1.0]], ['2, k, 23', [0.667501, 0.228716, 1.0]], ['2, k, 24', [0.627266, 0.253564, 1.0]]]
