[['2, k, 0', [-0.1602973, 0.06724862, 1.0]], ['2, k, 1', [-0.1659653, 0.3378574, 1.0]], ['2, k, 2', [-0.1711077, 0.601382, 1.0]], ['2, k, 3', [-0.1747603, 0.7346073, 1.0]], ['2, k, 4', [-0.3178712, 0.4905235, 1.0]], ['2, k, 5', [-0.3589637, 0.2566669, 1.0]], ['2, k, 6', [-0.3523615, 0.0735863, 1.0]], ['2, k, 7', [-0.3372283, 0.0342805, 1.0]], ['2, k, 8', [-0.007348069, 0.4845539, 1.0]], ['2, k, 9', [0.03995713, 0.2434536, 1.0]], ['2, k, 10', [0.04602669, 0.0453348, 1.0]], ['2, k, 11', [0.04137319, -0.01460325, 1.0]], ['2, k, 12', [-0.2212666, 0.06691843, 1.0]], ['2, k, 13', [-0.213624, -0.2491115, 1.0]], ['2, k, 14', [-0.2143703, -0.5651929, 1.0]], ['2, k, 15', [-0.2120273, -0.636169, 1.0]], ['2, k, 16', [-0.09584955, 0.06604876, 1.0]], ['2, k, 17', [-0.1150488, -0.2492543, 1.0]], ['2, k, 18', [-0.1080383, -0.5654871, 1.0]], ['2, k, 19', [-0.1140921, -0.6359103, 1.0]], ['2, k, 20', [-0.1699829, 0.5365189, 1.0]], ['2, k, 21', [-0.3402718, -0.02683875, 1.0]], ['2, k, 22', [-0.3117386, 0.03038836, 1.0]], ['2, k, 23', [0.04172086, -0.08570551, 1.0]], ['2, k, 24', [0.008085616, -0.009761738, 1.0]]]
[['2, k, 0', [-0.1564064, 0.1259464, 1.0]], ['2, k, 1', [-0.1642961, 0.3713383, 1.0]], ['2, k, 2', [-0.1732076, 0.6096588, 1.0]], ['2, k, 3', [-0.1590822, 0.7339361, 1.0]], ['2, k, 4', [-0.3222374, 0.4861594, 1.0]], ['2, k, 5', [-0.3879612, 0.2612593, 1.0]], ['2, k, 6', [-0.3762544, 0.06900162, 1.0]], ['2, k, 7', [-0.3704067, 0.02813884, 1.0]], ['2, k, 8', [-0.03591671, 0.6123289, 1.0]], ['2, k, 9', [0.008339699, 0.8257713, 1.0]], ['2, k, 10', [-0.03451293, 1.069223, 1.0]], ['2, k, 11', [-0.03799206, 1.12281, 1.0]], ['2, k, 12', [-0.2141551, 0.1173782, 1.0]], ['2, k, 13', [-0.2174913, -0.2030066, 1.0]], ['2, k, 14', [-0.223133, -0.5723926, 1.0]], ['2, k, 15', [-0.2086332, -0.6393047, 1.0]], ['2, k, 16', [-0.0953778, 0.1311892, 1.0]], ['2, k, 17', [-0.1126637, -0.1927848, 1.0]], ['2, k, 18', [-0.1141094, -0.5806261, 1.0]], ['2, k, 19', [-0.1084695, -0.6460275, 1.0]], ['2, k, 20', [-0.1708398, 0.5511064, 1.0]], ['2, k, 21', [-0.3636239, -0.04093375, 1.0]], ['2, k, 22', [-0.3361271, 0.02673656, 1.0]], ['2, k, 23', [-0.02490574, 1.189072, 1.0]], ['2, k, 24', [-0.08527461, 1.093706, 1.0]]]
[['2, k, 0', [-0.1556759, 0.1260699, 1.0]], ['2, k, 1', [-0.1643024, 0.3713337, 1.0]], ['2, k, 2', [-0.1735673, 0.6095929, 1.0]], ['2, k, 3', [-0.1579293, 0.7345039, 1.0]], ['2, k, 4', [-0.3221394, 0.4861661, 1.0]], ['2, k, 5', [-0.3886012, 0.2610057, 1.0]], ['2, k, 6', [-0.3765396, 0.06912976, 1.0]], ['2, k, 7', [-0.3707457, 0.02949722, 1.0]], ['2, k, 8', [-0.03632056, 0.6127236, 1.0]], ['2, k, 9', [0.00781628, 0.8265627, 1.0]], ['2, k, 10', [-0.03210666, 1.071286, 1.0]], ['2, k, 11', [-0.03585964, 1.131314, 1.0]], ['2, k, 12', [-0.2139038, 0.1173775, 1.0]], ['2, k, 13', [-0.2178719, -0.2030912, 1.0]], ['2, k, 14', [-0.2238452, -0.5723467, 1.0]], ['2, k, 15', [-0.209427, -0.6394256, 1.0]], ['2, k, 16', [-0.09365257, 0.1316933, 1.0]], ['2, k, 17', [-0.113888, -0.1930326, 1.0]], ['2, k, 18', [-0.1136407, -0.580213, 1.0]], ['2, k, 19', [-0.1104572, -0.6461728, 1.0]], ['2, k, 20', [-0.1710949, 0.5510569, 1.0]], ['2, k, 21', [-0.3674504, -0.03388822, 1.0]], ['2, k, 22', [-0.3389684, 0.01018764, 1.0]], ['2, k, 23', [-0.03485223, 1.187827, 1.0]], ['2, k, 24', [-0.08256177, 1.100621, 1.0]]]
[['2, k, 0', [-0.1555977, 0.1261142, 1.0]], ['2, k, 1', [-0.1643345, 0.371354, 1.0]], ['2, k, 2', [-0.1736122, 0.6096196, 1.0]], ['2, k, 3', [-0.1572625, 0.7344528, 1.0]], ['2, k, 4', [-0.3220052, 0.4862179, 1.0]], ['2, k, 5', [-0.3889018, 0.2604847, 1.0]], ['2, k, 6', [-0.3769829, 0.06857846, 1.0]], ['2, k, 7', [-0.3715351, 0.02790594, 1.0]], ['2, k, 8', [-0.0361651, 0.6127443, 1.0]], ['2, k, 9', [0.01050209, 0.8255516, 1.0]], ['2, k, 10', [-0.02955743, 1.071552, 1.0]], ['2, k, 11', [-0.03422488, 1.1266, 1.0]], ['2, k, 12', [-0.2138902, 0.1173699, 1.0]], ['2, k, 13', [-0.2176462, -0.2031588, 1.0]], ['2, k, 14', [-0.2232637, -0.572083, 1.0]], ['2, k, 15', [-0.2096673, -0.6391749, 1.0]], ['2, k, 16', [-0.09346856, 0.1318991, 1.0]], ['2, k, 17', [-0.1161073, -0.1920992, 1.0]], ['2, k, 18', [-0.1134695, -0.5791619, 1.0]], ['2, k, 19', [-0.1108169, -0.6457885, 1.0]], ['2, k, 20', [-0.1711526, 0.5510791, 1.0]], ['2, k, 21', [-0.3682745, -0.04025843, 1.0]], ['2, k, 22', [-0.3364627, 0.01987223, 1.0]], ['2, k, 23', [-0.02782316, 1.180726, 1.0]], ['2, k, 24', [-0.08163302, 1.09576, 1.0]]]
[['2, k, 0', [-0.1557407, 0.1263399, 1.0]], ['2, k, 1', [-0.1638024, 0.3720272, 1.0]], ['2, k, 2', [-0.1703525, 0.6114866, 1.0]], ['2, k, 3', [-0.1571768, 0.7351537, 1.0]], ['2, k, 4', [-0.3218849, 0.4862832, 1.0]], ['2, k, 5', [-0.390275, 0.2622643, 1.0]], ['2, k, 6', [-0.3778311, 0.06867648, 1.0]], ['2, k, 7', [-0.3744934, 0.02912276, 1.0]], ['2, k, 8', [-0.03631901, 0.6129324, 1.0]], ['2, k, 9', [0.009810377, 0.8387672, 1.0]], ['2, k, 10', [-0.0159983, 1.073464, 1.0]], ['2, k, 11', [-0.02926123, 1.12292, 1.0]], ['2, k, 12', [-0.2140556, 0.1175434, 1.0]], ['2, k, 13', [-0.217808, -0.2030679, 1.0]], ['2, k, 14', [-0.2230447, -0.5718828, 1.0]], ['2, k, 15', [-0.2108155, -0.6393541, 1.0]], ['2, k, 16', [-0.0937755, 0.1324498, 1.0]], ['2, k, 17', [-0.1161629, -0.1923415, 1.0]], ['2, k, 18', [-0.1125881, -0.5776383, 1.0]], ['2, k, 19', [-0.1151286, -0.6435793, 1.0]], ['2, k, 20', [-0.1689058, 0.5525545, 1.0]], ['2, k, 21', [-0.3683693, -0.04026258, 1.0]], ['2, k, 22', [-0.3382037, 0.01554924, 1.0]], ['2, k, 23', [-0.0293226, 1.173512, 1.0]], ['2, k, 24', [-0.07319463, 1.085783, 1.0]]]
[['2, k, 0', [-0.1589528, 0.1244107, 1.0]], ['2, k, 1', [-0.1656132, 0.3710927, 1.0]], ['2, k, 2', [-0.1713628, 0.6111149, 1.0]], ['2, k, 3', [-0.1558896, 0.7356855, 1.0]], ['2, k, 4', [-0.3217191, 0.4862405, 1.0]], ['2, k, 5', [-0.3905269, 0.2620081, 1.0]], ['2, k, 6', [-0.3797317, 0.06839235, 1.0]], ['2, k, 7', [-0.3751489, 0.02775892, 1.0]], ['2, k, 8', [-0.0367207, 0.6123964, 1.0]], ['2, k, 9', [0.009243159, 0.8422177, 1.0]], ['2, k, 10', [-0.01164971, 1.063854, 1.0]], ['2, k, 11', [-0.0240213, 1.116999, 1.0]], ['2, k, 12', [-0.2172104, 0.1153795, 1.0]], ['2, k, 13', [-0.2189232, -0.2054703, 1.0]], ['2, k, 14', [-0.2224275, -0.5668936, 1.0]], ['2, k, 15', [-0.2124638, -0.6360002, 1.0]], ['2, k, 16', [-0.097366, 0.1305082, 1.0]], ['2, k, 17', [-0.1167075, -0.1941495, 1.0]], ['2, k, 18', [-0.1131748, -0.5780258, 1.0]], ['2, k, 19', [-0.1122001, -0.6421768, 1.0]], ['2, k, 20', [-0.1700865, 0.5520673, 1.0]], ['2, k, 21', [-0.374409, -0.04073207, 1.0]], ['2, k, 22', [-0.3377572, 0.02130063, 1.0]], ['2, k, 23', [-0.01876082, 1.174075, 1.0]], ['2, k, 24', [-0.07110804, 1.101683, 1.0]]]
[['2, k, 0', [-0.1616199, 0.1241867, 1.0]], ['2, k, 1', [-0.16644, 0.3712519, 1.0]], ['2, k, 2', [-0.1714606, 0.6117453, 1.0]], ['2, k, 3', [-0.156224, 0.7347223, 1.0]], ['2, k, 4', [-0.3216006, 0.4862926, 1.0]], ['2, k, 5', [-0.3905725, 0.2621524, 1.0]], ['2, k, 6', [-0.3810151, 0.06868665, 1.0]], ['2, k, 7', [-0.3789218, 0.02885037, 1.0]], ['2, k, 8', [-0.03489824, 0.613236, 1.0]], ['2, k, 9', [0.01194648, 0.8440279, 1.0]], ['2, k, 10', [-0.00722196, 1.05696, 1.0]], ['2, k, 11', [-0.01755597, 1.101966, 1.0]], ['2, k, 12', [-0.2194986, 0.115228, 1.0]], ['2, k, 13', [-0.2183012, -0.2058769, 1.0]], ['2, k, 14', [-0.2208291, -0.5611914, 1.0]], ['2, k, 15', [-0.2130645, -0.6316081, 1.0]], ['2, k, 16', [-0.1007834, 0.1301782, 1.0]], ['2, k, 17', [-0.1178525, -0.1939956, 1.0]], ['2, k, 18', [-0.1112507, -0.5699405, 1.0]], ['2, k, 19', [-0.1118992, -0.6365328, 1.0]], ['2, k, 20', [-0.1704026, 0.5525374, 1.0]], ['2, k, 21', [-0.37684, -0.03273302, 1.0]], ['2, k, 22', [-0.3412047, 0.0105278, 1.0]], ['2, k, 23', [-0.01577466, 1.162046, 1.0]], ['2, k, 24', [-0.06216826, 1.078075, 1.0]]]
[['2, k, 0', [-0.1619034, 0.1238549, 1.0]], ['2, k, 1', [-0.1662999, 0.3711267, 1.0]], ['2, k, 2', [-0.1698908, 0.6121504, 1.0]], ['2, k, 3', [-0.1578663, 0.7344705, 1.0]], ['2, k, 4', [-0.322122, 0.4866022, 1.0]], ['2, k, 5', [-0.3916149, 0.2633023, 1.0]], ['2, k, 6', [-0.3817098, 0.06883568, 1.0]], ['2, k, 7', [-0.3783171, 0.0279786, 1.0]], ['2, k, 8', [-0.03357692, 0.6137328, 1.0]], ['2, k, 9', [0.009696801, 0.8584517, 1.0]], ['2, k, 10', [0.003263328, 1.038728, 1.0]], ['2, k, 11', [-0.008466055, 1.095282, 1.0]], ['2, k, 12', [-0.2198851, 0.1146983, 1.0]], ['2, k, 13', [-0.2184262, -0.2064777, 1.0]], ['2, k, 14', [-0.2217097, -0.564176, 1.0]], ['2, k, 15', [-0.212491, -0.6330843, 1.0]], ['2, k, 16', [-0.1009257, 0.130003, 1.0]], ['2, k, 17', [-0.1180409, -0.1941381, 1.0]], ['2, k, 18', [-0.1111288, -0.5699967, 1.0]], ['2, k, 19', [-0.1143204, -0.6368056, 1.0]], ['2, k, 20', [-0.1692778, 0.5527648, 1.0]], ['2, k, 21', [-0.3731049, -0.04227024, 1.0]], ['2, k, 22', [-0.3389893, 0.01834891, 1.0]], ['2, k, 23', [-0.004529473, 1.147429, 1.0]], ['2, k, 24', [-0.05508064, 1.065651, 1.0]]]
[['2, k, 0', [-0.163672, 0.1213411, 1.0]], ['2, k, 1', [-0.1679111, 0.369287, 1.0]], ['2, k, 2', [-0.1713616, 0.6108024, 1.0]], ['2, k, 3', [-0.1581247, 0.7322271, 1.0]], ['2, k, 4', [-0.3225068, 0.4851361, 1.0]], ['2, k, 5', [-0.3923312, 0.2634229, 1.0]], ['2, k, 6', [-0.3821158, 0.06844778, 1.0]], ['2, k, 7', [-0.3793832, 0.0268995, 1.0]], ['2, k, 8', [-0.03169921, 0.6133275, 1.0]], ['2, k, 9', [0.02569655, 0.8045105, 1.0]], ['2, k, 10', [-0.009559453, 1.003931, 1.0]], ['2, k, 11', [0.008826796, 1.059934, 1.0]], ['2, k, 12', [-0.2214815, 0.1119533, 1.0]], ['2, k, 13', [-0.2185256, -0.2090702, 1.0]], ['2, k, 14', [-0.2210606, -0.5679422, 1.0]], ['2, k, 15', [-0.2128538, -0.6377562, 1.0]], ['2, k, 16', [-0.1025821, 0.1278839, 1.0]], ['2, k, 17', [-0.119447, -0.1961451, 1.0]], ['2, k, 18', [-0.1109024, -0.5704767, 1.0]], ['2, k, 19', [-0.115384, -0.6390344, 1.0]], ['2, k, 20', [-0.1707346, 0.5513384, 1.0]], ['2, k, 21', [-0.3710777, -0.04852308, 1.0]], ['2, k, 22', [-0.3463163, 0.02227515, 1.0]], ['2, k, 23', [0.02280976, 1.119482, 1.0]], ['2, k, 24', [-0.03834772, 1.037836, 1.0]]]
[['2, k, 0', [-0.166363, 0.1123815, 1.0]], ['2, k, 1', [-0.1709156, 0.3654142, 1.0]], ['2, k, 2', [-0.1746837, 0.6098518, 1.0]], ['2, k, 3', [-0.1632143, 0.7326688, 1.0]], ['2, k, 4', [-0.3233268, 0.485587, 1.0]], ['2, k, 5', [-0.392244, 0.2635898, 1.0]], ['2, k, 6', [-0.3826357, 0.06843446, 1.0]], ['2, k, 7', [-0.3788022, 0.02699005, 1.0]], ['2, k, 8', [-0.02749209, 0.591864, 1.0]], ['2, k, 9', [0.02845151, 0.7400171, 1.0]], ['2, k, 10', [0.03223791, 0.8918335, 1.0]], ['2, k, 11', [0.03280694, 0.9402547, 1.0]], ['2, k, 12', [-0.225262, 0.1033396, 1.0]], ['2, k, 13', [-0.2318457, -0.2177234, 1.0]], ['2, k, 14', [-0.2208973, -0.5680456, 1.0]], ['2, k, 15', [-0.2127162, -0.6382042, 1.0]], ['2, k, 16', [-0.1039284, 0.1186208, 1.0]], ['2, k, 17', [-0.1202578, -0.2056968, 1.0]], ['2, k, 18', [-0.110475, -0.5712785, 1.0]], ['2, k, 19', [-0.1144089, -0.6407948, 1.0]], ['2, k, 20', [-0.1738826, 0.5498087, 1.0]], ['2, k, 21', [-0.3745585, -0.0414123, 1.0]], ['2, k, 22', [-0.3443962, 0.02306667, 1.0]], ['2, k, 23', [0.04816371, 0.9816194, 1.0]], ['2, k, 24', [-0.0152559, 0.9233942, 1.0]]]
[['2, k, 0', [-0.1668415, 0.1077342, 1.0]], ['2, k, 1', [-0.1713499, 0.3623461, 1.0]], ['2, k, 2', [-0.1752435, 0.6087116, 1.0]], ['2, k, 3', [-0.1644799, 0.7325947, 1.0]], ['2, k, 4', [-0.3238335, 0.4858657, 1.0]], ['2, k, 5', [-0.391595, 0.2639121, 1.0]], ['2, k, 6', [-0.3826663, 0.06848386, 1.0]], ['2, k, 7', [-0.3764052, 0.02700734, 1.0]], ['2, k, 8', [-0.02358263, 0.571805, 1.0]], ['2, k, 9', [0.03132327, 0.7050382, 1.0]], ['2, k, 10', [0.0388272, 0.8511218, 1.0]], ['2, k, 11', [0.03933861, 0.890865, 1.0]], ['2, k, 12', [-0.2266724, 0.0995615, 1.0]], ['2, k, 13', [-0.2316147, -0.2213801, 1.0]], ['2, k, 14', [-0.2209755, -0.5686514, 1.0]], ['2, k, 15', [-0.212982, -0.6372654, 1.0]], ['2, k, 16', [-0.1032059, 0.1129017, 1.0]], ['2, k, 17', [-0.1182035, -0.2110078, 1.0]], ['2, k, 18', [-0.1104259, -0.5735419, 1.0]], ['2, k, 19', [-0.1125526, -0.6432258, 1.0]], ['2, k, 20', [-0.1744057, 0.5479857, 1.0]], ['2, k, 21', [-0.3677155, -0.04019189, 1.0]], ['2, k, 22', [-0.3445267, 0.01824932, 1.0]], ['2, k, 23', [0.050265, 0.9236884, 1.0]], ['2, k, 24', [-0.007939062, 0.8706633, 1.0]]]
[['2, k, 0', [-0.167986, 0.1030834, 1.0]], ['2, k, 1', [-0.1722984, 0.3604285, 1.0]], ['2, k, 2', [-0.1759407, 0.6084346, 1.0]], ['2, k, 3', [-0.1671267, 0.7324791, 1.0]], ['2, k, 4', [-0.3241201, 0.4858484, 1.0]], ['2, k, 5', [-0.3915287, 0.2644967, 1.0]], ['2, k, 6', [-0.3832141, 0.06996939, 1.0]], ['2, k, 7', [-0.3768948, 0.02921171, 1.0]], ['2, k, 8', [-0.02313498, 0.5653203, 1.0]], ['2, k, 9', [0.03362093, 0.6791081, 1.0]], ['2, k, 10', [0.04426912, 0.7947669, 1.0]], ['2, k, 11', [0.04725814, 0.8348258, 1.0]], ['2, k, 12', [-0.2282297, 0.09611184, 1.0]], ['2, k, 13', [-0.2290834, -0.2244377, 1.0]], ['2, k, 14', [-0.2218743, -0.5687725, 1.0]], ['2, k, 15', [-0.2120316, -0.637758, 1.0]], ['2, k, 16', [-0.1037606, 0.1071803, 1.0]], ['2, k, 17', [-0.1197329, -0.2165132, 1.0]], ['2, k, 18', [-0.1102868, -0.5735773, 1.0]], ['2, k, 19', [-0.113391, -0.6433324, 1.0]], ['2, k, 20', [-0.175067, 0.5474987, 1.0]], ['2, k, 21', [-0.3712202, -0.04092874, 1.0]], ['2, k, 22', [-0.3453329, 0.02033987, 1.0]], ['2, k, 23', [0.06095261, 0.8640561, 1.0]], ['2, k, 24', [-0.001900641, 0.8141943, 1.0]]]
[['2, k, 0', [-0.1693705, 0.09181674, 1.0]], ['2, k, 1', [-0.1741015, 0.3562105, 1.0]], ['2, k, 2', [-0.178721, 0.6095545, 1.0]], ['2, k, 3', [-0.170068, 0.7337727, 1.0]], ['2, k, 4', [-0.3278579, 0.4831347, 1.0]], ['2, k, 5', [-0.4011502, 0.2977276, 1.0]], ['2, k, 6', [-0.3823608, 0.0703209, 1.0]], ['2, k, 7', [-0.3750432, 0.03423557, 1.0]], ['2, k, 8', [-0.02756067, 0.5159556, 1.0]], ['2, k, 9', [0.04003591, 0.6508909, 1.0]], ['2, k, 10', [0.04812618, 0.7301394, 1.0]], ['2, k, 11', [0.05196482, 0.7742017, 1.0]], ['2, k, 12', [-0.2308266, 0.08581864, 1.0]], ['2, k, 13', [-0.2270909, -0.2339714, 1.0]], ['2, k, 14', [-0.2221718, -0.5687559, 1.0]], ['2, k, 15', [-0.2139562, -0.6387359, 1.0]], ['2, k, 16', [-0.1038915, 0.09549584, 1.0]], ['2, k, 17', [-0.1197342, -0.2275308, 1.0]], ['2, k, 18', [-0.1126762, -0.5752167, 1.0]], ['2, k, 19', [-0.1129359, -0.6445574, 1.0]], ['2, k, 20', [-0.1775405, 0.5471636, 1.0]], ['2, k, 21', [-0.3741094, -0.02505548, 1.0]], ['2, k, 22', [-0.3475579, 0.03773424, 1.0]], ['2, k, 23', [0.07278487, 0.7981068, 1.0]], ['2, k, 24', [0.01042805, 0.7526139, 1.0]]]
[['2, k, 0', [-0.1694228, 0.08814094, 1.0]], ['2, k, 1', [-0.1748656, 0.3541838, 1.0]], ['2, k, 2', [-0.1800991, 0.6097256, 1.0]], ['2, k, 3', [-0.1714253, 0.7347806, 1.0]], ['2, k, 4', [-0.3306535, 0.481737, 1.0]], ['2, k, 5', [-0.3926443, 0.2755665, 1.0]], ['2, k, 6', [-0.3814229, 0.07589807, 1.0]], ['2, k, 7', [-0.3727902, 0.03927351, 1.0]], ['2, k, 8', [-0.02782774, 0.5153869, 1.0]], ['2, k, 9', [0.03984627, 0.6244884, 1.0]], ['2, k, 10', [0.05057647, 0.6782788, 1.0]], ['2, k, 11', [0.054104, 0.7057925, 1.0]], ['2, k, 12', [-0.2312668, 0.08258428, 1.0]], ['2, k, 13', [-0.2254826, -0.2369233, 1.0]], ['2, k, 14', [-0.223213, -0.5628803, 1.0]], ['2, k, 15', [-0.2134807, -0.6337491, 1.0]], ['2, k, 16', [-0.1035511, 0.09150177, 1.0]], ['2, k, 17', [-0.1173657, -0.2308928, 1.0]], ['2, k, 18', [-0.1124934, -0.5751711, 1.0]], ['2, k, 19', [-0.11356, -0.6446014, 1.0]], ['2, k, 20', [-0.1787819, 0.5467858, 1.0]], ['2, k, 21', [-0.3706023, -0.02566632, 1.0]], ['2, k, 22', [-0.3445001, 0.02074603, 1.0]], ['2, k, 23', [0.06458717, 0.723397, 1.0]], ['2, k, 24', [0.01666278, 0.6900856, 1.0]]]
[['2, k, 0', [-0.1692525, 0.08503701, 1.0]], ['2, k, 1', [-0.1753196, 0.3520889, 1.0]], ['2, k, 2', [-0.1811755, 0.6095793, 1.0]], ['2, k, 3', [-0.1727859, 0.7360285, 1.0]], ['2, k, 4', [-0.3327575, 0.4809897, 1.0]], ['2, k, 5', [-0.391604, 0.2741008, 1.0]], ['2, k, 6', [-0.3803303, 0.07543045, 1.0]], ['2, k, 7', [-0.3717485, 0.03627225, 1.0]], ['2, k, 8', [-0.02847387, 0.5141542, 1.0]], ['2, k, 9', [0.03917041, 0.5956179, 1.0]], ['2, k, 10', [0.05585767, 0.6178027, 1.0]], ['2, k, 11', [0.05469783, 0.6340156, 1.0]], ['2, k, 12', [-0.2312861, 0.08005006, 1.0]], ['2, k, 13', [-0.2249436, -0.2392832, 1.0]], ['2, k, 14', [-0.2227641, -0.5630222, 1.0]], ['2, k, 15', [-0.2138885, -0.634263, 1.0]], ['2, k, 16', [-0.1032022, 0.08793014, 1.0]], ['2, k, 17', [-0.1176519, -0.2339602, 1.0]], ['2, k, 18', [-0.1121784, -0.5741178, 1.0]], ['2, k, 19', [-0.1118754, -0.6431605, 1.0]], ['2, k, 20', [-0.1797293, 0.5461118, 1.0]], ['2, k, 21', [-0.3657103, -0.03369218, 1.0]], ['2, k, 22', [-0.3480799, 0.01211418, 1.0]], ['2, k, 23', [0.06706116, 0.6448465, 1.0]], ['2, k, 24', [0.02469872, 0.6288968, 1.0]]]
[['2, k, 0', [-0.1693747, 0.08318498, 1.0]], ['2, k, 1', [-0.1767259, 0.3506655, 1.0]], ['2, k, 2', [-0.1844426, 0.6094745, 1.0]], ['2, k, 3', [-0.1748834, 0.7362497, 1.0]], ['2, k, 4', [-0.3363465, 0.4808189, 1.0]], ['2, k, 5', [-0.3907468, 0.2722452, 1.0]], ['2, k, 6', [-0.378127, 0.07341771, 1.0]], ['2, k, 7', [-0.3696715, 0.03519658, 1.0]], ['2, k, 8', [-0.02915012, 0.5116249, 1.0]], ['2, k, 9', [0.04986741, 0.5406296, 1.0]], ['2, k, 10', [0.05980434, 0.554801, 1.0]], ['2, k, 11', [0.05461282, 0.5661278, 1.0]], ['2, k, 12', [-0.2314719, 0.077586, 1.0]], ['2, k, 13', [-0.2243898, -0.2416255, 1.0]], ['2, k, 14', [-0.2227809, -0.5626493, 1.0]], ['2, k, 15', [-0.2133715, -0.6334255, 1.0]], ['2, k, 16', [-0.1032931, 0.08664472, 1.0]], ['2, k, 17', [-0.1183293, -0.2352974, 1.0]], ['2, k, 18', [-0.1114908, -0.573798, 1.0]], ['2, k, 19', [-0.1118455, -0.6428978, 1.0]], ['2, k, 20', [-0.1825069, 0.545629, 1.0]], ['2, k, 21', [-0.3619864, -0.04073802, 1.0]], ['2, k, 22', [-0.3428915, 0.01690339, 1.0]], ['2, k, 23', [0.06049427, 0.5719779, 1.0]], ['2, k, 24', [0.02129552, 0.5581204, 1.0]]]
[['2, k, 0', [-0.1716005, 0.07930334, 1.0]], ['2, k, 1', [-0.177711, 0.3493074, 1.0]], ['2, k, 2', [-0.1845967, 0.6095555, 1.0]], ['2, k, 3', [-0.1762875, 0.7371319, 1.0]], ['2, k, 4', [-0.3384754, 0.4804119, 1.0]], ['2, k, 5', [-0.3907209, 0.2715799, 1.0]], ['2, k, 6', [-0.3772951, 0.07288036, 1.0]], ['2, k, 7', [-0.370252, 0.03712978, 1.0]], ['2, k, 8', [-0.03111689, 0.5063295, 1.0]], ['2, k, 9', [0.07402377, 0.5081833, 1.0]], ['2, k, 10', [0.03112966, 0.5264995, 1.0]], ['2, k, 11', [0.05711054, 0.4949994, 1.0]], ['2, k, 12', [-0.233613, 0.07452048, 1.0]], ['2, k, 13', [-0.2264646, -0.2444353, 1.0]], ['2, k, 14', [-0.2206606, -0.5654538, 1.0]], ['2, k, 15', [-0.2148331, -0.6350918, 1.0]], ['2, k, 16', [-0.1055526, 0.08205061, 1.0]], ['2, k, 17', [-0.1193323, -0.2394845, 1.0]], ['2, k, 18', [-0.1116388, -0.5736018, 1.0]], ['2, k, 19', [-0.1141248, -0.6430261, 1.0]], ['2, k, 20', [-0.1828059, 0.5455059, 1.0]], ['2, k, 21', [-0.3764229, -0.01804397, 1.0]], ['2, k, 22', [-0.3448271, 0.02070596, 1.0]], ['2, k, 23', [0.07862993, 0.4829053, 1.0]], ['2, k, 24', [0.03544266, 0.4946096, 1.0]]]
[['2, k, 0', [-0.1723279, 0.07790697, 1.0]], ['2, k, 1', [-0.1782042, 0.3484973, 1.0]], ['2, k, 2', [-0.1846831, 0.6095775, 1.0]], ['2, k, 3', [-0.1776486, 0.7373785, 1.0]], ['2, k, 4', [-0.3387638, 0.4800431, 1.0]], ['2, k, 5', [-0.3898711, 0.2683554, 1.0]], ['2, k, 6', [-0.3771091, 0.07296938, 1.0]], ['2, k, 7', [-0.3687673, 0.03481473, 1.0]], ['2, k, 8', [-0.03825551, 0.5051437, 1.0]], ['2, k, 9', [0.0645091, 0.5488473, 1.0]], ['2, k, 10', [0.03351477, 0.5481418, 1.0]], ['2, k, 11', [0.06090472, 0.4203987, 1.0]], ['2, k, 12', [-0.2343611, 0.07323595, 1.0]], ['2, k, 13', [-0.2258269, -0.2457384, 1.0]], ['2, k, 14', [-0.2165299, -0.5635536, 1.0]], ['2, k, 15', [-0.2211252, -0.6350165, 1.0]], ['2, k, 16', [-0.1062691, 0.08059245, 1.0]], ['2, k, 17', [-0.1207906, -0.2406093, 1.0]], ['2, k, 18', [-0.1112204, -0.5735468, 1.0]], ['2, k, 19', [-0.1147614, -0.6420971, 1.0]], ['2, k, 20', [-0.1830073, 0.5453468, 1.0]], ['2, k, 21', [-0.3773828, -0.01877082, 1.0]], ['2, k, 22', [-0.3396723, 0.03374882, 1.0]], ['2, k, 23', [0.05515067, 0.4074329, 1.0]], ['2, k, 24', [0.03434641, 0.4227965, 1.0]]]
