[['2, k, 0', [-0.0709786, -0.392478, 1.0]], ['2, k, 1', [-0.041389, -0.0543901, 1.0]], ['2, k, 2', [-0.0122444, 0.276814, 1.0]], ['2, k, 3', [-0.00415679, 0.426162, 1.0]], ['2, k, 4', [-0.185639, 0.190484, 1.0]], ['2, k, 5', [-0.301314, 0.109687, 1.0]], ['2, k, 6', [-0.286676, 0.0108928, 1.0]], ['2, k, 7', [-0.262313, -0.056847, 1.0]], ['2, k, 8', [0.149353, 0.172837, 1.0]], ['2, k, 9', [0.250519, 0.0727334, 1.0]], ['2, k, 10', [0.260338, -0.000401198, 1.0]], ['2, k, 11', [0.230252, -0.0597996, 1.0]], ['2, k, 12', [-0.146371, -0.383871, 1.0]], ['2, k, 13', [-0.209164, -0.720353, 1.0]], ['2, k, 14', [-0.166177, -0.71903, 1.0]], ['2, k, 15', [-0.123055, -0.788013, 1.0]], ['2, k, 16', [0.00607465, -0.391907, 1.0]], ['2, k, 17', [0.218427, -0.661841, 1.0]], ['2, k, 18', [0.0732138, -0.709667, 1.0]], ['2, k, 19', [0.0488406, -0.793376, 1.0]], ['2, k, 20', [-0.0194765, 0.194957, 1.0]], ['2, k, 21', [-0.253904, -0.0974933, 1.0]], ['2, k, 22', [-0.292189, -0.0477861, 1.0]], ['2, k, 23', [0.225712, -0.108188, 1.0]], ['2, k, 24', [0.266271, -0.0570109, 1.0]]]
[['2, k, 0', [-0.033982, -0.421934, 1.0]], ['2, k, 1', [-0.0263068, -0.123397, 1.0]], ['2, k, 2', [-0.019158, 0.170647, 1.0]], ['2, k, 3', [-0.000906325, 0.340396, 1.0]], ['2, k, 4', [-0.15231, 0.100007, 1.0]], ['2, k, 5', [-0.21758, 0.167012, 1.0]], ['2, k, 6', [-0.224769, 0.229323, 1.0]], ['2, k, 7', [-0.204459, 0.274455, 1.0]], ['2, k, 8', [0.122852, 0.118914, 1.0]], ['2, k, 9', [0.218911, 0.152723, 1.0]], ['2, k, 10', [0.263236, 0.235533, 1.0]], ['2, k, 11', [0.276546, 0.273423, 1.0]], ['2, k, 12', [-0.102813, -0.415873, 1.0]], ['2, k, 13', [-0.300689, -0.557553, 1.0]], ['2, k, 14', [-0.284938, -0.889377, 1.0]], ['2, k, 15', [-0.276318, -0.951415, 1.0]], ['2, k, 16', [0.035646, -0.419391, 1.0]], ['2, k, 17', [0.12589, -0.725747, 1.0]], ['2, k, 18', [0.185474, -1.04479, 1.0]], ['2, k, 19', [0.162878, -0.904582, 1.0]], ['2, k, 20', [-0.0209031, 0.0979984, 1.0]], ['2, k, 21', [-0.192681, 0.29864, 1.0]], ['2, k, 22', [-0.172304, 0.256802, 1.0]], ['2, k, 23', [0.301068, 0.286112, 1.0]], ['2, k, 24', [0.245025, 0.285508, 1.0]]]
[['2, k, 0', [-0.0214781, -0.398723, 1.0]], ['2, k, 1', [-0.0211143, -0.107189, 1.0]], ['2, k, 2', [-0.0177102, 0.181569, 1.0]], ['2, k, 3', [0.00130072, 0.352884, 1.0]], ['2, k, 4', [-0.150696, 0.118405, 1.0]], ['2, k, 5', [-0.236778, 0.170656, 1.0]], ['2, k, 6', [-0.225671, 0.231212, 1.0]], ['2, k, 7', [-0.203863, 0.289652, 1.0]], ['2, k, 8', [0.123567, 0.126093, 1.0]], ['2, k, 9', [0.222364, 0.162594, 1.0]], ['2, k, 10', [0.263194, 0.241864, 1.0]], ['2, k, 11', [0.271909, 0.285627, 1.0]], ['2, k, 12', [-0.0920713, -0.394034, 1.0]], ['2, k, 13', [-0.316169, -0.607342, 1.0]], ['2, k, 14', [-0.307603, -0.938518, 1.0]], ['2, k, 15', [-0.300083, -0.996457, 1.0]], ['2, k, 16', [0.0495557, -0.395217, 1.0]], ['2, k, 17', [0.119754, -0.727766, 1.0]], ['2, k, 18', [0.184233, -1.04437, 1.0]], ['2, k, 19', [0.161876, -0.904226, 1.0]], ['2, k, 20', [-0.0189613, 0.108855, 1.0]], ['2, k, 21', [-0.181859, 0.312834, 1.0]], ['2, k, 22', [-0.172226, 0.274988, 1.0]], ['2, k, 23', [0.301521, 0.297925, 1.0]], ['2, k, 24', [0.241494, 0.300108, 1.0]]]
[['2, k, 0', [-0.0340118, -0.366041, 1.0]], ['2, k, 1', [-0.0241488, -0.0528902, 1.0]], ['2, k, 2', [-0.0143679, 0.254739, 1.0]], ['2, k, 3', [0.00557604, 0.390563, 1.0]], ['2, k, 4', [-0.153351, 0.154315, 1.0]], ['2, k, 5', [-0.244367, 0.174936, 1.0]], ['2, k, 6', [-0.21825, 0.262161, 1.0]], ['2, k, 7', [-0.201667, 0.30455, 1.0]], ['2, k, 8', [0.137353, 0.159627, 1.0]], ['2, k, 9', [0.218801, 0.186741, 1.0]], ['2, k, 10', [0.26114, 0.249258, 1.0]], ['2, k, 11', [0.268583, 0.295558, 1.0]], ['2, k, 12', [-0.112091, -0.359543, 1.0]], ['2, k, 13', [-0.220258, -0.689358, 1.0]], ['2, k, 14', [-0.210924, -1.01901, 1.0]], ['2, k, 15', [-0.185676, -0.879713, 1.0]], ['2, k, 16', [0.0447747, -0.364892, 1.0]], ['2, k, 17', [0.159173, -0.692328, 1.0]], ['2, k, 18', [0.0509839, -1.00481, 1.0]], ['2, k, 19', [0.0999071, -0.873186, 1.0]], ['2, k, 20', [-0.0168051, 0.178613, 1.0]], ['2, k, 21', [-0.17915, 0.325012, 1.0]], ['2, k, 22', [-0.161385, 0.293016, 1.0]], ['2, k, 23', [0.279712, 0.314577, 1.0]], ['2, k, 24', [0.250778, 0.314418, 1.0]]]
[['2, k, 0', [-0.0341655, -0.366975, 1.0]], ['2, k, 1', [-0.0241897, -0.0527362, 1.0]], ['2, k, 2', [-0.0145203, 0.257535, 1.0]], ['2, k, 3', [0.00581906, 0.393989, 1.0]], ['2, k, 4', [-0.152871, 0.147536, 1.0]], ['2, k, 5', [-0.22145, 0.213088, 1.0]], ['2, k, 6', [-0.21589, 0.266137, 1.0]], ['2, k, 7', [-0.199562, 0.31275, 1.0]], ['2, k, 8', [0.135448, 0.158043, 1.0]], ['2, k, 9', [0.219235, 0.189504, 1.0]], ['2, k, 10', [0.258654, 0.257665, 1.0]], ['2, k, 11', [0.263001, 0.304158, 1.0]], ['2, k, 12', [-0.11238, -0.360891, 1.0]], ['2, k, 13', [-0.216768, -0.691905, 1.0]], ['2, k, 14', [-0.193683, -1.0176, 1.0]], ['2, k, 15', [-0.175328, -0.877546, 1.0]], ['2, k, 16', [0.0447305, -0.365473, 1.0]], ['2, k, 17', [0.106782, -0.706468, 1.0]], ['2, k, 18', [0.0444329, -1.02209, 1.0]], ['2, k, 19', [0.0706744, -0.885211, 1.0]], ['2, k, 20', [-0.0169344, 0.180433, 1.0]], ['2, k, 21', [-0.179402, 0.333557, 1.0]], ['2, k, 22', [-0.161181, 0.2979, 1.0]], ['2, k, 23', [0.27409, 0.323718, 1.0]], ['2, k, 24', [0.234449, 0.319914, 1.0]]]
[['2, k, 0', [-0.0341757, -0.366843, 1.0]], ['2, k, 1', [-0.0240372, -0.0515538, 1.0]], ['2, k, 2', [-0.0138658, 0.261378, 1.0]], ['2, k, 3', [0.00550302, 0.399977, 1.0]], ['2, k, 4', [-0.152662, 0.147886, 1.0]], ['2, k, 5', [-0.229181, 0.208652, 1.0]], ['2, k, 6', [-0.215444, 0.273494, 1.0]], ['2, k, 7', [-0.198406, 0.320893, 1.0]], ['2, k, 8', [0.135052, 0.157877, 1.0]], ['2, k, 9', [0.224508, 0.184764, 1.0]], ['2, k, 10', [0.257489, 0.263938, 1.0]], ['2, k, 11', [0.261715, 0.312525, 1.0]], ['2, k, 12', [-0.112479, -0.360732, 1.0]], ['2, k, 13', [-0.210432, -0.693582, 1.0]], ['2, k, 14', [-0.187333, -1.01619, 1.0]], ['2, k, 15', [-0.17012, -0.876472, 1.0]], ['2, k, 16', [0.0448224, -0.365343, 1.0]], ['2, k, 17', [0.102584, -0.705481, 1.0]], ['2, k, 18', [0.126123, -1.03599, 1.0]], ['2, k, 19', [0.109051, -0.895312, 1.0]], ['2, k, 20', [-0.0164425, 0.183516, 1.0]], ['2, k, 21', [-0.173884, 0.342152, 1.0]], ['2, k, 22', [-0.161093, 0.308121, 1.0]], ['2, k, 23', [0.277939, 0.332355, 1.0]], ['2, k, 24', [0.226027, 0.331163, 1.0]]]
[['2, k, 0', [-0.032297, -0.366079, 1.0]], ['2, k, 1', [-0.0232902, -0.0496845, 1.0]], ['2, k, 2', [-0.0133459, 0.264855, 1.0]], ['2, k, 3', [0.0074645, 0.408123, 1.0]], ['2, k, 4', [-0.152559, 0.148668, 1.0]], ['2, k, 5', [-0.230509, 0.209914, 1.0]], ['2, k, 6', [-0.209482, 0.285842, 1.0]], ['2, k, 7', [-0.196443, 0.327521, 1.0]], ['2, k, 8', [0.134542, 0.158295, 1.0]], ['2, k, 9', [0.222682, 0.202751, 1.0]], ['2, k, 10', [0.255662, 0.269401, 1.0]], ['2, k, 11', [0.261326, 0.316551, 1.0]], ['2, k, 12', [-0.11072, -0.360397, 1.0]], ['2, k, 13', [-0.205435, -0.693628, 1.0]], ['2, k, 14', [-0.183584, -1.01301, 1.0]], ['2, k, 15', [-0.167432, -0.874301, 1.0]], ['2, k, 16', [0.0467983, -0.364107, 1.0]], ['2, k, 17', [0.101817, -0.703653, 1.0]], ['2, k, 18', [0.121165, -1.03308, 1.0]], ['2, k, 19', [0.104429, -0.892428, 1.0]], ['2, k, 20', [-0.0158549, 0.186539, 1.0]], ['2, k, 21', [-0.170825, 0.348268, 1.0]], ['2, k, 22', [-0.154983, 0.320115, 1.0]], ['2, k, 23', [0.269038, 0.337681, 1.0]], ['2, k, 24', [0.219853, 0.33383, 1.0]]]
[['2, k, 0', [-0.0318939, -0.365766, 1.0]], ['2, k, 1', [-0.0229411, -0.0484475, 1.0]], ['2, k, 2', [-0.0128046, 0.267949, 1.0]], ['2, k, 3', [0.0083757, 0.41137, 1.0]], ['2, k, 4', [-0.152085, 0.150538, 1.0]], ['2, k, 5', [-0.232529, 0.214282, 1.0]], ['2, k, 6', [-0.203491, 0.289182, 1.0]], ['2, k, 7', [-0.190339, 0.338782, 1.0]], ['2, k, 8', [0.134027, 0.158099, 1.0]], ['2, k, 9', [0.220145, 0.208205, 1.0]], ['2, k, 10', [0.259517, 0.282915, 1.0]], ['2, k, 11', [0.25657, 0.320148, 1.0]], ['2, k, 12', [-0.110487, -0.359995, 1.0]], ['2, k, 13', [-0.200613, -0.694044, 1.0]], ['2, k, 14', [-0.181521, -1.00879, 1.0]], ['2, k, 15', [-0.165341, -0.870931, 1.0]], ['2, k, 16', [0.0473703, -0.36388, 1.0]], ['2, k, 17', [0.101309, -0.702756, 1.0]], ['2, k, 18', [0.114557, -1.03081, 1.0]], ['2, k, 19', [0.0988281, -0.890375, 1.0]], ['2, k, 20', [-0.0153492, 0.1892, 1.0]], ['2, k, 21', [-0.169038, 0.358397, 1.0]], ['2, k, 22', [-0.151502, 0.322655, 1.0]], ['2, k, 23', [0.264853, 0.343066, 1.0]], ['2, k, 24', [0.219776, 0.335418, 1.0]]]
[['2, k, 0', [-0.0309085, -0.366047, 1.0]], ['2, k, 1', [-0.0226525, -0.0478979, 1.0]], ['2, k, 2', [-0.0125667, 0.269612, 1.0]], ['2, k, 3', [0.00985315, 0.413977, 1.0]], ['2, k, 4', [-0.151921, 0.151447, 1.0]], ['2, k, 5', [-0.232675, 0.215357, 1.0]], ['2, k, 6', [-0.201721, 0.307611, 1.0]], ['2, k, 7', [-0.191124, 0.343155, 1.0]], ['2, k, 8', [0.133391, 0.158313, 1.0]], ['2, k, 9', [0.220571, 0.211167, 1.0]], ['2, k, 10', [0.254744, 0.286552, 1.0]], ['2, k, 11', [0.254283, 0.326581, 1.0]], ['2, k, 12', [-0.109213, -0.360561, 1.0]], ['2, k, 13', [-0.198867, -0.69396, 1.0]], ['2, k, 14', [-0.184686, -1.0063, 1.0]], ['2, k, 15', [-0.163921, -0.869174, 1.0]], ['2, k, 16', [0.0479512, -0.363771, 1.0]], ['2, k, 17', [0.101173, -0.701053, 1.0]], ['2, k, 18', [0.110278, -1.02625, 1.0]], ['2, k, 19', [0.095974, -0.886099, 1.0]], ['2, k, 20', [-0.0150428, 0.190636, 1.0]], ['2, k, 21', [-0.160119, 0.363498, 1.0]], ['2, k, 22', [-0.148931, 0.335091, 1.0]], ['2, k, 23', [0.258008, 0.348987, 1.0]], ['2, k, 24', [0.221609, 0.345681, 1.0]]]
[['2, k, 0', [-0.0299548, -0.364931, 1.0]], ['2, k, 1', [-0.0219964, -0.0464443, 1.0]], ['2, k, 2', [-0.0120484, 0.271281, 1.0]], ['2, k, 3', [0.0105291, 0.416174, 1.0]], ['2, k, 4', [-0.151798, 0.15189, 1.0]], ['2, k, 5', [-0.232445, 0.218345, 1.0]], ['2, k, 6', [-0.201236, 0.308915, 1.0]], ['2, k, 7', [-0.187761, 0.349441, 1.0]], ['2, k, 8', [0.133127, 0.162755, 1.0]], ['2, k, 9', [0.223283, 0.20373, 1.0]], ['2, k, 10', [0.252691, 0.290088, 1.0]], ['2, k, 11', [0.253729, 0.331951, 1.0]], ['2, k, 12', [-0.107621, -0.359458, 1.0]], ['2, k, 13', [-0.200496, -0.691331, 1.0]], ['2, k, 14', [-0.188564, -1.0023, 1.0]], ['2, k, 15', [-0.166449, -0.865975, 1.0]], ['2, k, 16', [0.0483313, -0.362691, 1.0]], ['2, k, 17', [0.102495, -0.699063, 1.0]], ['2, k, 18', [0.104104, -1.02034, 1.0]], ['2, k, 19', [0.0819945, -0.882776, 1.0]], ['2, k, 20', [-0.0145055, 0.192289, 1.0]], ['2, k, 21', [-0.166504, 0.37271, 1.0]], ['2, k, 22', [-0.147923, 0.337065, 1.0]], ['2, k, 23', [0.264838, 0.353022, 1.0]], ['2, k, 24', [0.227731, 0.347244, 1.0]]]
[['2, k, 0', [-0.0291352, -0.364622, 1.0]], ['2, k, 1', [-0.0214521, -0.0456874, 1.0]], ['2, k, 2', [-0.0115303, 0.272121, 1.0]], ['2, k, 3', [0.0110334, 0.417041, 1.0]], ['2, k, 4', [-0.151308, 0.153875, 1.0]], ['2, k, 5', [-0.216036, 0.24322, 1.0]], ['2, k, 6', [-0.201037, 0.311215, 1.0]], ['2, k, 7', [-0.189017, 0.35392, 1.0]], ['2, k, 8', [0.133057, 0.163819, 1.0]], ['2, k, 9', [0.224892, 0.203092, 1.0]], ['2, k, 10', [0.252758, 0.297626, 1.0]], ['2, k, 11', [0.263034, 0.340574, 1.0]], ['2, k, 12', [-0.106547, -0.359047, 1.0]], ['2, k, 13', [-0.19211, -0.691897, 1.0]], ['2, k, 14', [-0.188499, -1.00194, 1.0]], ['2, k, 15', [-0.166257, -0.866365, 1.0]], ['2, k, 16', [0.0488997, -0.362484, 1.0]], ['2, k, 17', [0.101886, -0.69831, 1.0]], ['2, k, 18', [0.102904, -1.01844, 1.0]], ['2, k, 19', [0.0819371, -0.881703, 1.0]], ['2, k, 20', [-0.0140135, 0.193122, 1.0]], ['2, k, 21', [-0.156364, 0.376188, 1.0]], ['2, k, 22', [-0.152871, 0.333723, 1.0]], ['2, k, 23', [0.2733, 0.359932, 1.0]], ['2, k, 24', [0.227404, 0.345539, 1.0]]]
[['2, k, 0', [-0.0295295, -0.363653, 1.0]], ['2, k, 1', [-0.02123, -0.0447544, 1.0]], ['2, k, 2', [-0.0111038, 0.272991, 1.0]], ['2, k, 3', [0.0114581, 0.417457, 1.0]], ['2, k, 4', [-0.150249, 0.160344, 1.0]], ['2, k, 5', [-0.215783, 0.246658, 1.0]], ['2, k, 6', [-0.200216, 0.314297, 1.0]], ['2, k, 7', [-0.187212, 0.35903, 1.0]], ['2, k, 8', [0.133109, 0.16466, 1.0]], ['2, k, 9', [0.222796, 0.210118, 1.0]], ['2, k, 10', [0.25256, 0.300268, 1.0]], ['2, k, 11', [0.263667, 0.341108, 1.0]], ['2, k, 12', [-0.106372, -0.357907, 1.0]], ['2, k, 13', [-0.188369, -0.690884, 1.0]], ['2, k, 14', [-0.186151, -1.00008, 1.0]], ['2, k, 15', [-0.165117, -0.864842, 1.0]], ['2, k, 16', [0.0480079, -0.36168, 1.0]], ['2, k, 17', [0.102227, -0.696664, 1.0]], ['2, k, 18', [0.102425, -1.01591, 1.0]], ['2, k, 19', [0.0808449, -0.879571, 1.0]], ['2, k, 20', [-0.0136693, 0.194027, 1.0]], ['2, k, 21', [-0.170596, 0.384931, 1.0]], ['2, k, 22', [-0.141561, 0.354905, 1.0]], ['2, k, 23', [0.268315, 0.3615, 1.0]], ['2, k, 24', [0.227772, 0.34434, 1.0]]]
[['2, k, 0', [-0.029678, -0.363422, 1.0]], ['2, k, 1', [-0.0211007, -0.0443744, 1.0]], ['2, k, 2', [-0.0107434, 0.273531, 1.0]], ['2, k, 3', [0.0130676, 0.416944, 1.0]], ['2, k, 4', [-0.150079, 0.16241, 1.0]], ['2, k, 5', [-0.215659, 0.246722, 1.0]], ['2, k, 6', [-0.199406, 0.31652, 1.0]], ['2, k, 7', [-0.187578, 0.36102, 1.0]], ['2, k, 8', [0.134016, 0.165874, 1.0]], ['2, k, 9', [0.222686, 0.216881, 1.0]], ['2, k, 10', [0.251041, 0.300821, 1.0]], ['2, k, 11', [0.263187, 0.339189, 1.0]], ['2, k, 12', [-0.106212, -0.357361, 1.0]], ['2, k, 13', [-0.18821, -0.69003, 1.0]], ['2, k, 14', [-0.184707, -0.999403, 1.0]], ['2, k, 15', [-0.163316, -0.864855, 1.0]], ['2, k, 16', [0.0475264, -0.361777, 1.0]], ['2, k, 17', [0.10363, -0.69731, 1.0]], ['2, k, 18', [0.102359, -1.01341, 1.0]], ['2, k, 19', [0.0802499, -0.877588, 1.0]], ['2, k, 20', [-0.0133635, 0.194638, 1.0]], ['2, k, 21', [-0.170028, 0.3885, 1.0]], ['2, k, 22', [-0.146516, 0.350456, 1.0]], ['2, k, 23', [0.268115, 0.361554, 1.0]], ['2, k, 24', [0.224505, 0.345156, 1.0]]]
[['2, k, 0', [-0.0301366, -0.363669, 1.0]], ['2, k, 1', [-0.0207646, -0.0442187, 1.0]], ['2, k, 2', [-0.00860223, 0.273544, 1.0]], ['2, k, 3', [0.0139759, 0.417708, 1.0]], ['2, k, 4', [-0.149536, 0.164397, 1.0]], ['2, k, 5', [-0.218484, 0.244606, 1.0]], ['2, k, 6', [-0.198447, 0.318947, 1.0]], ['2, k, 7', [-0.186202, 0.363668, 1.0]], ['2, k, 8', [0.133971, 0.165709, 1.0]], ['2, k, 9', [0.222686, 0.218057, 1.0]], ['2, k, 10', [0.252281, 0.300764, 1.0]], ['2, k, 11', [0.260244, 0.340047, 1.0]], ['2, k, 12', [-0.106367, -0.357399, 1.0]], ['2, k, 13', [-0.185692, -0.690876, 1.0]], ['2, k, 14', [-0.182653, -1.00071, 1.0]], ['2, k, 15', [-0.163671, -0.865621, 1.0]], ['2, k, 16', [0.0466635, -0.362308, 1.0]], ['2, k, 17', [0.104362, -0.698458, 1.0]], ['2, k, 18', [0.101158, -1.01215, 1.0]], ['2, k, 19', [0.081238, -0.876686, 1.0]], ['2, k, 20', [-0.0117575, 0.194801, 1.0]], ['2, k, 21', [-0.16313, 0.387632, 1.0]], ['2, k, 22', [-0.129426, 0.362579, 1.0]], ['2, k, 23', [0.271503, 0.361302, 1.0]], ['2, k, 24', [0.222294, 0.349666, 1.0]]]
[['2, k, 0', [-0.030059, -0.363424, 1.0]], ['2, k, 1', [-0.0205779, -0.0436524, 1.0]], ['2, k, 2', [-0.00863643, 0.273911, 1.0]], ['2, k, 3', [0.0142485, 0.417967, 1.0]], ['2, k, 4', [-0.149501, 0.165378, 1.0]], ['2, k, 5', [-0.218143, 0.242695, 1.0]], ['2, k, 6', [-0.198105, 0.320673, 1.0]], ['2, k, 7', [-0.186245, 0.36312, 1.0]], ['2, k, 8', [0.134119, 0.165712, 1.0]], ['2, k, 9', [0.222791, 0.218266, 1.0]], ['2, k, 10', [0.252249, 0.299405, 1.0]], ['2, k, 11', [0.261567, 0.33619, 1.0]], ['2, k, 12', [-0.106086, -0.357227, 1.0]], ['2, k, 13', [-0.185897, -0.690614, 1.0]], ['2, k, 14', [-0.18211, -1.00142, 1.0]], ['2, k, 15', [-0.164431, -0.865772, 1.0]], ['2, k, 16', [0.046556, -0.361989, 1.0]], ['2, k, 17', [0.0991901, -0.699687, 1.0]], ['2, k, 18', [0.10403, -1.01251, 1.0]], ['2, k, 19', [0.081785, -0.877748, 1.0]], ['2, k, 20', [-0.0117318, 0.195192, 1.0]], ['2, k, 21', [-0.172339, 0.39169, 1.0]], ['2, k, 22', [-0.135007, 0.357989, 1.0]], ['2, k, 23', [0.272786, 0.357208, 1.0]], ['2, k, 24', [0.22444, 0.346261, 1.0]]]
[['2, k, 0', [-0.0301934, -0.363207, 1.0]], ['2, k, 1', [-0.0205138, -0.043429, 1.0]], ['2, k, 2', [-0.0086575, 0.273905, 1.0]], ['2, k, 3', [0.013997, 0.418894, 1.0]], ['2, k, 4', [-0.149502, 0.165998, 1.0]], ['2, k, 5', [-0.207265, 0.249444, 1.0]], ['2, k, 6', [-0.198284, 0.320968, 1.0]], ['2, k, 7', [-0.186524, 0.362084, 1.0]], ['2, k, 8', [0.134042, 0.165954, 1.0]], ['2, k, 9', [0.222813, 0.218676, 1.0]], ['2, k, 10', [0.252863, 0.299176, 1.0]], ['2, k, 11', [0.260446, 0.331701, 1.0]], ['2, k, 12', [-0.106114, -0.357174, 1.0]], ['2, k, 13', [-0.185361, -0.690886, 1.0]], ['2, k, 14', [-0.181944, -1.0042, 1.0]], ['2, k, 15', [-0.164309, -0.867444, 1.0]], ['2, k, 16', [0.046297, -0.361557, 1.0]], ['2, k, 17', [0.100183, -0.699162, 1.0]], ['2, k, 18', [0.104761, -1.01532, 1.0]], ['2, k, 19', [0.0826193, -0.878965, 1.0]], ['2, k, 20', [-0.0117271, 0.195235, 1.0]], ['2, k, 21', [-0.162783, 0.388657, 1.0]], ['2, k, 22', [-0.141204, 0.357152, 1.0]], ['2, k, 23', [0.268327, 0.354865, 1.0]], ['2, k, 24', [0.2223, 0.345639, 1.0]]]
[['2, k, 0', [-0.0303427, -0.363198, 1.0]], ['2, k, 1', [-0.0204744, -0.0434137, 1.0]], ['2, k, 2', [-0.00826761, 0.273454, 1.0]], ['2, k, 3', [0.0139655, 0.418734, 1.0]], ['2, k, 4', [-0.149257, 0.166937, 1.0]], ['2, k, 5', [-0.207952, 0.248604, 1.0]], ['2, k, 6', [-0.198247, 0.321009, 1.0]], ['2, k, 7', [-0.187437, 0.359479, 1.0]], ['2, k, 8', [0.134153, 0.1659, 1.0]], ['2, k, 9', [0.222841, 0.218623, 1.0]], ['2, k, 10', [0.252594, 0.297427, 1.0]], ['2, k, 11', [0.262676, 0.329837, 1.0]], ['2, k, 12', [-0.106197, -0.357173, 1.0]], ['2, k, 13', [-0.186575, -0.691382, 1.0]], ['2, k, 14', [-0.181711, -1.004, 1.0]], ['2, k, 15', [-0.164952, -0.867861, 1.0]], ['2, k, 16', [0.0460713, -0.361538, 1.0]], ['2, k, 17', [0.108414, -0.69901, 1.0]], ['2, k, 18', [0.109052, -1.01618, 1.0]], ['2, k, 19', [0.0852976, -0.879785, 1.0]], ['2, k, 20', [-0.011398, 0.194957, 1.0]], ['2, k, 21', [-0.166171, 0.3844, 1.0]], ['2, k, 22', [-0.142198, 0.35389, 1.0]], ['2, k, 23', [0.273374, 0.352495, 1.0]], ['2, k, 24', [0.217651, 0.343363, 1.0]]]
[['2, k, 0', [-0.0305728, -0.363457, 1.0]], ['2, k, 1', [-0.0204065, -0.0435804, 1.0]], ['2, k, 2', [-0.00790612, 0.272697, 1.0]], ['2, k, 3', [0.0139323, 0.418724, 1.0]], ['2, k, 4', [-0.14924, 0.166985, 1.0]], ['2, k, 5', [-0.218185, 0.235785, 1.0]], ['2, k, 6', [-0.198283, 0.320952, 1.0]], ['2, k, 7', [-0.187795, 0.354531, 1.0]], ['2, k, 8', [0.134395, 0.165659, 1.0]], ['2, k, 9', [0.223439, 0.214594, 1.0]], ['2, k, 10', [0.252045, 0.290753, 1.0]], ['2, k, 11', [0.259323, 0.324125, 1.0]], ['2, k, 12', [-0.106369, -0.357459, 1.0]], ['2, k, 13', [-0.204366, -0.689101, 1.0]], ['2, k, 14', [-0.187496, -1.00499, 1.0]], ['2, k, 15', [-0.164668, -0.867349, 1.0]], ['2, k, 16', [0.0457524, -0.361802, 1.0]], ['2, k, 17', [0.10993, -0.699274, 1.0]], ['2, k, 18', [0.140333, -1.02129, 1.0]], ['2, k, 19', [0.107935, -0.886766, 1.0]], ['2, k, 20', [-0.0110962, 0.194352, 1.0]], ['2, k, 21', [-0.165209, 0.377881, 1.0]], ['2, k, 22', [-0.137925, 0.351599, 1.0]], ['2, k, 23', [0.267519, 0.345078, 1.0]], ['2, k, 24', [0.221961, 0.336555, 1.0]]]
[['2, k, 0', [-0.0312172, -0.364722, 1.0]], ['2, k, 1', [-0.0204805, -0.044395, 1.0]], ['2, k, 2', [-0.00786392, 0.271379, 1.0]], ['2, k, 3', [0.0141002, 0.417118, 1.0]], ['2, k, 4', [-0.149234, 0.166879, 1.0]], ['2, k, 5', [-0.228727, 0.225953, 1.0]], ['2, k, 6', [-0.198251, 0.320222, 1.0]], ['2, k, 7', [-0.187601, 0.350959, 1.0]], ['2, k, 8', [0.134551, 0.164836, 1.0]], ['2, k, 9', [0.230771, 0.190835, 1.0]], ['2, k, 10', [0.251905, 0.286644, 1.0]], ['2, k, 11', [0.258586, 0.317319, 1.0]], ['2, k, 12', [-0.106899, -0.358607, 1.0]], ['2, k, 13', [-0.210092, -0.689029, 1.0]], ['2, k, 14', [-0.190603, -1.00733, 1.0]], ['2, k, 15', [-0.167653, -0.869179, 1.0]], ['2, k, 16', [0.044965, -0.363263, 1.0]], ['2, k, 17', [0.108436, -0.701468, 1.0]], ['2, k, 18', [0.151678, -1.02141, 1.0]], ['2, k, 19', [0.113992, -0.887771, 1.0]], ['2, k, 20', [-0.0110758, 0.193136, 1.0]], ['2, k, 21', [-0.170266, 0.374268, 1.0]], ['2, k, 22', [-0.134878, 0.346461, 1.0]], ['2, k, 23', [0.261552, 0.340995, 1.0]], ['2, k, 24', [0.216955, 0.329939, 1.0]]]
[['2, k, 0', [-0.03173, -0.366434, 1.0]], ['2, k, 1', [-0.0207986, -0.0463824, 1.0]], ['2, k, 2', [-0.00847883, 0.268371, 1.0]], ['2, k, 3', [0.0142039, 0.414695, 1.0]], ['2, k, 4', [-0.149071, 0.1662, 1.0]], ['2, k, 5', [-0.232033, 0.218903, 1.0]], ['2, k, 6', [-0.198256, 0.317591, 1.0]], ['2, k, 7', [-0.190494, 0.344567, 1.0]], ['2, k, 8', [0.134838, 0.163811, 1.0]], ['2, k, 9', [0.236775, 0.180864, 1.0]], ['2, k, 10', [0.252389, 0.280401, 1.0]], ['2, k, 11', [0.258336, 0.312468, 1.0]], ['2, k, 12', [-0.107155, -0.360326, 1.0]], ['2, k, 13', [-0.222514, -0.68731, 1.0]], ['2, k, 14', [-0.168994, -1.00047, 1.0]], ['2, k, 15', [-0.16092, -0.863943, 1.0]], ['2, k, 16', [0.0442296, -0.364915, 1.0]], ['2, k, 17', [0.0297036, -0.707167, 1.0]], ['2, k, 18', [0.200281, -0.991147, 1.0]], ['2, k, 19', [0.135779, -0.866229, 1.0]], ['2, k, 20', [-0.0115832, 0.190469, 1.0]], ['2, k, 21', [-0.18025, 0.369896, 1.0]], ['2, k, 22', [-0.141316, 0.340205, 1.0]], ['2, k, 23', [0.263961, 0.334871, 1.0]], ['2, k, 24', [0.209484, 0.325825, 1.0]]]
