[['2, k, 0', [-0.3862378, 0.0132187, 1.0]], ['2, k, 1', [-0.4083534, 0.3190156, 1.0]], ['2, k, 2', [-0.4267578, 0.613198, 1.0]], ['2, k, 3', [-0.4340899, 0.7451192, 1.0]], ['2, k, 4', [-0.5916142, 0.5008054, 1.0]], ['2, k, 5', [-0.6807894, 0.2816125, 1.0]], ['2, k, 6', [-0.712876, 0.08253676, 1.0]], ['2, k, 7', [-0.7046758, 0.005836233, 1.0]], ['2, k, 8', [-0.2381437, 0.5398116, 1.0]], ['2, k, 9', [-0.07664528, 0.3450318, 1.0]], ['2, k, 10', [0.08363557, 0.2106993, 1.0]], ['2, k, 11', [0.1505894, 0.150733, 1.0]], ['2, k, 12', [-0.4595175, 0.01180558, 1.0]], ['2, k, 13', [-0.4593029, -0.3557069, 1.0]], ['2, k, 14', [-0.473561, -0.6591592, 1.0]], ['2, k, 15', [-0.492016, -0.7275943, 1.0]], ['2, k, 16', [-0.300689, 0.01362923, 1.0]], ['2, k, 17', [-0.2653981, -0.3803467, 1.0]], ['2, k, 18', [-0.1972235, -0.6399236, 1.0]], ['2, k, 19', [-0.1662023, -0.7027251, 1.0]], ['2, k, 20', [-0.422751, 0.5412056, 1.0]], ['2, k, 21', [-0.6967811, -0.07626096, 1.0]], ['2, k, 22', [-0.6441124, -0.01029154, 1.0]], ['2, k, 23', [0.2045108, 0.09991357, 1.0]], ['2, k, 24', [0.1347357, 0.1579733, 1.0]]]
[['2, k, 0', [-0.3747073, 0.03518857, 1.0]], ['2, k, 1', [-0.3896842, 0.3318879, 1.0]], ['2, k, 2', [-0.4028485, 0.6189173, 1.0]], ['2, k, 3', [-0.399707, 0.7482942, 1.0]], ['2, k, 4', [-0.573799, 0.5666088, 1.0]], ['2, k, 5', [-0.7324985, 0.7150539, 1.0]], ['2, k, 6', [-0.7944647, 0.7902568, 1.0]], ['2, k, 7', [-0.8362906, 0.8351043, 1.0]], ['2, k, 8', [-0.2227677, 0.5482153, 1.0]], ['2, k, 9', [-0.09923986, 0.372532, 1.0]], ['2, k, 10', [-0.1345024, 0.1659418, 1.0]], ['2, k, 11', [-0.1912937, 0.106324, 1.0]], ['2, k, 12', [-0.4496217, 0.03727892, 1.0]], ['2, k, 13', [-0.4580236, -0.3481601, 1.0]], ['2, k, 14', [-0.4707381, -0.657165, 1.0]], ['2, k, 15', [-0.4916458, -0.7277637, 1.0]], ['2, k, 16', [-0.2878042, 0.03213878, 1.0]], ['2, k, 17', [-0.2623807, -0.3714915, 1.0]], ['2, k, 18', [-0.2058571, -0.636339, 1.0]], ['2, k, 19', [-0.1639163, -0.7044122, 1.0]], ['2, k, 20', [-0.399821, 0.5487178, 1.0]], ['2, k, 21', [-0.8958222, 0.9063543, 1.0]], ['2, k, 22', [-0.8514988, 0.8811056, 1.0]], ['2, k, 23', [-0.218069, 0.0114993, 1.0]], ['2, k, 24', [-0.2386762, 0.1598585, 1.0]]]
[['2, k, 0', [-0.3763394, 0.03735237, 1.0]], ['2, k, 1', [-0.3915063, 0.3325567, 1.0]], ['2, k, 2', [-0.4051087, 0.6181429, 1.0]], ['2, k, 3', [-0.401614, 0.7498061, 1.0]], ['2, k, 4', [-0.5740701, 0.5731963, 1.0]], ['2, k, 5', [-0.7218645, 0.741117, 1.0]], ['2, k, 6', [-0.7709992, 0.8242992, 1.0]], ['2, k, 7', [-0.8038667, 0.875912, 1.0]], ['2, k, 8', [-0.2260287, 0.5489398, 1.0]], ['2, k, 9', [-0.1018685, 0.3724031, 1.0]], ['2, k, 10', [-0.1353588, 0.1651231, 1.0]], ['2, k, 11', [-0.1920792, 0.107873, 1.0]], ['2, k, 12', [-0.4508758, 0.03973558, 1.0]], ['2, k, 13', [-0.4581967, -0.347933, 1.0]], ['2, k, 14', [-0.4707501, -0.6572617, 1.0]], ['2, k, 15', [-0.4917612, -0.7279202, 1.0]], ['2, k, 16', [-0.2898127, 0.03395805, 1.0]], ['2, k, 17', [-0.2624293, -0.3711875, 1.0]], ['2, k, 18', [-0.2083755, -0.6337129, 1.0]], ['2, k, 19', [-0.1633361, -0.7043214, 1.0]], ['2, k, 20', [-0.4019782, 0.5483325, 1.0]], ['2, k, 21', [-0.8615838, 0.9733424, 1.0]], ['2, k, 22', [-0.8199911, 0.8997712, 1.0]], ['2, k, 23', [-0.2212722, 0.01272485, 1.0]], ['2, k, 24', [-0.23993, 0.1621458, 1.0]]]
[['2, k, 0', [-0.379712, 0.04162481, 1.0]], ['2, k, 1', [-0.3939518, 0.3338369, 1.0]], ['2, k, 2', [-0.4069185, 0.6175678, 1.0]], ['2, k, 3', [-0.4030391, 0.7510659, 1.0]], ['2, k, 4', [-0.5731162, 0.5925065, 1.0]], ['2, k, 5', [-0.7081084, 0.7690495, 1.0]], ['2, k, 6', [-0.7473545, 0.8470536, 1.0]], ['2, k, 7', [-0.7720972, 0.8989775, 1.0]], ['2, k, 8', [-0.2283786, 0.5493378, 1.0]], ['2, k, 9', [-0.104269, 0.3753298, 1.0]], ['2, k, 10', [-0.1356101, 0.1674022, 1.0]], ['2, k, 11', [-0.1924356, 0.1092377, 1.0]], ['2, k, 12', [-0.4532887, 0.04439454, 1.0]], ['2, k, 13', [-0.4607625, -0.3436998, 1.0]], ['2, k, 14', [-0.4702465, -0.655911, 1.0]], ['2, k, 15', [-0.4915894, -0.7276077, 1.0]], ['2, k, 16', [-0.2941871, 0.03775907, 1.0]], ['2, k, 17', [-0.2633758, -0.3707055, 1.0]], ['2, k, 18', [-0.2101026, -0.6360351, 1.0]], ['2, k, 19', [-0.1634285, -0.704666, 1.0]], ['2, k, 20', [-0.4039, 0.5481521, 1.0]], ['2, k, 21', [-0.8078406, 0.9720696, 1.0]], ['2, k, 22', [-0.7764971, 0.9136588, 1.0]], ['2, k, 23', [-0.2222068, 0.01218179, 1.0]], ['2, k, 24', [-0.2397966, 0.1620889, 1.0]]]
[['2, k, 0', [-0.3808972, 0.04281918, 1.0]], ['2, k, 1', [-0.3951113, 0.3343205, 1.0]], ['2, k, 2', [-0.4078486, 0.6172343, 1.0]], ['2, k, 3', [-0.4040574, 0.7524719, 1.0]], ['2, k, 4', [-0.5730742, 0.5923807, 1.0]], ['2, k, 5', [-0.6934935, 0.7772727, 1.0]], ['2, k, 6', [-0.7288659, 0.855491, 1.0]], ['2, k, 7', [-0.745227, 0.9136187, 1.0]], ['2, k, 8', [-0.2300682, 0.5500858, 1.0]], ['2, k, 9', [-0.1069146, 0.3767805, 1.0]], ['2, k, 10', [-0.1362009, 0.1684218, 1.0]], ['2, k, 11', [-0.193579, 0.1122639, 1.0]], ['2, k, 12', [-0.4542552, 0.04570746, 1.0]], ['2, k, 13', [-0.4612187, -0.3429151, 1.0]], ['2, k, 14', [-0.4702328, -0.6559299, 1.0]], ['2, k, 15', [-0.491622, -0.7276571, 1.0]], ['2, k, 16', [-0.295518, 0.03874515, 1.0]], ['2, k, 17', [-0.2633932, -0.3700799, 1.0]], ['2, k, 18', [-0.196275, -0.6619824, 1.0]], ['2, k, 19', [-0.156922, -0.7160199, 1.0]], ['2, k, 20', [-0.4049031, 0.5480075, 1.0]], ['2, k, 21', [-0.7775831, 0.9946875, 1.0]], ['2, k, 22', [-0.7491733, 0.9050945, 1.0]], ['2, k, 23', [-0.2251147, 0.01842536, 1.0]], ['2, k, 24', [-0.2407408, 0.1644896, 1.0]]]
[['2, k, 0', [-0.3840089, 0.04691386, 1.0]], ['2, k, 1', [-0.3949575, 0.3353254, 1.0]], ['2, k, 2', [-0.4031985, 0.6155729, 1.0]], ['2, k, 3', [-0.4048314, 0.7546557, 1.0]], ['2, k, 4', [-0.571512, 0.6017749, 1.0]], ['2, k, 5', [-0.683035, 0.7905024, 1.0]], ['2, k, 6', [-0.7516533, 0.96457, 1.0]], ['2, k, 7', [-0.7465401, 0.9731128, 1.0]], ['2, k, 8', [-0.2298687, 0.5509657, 1.0]], ['2, k, 9', [-0.1073506, 0.3748407, 1.0]], ['2, k, 10', [-0.1371595, 0.1665924, 1.0]], ['2, k, 11', [-0.1934743, 0.109952, 1.0]], ['2, k, 12', [-0.4571385, 0.05029915, 1.0]], ['2, k, 13', [-0.4615088, -0.3425567, 1.0]], ['2, k, 14', [-0.4704256, -0.6567313, 1.0]], ['2, k, 15', [-0.4906158, -0.7270418, 1.0]], ['2, k, 16', [-0.2986986, 0.04217733, 1.0]], ['2, k, 17', [-0.2636161, -0.3684495, 1.0]], ['2, k, 18', [-0.1755833, -0.7107534, 1.0]], ['2, k, 19', [-0.1191298, -0.7185439, 1.0]], ['2, k, 20', [-0.4020394, 0.5473746, 1.0]], ['2, k, 21', [-0.7499538, 0.9819234, 1.0]], ['2, k, 22', [-0.7296474, 0.9396325, 1.0]], ['2, k, 23', [-0.2261267, 0.01270374, 1.0]], ['2, k, 24', [-0.2393732, 0.1620185, 1.0]]]
[['2, k, 0', [-0.3851724, 0.0486062, 1.0]], ['2, k, 1', [-0.3951512, 0.3363543, 1.0]], ['2, k, 2', [-0.4027155, 0.6157482, 1.0]], ['2, k, 3', [-0.4052124, 0.7557912, 1.0]], ['2, k, 4', [-0.5705898, 0.6050962, 1.0]], ['2, k, 5', [-0.6787735, 0.7946022, 1.0]], ['2, k, 6', [-0.742519, 0.9698755, 1.0]], ['2, k, 7', [-0.7335117, 0.9844891, 1.0]], ['2, k, 8', [-0.2297474, 0.5515012, 1.0]], ['2, k, 9', [-0.108618, 0.3760219, 1.0]], ['2, k, 10', [-0.1375501, 0.1676408, 1.0]], ['2, k, 11', [-0.1938214, 0.11029, 1.0]], ['2, k, 12', [-0.4583331, 0.05234987, 1.0]], ['2, k, 13', [-0.4634269, -0.3393483, 1.0]], ['2, k, 14', [-0.4702987, -0.656579, 1.0]], ['2, k, 15', [-0.4908071, -0.7271236, 1.0]], ['2, k, 16', [-0.2998089, 0.04349319, 1.0]], ['2, k, 17', [-0.2656838, -0.3674659, 1.0]], ['2, k, 18', [-0.1994865, -0.6498479, 1.0]], ['2, k, 19', [-0.1635057, -0.7053262, 1.0]], ['2, k, 20', [-0.40163, 0.5476801, 1.0]], ['2, k, 21', [-0.762253, 1.011989, 1.0]], ['2, k, 22', [-0.709077, 0.9686015, 1.0]], ['2, k, 23', [-0.2249838, 0.01780061, 1.0]], ['2, k, 24', [-0.2391721, 0.1675021, 1.0]]]
[['2, k, 0', [-0.3873896, 0.05037149, 1.0]], ['2, k, 1', [-0.3950632, 0.3370914, 1.0]], ['2, k, 2', [-0.4004256, 0.6158646, 1.0]], ['2, k, 3', [-0.4051147, 0.756124, 1.0]], ['2, k, 4', [-0.5681385, 0.6097263, 1.0]], ['2, k, 5', [-0.6736228, 0.7950736, 1.0]], ['2, k, 6', [-0.7361124, 0.9697552, 1.0]], ['2, k, 7', [-0.7262973, 0.9758845, 1.0]], ['2, k, 8', [-0.2291751, 0.5517464, 1.0]], ['2, k, 9', [-0.1091059, 0.3767755, 1.0]], ['2, k, 10', [-0.1380772, 0.168127, 1.0]], ['2, k, 11', [-0.1922485, 0.1111901, 1.0]], ['2, k, 12', [-0.4606915, 0.05473999, 1.0]], ['2, k, 13', [-0.4639099, -0.3378138, 1.0]], ['2, k, 14', [-0.470264, -0.6564598, 1.0]], ['2, k, 15', [-0.4914652, -0.7272698, 1.0]], ['2, k, 16', [-0.3018244, 0.04462745, 1.0]], ['2, k, 17', [-0.2660576, -0.3668579, 1.0]], ['2, k, 18', [-0.1691449, -0.7107553, 1.0]], ['2, k, 19', [-0.1513523, -0.7220521, 1.0]], ['2, k, 20', [-0.400027, 0.5479416, 1.0]], ['2, k, 21', [-0.7266681, 0.9813228, 1.0]], ['2, k, 22', [-0.7059796, 0.9550009, 1.0]], ['2, k, 23', [-0.2175944, 0.01729382, 1.0]], ['2, k, 24', [-0.2394551, 0.163723, 1.0]]]
[['2, k, 0', [-0.3877906, 0.05047759, 1.0]], ['2, k, 1', [-0.3955621, 0.3371883, 1.0]], ['2, k, 2', [-0.4019561, 0.6154924, 1.0]], ['2, k, 3', [-0.4042761, 0.7568886, 1.0]], ['2, k, 4', [-0.5676706, 0.6054695, 1.0]], ['2, k, 5', [-0.6711194, 0.7958699, 1.0]], ['2, k, 6', [-0.7317109, 0.9701425, 1.0]], ['2, k, 7', [-0.731025, 0.9762881, 1.0]], ['2, k, 8', [-0.2301425, 0.5520177, 1.0]], ['2, k, 9', [-0.1096041, 0.3763489, 1.0]], ['2, k, 10', [-0.1384071, 0.1677105, 1.0]], ['2, k, 11', [-0.1914639, 0.1106505, 1.0]], ['2, k, 12', [-0.4611464, 0.05484449, 1.0]], ['2, k, 13', [-0.4641221, -0.3373316, 1.0]], ['2, k, 14', [-0.4708459, -0.6574218, 1.0]], ['2, k, 15', [-0.4915229, -0.7273059, 1.0]], ['2, k, 16', [-0.3021439, 0.04470363, 1.0]], ['2, k, 17', [-0.2684309, -0.3648654, 1.0]], ['2, k, 18', [-0.2039441, -0.6419224, 1.0]], ['2, k, 19', [-0.1643476, -0.7039168, 1.0]], ['2, k, 20', [-0.4010763, 0.5477158, 1.0]], ['2, k, 21', [-0.7428262, 0.990367, 1.0]], ['2, k, 22', [-0.722913, 0.9583196, 1.0]], ['2, k, 23', [-0.2215139, 0.01735391, 1.0]], ['2, k, 24', [-0.238819, 0.1634946, 1.0]]]
[['2, k, 0', [-0.3881328, 0.05078698, 1.0]], ['2, k, 1', [-0.3961906, 0.337442, 1.0]], ['2, k, 2', [-0.4030707, 0.6153291, 1.0]], ['2, k, 3', [-0.4035577, 0.7576842, 1.0]], ['2, k, 4', [-0.5671713, 0.6057253, 1.0]], ['2, k, 5', [-0.6676566, 0.794869, 1.0]], ['2, k, 6', [-0.7306761, 0.967246, 1.0]], ['2, k, 7', [-0.731819, 0.9657653, 1.0]], ['2, k, 8', [-0.2307218, 0.5521156, 1.0]], ['2, k, 9', [-0.1078507, 0.3676573, 1.0]], ['2, k, 10', [-0.1416494, 0.1599204, 1.0]], ['2, k, 11', [-0.1950735, 0.1036074, 1.0]], ['2, k, 12', [-0.4613931, 0.05511436, 1.0]], ['2, k, 13', [-0.4646221, -0.3367821, 1.0]], ['2, k, 14', [-0.4708275, -0.6573847, 1.0]], ['2, k, 15', [-0.4919278, -0.7272727, 1.0]], ['2, k, 16', [-0.3025904, 0.04502821, 1.0]], ['2, k, 17', [-0.2679111, -0.3649201, 1.0]], ['2, k, 18', [-0.2040667, -0.644862, 1.0]], ['2, k, 19', [-0.1640963, -0.7046627, 1.0]], ['2, k, 20', [-0.4019853, 0.5476477, 1.0]], ['2, k, 21', [-0.7290753, 0.9771326, 1.0]], ['2, k, 22', [-0.7228212, 0.9428383, 1.0]], ['2, k, 23', [-0.2274583, 0.00800301, 1.0]], ['2, k, 24', [-0.2432309, 0.1569932, 1.0]]]
[['2, k, 0', [-0.3888053, 0.05124917, 1.0]], ['2, k, 1', [-0.3967826, 0.3377327, 1.0]], ['2, k, 2', [-0.4036067, 0.6153013, 1.0]], ['2, k, 3', [-0.402428, 0.7582934, 1.0]], ['2, k, 4', [-0.5665866, 0.6057275, 1.0]], ['2, k, 5', [-0.6673321, 0.7945144, 1.0]], ['2, k, 6', [-0.7306067, 0.9655706, 1.0]], ['2, k, 7', [-0.7361763, 0.9654686, 1.0]], ['2, k, 8', [-0.2309756, 0.5524056, 1.0]], ['2, k, 9', [-0.1075081, 0.3674442, 1.0]], ['2, k, 10', [-0.142872, 0.1603705, 1.0]], ['2, k, 11', [-0.1954228, 0.1023206, 1.0]], ['2, k, 12', [-0.4620387, 0.05556519, 1.0]], ['2, k, 13', [-0.4650797, -0.3356862, 1.0]], ['2, k, 14', [-0.4706129, -0.657182, 1.0]], ['2, k, 15', [-0.4914679, -0.7265828, 1.0]], ['2, k, 16', [-0.3032437, 0.04545554, 1.0]], ['2, k, 17', [-0.2675389, -0.3649394, 1.0]], ['2, k, 18', [-0.2074766, -0.6411124, 1.0]], ['2, k, 19', [-0.1630029, -0.7049788, 1.0]], ['2, k, 20', [-0.4024993, 0.5476746, 1.0]], ['2, k, 21', [-0.7426217, 1.012171, 1.0]], ['2, k, 22', [-0.7302147, 0.9470919, 1.0]], ['2, k, 23', [-0.228229, 0.004559962, 1.0]], ['2, k, 24', [-0.2429213, 0.1572687, 1.0]]]
[['2, k, 0', [-0.388764, 0.05135414, 1.0]], ['2, k, 1', [-0.3969602, 0.3378671, 1.0]], ['2, k, 2', [-0.404045, 0.6152506, 1.0]], ['2, k, 3', [-0.4010696, 0.7584965, 1.0]], ['2, k, 4', [-0.5661938, 0.6055853, 1.0]], ['2, k, 5', [-0.6668236, 0.7920803, 1.0]], ['2, k, 6', [-0.7338863, 0.9615093, 1.0]], ['2, k, 7', [-0.7437897, 0.9558355, 1.0]], ['2, k, 8', [-0.2310739, 0.5524771, 1.0]], ['2, k, 9', [-0.1072275, 0.3678876, 1.0]], ['2, k, 10', [-0.142863, 0.1606396, 1.0]], ['2, k, 11', [-0.1950207, 0.1031574, 1.0]], ['2, k, 12', [-0.4620068, 0.05568635, 1.0]], ['2, k, 13', [-0.4655676, -0.3351431, 1.0]], ['2, k, 14', [-0.47056, -0.6571124, 1.0]], ['2, k, 15', [-0.4920329, -0.7269035, 1.0]], ['2, k, 16', [-0.3031928, 0.04553472, 1.0]], ['2, k, 17', [-0.2671168, -0.365073, 1.0]], ['2, k, 18', [-0.204976, -0.6453903, 1.0]], ['2, k, 19', [-0.163053, -0.7049624, 1.0]], ['2, k, 20', [-0.4028509, 0.5476549, 1.0]], ['2, k, 21', [-0.7738923, 1.036255, 1.0]], ['2, k, 22', [-0.7557595, 0.9318708, 1.0]], ['2, k, 23', [-0.227125, 0.006847231, 1.0]], ['2, k, 24', [-0.2435636, 0.1543843, 1.0]]]
[['2, k, 0', [-0.3885621, 0.0513845, 1.0]], ['2, k, 1', [-0.3970053, 0.3379035, 1.0]], ['2, k, 2', [-0.4043666, 0.615217, 1.0]], ['2, k, 3', [-0.3987394, 0.7583536, 1.0]], ['2, k, 4', [-0.5657027, 0.6054781, 1.0]], ['2, k, 5', [-0.6681983, 0.7909281, 1.0]], ['2, k, 6', [-0.7417578, 0.9533076, 1.0]], ['2, k, 7', [-0.7517616, 0.9464383, 1.0]], ['2, k, 8', [-0.2310991, 0.5525668, 1.0]], ['2, k, 9', [-0.1072926, 0.3679191, 1.0]], ['2, k, 10', [-0.1422707, 0.160312, 1.0]], ['2, k, 11', [-0.1956643, 0.103764, 1.0]], ['2, k, 12', [-0.4618362, 0.05570028, 1.0]], ['2, k, 13', [-0.4655725, -0.3351179, 1.0]], ['2, k, 14', [-0.4704511, -0.6571404, 1.0]], ['2, k, 15', [-0.4921074, -0.7269776, 1.0]], ['2, k, 16', [-0.3029201, 0.04557706, 1.0]], ['2, k, 17', [-0.2667378, -0.3652977, 1.0]], ['2, k, 18', [-0.2002021, -0.6513406, 1.0]], ['2, k, 19', [-0.1618327, -0.7061171, 1.0]], ['2, k, 20', [-0.4030766, 0.547626, 1.0]], ['2, k, 21', [-0.7724175, 0.9976019, 1.0]], ['2, k, 22', [-0.7401009, 0.9147338, 1.0]], ['2, k, 23', [-0.2271263, 0.005430534, 1.0]], ['2, k, 24', [-0.2432755, 0.1544687, 1.0]]]
[['2, k, 0', [-0.3886317, 0.05131109, 1.0]], ['2, k, 1', [-0.3972002, 0.337932, 1.0]], ['2, k, 2', [-0.4045426, 0.6152875, 1.0]], ['2, k, 3', [-0.3967594, 0.758042, 1.0]], ['2, k, 4', [-0.5653292, 0.6050205, 1.0]], ['2, k, 5', [-0.6742655, 0.7836545, 1.0]], ['2, k, 6', [-0.7081898, 0.8471609, 1.0]], ['2, k, 7', [-0.748233, 0.8951879, 1.0]], ['2, k, 8', [-0.2310298, 0.5525237, 1.0]], ['2, k, 9', [-0.1069294, 0.3679081, 1.0]], ['2, k, 10', [-0.1417147, 0.1602706, 1.0]], ['2, k, 11', [-0.1953892, 0.1037805, 1.0]], ['2, k, 12', [-0.4619423, 0.05569328, 1.0]], ['2, k, 13', [-0.4655234, -0.3351482, 1.0]], ['2, k, 14', [-0.4701393, -0.6568317, 1.0]], ['2, k, 15', [-0.4912009, -0.7267878, 1.0]], ['2, k, 16', [-0.3029659, 0.0453999, 1.0]], ['2, k, 17', [-0.2665277, -0.3652852, 1.0]], ['2, k, 18', [-0.1993672, -0.6505945, 1.0]], ['2, k, 19', [-0.1620049, -0.7062558, 1.0]], ['2, k, 20', [-0.4032541, 0.5476697, 1.0]], ['2, k, 21', [-0.7732469, 0.9719839, 1.0]], ['2, k, 22', [-0.7548651, 0.8941368, 1.0]], ['2, k, 23', [-0.2257489, 0.004883816, 1.0]], ['2, k, 24', [-0.2428678, 0.1565271, 1.0]]]
[['2, k, 0', [-0.3881567, 0.05099529, 1.0]], ['2, k, 1', [-0.3971677, 0.3379313, 1.0]], ['2, k, 2', [-0.4046561, 0.6153852, 1.0]], ['2, k, 3', [-0.3941012, 0.7569125, 1.0]], ['2, k, 4', [-0.5647879, 0.6044554, 1.0]], ['2, k, 5', [-0.6851386, 0.7727476, 1.0]], ['2, k, 6', [-0.7248169, 0.8354755, 1.0]], ['2, k, 7', [-0.7659932, 0.8793047, 1.0]], ['2, k, 8', [-0.2308679, 0.5521808, 1.0]], ['2, k, 9', [-0.10404, 0.3606373, 1.0]], ['2, k, 10', [-0.1522508, 0.1378153, 1.0]], ['2, k, 11', [-0.2079124, 0.08139433, 1.0]], ['2, k, 12', [-0.4614643, 0.05534916, 1.0]], ['2, k, 13', [-0.4650845, -0.3356372, 1.0]], ['2, k, 14', [-0.4701179, -0.6567941, 1.0]], ['2, k, 15', [-0.4901375, -0.7260946, 1.0]], ['2, k, 16', [-0.3025005, 0.04510303, 1.0]], ['2, k, 17', [-0.2662267, -0.3655904, 1.0]], ['2, k, 18', [-0.2036372, -0.6394764, 1.0]], ['2, k, 19', [-0.1619117, -0.7055738, 1.0]], ['2, k, 20', [-0.4033289, 0.5477273, 1.0]], ['2, k, 21', [-0.808159, 0.9669344, 1.0]], ['2, k, 22', [-0.7836062, 0.8783039, 1.0]], ['2, k, 23', [-0.2400134, -0.02177683, 1.0]], ['2, k, 24', [-0.2538293, 0.1342028, 1.0]]]
[['2, k, 0', [-0.38802, 0.05078369, 1.0]], ['2, k, 1', [-0.3971789, 0.3379175, 1.0]], ['2, k, 2', [-0.404704, 0.6154732, 1.0]], ['2, k, 3', [-0.3910169, 0.7554564, 1.0]], ['2, k, 4', [-0.5645248, 0.6038852, 1.0]], ['2, k, 5', [-0.6991091, 0.7544116, 1.0]], ['2, k, 6', [-0.746044, 0.8218582, 1.0]], ['2, k, 7', [-0.7877898, 0.8605809, 1.0]], ['2, k, 8', [-0.2206257, 0.5465087, 1.0]], ['2, k, 9', [-0.1015097, 0.3576159, 1.0]], ['2, k, 10', [-0.1436505, 0.1525747, 1.0]], ['2, k, 11', [-0.196904, 0.09663507, 1.0]], ['2, k, 12', [-0.4613709, 0.05527498, 1.0]], ['2, k, 13', [-0.4646001, -0.3367725, 1.0]], ['2, k, 14', [-0.4697788, -0.6577856, 1.0]], ['2, k, 15', [-0.4906388, -0.7265812, 1.0]], ['2, k, 16', [-0.3022977, 0.04471688, 1.0]], ['2, k, 17', [-0.2662539, -0.3650895, 1.0]], ['2, k, 18', [-0.2040695, -0.6370201, 1.0]], ['2, k, 19', [-0.1625185, -0.7047786, 1.0]], ['2, k, 20', [-0.403361, 0.5477739, 1.0]], ['2, k, 21', [-0.8365327, 0.9526679, 1.0]], ['2, k, 22', [-0.796642, 0.8613285, 1.0]], ['2, k, 23', [-0.2277982, -0.00387266, 1.0]], ['2, k, 24', [-0.2463043, 0.1443311, 1.0]]]
[['2, k, 0', [-0.3873493, 0.05015894, 1.0]], ['2, k, 1', [-0.3968885, 0.3378091, 1.0]], ['2, k, 2', [-0.4045355, 0.6155944, 1.0]], ['2, k, 3', [-0.3876512, 0.7538484, 1.0]], ['2, k, 4', [-0.5630765, 0.6026716, 1.0]], ['2, k, 5', [-0.7113231, 0.7351111, 1.0]], ['2, k, 6', [-0.8324825, 0.8754143, 1.0]], ['2, k, 7', [-0.846775, 0.8980854, 1.0]], ['2, k, 8', [-0.2170894, 0.5447276, 1.0]], ['2, k, 9', [-0.1004905, 0.3559684, 1.0]], ['2, k, 10', [-0.1518806, 0.1389257, 1.0]], ['2, k, 11', [-0.1727478, 0.1076209, 1.0]], ['2, k, 12', [-0.4608573, 0.05494983, 1.0]], ['2, k, 13', [-0.4642518, -0.3376823, 1.0]], ['2, k, 14', [-0.4697954, -0.6578349, 1.0]], ['2, k, 15', [-0.4910445, -0.7267779, 1.0]], ['2, k, 16', [-0.3014589, 0.04373838, 1.0]], ['2, k, 17', [-0.267258, -0.3653165, 1.0]], ['2, k, 18', [-0.2030838, -0.6510881, 1.0]], ['2, k, 19', [-0.1625469, -0.7054417, 1.0]], ['2, k, 20', [-0.4031529, 0.5478281, 1.0]], ['2, k, 21', [-0.8475776, 0.9336624, 1.0]], ['2, k, 22', [-0.8222119, 0.8580446, 1.0]], ['2, k, 23', [-0.1890443, 0.04514245, 1.0]], ['2, k, 24', [-0.2073261, 0.1452437, 1.0]]]
[['2, k, 0', [-0.3854072, 0.04766282, 1.0]], ['2, k, 1', [-0.3919251, 0.3371705, 1.0]], ['2, k, 2', [-0.3920737, 0.6181945, 1.0]], ['2, k, 3', [-0.3836587, 0.7518992, 1.0]], ['2, k, 4', [-0.5603743, 0.5949975, 1.0]], ['2, k, 5', [-0.730645, 0.7095168, 1.0]], ['2, k, 6', [-0.8527045, 0.8145677, 1.0]], ['2, k, 7', [-0.8486575, 0.8186347, 1.0]], ['2, k, 8', [-0.2122665, 0.5412865, 1.0]], ['2, k, 9', [-0.09898406, 0.3538769, 1.0]], ['2, k, 10', [-0.151472, 0.1393903, 1.0]], ['2, k, 11', [-0.1759116, 0.1051058, 1.0]], ['2, k, 12', [-0.459585, 0.05317518, 1.0]], ['2, k, 13', [-0.4632367, -0.3387996, 1.0]], ['2, k, 14', [-0.4696861, -0.6577477, 1.0]], ['2, k, 15', [-0.491135, -0.7269014, 1.0]], ['2, k, 16', [-0.2987986, 0.04050901, 1.0]], ['2, k, 17', [-0.2674975, -0.3653604, 1.0]], ['2, k, 18', [-0.2014106, -0.6525968, 1.0]], ['2, k, 19', [-0.1626909, -0.7061606, 1.0]], ['2, k, 20', [-0.3929192, 0.5492806, 1.0]], ['2, k, 21', [-0.8586922, 0.8656551, 1.0]], ['2, k, 22', [-0.851216, 0.8467846, 1.0]], ['2, k, 23', [-0.1948734, 0.04441623, 1.0]], ['2, k, 24', [-0.2125903, 0.1434338, 1.0]]]
