[['2, k, 0', [0.04645272, 0.0195498, 1.0]], ['2, k, 1', [0.0387469, 0.3332238, 1.0]], ['2, k, 2', [0.0301867, 0.6327986, 1.0]], ['2, k, 3', [0.001921402, 0.7558084, 1.0]], ['2, k, 4', [-0.1293862, 0.511609, 1.0]], ['2, k, 5', [-0.1802143, 0.2716625, 1.0]], ['2, k, 6', [-0.1741084, 0.05455881, 1.0]], ['2, k, 7', [-0.1819666, 0.02592206, 1.0]], ['2, k, 8', [0.1933989, 0.5394887, 1.0]], ['2, k, 9', [0.2974334, 0.2721183, 1.0]], ['2, k, 10', [0.3753896, 0.03730566, 1.0]], ['2, k, 11', [0.4092949, -0.01729961, 1.0]], ['2, k, 12', [-0.02624401, 0.02078147, 1.0]], ['2, k, 13', [-0.05228677, -0.3752542, 1.0]], ['2, k, 14', [-0.06155614, -0.6936809, 1.0]], ['2, k, 15', [-0.09039534, -0.7472429, 1.0]], ['2, k, 16', [0.1178247, 0.01816454, 1.0]], ['2, k, 17', [0.1618337, -0.4334534, 1.0]], ['2, k, 18', [0.2185818, -0.7055503, 1.0]], ['2, k, 19', [0.2350676, -0.7450269, 1.0]], ['2, k, 20', [0.03237807, 0.5598874, 1.0]], ['2, k, 21', [-0.1946066, -0.006540171, 1.0]], ['2, k, 22', [-0.2015948, 0.04963336, 1.0]], ['2, k, 23', [0.4509463, -0.07360091, 1.0]], ['2, k, 24', [0.3841762, -0.05093737, 1.0]]]
[['2, k, 0', [0.0678604, 0.02346911, 1.0]], ['2, k, 1', [0.05621684, 0.3385468, 1.0]], ['2, k, 2', [0.0460134, 0.6394778, 1.0]], ['2, k, 3', [0.02672179, 0.7592783, 1.0]], ['2, k, 4', [-0.1130928, 0.5193618, 1.0]], ['2, k, 5', [-0.1601013, 0.2665194, 1.0]], ['2, k, 6', [-0.166473, 0.0535995, 1.0]], ['2, k, 7', [-0.1774206, 0.02479232, 1.0]], ['2, k, 8', [0.219545, 0.5467785, 1.0]], ['2, k, 9', [0.2692345, 0.2623909, 1.0]], ['2, k, 10', [0.311077, 0.01039807, 1.0]], ['2, k, 11', [0.3012688, -0.0680937, 1.0]], ['2, k, 12', [-0.003839739, 0.02297642, 1.0]], ['2, k, 13', [-0.04756797, -0.3777582, 1.0]], ['2, k, 14', [-0.05540438, -0.6932614, 1.0]], ['2, k, 15', [-0.09007483, -0.7480367, 1.0]], ['2, k, 16', [0.1369948, 0.02279539, 1.0]], ['2, k, 17', [0.1723029, -0.3984351, 1.0]], ['2, k, 18', [0.2186546, -0.698283, 1.0]], ['2, k, 19', [0.2359796, -0.74097, 1.0]], ['2, k, 20', [0.04845335, 0.5661942, 1.0]], ['2, k, 21', [-0.2002227, -0.001727155, 1.0]], ['2, k, 22', [-0.1970827, 0.04434114, 1.0]], ['2, k, 23', [0.2977741, -0.1517469, 1.0]], ['2, k, 24', [0.2937829, -0.06546046, 1.0]]]
[['2, k, 0', [0.06742105, 0.02309407, 1.0]], ['2, k, 1', [0.05622882, 0.3385254, 1.0]], ['2, k, 2', [0.04633091, 0.6396431, 1.0]], ['2, k, 3', [0.02679767, 0.7594495, 1.0]], ['2, k, 4', [-0.1135597, 0.5184697, 1.0]], ['2, k, 5', [-0.159907, 0.2661468, 1.0]], ['2, k, 6', [-0.1658078, 0.05566767, 1.0]], ['2, k, 7', [-0.17666, 0.0311866, 1.0]], ['2, k, 8', [0.2196491, 0.5465741, 1.0]], ['2, k, 9', [0.2753664, 0.2633308, 1.0]], ['2, k, 10', [0.321294, 0.04891196, 1.0]], ['2, k, 11', [0.3083694, -0.02493662, 1.0]], ['2, k, 12', [-0.004547406, 0.02266251, 1.0]], ['2, k, 13', [-0.04748688, -0.3776504, 1.0]], ['2, k, 14', [-0.05514373, -0.6932547, 1.0]], ['2, k, 15', [-0.08991581, -0.7481333, 1.0]], ['2, k, 16', [0.1367431, 0.02239377, 1.0]], ['2, k, 17', [0.1741011, -0.4153499, 1.0]], ['2, k, 18', [0.2186259, -0.6980575, 1.0]], ['2, k, 19', [0.2353304, -0.7406787, 1.0]], ['2, k, 20', [0.04866281, 0.5662789, 1.0]], ['2, k, 21', [-0.1693336, -0.0266289, 1.0]], ['2, k, 22', [-0.1838111, 0.0511055, 1.0]], ['2, k, 23', [0.2951128, -0.1121198, 1.0]], ['2, k, 24', [0.3121383, -0.008225486, 1.0]]]
[['2, k, 0', [0.06624065, 0.022903, 1.0]], ['2, k, 1', [0.05615102, 0.3384641, 1.0]], ['2, k, 2', [0.04659879, 0.6395748, 1.0]], ['2, k, 3', [0.02678651, 0.7594132, 1.0]], ['2, k, 4', [-0.1135582, 0.5184703, 1.0]], ['2, k, 5', [-0.1596584, 0.2665091, 1.0]], ['2, k, 6', [-0.1650622, 0.05089306, 1.0]], ['2, k, 7', [-0.1779307, 0.02445406, 1.0]], ['2, k, 8', [0.2195697, 0.5465409, 1.0]], ['2, k, 9', [0.281664, 0.265079, 1.0]], ['2, k, 10', [0.325193, 0.04527857, 1.0]], ['2, k, 11', [0.3079988, -0.02883516, 1.0]], ['2, k, 12', [-0.005900944, 0.02251447, 1.0]], ['2, k, 13', [-0.04771084, -0.3785886, 1.0]], ['2, k, 14', [-0.05540438, -0.6960856, 1.0]], ['2, k, 15', [-0.09036197, -0.7482698, 1.0]], ['2, k, 16', [0.1356955, 0.02219515, 1.0]], ['2, k, 17', [0.1748556, -0.4213377, 1.0]], ['2, k, 18', [0.218505, -0.7000882, 1.0]], ['2, k, 19', [0.2350813, -0.7413329, 1.0]], ['2, k, 20', [0.04880903, 0.5662206, 1.0]], ['2, k, 21', [-0.2023697, -0.0002161762, 1.0]], ['2, k, 22', [-0.1943119, 0.04457835, 1.0]], ['2, k, 23', [0.2942912, -0.1164885, 1.0]], ['2, k, 24', [0.2945417, -0.05225221, 1.0]]]
[['2, k, 0', [0.06623376, 0.02289113, 1.0]], ['2, k, 1', [0.05614282, 0.338455, 1.0]], ['2, k, 2', [0.04655561, 0.6395853, 1.0]], ['2, k, 3', [0.02640343, 0.7593433, 1.0]], ['2, k, 4', [-0.1135652, 0.5184266, 1.0]], ['2, k, 5', [-0.1595063, 0.2668674, 1.0]], ['2, k, 6', [-0.1650777, 0.05132677, 1.0]], ['2, k, 7', [-0.1787413, 0.01259858, 1.0]], ['2, k, 8', [0.2194539, 0.5466205, 1.0]], ['2, k, 9', [0.2878003, 0.2668272, 1.0]], ['2, k, 10', [0.3328259, 0.04416576, 1.0]], ['2, k, 11', [0.3190475, -0.01183347, 1.0]], ['2, k, 12', [-0.005945715, 0.02238319, 1.0]], ['2, k, 13', [-0.0476176, -0.3776516, 1.0]], ['2, k, 14', [-0.05504747, -0.6957333, 1.0]], ['2, k, 15', [-0.09037229, -0.7481356, 1.0]], ['2, k, 16', [0.1356974, 0.02222985, 1.0]], ['2, k, 17', [0.1747851, -0.4213476, 1.0]], ['2, k, 18', [0.2183353, -0.6992971, 1.0]], ['2, k, 19', [0.2377503, -0.7416744, 1.0]], ['2, k, 20', [0.04878478, 0.5662248, 1.0]], ['2, k, 21', [-0.1843829, -0.08373414, 1.0]], ['2, k, 22', [-0.1927562, -0.02756983, 1.0]], ['2, k, 23', [0.2953794, -0.117341, 1.0]], ['2, k, 24', [0.3079266, -0.02153299, 1.0]]]
[['2, k, 0', [0.06613696, 0.02280857, 1.0]], ['2, k, 1', [0.05612084, 0.3384059, 1.0]], ['2, k, 2', [0.04656806, 0.6395723, 1.0]], ['2, k, 3', [0.02552111, 0.7590836, 1.0]], ['2, k, 4', [-0.1135866, 0.5183943, 1.0]], ['2, k, 5', [-0.1594882, 0.2663384, 1.0]], ['2, k, 6', [-0.1648138, 0.05271334, 1.0]], ['2, k, 7', [-0.1786075, 0.02433411, 1.0]], ['2, k, 8', [0.2189312, 0.5465814, 1.0]], ['2, k, 9', [0.2911775, 0.2680999, 1.0]], ['2, k, 10', [0.3448955, -0.006806742, 1.0]], ['2, k, 11', [0.3144902, -0.076267, 1.0]], ['2, k, 12', [-0.006040216, 0.02229462, 1.0]], ['2, k, 13', [-0.0478678, -0.3778773, 1.0]], ['2, k, 14', [-0.05460478, -0.6953354, 1.0]], ['2, k, 15', [-0.0904167, -0.7483698, 1.0]], ['2, k, 16', [0.1355609, 0.02213354, 1.0]], ['2, k, 17', [0.1698088, -0.399209, 1.0]], ['2, k, 18', [0.2179506, -0.7019107, 1.0]], ['2, k, 19', [0.2376089, -0.7431939, 1.0]], ['2, k, 20', [0.04879627, 0.5662032, 1.0]], ['2, k, 21', [-0.1949042, -0.01154365, 1.0]], ['2, k, 22', [-0.1974416, 0.04258374, 1.0]], ['2, k, 23', [0.2981606, -0.1653221, 1.0]], ['2, k, 24', [0.293134, -0.06357555, 1.0]]]
[['2, k, 0', [0.06611779, 0.0227494, 1.0]], ['2, k, 1', [0.05596088, 0.3382674, 1.0]], ['2, k, 2', [0.04599171, 0.6393526, 1.0]], ['2, k, 3', [0.02310465, 0.7580016, 1.0]], ['2, k, 4', [-0.113708, 0.5182208, 1.0]], ['2, k, 5', [-0.159449, 0.2663415, 1.0]], ['2, k, 6', [-0.16538, 0.05329508, 1.0]], ['2, k, 7', [-0.1791045, 0.02377333, 1.0]], ['2, k, 8', [0.2179357, 0.5469761, 1.0]], ['2, k, 9', [0.2941484, 0.2699274, 1.0]], ['2, k, 10', [0.3435117, -0.007397135, 1.0]], ['2, k, 11', [0.3123015, -0.08818989, 1.0]], ['2, k, 12', [-0.006045614, 0.02221611, 1.0]], ['2, k, 13', [-0.04782654, -0.3777163, 1.0]], ['2, k, 14', [-0.05485984, -0.6948565, 1.0]], ['2, k, 15', [-0.08939409, -0.74771, 1.0]], ['2, k, 16', [0.1355308, 0.02207587, 1.0]], ['2, k, 17', [0.1697291, -0.4113191, 1.0]], ['2, k, 18', [0.2183315, -0.7027423, 1.0]], ['2, k, 19', [0.237054, -0.7435787, 1.0]], ['2, k, 20', [0.04837562, 0.5660107, 1.0]], ['2, k, 21', [-0.1738068, -0.08392608, 1.0]], ['2, k, 22', [-0.2100435, 0.02794624, 1.0]], ['2, k, 23', [0.2990945, -0.1703406, 1.0]], ['2, k, 24', [0.2913828, -0.06608082, 1.0]]]
[['2, k, 0', [0.06606624, 0.02263661, 1.0]], ['2, k, 1', [0.05584554, 0.3381208, 1.0]], ['2, k, 2', [0.04575203, 0.6391917, 1.0]], ['2, k, 3', [0.02130334, 0.757652, 1.0]], ['2, k, 4', [-0.1140956, 0.518113, 1.0]], ['2, k, 5', [-0.1593884, 0.2664682, 1.0]], ['2, k, 6', [-0.1651595, 0.05127098, 1.0]], ['2, k, 7', [-0.178957, 0.02427634, 1.0]], ['2, k, 8', [0.2170418, 0.5471925, 1.0]], ['2, k, 9', [0.2968986, 0.2715538, 1.0]], ['2, k, 10', [0.3608858, 0.01565209, 1.0]], ['2, k, 11', [0.344203, -0.02546721, 1.0]], ['2, k, 12', [-0.006128953, 0.0220573, 1.0]], ['2, k, 13', [-0.04794606, -0.3783539, 1.0]], ['2, k, 14', [-0.05491833, -0.6949072, 1.0]], ['2, k, 15', [-0.0893549, -0.7477767, 1.0]], ['2, k, 16', [0.1355051, 0.02200439, 1.0]], ['2, k, 17', [0.1709769, -0.4129865, 1.0]], ['2, k, 18', [0.21829, -0.7036276, 1.0]], ['2, k, 19', [0.2376845, -0.7444938, 1.0]], ['2, k, 20', [0.04818563, 0.5658596, 1.0]], ['2, k, 21', [-0.2014609, -0.01153316, 1.0]], ['2, k, 22', [-0.1946886, 0.04657653, 1.0]], ['2, k, 23', [0.2965834, -0.1238892, 1.0]], ['2, k, 24', [0.324147, 0.006768613, 1.0]]]
[['2, k, 0', [0.06462172, 0.02220809, 1.0]], ['2, k, 1', [0.05497165, 0.3378586, 1.0]], ['2, k, 2', [0.0452839, 0.6391068, 1.0]], ['2, k, 3', [0.01888158, 0.7573835, 1.0]], ['2, k, 4', [-0.1149801, 0.5171764, 1.0]], ['2, k, 5', [-0.1593467, 0.2663305, 1.0]], ['2, k, 6', [-0.1651641, 0.05124721, 1.0]], ['2, k, 7', [-0.1796076, 0.02281146, 1.0]], ['2, k, 8', [0.2157439, 0.5473059, 1.0]], ['2, k, 9', [0.3015111, 0.273672, 1.0]], ['2, k, 10', [0.3650397, 0.02503596, 1.0]], ['2, k, 11', [0.3890847, -0.0174289, 1.0]], ['2, k, 12', [-0.007648507, 0.02160754, 1.0]], ['2, k, 13', [-0.04793722, -0.3783506, 1.0]], ['2, k, 14', [-0.05452194, -0.6939198, 1.0]], ['2, k, 15', [-0.08976921, -0.7480847, 1.0]], ['2, k, 16', [0.1342023, 0.02166296, 1.0]], ['2, k, 17', [0.1708469, -0.4038158, 1.0]], ['2, k, 18', [0.2175617, -0.7046647, 1.0]], ['2, k, 19', [0.2368086, -0.7444108, 1.0]], ['2, k, 20', [0.04764839, 0.5657439, 1.0]], ['2, k, 21', [-0.1736993, -0.08387421, 1.0]], ['2, k, 22', [-0.2067362, 0.0122703, 1.0]], ['2, k, 23', [0.4136309, -0.09001967, 1.0]], ['2, k, 24', [0.403682, -0.03876641, 1.0]]]
[['2, k, 0', [0.06461964, 0.02212781, 1.0]], ['2, k, 1', [0.05472536, 0.3377827, 1.0]], ['2, k, 2', [0.04434509, 0.6391391, 1.0]], ['2, k, 3', [0.01646257, 0.7575088, 1.0]], ['2, k, 4', [-0.1155743, 0.5166575, 1.0]], ['2, k, 5', [-0.1593333, 0.2665707, 1.0]], ['2, k, 6', [-0.1654465, 0.05262898, 1.0]], ['2, k, 7', [-0.1786099, 0.02317829, 1.0]], ['2, k, 8', [0.2144164, 0.5473976, 1.0]], ['2, k, 9', [0.3100065, 0.2775624, 1.0]], ['2, k, 10', [0.3657503, 0.0312055, 1.0]], ['2, k, 11', [0.401252, -0.005993941, 1.0]], ['2, k, 12', [-0.007606086, 0.02136707, 1.0]], ['2, k, 13', [-0.04813803, -0.3788277, 1.0]], ['2, k, 14', [-0.05455702, -0.6938525, 1.0]], ['2, k, 15', [-0.08976448, -0.7480843, 1.0]], ['2, k, 16', [0.1341921, 0.02165044, 1.0]], ['2, k, 17', [0.1713856, -0.4089471, 1.0]], ['2, k, 18', [0.2173945, -0.7052142, 1.0]], ['2, k, 19', [0.2362957, -0.7444997, 1.0]], ['2, k, 20', [0.04694323, 0.5657365, 1.0]], ['2, k, 21', [-0.1745348, -0.08427763, 1.0]], ['2, k, 22', [-0.202603, 0.02983878, 1.0]], ['2, k, 23', [0.4318153, -0.08080255, 1.0]], ['2, k, 24', [0.4201734, -0.03266006, 1.0]]]
[['2, k, 0', [0.06258527, 0.02251325, 1.0]], ['2, k, 1', [0.05230399, 0.3375738, 1.0]], ['2, k, 2', [0.04160025, 0.6383581, 1.0]], ['2, k, 3', [0.01443965, 0.7571936, 1.0]], ['2, k, 4', [-0.1165314, 0.5167047, 1.0]], ['2, k, 5', [-0.1594499, 0.2665333, 1.0]], ['2, k, 6', [-0.1657158, 0.05298354, 1.0]], ['2, k, 7', [-0.1789282, 0.0247705, 1.0]], ['2, k, 8', [0.2128103, 0.5479363, 1.0]], ['2, k, 9', [0.3230864, 0.2842812, 1.0]], ['2, k, 10', [0.3818938, 0.05602366, 1.0]], ['2, k, 11', [0.4274433, 0.008763285, 1.0]], ['2, k, 12', [-0.009400429, 0.02144738, 1.0]], ['2, k, 13', [-0.04792626, -0.3785685, 1.0]], ['2, k, 14', [-0.05434627, -0.6934669, 1.0]], ['2, k, 15', [-0.08959504, -0.7481143, 1.0]], ['2, k, 16', [0.1319112, 0.02249346, 1.0]], ['2, k, 17', [0.1710054, -0.4113307, 1.0]], ['2, k, 18', [0.2175701, -0.7063764, 1.0]], ['2, k, 19', [0.235258, -0.7449318, 1.0]], ['2, k, 20', [0.04429495, 0.5651161, 1.0]], ['2, k, 21', [-0.1962625, -0.008103861, 1.0]], ['2, k, 22', [-0.1939105, 0.04694927, 1.0]], ['2, k, 23', [0.4580769, -0.06319519, 1.0]], ['2, k, 24', [0.4415303, -0.01899066, 1.0]]]
[['2, k, 0', [0.06100084, 0.02253344, 1.0]], ['2, k, 1', [0.05089135, 0.3374198, 1.0]], ['2, k, 2', [0.04045022, 0.6381269, 1.0]], ['2, k, 3', [0.01230689, 0.7563881, 1.0]], ['2, k, 4', [-0.1172739, 0.5165541, 1.0]], ['2, k, 5', [-0.1597028, 0.2666131, 1.0]], ['2, k, 6', [-0.1657989, 0.05295607, 1.0]], ['2, k, 7', [-0.1794017, 0.02425678, 1.0]], ['2, k, 8', [0.2116598, 0.5487894, 1.0]], ['2, k, 9', [0.3374021, 0.2922495, 1.0]], ['2, k, 10', [0.4403845, 0.107872, 1.0]], ['2, k, 11', [0.4614897, 0.0304003, 1.0]], ['2, k, 12', [-0.01082459, 0.02120892, 1.0]], ['2, k, 13', [-0.04803719, -0.3781806, 1.0]], ['2, k, 14', [-0.05412051, -0.6932287, 1.0]], ['2, k, 15', [-0.08958907, -0.7481136, 1.0]], ['2, k, 16', [0.130226, 0.02284218, 1.0]], ['2, k, 17', [0.1708471, -0.4126694, 1.0]], ['2, k, 18', [0.2178332, -0.7061603, 1.0]], ['2, k, 19', [0.235005, -0.7450339, 1.0]], ['2, k, 20', [0.04308404, 0.5649053, 1.0]], ['2, k, 21', [-0.1915537, -0.008101396, 1.0]], ['2, k, 22', [-0.187228, 0.03816938, 1.0]], ['2, k, 23', [0.4922974, -0.04903945, 1.0]], ['2, k, 24', [0.4609024, 0.003730869, 1.0]]]
[['2, k, 0', [0.06034154, 0.02271789, 1.0]], ['2, k, 1', [0.05008275, 0.3373188, 1.0]], ['2, k, 2', [0.03947386, 0.6377248, 1.0]], ['2, k, 3', [0.01132621, 0.7561443, 1.0]], ['2, k, 4', [-0.1180545, 0.51661, 1.0]], ['2, k, 5', [-0.1604952, 0.2669396, 1.0]], ['2, k, 6', [-0.1661487, 0.05265317, 1.0]], ['2, k, 7', [-0.1793456, 0.02463713, 1.0]], ['2, k, 8', [0.2106978, 0.549642, 1.0]], ['2, k, 9', [0.3531035, 0.3177846, 1.0]], ['2, k, 10', [0.4598992, 0.130237, 1.0]], ['2, k, 11', [0.4953797, 0.06104432, 1.0]], ['2, k, 12', [-0.01156924, 0.0211765, 1.0]], ['2, k, 13', [-0.04852528, -0.3781829, 1.0]], ['2, k, 14', [-0.0537357, -0.6931797, 1.0]], ['2, k, 15', [-0.08969969, -0.748235, 1.0]], ['2, k, 16', [0.1296434, 0.02326948, 1.0]], ['2, k, 17', [0.1677773, -0.3976918, 1.0]], ['2, k, 18', [0.2178823, -0.706413, 1.0]], ['2, k, 19', [0.235195, -0.7451055, 1.0]], ['2, k, 20', [0.04215448, 0.5645884, 1.0]], ['2, k, 21', [-0.1965234, -0.006980583, 1.0]], ['2, k, 22', [-0.1874609, 0.03503939, 1.0]], ['2, k, 23', [0.5344362, -0.02288152, 1.0]], ['2, k, 24', [0.5341195, -0.02665943, 1.0]]]
[['2, k, 0', [0.05833094, 0.02268529, 1.0]], ['2, k, 1', [0.04822668, 0.3370359, 1.0]], ['2, k, 2', [0.03784006, 0.6372803, 1.0]], ['2, k, 3', [0.01080809, 0.7559452, 1.0]], ['2, k, 4', [-0.1186076, 0.516704, 1.0]], ['2, k, 5', [-0.1612718, 0.2664676, 1.0]], ['2, k, 6', [-0.1664329, 0.05243818, 1.0]], ['2, k, 7', [-0.1800981, 0.02484729, 1.0]], ['2, k, 8', [0.2098365, 0.5513202, 1.0]], ['2, k, 9', [0.3640677, 0.3396, 1.0]], ['2, k, 10', [0.4969841, 0.1555487, 1.0]], ['2, k, 11', [0.5333688, 0.08533873, 1.0]], ['2, k, 12', [-0.01355258, 0.02111292, 1.0]], ['2, k, 13', [-0.04962155, -0.376418, 1.0]], ['2, k, 14', [-0.05356125, -0.6926683, 1.0]], ['2, k, 15', [-0.0899809, -0.7482045, 1.0]], ['2, k, 16', [0.1277753, 0.02328904, 1.0]], ['2, k, 17', [0.1646024, -0.3933164, 1.0]], ['2, k, 18', [0.2287937, -0.7113271, 1.0]], ['2, k, 19', [0.23338, -0.7526594, 1.0]], ['2, k, 20', [0.04046702, 0.564184, 1.0]], ['2, k, 21', [-0.1740215, -0.08402975, 1.0]], ['2, k, 22', [-0.2067683, 0.02093012, 1.0]], ['2, k, 23', [0.579002, 0.009832438, 1.0]], ['2, k, 24', [0.5481417, 0.05244631, 1.0]]]
[['2, k, 0', [0.05625234, 0.02313399, 1.0]], ['2, k, 1', [0.0471298, 0.3370263, 1.0]], ['2, k, 2', [0.03725392, 0.6370348, 1.0]], ['2, k, 3', [0.01033147, 0.7557426, 1.0]], ['2, k, 4', [-0.1191922, 0.5162464, 1.0]], ['2, k, 5', [-0.1621782, 0.2664571, 1.0]], ['2, k, 6', [-0.1668729, 0.05095829, 1.0]], ['2, k, 7', [-0.1806059, 0.02450149, 1.0]], ['2, k, 8', [0.2084169, 0.5529658, 1.0]], ['2, k, 9', [0.3756607, 0.362403, 1.0]], ['2, k, 10', [0.5240439, 0.1749342, 1.0]], ['2, k, 11', [0.5675354, 0.122622, 1.0]], ['2, k, 12', [-0.01604758, 0.02129962, 1.0]], ['2, k, 13', [-0.05081043, -0.375175, 1.0]], ['2, k, 14', [-0.05371044, -0.6915596, 1.0]], ['2, k, 15', [-0.08976987, -0.74805, 1.0]], ['2, k, 16', [0.1261517, 0.02395427, 1.0]], ['2, k, 17', [0.164042, -0.410904, 1.0]], ['2, k, 18', [0.2222488, -0.7061512, 1.0]], ['2, k, 19', [0.2320694, -0.7476104, 1.0]], ['2, k, 20', [0.03979727, 0.5639981, 1.0]], ['2, k, 21', [-0.1962589, -0.009235106, 1.0]], ['2, k, 22', [-0.1961272, 0.04388381, 1.0]], ['2, k, 23', [0.6231031, 0.04245863, 1.0]], ['2, k, 24', [0.5847257, 0.08228029, 1.0]]]
[['2, k, 0', [0.05124553, 0.02356549, 1.0]], ['2, k, 1', [0.04473634, 0.336924, 1.0]], ['2, k, 2', [0.03658082, 0.6367669, 1.0]], ['2, k, 3', [0.01010682, 0.7554535, 1.0]], ['2, k, 4', [-0.1199745, 0.516468, 1.0]], ['2, k, 5', [-0.1634396, 0.2666947, 1.0]], ['2, k, 6', [-0.1675246, 0.05651577, 1.0]], ['2, k, 7', [-0.1800328, 0.02218989, 1.0]], ['2, k, 8', [0.2071422, 0.5545701, 1.0]], ['2, k, 9', [0.3880714, 0.3766789, 1.0]], ['2, k, 10', [0.5395291, 0.2324121, 1.0]], ['2, k, 11', [0.5938873, 0.1682096, 1.0]], ['2, k, 12', [-0.02173134, 0.02218173, 1.0]], ['2, k, 13', [-0.05268775, -0.3734744, 1.0]], ['2, k, 14', [-0.05333529, -0.690563, 1.0]], ['2, k, 15', [-0.09017571, -0.7480498, 1.0]], ['2, k, 16', [0.1219664, 0.0240278, 1.0]], ['2, k, 17', [0.1636986, -0.4155784, 1.0]], ['2, k, 18', [0.2289371, -0.7087327, 1.0]], ['2, k, 19', [0.2296093, -0.7504742, 1.0]], ['2, k, 20', [0.03880481, 0.5637441, 1.0]], ['2, k, 21', [-0.1739949, -0.07921484, 1.0]], ['2, k, 22', [-0.2056068, 0.02305835, 1.0]], ['2, k, 23', [0.6599771, 0.09231173, 1.0]], ['2, k, 24', [0.6230813, 0.1193305, 1.0]]]
[['2, k, 0', [0.04945627, 0.02402692, 1.0]], ['2, k, 1', [0.04255186, 0.3368923, 1.0]], ['2, k, 2', [0.03445994, 0.6361434, 1.0]], ['2, k, 3', [0.009936153, 0.7552497, 1.0]], ['2, k, 4', [-0.12106, 0.5166227, 1.0]], ['2, k, 5', [-0.1649204, 0.2666861, 1.0]], ['2, k, 6', [-0.1677164, 0.05668551, 1.0]], ['2, k, 7', [-0.1805976, 0.02486573, 1.0]], ['2, k, 8', [0.2053905, 0.5569038, 1.0]], ['2, k, 9', [0.3988596, 0.3989328, 1.0]], ['2, k, 10', [0.5539783, 0.2591151, 1.0]], ['2, k, 11', [0.6271015, 0.2025776, 1.0]], ['2, k, 12', [-0.02293035, 0.02245183, 1.0]], ['2, k, 13', [-0.05474728, -0.3739361, 1.0]], ['2, k, 14', [-0.05335077, -0.6884786, 1.0]], ['2, k, 15', [-0.09050196, -0.7480085, 1.0]], ['2, k, 16', [0.1196236, 0.024702, 1.0]], ['2, k, 17', [0.1615708, -0.4201976, 1.0]], ['2, k, 18', [0.2315818, -0.7093363, 1.0]], ['2, k, 19', [0.2195666, -0.7503372, 1.0]], ['2, k, 20', [0.03661847, 0.563271, 1.0]], ['2, k, 21', [-0.1990679, -0.009265247, 1.0]], ['2, k, 22', [-0.1977616, 0.03935887, 1.0]], ['2, k, 23', [0.6860601, 0.1332859, 1.0]], ['2, k, 24', [0.6607974, 0.1561094, 1.0]]]
[['2, k, 0', [0.04633967, 0.02521386, 1.0]], ['2, k, 1', [0.04027059, 0.3371956, 1.0]], ['2, k, 2', [0.03294603, 0.6358039, 1.0]], ['2, k, 3', [0.009710465, 0.7548702, 1.0]], ['2, k, 4', [-0.1218324, 0.5167313, 1.0]], ['2, k, 5', [-0.1663965, 0.2666363, 1.0]], ['2, k, 6', [-0.1682915, 0.05620992, 1.0]], ['2, k, 7', [-0.1808832, 0.02110318, 1.0]], ['2, k, 8', [0.2034183, 0.5594365, 1.0]], ['2, k, 9', [0.4033902, 0.4241906, 1.0]], ['2, k, 10', [0.5738308, 0.3029863, 1.0]], ['2, k, 11', [0.6478786, 0.2499685, 1.0]], ['2, k, 12', [-0.02578417, 0.02341549, 1.0]], ['2, k, 13', [-0.05578296, -0.3735733, 1.0]], ['2, k, 14', [-0.05328735, -0.6883039, 1.0]], ['2, k, 15', [-0.09126682, -0.7483317, 1.0]], ['2, k, 16', [0.1164455, 0.02605783, 1.0]], ['2, k, 17', [0.1607165, -0.4214814, 1.0]], ['2, k, 18', [0.2326411, -0.7101003, 1.0]], ['2, k, 19', [0.2183636, -0.7507133, 1.0]], ['2, k, 20', [0.03493443, 0.563079, 1.0]], ['2, k, 21', [-0.1737034, -0.07941156, 1.0]], ['2, k, 22', [-0.2075985, 0.02205406, 1.0]], ['2, k, 23', [0.7178238, 0.1790752, 1.0]], ['2, k, 24', [0.6920687, 0.1971089, 1.0]]]
[['2, k, 0', [0.0456617, 0.02595265, 1.0]], ['2, k, 1', [0.03894833, 0.3375765, 1.0]], ['2, k, 2', [0.0309046, 0.6355628, 1.0]], ['2, k, 3', [0.009730817, 0.7545642, 1.0]], ['2, k, 4', [-0.1231752, 0.5172358, 1.0]], ['2, k, 5', [-0.16876, 0.2683056, 1.0]], ['2, k, 6', [-0.1686715, 0.05638718, 1.0]], ['2, k, 7', [-0.1801584, 0.02557869, 1.0]], ['2, k, 8', [0.2015657, 0.5621974, 1.0]], ['2, k, 9', [0.4086494, 0.4428836, 1.0]], ['2, k, 10', [0.5967228, 0.3294248, 1.0]], ['2, k, 11', [0.6753923, 0.2877458, 1.0]], ['2, k, 12', [-0.02639825, 0.02403307, 1.0]], ['2, k, 13', [-0.05750379, -0.3732715, 1.0]], ['2, k, 14', [-0.05365817, -0.6882104, 1.0]], ['2, k, 15', [-0.09149258, -0.7480323, 1.0]], ['2, k, 16', [0.1157413, 0.02691844, 1.0]], ['2, k, 17', [0.1596689, -0.4230396, 1.0]], ['2, k, 18', [0.2328066, -0.7103389, 1.0]], ['2, k, 19', [0.218744, -0.7508675, 1.0]], ['2, k, 20', [0.03305917, 0.5630264, 1.0]], ['2, k, 21', [-0.1939212, -0.00912565, 1.0]], ['2, k, 22', [-0.1930324, 0.04799023, 1.0]], ['2, k, 23', [0.7493069, 0.2231234, 1.0]], ['2, k, 24', [0.7230781, 0.2389919, 1.0]]]
