[['2, k, 0', [0.00168018, -0.41605, 1.0]], ['2, k, 1', [-0.00683684, -0.115051, 1.0]], ['2, k, 2', [-0.0151593, 0.180513, 1.0]], ['2, k, 3', [0.00979424, 0.331502, 1.0]], ['2, k, 4', [-0.167775, 0.0946215, 1.0]], ['2, k, 5', [-0.250431, -0.158849, 1.0]], ['2, k, 6', [-0.333758, -0.392787, 1.0]], ['2, k, 7', [-0.35152, -0.443047, 1.0]], ['2, k, 8', [0.15722, 0.0822704, 1.0]], ['2, k, 9', [0.247591, -0.161193, 1.0]], ['2, k, 10', [0.333771, -0.384439, 1.0]], ['2, k, 11', [0.34179, -0.444839, 1.0]], ['2, k, 12', [-0.0722478, -0.408711, 1.0]], ['2, k, 13', [-0.111811, -0.856371, 1.0]], ['2, k, 14', [-0.124337, -1.22106, 1.0]], ['2, k, 15', [-0.0668204, -1.27016, 1.0]], ['2, k, 16', [0.0755637, -0.414283, 1.0]], ['2, k, 17', [0.107907, -0.85138, 1.0]], ['2, k, 18', [0.144618, -1.20231, 1.0]], ['2, k, 19', [0.159123, -1.25886, 1.0]], ['2, k, 20', [-0.013107, 0.107359, 1.0]], ['2, k, 21', [-0.380978, -0.481755, 1.0]], ['2, k, 22', [-0.281852, -0.461552, 1.0]], ['2, k, 23', [0.384911, -0.487725, 1.0]], ['2, k, 24', [0.374831, -0.410559, 1.0]]]
[['2, k, 0', [-0.000967351, -0.405032, 1.0]], ['2, k, 1', [-0.00856106, -0.113014, 1.0]], ['2, k, 2', [-0.0161369, 0.172927, 1.0]], ['2, k, 3', [-5.62842e-06, 0.313922, 1.0]], ['2, k, 4', [-0.165273, 0.0855602, 1.0]], ['2, k, 5', [-0.25786, -0.173675, 1.0]], ['2, k, 6', [-0.337011, -0.378061, 1.0]], ['2, k, 7', [-0.354656, -0.446135, 1.0]], ['2, k, 8', [0.156962, 0.0693087, 1.0]], ['2, k, 9', [0.247884, -0.169069, 1.0]], ['2, k, 10', [0.332687, -0.390058, 1.0]], ['2, k, 11', [0.343212, -0.45455, 1.0]], ['2, k, 12', [-0.0734579, -0.399185, 1.0]], ['2, k, 13', [-0.10533, -0.743002, 1.0]], ['2, k, 14', [-0.137986, -1.0802, 1.0]], ['2, k, 15', [-0.131701, -1.12171, 1.0]], ['2, k, 16', [0.0713432, -0.401994, 1.0]], ['2, k, 17', [0.101896, -0.750628, 1.0]], ['2, k, 18', [0.132561, -1.07479, 1.0]], ['2, k, 19', [0.136225, -1.11638, 1.0]], ['2, k, 20', [-0.014291, 0.102229, 1.0]], ['2, k, 21', [-0.396986, -0.485959, 1.0]], ['2, k, 22', [-0.286642, -0.472537, 1.0]], ['2, k, 23', [0.390241, -0.499898, 1.0]], ['2, k, 24', [0.264755, -0.485415, 1.0]]]
[['2, k, 0', [-0.00113712, -0.404957, 1.0]], ['2, k, 1', [-0.0084783, -0.112864, 1.0]], ['2, k, 2', [-0.0154029, 0.173382, 1.0]], ['2, k, 3', [0.000226661, 0.314532, 1.0]], ['2, k, 4', [-0.165514, 0.0864175, 1.0]], ['2, k, 5', [-0.258292, -0.175224, 1.0]], ['2, k, 6', [-0.339197, -0.379351, 1.0]], ['2, k, 7', [-0.359871, -0.447452, 1.0]], ['2, k, 8', [0.156896, 0.0694115, 1.0]], ['2, k, 9', [0.246499, -0.169888, 1.0]], ['2, k, 10', [0.332785, -0.396124, 1.0]], ['2, k, 11', [0.345121, -0.464704, 1.0]], ['2, k, 12', [-0.0735507, -0.399098, 1.0]], ['2, k, 13', [-0.105278, -0.742605, 1.0]], ['2, k, 14', [-0.139137, -1.08376, 1.0]], ['2, k, 15', [-0.133845, -1.12255, 1.0]], ['2, k, 16', [0.0711058, -0.401958, 1.0]], ['2, k, 17', [0.101696, -0.750641, 1.0]], ['2, k, 18', [0.132516, -1.07459, 1.0]], ['2, k, 19', [0.135178, -1.1135, 1.0]], ['2, k, 20', [-0.0137608, 0.10258, 1.0]], ['2, k, 21', [-0.422233, -0.486101, 1.0]], ['2, k, 22', [-0.288503, -0.475519, 1.0]], ['2, k, 23', [0.403368, -0.505939, 1.0]], ['2, k, 24', [0.269275, -0.489684, 1.0]]]
[['2, k, 0', [-0.00136141, -0.405095, 1.0]], ['2, k, 1', [-0.00841047, -0.112856, 1.0]], ['2, k, 2', [-0.0148375, 0.173746, 1.0]], ['2, k, 3', [-0.00113778, 0.314699, 1.0]], ['2, k, 4', [-0.165653, 0.0861253, 1.0]], ['2, k, 5', [-0.258481, -0.177358, 1.0]], ['2, k, 6', [-0.339156, -0.382328, 1.0]], ['2, k, 7', [-0.358521, -0.448126, 1.0]], ['2, k, 8', [0.156546, 0.069633, 1.0]], ['2, k, 9', [0.245273, -0.172604, 1.0]], ['2, k, 10', [0.332602, -0.396573, 1.0]], ['2, k, 11', [0.343786, -0.462107, 1.0]], ['2, k, 12', [-0.0736691, -0.399146, 1.0]], ['2, k, 13', [-0.106811, -0.738521, 1.0]], ['2, k, 14', [-0.139127, -1.08376, 1.0]], ['2, k, 15', [-0.133869, -1.12251, 1.0]], ['2, k, 16', [0.0707078, -0.4023, 1.0]], ['2, k, 17', [0.101443, -0.751212, 1.0]], ['2, k, 18', [0.132198, -1.07648, 1.0]], ['2, k, 19', [0.134829, -1.11533, 1.0]], ['2, k, 20', [-0.0133433, 0.102824, 1.0]], ['2, k, 21', [-0.409885, -0.486895, 1.0]], ['2, k, 22', [-0.287545, -0.473705, 1.0]], ['2, k, 23', [0.388984, -0.505793, 1.0]], ['2, k, 24', [0.26932, -0.48723, 1.0]]]
[['2, k, 0', [-0.00199438, -0.405122, 1.0]], ['2, k, 1', [-0.00839959, -0.11289, 1.0]], ['2, k, 2', [-0.0141137, 0.173729, 1.0]], ['2, k, 3', [-0.00198058, 0.315308, 1.0]], ['2, k, 4', [-0.165276, 0.0869972, 1.0]], ['2, k, 5', [-0.258386, -0.177265, 1.0]], ['2, k, 6', [-0.339523, -0.382909, 1.0]], ['2, k, 7', [-0.357756, -0.447918, 1.0]], ['2, k, 8', [0.156608, 0.0696315, 1.0]], ['2, k, 9', [0.245812, -0.176633, 1.0]], ['2, k, 10', [0.332516, -0.396913, 1.0]], ['2, k, 11', [0.344293, -0.460519, 1.0]], ['2, k, 12', [-0.0742035, -0.399078, 1.0]], ['2, k, 13', [-0.106457, -0.738965, 1.0]], ['2, k, 14', [-0.138477, -1.08207, 1.0]], ['2, k, 15', [-0.133108, -1.12081, 1.0]], ['2, k, 16', [0.0700202, -0.402432, 1.0]], ['2, k, 17', [0.101471, -0.7511, 1.0]], ['2, k, 18', [0.131038, -1.07404, 1.0]], ['2, k, 19', [0.133798, -1.11289, 1.0]], ['2, k, 20', [-0.0128493, 0.102796, 1.0]], ['2, k, 21', [-0.406965, -0.487319, 1.0]], ['2, k, 22', [-0.284448, -0.473066, 1.0]], ['2, k, 23', [0.3964, -0.503641, 1.0]], ['2, k, 24', [0.266828, -0.490374, 1.0]]]
[['2, k, 0', [-0.00202687, -0.405178, 1.0]], ['2, k, 1', [-0.00824672, -0.113006, 1.0]], ['2, k, 2', [-0.0135851, 0.173561, 1.0]], ['2, k, 3', [-0.00275749, 0.315075, 1.0]], ['2, k, 4', [-0.165353, 0.0868948, 1.0]], ['2, k, 5', [-0.258614, -0.1771, 1.0]], ['2, k, 6', [-0.342167, -0.385681, 1.0]], ['2, k, 7', [-0.358996, -0.442738, 1.0]], ['2, k, 8', [0.156551, 0.0697881, 1.0]], ['2, k, 9', [0.244981, -0.175013, 1.0]], ['2, k, 10', [0.332789, -0.39818, 1.0]], ['2, k, 11', [0.344109, -0.460735, 1.0]], ['2, k, 12', [-0.074228, -0.399287, 1.0]], ['2, k, 13', [-0.109564, -0.769982, 1.0]], ['2, k, 14', [-0.137025, -1.09125, 1.0]], ['2, k, 15', [-0.131688, -1.12991, 1.0]], ['2, k, 16', [0.0699914, -0.402428, 1.0]], ['2, k, 17', [0.101394, -0.753888, 1.0]], ['2, k, 18', [0.130973, -1.08545, 1.0]], ['2, k, 19', [0.133717, -1.12419, 1.0]], ['2, k, 20', [-0.0124161, 0.102636, 1.0]], ['2, k, 21', [-0.403132, -0.484357, 1.0]], ['2, k, 22', [-0.286443, -0.472667, 1.0]], ['2, k, 23', [0.391455, -0.504631, 1.0]], ['2, k, 24', [0.266865, -0.485313, 1.0]]]
[['2, k, 0', [-0.00182543, -0.406348, 1.0]], ['2, k, 1', [-0.00794024, -0.113251, 1.0]], ['2, k, 2', [-0.0130271, 0.173806, 1.0]], ['2, k, 3', [-0.00326952, 0.315669, 1.0]], ['2, k, 4', [-0.165959, 0.0862746, 1.0]], ['2, k, 5', [-0.259862, -0.176025, 1.0]], ['2, k, 6', [-0.342207, -0.386139, 1.0]], ['2, k, 7', [-0.359373, -0.439773, 1.0]], ['2, k, 8', [0.156395, 0.0698579, 1.0]], ['2, k, 9', [0.245153, -0.174813, 1.0]], ['2, k, 10', [0.331737, -0.39943, 1.0]], ['2, k, 11', [0.342122, -0.460144, 1.0]], ['2, k, 12', [-0.0739485, -0.402214, 1.0]], ['2, k, 13', [-0.110777, -0.77076, 1.0]], ['2, k, 14', [-0.133353, -1.11317, 1.0]], ['2, k, 15', [-0.102355, -1.19658, 1.0]], ['2, k, 16', [0.0701083, -0.402651, 1.0]], ['2, k, 17', [0.101371, -0.759247, 1.0]], ['2, k, 18', [0.130407, -1.08924, 1.0]], ['2, k, 19', [0.133212, -1.12799, 1.0]], ['2, k, 20', [-0.0119431, 0.102728, 1.0]], ['2, k, 21', [-0.401229, -0.481393, 1.0]], ['2, k, 22', [-0.281482, -0.468334, 1.0]], ['2, k, 23', [0.389036, -0.503348, 1.0]], ['2, k, 24', [0.265146, -0.485916, 1.0]]]
[['2, k, 0', [-0.00190768, -0.408963, 1.0]], ['2, k, 1', [-0.00748573, -0.114328, 1.0]], ['2, k, 2', [-0.0124041, 0.173611, 1.0]], ['2, k, 3', [-0.00338152, 0.315934, 1.0]], ['2, k, 4', [-0.166096, 0.0832242, 1.0]], ['2, k, 5', [-0.263707, -0.17324, 1.0]], ['2, k, 6', [-0.346401, -0.385164, 1.0]], ['2, k, 7', [-0.359544, -0.433746, 1.0]], ['2, k, 8', [0.156696, 0.0653957, 1.0]], ['2, k, 9', [0.244393, -0.17166, 1.0]], ['2, k, 10', [0.330498, -0.398155, 1.0]], ['2, k, 11', [0.34628, -0.45722, 1.0]], ['2, k, 12', [-0.0742039, -0.404336, 1.0]], ['2, k, 13', [-0.111116, -0.771342, 1.0]], ['2, k, 14', [-0.132644, -1.13356, 1.0]], ['2, k, 15', [-0.0962817, -1.19824, 1.0]], ['2, k, 16', [0.0702846, -0.4057, 1.0]], ['2, k, 17', [0.103249, -0.752576, 1.0]], ['2, k, 18', [0.129965, -1.09451, 1.0]], ['2, k, 19', [0.132247, -1.13323, 1.0]], ['2, k, 20', [-0.0113537, 0.102371, 1.0]], ['2, k, 21', [-0.395796, -0.477252, 1.0]], ['2, k, 22', [-0.285083, -0.461627, 1.0]], ['2, k, 23', [0.390657, -0.497889, 1.0]], ['2, k, 24', [0.270629, -0.480998, 1.0]]]
[['2, k, 0', [-0.00168593, -0.409256, 1.0]], ['2, k, 1', [-0.00732235, -0.114387, 1.0]], ['2, k, 2', [-0.0122115, 0.173858, 1.0]], ['2, k, 3', [-0.00372376, 0.317217, 1.0]], ['2, k, 4', [-0.166132, 0.0836406, 1.0]], ['2, k, 5', [-0.265442, -0.169195, 1.0]], ['2, k, 6', [-0.348535, -0.367458, 1.0]], ['2, k, 7', [-0.363703, -0.422784, 1.0]], ['2, k, 8', [0.156626, 0.0669018, 1.0]], ['2, k, 9', [0.244889, -0.168811, 1.0]], ['2, k, 10', [0.330958, -0.391695, 1.0]], ['2, k, 11', [0.343598, -0.450091, 1.0]], ['2, k, 12', [-0.0741717, -0.404324, 1.0]], ['2, k, 13', [-0.11291, -0.762402, 1.0]], ['2, k, 14', [-0.135795, -1.13183, 1.0]], ['2, k, 15', [-0.0950907, -1.19573, 1.0]], ['2, k, 16', [0.0709165, -0.406697, 1.0]], ['2, k, 17', [0.101902, -0.753615, 1.0]], ['2, k, 18', [0.130066, -1.09677, 1.0]], ['2, k, 19', [0.132469, -1.13557, 1.0]], ['2, k, 20', [-0.0111694, 0.102509, 1.0]], ['2, k, 21', [-0.401278, -0.46509, 1.0]], ['2, k, 22', [-0.287623, -0.452638, 1.0]], ['2, k, 23', [0.386399, -0.491754, 1.0]], ['2, k, 24', [0.267024, -0.472024, 1.0]]]
[['2, k, 0', [-0.0016554, -0.40919, 1.0]], ['2, k, 1', [-0.00692345, -0.114219, 1.0]], ['2, k, 2', [-0.0110454, 0.174409, 1.0]], ['2, k, 3', [-0.00472932, 0.318398, 1.0]], ['2, k, 4', [-0.166207, 0.0836507, 1.0]], ['2, k, 5', [-0.271028, -0.159797, 1.0]], ['2, k, 6', [-0.348004, -0.356718, 1.0]], ['2, k, 7', [-0.360844, -0.409409, 1.0]], ['2, k, 8', [0.15664, 0.0676749, 1.0]], ['2, k, 9', [0.245737, -0.167426, 1.0]], ['2, k, 10', [0.331434, -0.370613, 1.0]], ['2, k, 11', [0.342286, -0.437403, 1.0]], ['2, k, 12', [-0.0741787, -0.40414, 1.0]], ['2, k, 13', [-0.112753, -0.762188, 1.0]], ['2, k, 14', [-0.140283, -1.11158, 1.0]], ['2, k, 15', [-0.135167, -1.15018, 1.0]], ['2, k, 16', [0.0709879, -0.406625, 1.0]], ['2, k, 17', [0.105227, -0.747894, 1.0]], ['2, k, 18', [0.129946, -1.09684, 1.0]], ['2, k, 19', [0.132452, -1.13561, 1.0]], ['2, k, 20', [-0.0101959, 0.102947, 1.0]], ['2, k, 21', [-0.388439, -0.454473, 1.0]], ['2, k, 22', [-0.286151, -0.440009, 1.0]], ['2, k, 23', [0.388712, -0.480066, 1.0]], ['2, k, 24', [0.257887, -0.460268, 1.0]]]
[['2, k, 0', [-0.00178364, -0.409216, 1.0]], ['2, k, 1', [-0.00654088, -0.11415, 1.0]], ['2, k, 2', [-0.00913288, 0.175035, 1.0]], ['2, k, 3', [-0.00454772, 0.319577, 1.0]], ['2, k, 4', [-0.165958, 0.0844269, 1.0]], ['2, k, 5', [-0.269977, -0.151224, 1.0]], ['2, k, 6', [-0.351495, -0.339877, 1.0]], ['2, k, 7', [-0.374551, -0.403376, 1.0]], ['2, k, 8', [0.156404, 0.0683226, 1.0]], ['2, k, 9', [0.248306, -0.161285, 1.0]], ['2, k, 10', [0.327207, -0.34921, 1.0]], ['2, k, 11', [0.341964, -0.42434, 1.0]], ['2, k, 12', [-0.0744878, -0.404185, 1.0]], ['2, k, 13', [-0.112812, -0.764367, 1.0]], ['2, k, 14', [-0.140502, -1.11396, 1.0]], ['2, k, 15', [-0.0924505, -1.19988, 1.0]], ['2, k, 16', [0.0709553, -0.406605, 1.0]], ['2, k, 17', [0.103104, -0.750242, 1.0]], ['2, k, 18', [0.130179, -1.09869, 1.0]], ['2, k, 19', [0.0880578, -1.18937, 1.0]], ['2, k, 20', [-0.00872506, 0.103394, 1.0]], ['2, k, 21', [-0.442802, -0.430404, 1.0]], ['2, k, 22', [-0.320871, -0.430936, 1.0]], ['2, k, 23', [0.387611, -0.468525, 1.0]], ['2, k, 24', [0.256093, -0.445313, 1.0]]]
[['2, k, 0', [-0.00206204, -0.408734, 1.0]], ['2, k, 1', [-0.00653308, -0.113938, 1.0]], ['2, k, 2', [-0.00907203, 0.175164, 1.0]], ['2, k, 3', [-0.00532052, 0.320443, 1.0]], ['2, k, 4', [-0.165993, 0.0847983, 1.0]], ['2, k, 5', [-0.268008, -0.133679, 1.0]], ['2, k, 6', [-0.350583, -0.32581, 1.0]], ['2, k, 7', [-0.360509, -0.378553, 1.0]], ['2, k, 8', [0.156103, 0.068755, 1.0]], ['2, k, 9', [0.252847, -0.149565, 1.0]], ['2, k, 10', [0.330642, -0.34445, 1.0]], ['2, k, 11', [0.342457, -0.406047, 1.0]], ['2, k, 12', [-0.074821, -0.403552, 1.0]], ['2, k, 13', [-0.109154, -0.767252, 1.0]], ['2, k, 14', [-0.140503, -1.11424, 1.0]], ['2, k, 15', [-0.0915589, -1.19674, 1.0]], ['2, k, 16', [0.0706891, -0.406065, 1.0]], ['2, k, 17', [0.102277, -0.760804, 1.0]], ['2, k, 18', [0.133623, -1.11328, 1.0]], ['2, k, 19', [0.0390657, -1.16906, 1.0]], ['2, k, 20', [-0.00865742, 0.10355, 1.0]], ['2, k, 21', [-0.390462, -0.417596, 1.0]], ['2, k, 22', [-0.282582, -0.398222, 1.0]], ['2, k, 23', [0.379413, -0.446897, 1.0]], ['2, k, 24', [0.25853, -0.425236, 1.0]]]
[['2, k, 0', [-0.00206288, -0.408014, 1.0]], ['2, k, 1', [-0.00639394, -0.113235, 1.0]], ['2, k, 2', [-0.00923896, 0.175739, 1.0]], ['2, k, 3', [-0.00704438, 0.321112, 1.0]], ['2, k, 4', [-0.165923, 0.0849714, 1.0]], ['2, k, 5', [-0.261829, -0.116906, 1.0]], ['2, k, 6', [-0.34761, -0.28906, 1.0]], ['2, k, 7', [-0.368821, -0.354903, 1.0]], ['2, k, 8', [0.155453, 0.0691108, 1.0]], ['2, k, 9', [0.251747, -0.139798, 1.0]], ['2, k, 10', [0.334568, -0.325741, 1.0]], ['2, k, 11', [0.34928, -0.384656, 1.0]], ['2, k, 12', [-0.0748199, -0.402877, 1.0]], ['2, k, 13', [-0.107408, -0.76197, 1.0]], ['2, k, 14', [-0.139262, -1.11652, 1.0]], ['2, k, 15', [-0.0930748, -1.1974, 1.0]], ['2, k, 16', [0.0706935, -0.40504, 1.0]], ['2, k, 17', [0.102277, -0.760801, 1.0]], ['2, k, 18', [0.134473, -1.10604, 1.0]], ['2, k, 19', [0.137018, -1.14451, 1.0]], ['2, k, 20', [-0.00866337, 0.104198, 1.0]], ['2, k, 21', [-0.414683, -0.377869, 1.0]], ['2, k, 22', [-0.297803, -0.376915, 1.0]], ['2, k, 23', [0.385411, -0.419888, 1.0]], ['2, k, 24', [0.272565, -0.404919, 1.0]]]
[['2, k, 0', [-0.00196151, -0.407799, 1.0]], ['2, k, 1', [-0.00529099, -0.112811, 1.0]], ['2, k, 2', [-0.0067278, 0.176362, 1.0]], ['2, k, 3', [-0.00595598, 0.322094, 1.0]], ['2, k, 4', [-0.165665, 0.0856401, 1.0]], ['2, k, 5', [-0.261928, -0.0838786, 1.0]], ['2, k, 6', [-0.350262, -0.261507, 1.0]], ['2, k, 7', [-0.361725, -0.325475, 1.0]], ['2, k, 8', [0.155346, 0.0694201, 1.0]], ['2, k, 9', [0.25361, -0.12169, 1.0]], ['2, k, 10', [0.334585, -0.286848, 1.0]], ['2, k, 11', [0.346007, -0.352651, 1.0]], ['2, k, 12', [-0.0746384, -0.402541, 1.0]], ['2, k, 13', [-0.109764, -0.757793, 1.0]], ['2, k, 14', [-0.136161, -1.12291, 1.0]], ['2, k, 15', [-0.131023, -1.16107, 1.0]], ['2, k, 16', [0.0707432, -0.404869, 1.0]], ['2, k, 17', [0.101198, -0.758916, 1.0]], ['2, k, 18', [0.13342, -1.10456, 1.0]], ['2, k, 19', [0.13596, -1.14292, 1.0]], ['2, k, 20', [-0.00649489, 0.10478, 1.0]], ['2, k, 21', [-0.382259, -0.357981, 1.0]], ['2, k, 22', [-0.281649, -0.341052, 1.0]], ['2, k, 23', [0.376205, -0.386853, 1.0]], ['2, k, 24', [0.263398, -0.364329, 1.0]]]
[['2, k, 0', [-0.0021152, -0.407311, 1.0]], ['2, k, 1', [-0.00547267, -0.112049, 1.0]], ['2, k, 2', [-0.00733465, 0.177454, 1.0]], ['2, k, 3', [-0.00703131, 0.323454, 1.0]], ['2, k, 4', [-0.164963, 0.0896566, 1.0]], ['2, k, 5', [-0.262698, -0.0746723, 1.0]], ['2, k, 6', [-0.347925, -0.22096, 1.0]], ['2, k, 7', [-0.372504, -0.285998, 1.0]], ['2, k, 8', [0.14598, 0.0645859, 1.0]], ['2, k, 9', [0.259455, -0.126677, 1.0]], ['2, k, 10', [0.334263, -0.262558, 1.0]], ['2, k, 11', [0.344856, -0.31653, 1.0]], ['2, k, 12', [-0.0745337, -0.402046, 1.0]], ['2, k, 13', [-0.101651, -0.806864, 1.0]], ['2, k, 14', [-0.138615, -1.09727, 1.0]], ['2, k, 15', [-0.0999916, -1.19559, 1.0]], ['2, k, 16', [0.0703451, -0.404219, 1.0]], ['2, k, 17', [0.100476, -0.751455, 1.0]], ['2, k, 18', [0.132433, -1.10185, 1.0]], ['2, k, 19', [0.131485, -1.14015, 1.0]], ['2, k, 20', [-0.00695577, 0.105793, 1.0]], ['2, k, 21', [-0.447182, -0.297523, 1.0]], ['2, k, 22', [-0.308234, -0.300752, 1.0]], ['2, k, 23', [0.40002, -0.340801, 1.0]], ['2, k, 24', [0.270769, -0.324918, 1.0]]]
[['2, k, 0', [-0.00199184, -0.406606, 1.0]], ['2, k, 1', [-0.00511471, -0.110936, 1.0]], ['2, k, 2', [-0.00707962, 0.178995, 1.0]], ['2, k, 3', [-0.00733904, 0.324788, 1.0]], ['2, k, 4', [-0.164418, 0.089907, 1.0]], ['2, k, 5', [-0.271128, -0.0593813, 1.0]], ['2, k, 6', [-0.351273, -0.198326, 1.0]], ['2, k, 7', [-0.367694, -0.24561, 1.0]], ['2, k, 8', [0.146212, 0.067513, 1.0]], ['2, k, 9', [0.259324, -0.0807504, 1.0]], ['2, k, 10', [0.335831, -0.226139, 1.0]], ['2, k, 11', [0.343771, -0.273042, 1.0]], ['2, k, 12', [-0.073942, -0.401261, 1.0]], ['2, k, 13', [-0.101497, -0.807657, 1.0]], ['2, k, 14', [-0.138627, -1.0979, 1.0]], ['2, k, 15', [-0.135922, -1.13607, 1.0]], ['2, k, 16', [0.0701545, -0.403484, 1.0]], ['2, k, 17', [0.100702, -0.749714, 1.0]], ['2, k, 18', [0.135323, -1.11541, 1.0]], ['2, k, 19', [0.09558, -1.19301, 1.0]], ['2, k, 20', [-0.0066459, 0.10723, 1.0]], ['2, k, 21', [-0.384184, -0.270344, 1.0]], ['2, k, 22', [-0.299614, -0.255795, 1.0]], ['2, k, 23', [0.378073, -0.305981, 1.0]], ['2, k, 24', [0.259814, -0.279867, 1.0]]]
[['2, k, 0', [-0.0020513, -0.406923, 1.0]], ['2, k, 1', [-0.00498939, -0.111103, 1.0]], ['2, k, 2', [-0.00688513, 0.179316, 1.0]], ['2, k, 3', [-0.00590942, 0.327019, 1.0]], ['2, k, 4', [-0.164181, 0.0897786, 1.0]], ['2, k, 5', [-0.26728, -0.0409689, 1.0]], ['2, k, 6', [-0.342101, -0.141512, 1.0]], ['2, k, 7', [-0.368249, -0.194311, 1.0]], ['2, k, 8', [0.146003, 0.0697529, 1.0]], ['2, k, 9', [0.258356, -0.0539752, 1.0]], ['2, k, 10', [0.337178, -0.191724, 1.0]], ['2, k, 11', [0.344966, -0.22626, 1.0]], ['2, k, 12', [-0.074063, -0.401663, 1.0]], ['2, k, 13', [-0.115454, -0.75039, 1.0]], ['2, k, 14', [-0.142032, -1.11437, 1.0]], ['2, k, 15', [-0.13855, -1.15242, 1.0]], ['2, k, 16', [0.0701489, -0.403659, 1.0]], ['2, k, 17', [0.101043, -0.748095, 1.0]], ['2, k, 18', [0.139833, -1.10172, 1.0]], ['2, k, 19', [0.0961074, -1.18816, 1.0]], ['2, k, 20', [-0.00645895, 0.107407, 1.0]], ['2, k, 21', [-0.420196, -0.207096, 1.0]], ['2, k, 22', [-0.297924, -0.205118, 1.0]], ['2, k, 23', [0.354242, -0.26069, 1.0]], ['2, k, 24', [0.258005, -0.228771, 1.0]]]
[['2, k, 0', [-0.00232688, -0.406923, 1.0]], ['2, k, 1', [-0.00547522, -0.110778, 1.0]], ['2, k, 2', [-0.00777096, 0.180191, 1.0]], ['2, k, 3', [-0.00589576, 0.327873, 1.0]], ['2, k, 4', [-0.163302, 0.090731, 1.0]], ['2, k, 5', [-0.271448, -0.0225485, 1.0]], ['2, k, 6', [-0.343158, -0.0954041, 1.0]], ['2, k, 7', [-0.364833, -0.140998, 1.0]], ['2, k, 8', [0.145458, 0.0722132, 1.0]], ['2, k, 9', [0.257402, -0.034868, 1.0]], ['2, k, 10', [0.318698, -0.123439, 1.0]], ['2, k, 11', [0.349942, -0.171046, 1.0]], ['2, k, 12', [-0.0744148, -0.401677, 1.0]], ['2, k, 13', [-0.115132, -0.750973, 1.0]], ['2, k, 14', [-0.140327, -1.11976, 1.0]], ['2, k, 15', [-0.136417, -1.15768, 1.0]], ['2, k, 16', [0.0699565, -0.403628, 1.0]], ['2, k, 17', [0.0998924, -0.748888, 1.0]], ['2, k, 18', [0.13607, -1.10348, 1.0]], ['2, k, 19', [0.15686, -1.19922, 1.0]], ['2, k, 20', [-0.00722964, 0.108132, 1.0]], ['2, k, 21', [-0.389212, -0.159283, 1.0]], ['2, k, 22', [-0.293128, -0.151991, 1.0]], ['2, k, 23', [0.376237, -0.196266, 1.0]], ['2, k, 24', [0.250097, -0.174807, 1.0]]]
[['2, k, 0', [-0.00219186, -0.399744, 1.0]], ['2, k, 1', [-0.00581796, -0.103756, 1.0]], ['2, k, 2', [-0.00897729, 0.187335, 1.0]], ['2, k, 3', [-0.00675568, 0.332551, 1.0]], ['2, k, 4', [-0.157253, 0.10044, 1.0]], ['2, k, 5', [-0.279105, 0.0100574, 1.0]], ['2, k, 6', [-0.345959, -0.0577611, 1.0]], ['2, k, 7', [-0.359806, -0.0772428, 1.0]], ['2, k, 8', [0.134123, 0.0903357, 1.0]], ['2, k, 9', [0.260697, -0.0029292, 1.0]], ['2, k, 10', [0.325415, -0.0867075, 1.0]], ['2, k, 11', [0.354357, -0.111688, 1.0]], ['2, k, 12', [-0.0747539, -0.395088, 1.0]], ['2, k, 13', [-0.106561, -0.768943, 1.0]], ['2, k, 14', [-0.135964, -1.13609, 1.0]], ['2, k, 15', [-0.110474, -1.2002, 1.0]], ['2, k, 16', [0.0705495, -0.395777, 1.0]], ['2, k, 17', [0.100052, -0.755976, 1.0]], ['2, k, 18', [0.135666, -1.10348, 1.0]], ['2, k, 19', [0.084538, -1.18706, 1.0]], ['2, k, 20', [-0.00819838, 0.115251, 1.0]], ['2, k, 21', [-0.406734, -0.0858769, 1.0]], ['2, k, 22', [-0.281382, -0.085149, 1.0]], ['2, k, 23', [0.366552, -0.143137, 1.0]], ['2, k, 24', [0.247985, -0.112293, 1.0]]]
