[['2, k, 0', [-0.0972923, -0.885206, 1.0]], ['2, k, 1', [-0.0897933, -0.58784, 1.0]], ['2, k, 2', [-0.0819435, -0.293548, 1.0]], ['2, k, 3', [-0.0811642, -0.151796, 1.0]], ['2, k, 4', [-0.259501, -0.361208, 1.0]], ['2, k, 5', [-0.193238, -0.561357, 1.0]], ['2, k, 6', [0.0764687, -0.549019, 1.0]], ['2, k, 7', [0.164959, -0.543111, 1.0]], ['2, k, 8', [0.102711, -0.338548, 1.0]], ['2, k, 9', [0.316498, -0.405306, 1.0]], ['2, k, 10', [0.0487478, -0.469189, 1.0]], ['2, k, 11', [-0.0081928, -0.530648, 1.0]], ['2, k, 12', [-0.178429, -0.878885, 1.0]], ['2, k, 13', [-0.244956, -1.23021, 1.0]], ['2, k, 14', [-0.184937, -1.67713, 1.0]], ['2, k, 15', [-0.0713908, -1.67866, 1.0]], ['2, k, 16', [-0.0136349, -0.868737, 1.0]], ['2, k, 17', [0.0613166, -1.22296, 1.0]], ['2, k, 18', [-0.0212338, -1.67136, 1.0]], ['2, k, 19', [-0.13889, -1.68207, 1.0]], ['2, k, 20', [-0.083972, -0.36674, 1.0]], ['2, k, 21', [0.240784, -0.541913, 1.0]], ['2, k, 22', [0.192257, -0.531706, 1.0]], ['2, k, 23', [0.000604995, -0.538597, 1.0]], ['2, k, 24', [-0.00593156, -0.525473, 1.0]]]
[['2, k, 0', [-0.0966077, -0.833713, 1.0]], ['2, k, 1', [-0.0922772, -0.558982, 1.0]], ['2, k, 2', [-0.0870574, -0.287087, 1.0]], ['2, k, 3', [-0.0988954, -0.151523, 1.0]], ['2, k, 4', [-0.253661, -0.347526, 1.0]], ['2, k, 5', [-0.364549, -0.303587, 1.0]], ['2, k, 6', [-0.301681, -0.297688, 1.0]], ['2, k, 7', [-0.38765, -0.285359, 1.0]], ['2, k, 8', [0.0764112, -0.337809, 1.0]], ['2, k, 9', [0.250966, -0.2919, 1.0]], ['2, k, 10', [0.303159, -0.310882, 1.0]], ['2, k, 11', [0.291396, -0.291853, 1.0]], ['2, k, 12', [-0.177157, -0.823343, 1.0]], ['2, k, 13', [-0.205836, -1.15832, 1.0]], ['2, k, 14', [-0.194815, -1.4237, 1.0]], ['2, k, 15', [-0.18974, -1.46851, 1.0]], ['2, k, 16', [-0.0137583, -0.823704, 1.0]], ['2, k, 17', [0.0184093, -1.14652, 1.0]], ['2, k, 18', [0.0010683, -1.43663, 1.0]], ['2, k, 19', [0.04267, -1.49391, 1.0]], ['2, k, 20', [-0.0884648, -0.354738, 1.0]], ['2, k, 21', [-0.404881, -0.282165, 1.0]], ['2, k, 22', [-0.311156, -0.289807, 1.0]], ['2, k, 23', [0.288441, -0.293115, 1.0]], ['2, k, 24', [0.223639, -0.294697, 1.0]]]
[['2, k, 0', [-0.0966071, -0.833726, 1.0]], ['2, k, 1', [-0.0922682, -0.559057, 1.0]], ['2, k, 2', [-0.0870814, -0.287267, 1.0]], ['2, k, 3', [-0.0988878, -0.151811, 1.0]], ['2, k, 4', [-0.25384, -0.347868, 1.0]], ['2, k, 5', [-0.364752, -0.304006, 1.0]], ['2, k, 6', [-0.300674, -0.298226, 1.0]], ['2, k, 7', [-0.384973, -0.287301, 1.0]], ['2, k, 8', [0.0770089, -0.338732, 1.0]], ['2, k, 9', [0.216097, -0.294534, 1.0]], ['2, k, 10', [0.251114, -0.29749, 1.0]], ['2, k, 11', [0.284371, -0.293669, 1.0]], ['2, k, 12', [-0.177107, -0.823357, 1.0]], ['2, k, 13', [-0.205821, -1.15829, 1.0]], ['2, k, 14', [-0.194453, -1.42371, 1.0]], ['2, k, 15', [-0.189376, -1.46848, 1.0]], ['2, k, 16', [-0.0137743, -0.823713, 1.0]], ['2, k, 17', [0.0182554, -1.14663, 1.0]], ['2, k, 18', [0.00737355, -1.43318, 1.0]], ['2, k, 19', [0.0308673, -1.503, 1.0]], ['2, k, 20', [-0.088476, -0.354887, 1.0]], ['2, k, 21', [-0.404398, -0.287062, 1.0]], ['2, k, 22', [-0.309958, -0.292002, 1.0]], ['2, k, 23', [0.299511, -0.293765, 1.0]], ['2, k, 24', [0.210244, -0.296409, 1.0]]]
[['2, k, 0', [-0.0966882, -0.833529, 1.0]], ['2, k, 1', [-0.0922605, -0.55909, 1.0]], ['2, k, 2', [-0.0869848, -0.287689, 1.0]], ['2, k, 3', [-0.0989453, -0.151824, 1.0]], ['2, k, 4', [-0.254369, -0.34607, 1.0]], ['2, k, 5', [-0.374661, -0.329036, 1.0]], ['2, k, 6', [-0.343275, -0.30853, 1.0]], ['2, k, 7', [-0.392047, -0.290362, 1.0]], ['2, k, 8', [0.0777855, -0.338939, 1.0]], ['2, k, 9', [0.244416, -0.295912, 1.0]], ['2, k, 10', [0.263843, -0.298963, 1.0]], ['2, k, 11', [0.285707, -0.297722, 1.0]], ['2, k, 12', [-0.177142, -0.823136, 1.0]], ['2, k, 13', [-0.20576, -1.15817, 1.0]], ['2, k, 14', [-0.193764, -1.42475, 1.0]], ['2, k, 15', [-0.185283, -1.49561, 1.0]], ['2, k, 16', [-0.0139088, -0.823532, 1.0]], ['2, k, 17', [0.0182205, -1.1466, 1.0]], ['2, k, 18', [0.00469772, -1.435, 1.0]], ['2, k, 19', [0.0343668, -1.50093, 1.0]], ['2, k, 20', [-0.0884093, -0.355167, 1.0]], ['2, k, 21', [-0.404226, -0.285755, 1.0]], ['2, k, 22', [-0.317386, -0.295814, 1.0]], ['2, k, 23', [0.293729, -0.298095, 1.0]], ['2, k, 24', [0.209258, -0.301754, 1.0]]]
[['2, k, 0', [-0.096628, -0.833759, 1.0]], ['2, k, 1', [-0.0921545, -0.559503, 1.0]], ['2, k, 2', [-0.086882, -0.288297, 1.0]], ['2, k, 3', [-0.0989627, -0.152091, 1.0]], ['2, k, 4', [-0.254216, -0.346482, 1.0]], ['2, k, 5', [-0.357485, -0.320148, 1.0]], ['2, k, 6', [-0.320302, -0.304444, 1.0]], ['2, k, 7', [-0.372926, -0.292168, 1.0]], ['2, k, 8', [0.0779598, -0.339938, 1.0]], ['2, k, 9', [0.247173, -0.296206, 1.0]], ['2, k, 10', [0.264747, -0.299954, 1.0]], ['2, k, 11', [0.282024, -0.299534, 1.0]], ['2, k, 12', [-0.177023, -0.823309, 1.0]], ['2, k, 13', [-0.205762, -1.15817, 1.0]], ['2, k, 14', [-0.193115, -1.42486, 1.0]], ['2, k, 15', [-0.18839, -1.46978, 1.0]], ['2, k, 16', [-0.0139483, -0.823828, 1.0]], ['2, k, 17', [0.0181974, -1.14714, 1.0]], ['2, k, 18', [0.00127373, -1.43672, 1.0]], ['2, k, 19', [0.0361755, -1.4981, 1.0]], ['2, k, 20', [-0.0883012, -0.355729, 1.0]], ['2, k, 21', [-0.399373, -0.289191, 1.0]], ['2, k, 22', [-0.366465, -0.30364, 1.0]], ['2, k, 23', [0.303797, -0.301049, 1.0]], ['2, k, 24', [0.203755, -0.303127, 1.0]]]
[['2, k, 0', [-0.0966794, -0.833679, 1.0]], ['2, k, 1', [-0.0921846, -0.559553, 1.0]], ['2, k, 2', [-0.0869436, -0.288684, 1.0]], ['2, k, 3', [-0.0988068, -0.152248, 1.0]], ['2, k, 4', [-0.254241, -0.346012, 1.0]], ['2, k, 5', [-0.376561, -0.338707, 1.0]], ['2, k, 6', [-0.33206, -0.317606, 1.0]], ['2, k, 7', [-0.383797, -0.294026, 1.0]], ['2, k, 8', [0.0781466, -0.340072, 1.0]], ['2, k, 9', [0.24766, -0.296529, 1.0]], ['2, k, 10', [0.289669, -0.332905, 1.0]], ['2, k, 11', [0.288028, -0.302743, 1.0]], ['2, k, 12', [-0.177067, -0.823194, 1.0]], ['2, k, 13', [-0.205824, -1.15788, 1.0]], ['2, k, 14', [-0.192932, -1.42479, 1.0]], ['2, k, 15', [-0.188272, -1.46972, 1.0]], ['2, k, 16', [-0.0140037, -0.823775, 1.0]], ['2, k, 17', [0.0181899, -1.1471, 1.0]], ['2, k, 18', [0.00135881, -1.43669, 1.0]], ['2, k, 19', [0.033649, -1.49982, 1.0]], ['2, k, 20', [-0.0883528, -0.356006, 1.0]], ['2, k, 21', [-0.401399, -0.292531, 1.0]], ['2, k, 22', [-0.307604, -0.301472, 1.0]], ['2, k, 23', [0.296182, -0.302761, 1.0]], ['2, k, 24', [0.215824, -0.307394, 1.0]]]
[['2, k, 0', [-0.0966815, -0.833699, 1.0]], ['2, k, 1', [-0.0921816, -0.559853, 1.0]], ['2, k, 2', [-0.0869759, -0.289519, 1.0]], ['2, k, 3', [-0.0990337, -0.152915, 1.0]], ['2, k, 4', [-0.254162, -0.346295, 1.0]], ['2, k, 5', [-0.369912, -0.321273, 1.0]], ['2, k, 6', [-0.326797, -0.310655, 1.0]], ['2, k, 7', [-0.384121, -0.296175, 1.0]], ['2, k, 8', [0.0784001, -0.340306, 1.0]], ['2, k, 9', [0.247995, -0.296964, 1.0]], ['2, k, 10', [0.254783, -0.306994, 1.0]], ['2, k, 11', [0.281767, -0.304749, 1.0]], ['2, k, 12', [-0.177048, -0.823201, 1.0]], ['2, k, 13', [-0.205886, -1.15814, 1.0]], ['2, k, 14', [-0.192777, -1.42461, 1.0]], ['2, k, 15', [-0.188116, -1.46946, 1.0]], ['2, k, 16', [-0.0140353, -0.823811, 1.0]], ['2, k, 17', [0.0181827, -1.1471, 1.0]], ['2, k, 18', [0.00124932, -1.43667, 1.0]], ['2, k, 19', [0.033602, -1.49963, 1.0]], ['2, k, 20', [-0.0883703, -0.356693, 1.0]], ['2, k, 21', [-0.40645, -0.292651, 1.0]], ['2, k, 22', [-0.307579, -0.30152, 1.0]], ['2, k, 23', [0.294038, -0.305224, 1.0]], ['2, k, 24', [0.203559, -0.307623, 1.0]]]
[['2, k, 0', [-0.0966809, -0.833677, 1.0]], ['2, k, 1', [-0.092164, -0.559915, 1.0]], ['2, k, 2', [-0.0869358, -0.2898, 1.0]], ['2, k, 3', [-0.0991626, -0.153241, 1.0]], ['2, k, 4', [-0.254185, -0.346266, 1.0]], ['2, k, 5', [-0.369273, -0.320046, 1.0]], ['2, k, 6', [-0.340015, -0.309725, 1.0]], ['2, k, 7', [-0.391586, -0.298366, 1.0]], ['2, k, 8', [0.0787818, -0.34037, 1.0]], ['2, k, 9', [0.248089, -0.296923, 1.0]], ['2, k, 10', [0.251602, -0.307621, 1.0]], ['2, k, 11', [0.276695, -0.308624, 1.0]], ['2, k, 12', [-0.177031, -0.823174, 1.0]], ['2, k, 13', [-0.205906, -1.15812, 1.0]], ['2, k, 14', [-0.192782, -1.42471, 1.0]], ['2, k, 15', [-0.188136, -1.46954, 1.0]], ['2, k, 16', [-0.0140476, -0.823787, 1.0]], ['2, k, 17', [0.0181787, -1.14695, 1.0]], ['2, k, 18', [0.000654021, -1.43641, 1.0]], ['2, k, 19', [0.0357249, -1.49618, 1.0]], ['2, k, 20', [-0.0883339, -0.356915, 1.0]], ['2, k, 21', [-0.404834, -0.296371, 1.0]], ['2, k, 22', [-0.317672, -0.306212, 1.0]], ['2, k, 23', [0.293055, -0.307673, 1.0]], ['2, k, 24', [0.198706, -0.312043, 1.0]]]
[['2, k, 0', [-0.0967617, -0.833892, 1.0]], ['2, k, 1', [-0.0922105, -0.560439, 1.0]], ['2, k, 2', [-0.0869609, -0.290575, 1.0]], ['2, k, 3', [-0.0992282, -0.154286, 1.0]], ['2, k, 4', [-0.254044, -0.346426, 1.0]], ['2, k, 5', [-0.368688, -0.320101, 1.0]], ['2, k, 6', [-0.331741, -0.312778, 1.0]], ['2, k, 7', [-0.379239, -0.302205, 1.0]], ['2, k, 8', [0.0788379, -0.340754, 1.0]], ['2, k, 9', [0.253356, -0.301824, 1.0]], ['2, k, 10', [0.253192, -0.30984, 1.0]], ['2, k, 11', [0.277673, -0.310864, 1.0]], ['2, k, 12', [-0.177051, -0.823356, 1.0]], ['2, k, 13', [-0.206028, -1.15869, 1.0]], ['2, k, 14', [-0.19292, -1.42496, 1.0]], ['2, k, 15', [-0.188327, -1.46986, 1.0]], ['2, k, 16', [-0.0141905, -0.824031, 1.0]], ['2, k, 17', [0.0181649, -1.14701, 1.0]], ['2, k, 18', [-0.000147337, -1.43753, 1.0]], ['2, k, 19', [0.0379172, -1.49436, 1.0]], ['2, k, 20', [-0.0883626, -0.357641, 1.0]], ['2, k, 21', [-0.397113, -0.30528, 1.0]], ['2, k, 22', [-0.304524, -0.307228, 1.0]], ['2, k, 23', [0.291687, -0.313389, 1.0]], ['2, k, 24', [0.198351, -0.313406, 1.0]]]
[['2, k, 0', [-0.0968456, -0.833623, 1.0]], ['2, k, 1', [-0.092216, -0.560463, 1.0]], ['2, k, 2', [-0.0869242, -0.291077, 1.0]], ['2, k, 3', [-0.0994818, -0.154718, 1.0]], ['2, k, 4', [-0.254539, -0.344778, 1.0]], ['2, k, 5', [-0.367986, -0.320267, 1.0]], ['2, k, 6', [-0.33516, -0.313589, 1.0]], ['2, k, 7', [-0.384439, -0.304732, 1.0]], ['2, k, 8', [0.0799731, -0.339408, 1.0]], ['2, k, 9', [0.253055, -0.301637, 1.0]], ['2, k, 10', [0.258274, -0.3109, 1.0]], ['2, k, 11', [0.280335, -0.31501, 1.0]], ['2, k, 12', [-0.177052, -0.823015, 1.0]], ['2, k, 13', [-0.206036, -1.15871, 1.0]], ['2, k, 14', [-0.1932, -1.4252, 1.0]], ['2, k, 15', [-0.18881, -1.47007, 1.0]], ['2, k, 16', [-0.0143509, -0.823805, 1.0]], ['2, k, 17', [0.0180482, -1.14693, 1.0]], ['2, k, 18', [-0.000366528, -1.43787, 1.0]], ['2, k, 19', [0.0195435, -1.50569, 1.0]], ['2, k, 20', [-0.0883425, -0.357978, 1.0]], ['2, k, 21', [-0.401431, -0.305086, 1.0]], ['2, k, 22', [-0.307008, -0.311737, 1.0]], ['2, k, 23', [0.29553, -0.317016, 1.0]], ['2, k, 24', [0.204221, -0.318153, 1.0]]]
[['2, k, 0', [-0.0969313, -0.833577, 1.0]], ['2, k, 1', [-0.0922678, -0.560667, 1.0]], ['2, k, 2', [-0.0869262, -0.291736, 1.0]], ['2, k, 3', [-0.0994676, -0.155311, 1.0]], ['2, k, 4', [-0.254928, -0.343597, 1.0]], ['2, k, 5', [-0.368914, -0.321356, 1.0]], ['2, k, 6', [-0.341428, -0.31479, 1.0]], ['2, k, 7', [-0.391644, -0.309423, 1.0]], ['2, k, 8', [0.0804034, -0.339431, 1.0]], ['2, k, 9', [0.253258, -0.302307, 1.0]], ['2, k, 10', [0.262356, -0.313063, 1.0]], ['2, k, 11', [0.281033, -0.320398, 1.0]], ['2, k, 12', [-0.177079, -0.822958, 1.0]], ['2, k, 13', [-0.20603, -1.1587, 1.0]], ['2, k, 14', [-0.193122, -1.42559, 1.0]], ['2, k, 15', [-0.188881, -1.47061, 1.0]], ['2, k, 16', [-0.0145191, -0.823788, 1.0]], ['2, k, 17', [0.0180472, -1.14687, 1.0]], ['2, k, 18', [-0.000424102, -1.43728, 1.0]], ['2, k, 19', [0.0237982, -1.50199, 1.0]], ['2, k, 20', [-0.0883601, -0.358519, 1.0]], ['2, k, 21', [-0.40465, -0.310903, 1.0]], ['2, k, 22', [-0.317749, -0.316968, 1.0]], ['2, k, 23', [0.297002, -0.324958, 1.0]], ['2, k, 24', [0.204827, -0.323547, 1.0]]]
[['2, k, 0', [-0.0972227, -0.833781, 1.0]], ['2, k, 1', [-0.0923524, -0.561171, 1.0]], ['2, k, 2', [-0.0867777, -0.292533, 1.0]], ['2, k, 3', [-0.0995878, -0.156448, 1.0]], ['2, k, 4', [-0.254713, -0.344197, 1.0]], ['2, k, 5', [-0.370133, -0.322755, 1.0]], ['2, k, 6', [-0.297436, -0.32443, 1.0]], ['2, k, 7', [-0.382169, -0.313994, 1.0]], ['2, k, 8', [0.0809035, -0.339661, 1.0]], ['2, k, 9', [0.253345, -0.304898, 1.0]], ['2, k, 10', [0.263014, -0.316376, 1.0]], ['2, k, 11', [0.273338, -0.325642, 1.0]], ['2, k, 12', [-0.177306, -0.823067, 1.0]], ['2, k, 13', [-0.206049, -1.15871, 1.0]], ['2, k, 14', [-0.193115, -1.4254, 1.0]], ['2, k, 15', [-0.188851, -1.47039, 1.0]], ['2, k, 16', [-0.0148654, -0.824104, 1.0]], ['2, k, 17', [0.018052, -1.14695, 1.0]], ['2, k, 18', [-0.000464645, -1.43719, 1.0]], ['2, k, 19', [0.0245231, -1.50169, 1.0]], ['2, k, 20', [-0.0882735, -0.359255, 1.0]], ['2, k, 21', [-0.406572, -0.312705, 1.0]], ['2, k, 22', [-0.307815, -0.319491, 1.0]], ['2, k, 23', [0.287951, -0.32893, 1.0]], ['2, k, 24', [0.193086, -0.32804, 1.0]]]
[['2, k, 0', [-0.0974939, -0.833681, 1.0]], ['2, k, 1', [-0.092466, -0.561374, 1.0]], ['2, k, 2', [-0.0867823, -0.293271, 1.0]], ['2, k, 3', [-0.099771, -0.156996, 1.0]], ['2, k, 4', [-0.255089, -0.343577, 1.0]], ['2, k, 5', [-0.371709, -0.325698, 1.0]], ['2, k, 6', [-0.344417, -0.324434, 1.0]], ['2, k, 7', [-0.392772, -0.319781, 1.0]], ['2, k, 8', [0.0816818, -0.339302, 1.0]], ['2, k, 9', [0.256053, -0.311489, 1.0]], ['2, k, 10', [0.26413, -0.322937, 1.0]], ['2, k, 11', [0.270584, -0.330161, 1.0]], ['2, k, 12', [-0.177475, -0.822929, 1.0]], ['2, k, 13', [-0.206019, -1.15878, 1.0]], ['2, k, 14', [-0.193278, -1.42542, 1.0]], ['2, k, 15', [-0.189105, -1.47037, 1.0]], ['2, k, 16', [-0.0152638, -0.824057, 1.0]], ['2, k, 17', [0.0180737, -1.1469, 1.0]], ['2, k, 18', [-0.000575018, -1.43701, 1.0]], ['2, k, 19', [0.0270514, -1.50014, 1.0]], ['2, k, 20', [-0.0883171, -0.359843, 1.0]], ['2, k, 21', [-0.410959, -0.314723, 1.0]], ['2, k, 22', [-0.31803, -0.326431, 1.0]], ['2, k, 23', [0.288184, -0.3301, 1.0]], ['2, k, 24', [0.192596, -0.331849, 1.0]]]
[['2, k, 0', [-0.0976384, -0.833702, 1.0]], ['2, k, 1', [-0.0925914, -0.561596, 1.0]], ['2, k, 2', [-0.086889, -0.293686, 1.0]], ['2, k, 3', [-0.0996911, -0.157865, 1.0]], ['2, k, 4', [-0.255263, -0.343405, 1.0]], ['2, k, 5', [-0.373248, -0.329305, 1.0]], ['2, k, 6', [-0.345056, -0.326866, 1.0]], ['2, k, 7', [-0.395299, -0.324905, 1.0]], ['2, k, 8', [0.0819417, -0.339682, 1.0]], ['2, k, 9', [0.253539, -0.318441, 1.0]], ['2, k, 10', [0.26069, -0.32462, 1.0]], ['2, k, 11', [0.27468, -0.333969, 1.0]], ['2, k, 12', [-0.177557, -0.822911, 1.0]], ['2, k, 13', [-0.206047, -1.15889, 1.0]], ['2, k, 14', [-0.193464, -1.42537, 1.0]], ['2, k, 15', [-0.189379, -1.47038, 1.0]], ['2, k, 16', [-0.0154824, -0.824143, 1.0]], ['2, k, 17', [0.0180089, -1.1468, 1.0]], ['2, k, 18', [-0.000588605, -1.43703, 1.0]], ['2, k, 19', [0.0296019, -1.49871, 1.0]], ['2, k, 20', [-0.0884288, -0.360223, 1.0]], ['2, k, 21', [-0.410791, -0.31825, 1.0]], ['2, k, 22', [-0.321799, -0.331367, 1.0]], ['2, k, 23', [0.289741, -0.335554, 1.0]], ['2, k, 24', [0.198519, -0.336757, 1.0]]]
[['2, k, 0', [-0.0977643, -0.833687, 1.0]], ['2, k, 1', [-0.0931722, -0.562205, 1.0]], ['2, k, 2', [-0.0883166, -0.295444, 1.0]], ['2, k, 3', [-0.0997931, -0.158079, 1.0]], ['2, k, 4', [-0.255507, -0.343205, 1.0]], ['2, k, 5', [-0.376452, -0.336747, 1.0]], ['2, k, 6', [-0.334342, -0.336683, 1.0]], ['2, k, 7', [-0.394055, -0.333805, 1.0]], ['2, k, 8', [0.0820965, -0.339761, 1.0]], ['2, k, 9', [0.255985, -0.320777, 1.0]], ['2, k, 10', [0.261732, -0.328342, 1.0]], ['2, k, 11', [0.273876, -0.338892, 1.0]], ['2, k, 12', [-0.177572, -0.822899, 1.0]], ['2, k, 13', [-0.205966, -1.15864, 1.0]], ['2, k, 14', [-0.193443, -1.42558, 1.0]], ['2, k, 15', [-0.189375, -1.4706, 1.0]], ['2, k, 16', [-0.0158071, -0.824146, 1.0]], ['2, k, 17', [0.0178622, -1.14695, 1.0]], ['2, k, 18', [-0.000925944, -1.43739, 1.0]], ['2, k, 19', [0.0302634, -1.49831, 1.0]], ['2, k, 20', [-0.0896089, -0.361669, 1.0]], ['2, k, 21', [-0.412569, -0.329495, 1.0]], ['2, k, 22', [-0.318426, -0.33877, 1.0]], ['2, k, 23', [0.293047, -0.340072, 1.0]], ['2, k, 24', [0.200502, -0.342252, 1.0]]]
[['2, k, 0', [-0.0978231, -0.833803, 1.0]], ['2, k, 1', [-0.0932339, -0.562694, 1.0]], ['2, k, 2', [-0.0883238, -0.29613, 1.0]], ['2, k, 3', [-0.100001, -0.158491, 1.0]], ['2, k, 4', [-0.255689, -0.343143, 1.0]], ['2, k, 5', [-0.379764, -0.343979, 1.0]], ['2, k, 6', [-0.343237, -0.343241, 1.0]], ['2, k, 7', [-0.39629, -0.34305, 1.0]], ['2, k, 8', [0.0821203, -0.339793, 1.0]], ['2, k, 9', [0.258744, -0.325286, 1.0]], ['2, k, 10', [0.264658, -0.333113, 1.0]], ['2, k, 11', [0.279163, -0.345634, 1.0]], ['2, k, 12', [-0.177594, -0.823034, 1.0]], ['2, k, 13', [-0.206008, -1.15872, 1.0]], ['2, k, 14', [-0.193549, -1.42564, 1.0]], ['2, k, 15', [-0.189516, -1.47067, 1.0]], ['2, k, 16', [-0.0158853, -0.82424, 1.0]], ['2, k, 17', [0.0178405, -1.14693, 1.0]], ['2, k, 18', [-0.000917929, -1.43737, 1.0]], ['2, k, 19', [0.0304552, -1.49824, 1.0]], ['2, k, 20', [-0.0896311, -0.362334, 1.0]], ['2, k, 21', [-0.41063, -0.341754, 1.0]], ['2, k, 22', [-0.323468, -0.349141, 1.0]], ['2, k, 23', [0.288469, -0.346594, 1.0]], ['2, k, 24', [0.206316, -0.349259, 1.0]]]
[['2, k, 0', [-0.0981632, -0.83395, 1.0]], ['2, k, 1', [-0.0934321, -0.563155, 1.0]], ['2, k, 2', [-0.0883444, -0.296808, 1.0]], ['2, k, 3', [-0.10024, -0.15902, 1.0]], ['2, k, 4', [-0.255891, -0.343239, 1.0]], ['2, k, 5', [-0.385702, -0.355033, 1.0]], ['2, k, 6', [-0.347984, -0.349842, 1.0]], ['2, k, 7', [-0.397502, -0.350941, 1.0]], ['2, k, 8', [0.0822175, -0.340471, 1.0]], ['2, k, 9', [0.258907, -0.327704, 1.0]], ['2, k, 10', [0.266117, -0.338035, 1.0]], ['2, k, 11', [0.278253, -0.352929, 1.0]], ['2, k, 12', [-0.177939, -0.823132, 1.0]], ['2, k, 13', [-0.205951, -1.15888, 1.0]], ['2, k, 14', [-0.19334, -1.42588, 1.0]], ['2, k, 15', [-0.189332, -1.47093, 1.0]], ['2, k, 16', [-0.0161861, -0.824421, 1.0]], ['2, k, 17', [0.017673, -1.14668, 1.0]], ['2, k, 18', [-0.00131769, -1.43719, 1.0]], ['2, k, 19', [0.032303, -1.49677, 1.0]], ['2, k, 20', [-0.0897003, -0.362971, 1.0]], ['2, k, 21', [-0.408622, -0.351635, 1.0]], ['2, k, 22', [-0.321081, -0.354852, 1.0]], ['2, k, 23', [0.291949, -0.355932, 1.0]], ['2, k, 24', [0.2042, -0.355098, 1.0]]]
[['2, k, 0', [-0.0985791, -0.833977, 1.0]], ['2, k, 1', [-0.0942734, -0.563922, 1.0]], ['2, k, 2', [-0.0897368, -0.298552, 1.0]], ['2, k, 3', [-0.100423, -0.159306, 1.0]], ['2, k, 4', [-0.256543, -0.34321, 1.0]], ['2, k, 5', [-0.387981, -0.358441, 1.0]], ['2, k, 6', [-0.345786, -0.357184, 1.0]], ['2, k, 7', [-0.392057, -0.360278, 1.0]], ['2, k, 8', [0.082293, -0.340998, 1.0]], ['2, k, 9', [0.236401, -0.343701, 1.0]], ['2, k, 10', [0.246877, -0.355515, 1.0]], ['2, k, 11', [0.260867, -0.363591, 1.0]], ['2, k, 12', [-0.178287, -0.823154, 1.0]], ['2, k, 13', [-0.206117, -1.1591, 1.0]], ['2, k, 14', [-0.19322, -1.42603, 1.0]], ['2, k, 15', [-0.18923, -1.47107, 1.0]], ['2, k, 16', [-0.0166359, -0.824445, 1.0]], ['2, k, 17', [0.0174407, -1.14695, 1.0]], ['2, k, 18', [0.00915461, -1.42931, 1.0]], ['2, k, 19', [0.00619405, -1.47848, 1.0]], ['2, k, 20', [-0.0909481, -0.364463, 1.0]], ['2, k, 21', [-0.409362, -0.35989, 1.0]], ['2, k, 22', [-0.315458, -0.364874, 1.0]], ['2, k, 23', [0.281687, -0.366921, 1.0]], ['2, k, 24', [0.182279, -0.365493, 1.0]]]
[['2, k, 0', [-0.0989575, -0.834019, 1.0]], ['2, k, 1', [-0.0949141, -0.564508, 1.0]], ['2, k, 2', [-0.0906288, -0.299642, 1.0]], ['2, k, 3', [-0.101135, -0.160343, 1.0]], ['2, k, 4', [-0.257301, -0.343563, 1.0]], ['2, k, 5', [-0.391394, -0.366475, 1.0]], ['2, k, 6', [-0.338508, -0.368363, 1.0]], ['2, k, 7', [-0.393314, -0.368171, 1.0]], ['2, k, 8', [0.0808923, -0.340224, 1.0]], ['2, k, 9', [0.252998, -0.34294, 1.0]], ['2, k, 10', [0.247948, -0.359035, 1.0]], ['2, k, 11', [0.257697, -0.374698, 1.0]], ['2, k, 12', [-0.178662, -0.823221, 1.0]], ['2, k, 13', [-0.206321, -1.15955, 1.0]], ['2, k, 14', [-0.193241, -1.42598, 1.0]], ['2, k, 15', [-0.189555, -1.47113, 1.0]], ['2, k, 16', [-0.0169848, -0.824456, 1.0]], ['2, k, 17', [0.0172948, -1.14769, 1.0]], ['2, k, 18', [0.0062993, -1.43148, 1.0]], ['2, k, 19', [0.00234958, -1.48148, 1.0]], ['2, k, 20', [-0.0917809, -0.365441, 1.0]], ['2, k, 21', [-0.411037, -0.368512, 1.0]], ['2, k, 22', [-0.316096, -0.371279, 1.0]], ['2, k, 23', [0.269921, -0.377962, 1.0]], ['2, k, 24', [0.177738, -0.375074, 1.0]]]
