[['2, k, 0', [0.1366353, -0.3672993, 1.0]], ['2, k, 1', [0.1295306, -0.02907589, 1.0]], ['2, k, 2', [0.1208862, 0.2980378, 1.0]], ['2, k, 3', [0.1282912, 0.4359621, 1.0]], ['2, k, 4', [-0.04999016, 0.176749, 1.0]], ['2, k, 5', [-0.08311996, -0.07875283, 1.0]], ['2, k, 6', [-0.08745492, -0.2911845, 1.0]], ['2, k, 7', [-0.09272137, -0.3430076, 1.0]], ['2, k, 8', [0.2877257, 0.2037694, 1.0]], ['2, k, 9', [0.3285705, -0.07330631, 1.0]], ['2, k, 10', [0.3830988, -0.3567173, 1.0]], ['2, k, 11', [0.3955256, -0.4367258, 1.0]], ['2, k, 12', [0.05286849, -0.3613252, 1.0]], ['2, k, 13', [0.05029938, -0.6201152, 1.0]], ['2, k, 14', [0.0761027, -0.9154995, 1.0]], ['2, k, 15', [0.1250453, -0.9756625, 1.0]], ['2, k, 16', [0.2151108, -0.3591352, 1.0]], ['2, k, 17', [0.2238507, -0.6315694, 1.0]], ['2, k, 18', [0.1755199, -0.865608, 1.0]], ['2, k, 19', [0.14538, -0.9382012, 1.0]], ['2, k, 20', [0.1232094, 0.2178848, 1.0]], ['2, k, 21', [-0.08080827, -0.4128267, 1.0]], ['2, k, 22', [-0.05844958, -0.3362089, 1.0]], ['2, k, 23', [0.4009666, -0.5129067, 1.0]], ['2, k, 24', [0.4147268, -0.4510742, 1.0]]]
[['2, k, 0', [-0.02831553, -0.2676131, 1.0]], ['2, k, 1', [-0.04319457, 0.01640399, 1.0]], ['2, k, 2', [-0.05780075, 0.2923197, 1.0]], ['2, k, 3', [-0.05224259, 0.4279486, 1.0]], ['2, k, 4', [-0.2167949, 0.1727667, 1.0]], ['2, k, 5', [-0.250103, -0.07130698, 1.0]], ['2, k, 6', [-0.2274908, -0.2858904, 1.0]], ['2, k, 7', [-0.2132031, -0.3504375, 1.0]], ['2, k, 8', [0.1079846, 0.2086155, 1.0]], ['2, k, 9', [0.138502, -0.0488971, 1.0]], ['2, k, 10', [0.1796789, -0.259633, 1.0]], ['2, k, 11', [0.1742371, -0.2619588, 1.0]], ['2, k, 12', [-0.09602521, -0.2662626, 1.0]], ['2, k, 13', [-0.127506, -0.5578983, 1.0]], ['2, k, 14', [-0.1123977, -0.815037, 1.0]], ['2, k, 15', [-0.1125403, -0.9123529, 1.0]], ['2, k, 16', [0.04033571, -0.2603891, 1.0]], ['2, k, 17', [0.05875536, -0.5522479, 1.0]], ['2, k, 18', [-0.003270084, -0.8104195, 1.0]], ['2, k, 19', [0.003088552, -0.9057483, 1.0]], ['2, k, 20', [-0.05422727, 0.2244991, 1.0]], ['2, k, 21', [-0.1995429, -0.4195383, 1.0]], ['2, k, 22', [-0.1792501, -0.3310027, 1.0]], ['2, k, 23', [0.1777166, -0.3027625, 1.0]], ['2, k, 24', [0.1532523, -0.3025847, 1.0]]]
[['2, k, 0', [-0.02693523, -0.2678776, 1.0]], ['2, k, 1', [-0.04146742, 0.01627214, 1.0]], ['2, k, 2', [-0.0556681, 0.2923486, 1.0]], ['2, k, 3', [-0.04988059, 0.4277778, 1.0]], ['2, k, 4', [-0.2151203, 0.1729029, 1.0]], ['2, k, 5', [-0.2484253, -0.07151548, 1.0]], ['2, k, 6', [-0.2269193, -0.2855551, 1.0]], ['2, k, 7', [-0.2114587, -0.3488778, 1.0]], ['2, k, 8', [0.1084313, 0.2086894, 1.0]], ['2, k, 9', [0.1385615, -0.04880524, 1.0]], ['2, k, 10', [0.1858629, -0.2912678, 1.0]], ['2, k, 11', [0.1857908, -0.3372721, 1.0]], ['2, k, 12', [-0.0945642, -0.2666668, 1.0]], ['2, k, 13', [-0.1263781, -0.5582452, 1.0]], ['2, k, 14', [-0.1117937, -0.8182151, 1.0]], ['2, k, 15', [-0.1134674, -0.9121846, 1.0]], ['2, k, 16', [0.04160175, -0.2605219, 1.0]], ['2, k, 17', [0.06291333, -0.5521556, 1.0]], ['2, k, 18', [0.003055641, -0.8104272, 1.0]], ['2, k, 19', [0.008003351, -0.9062271, 1.0]], ['2, k, 20', [-0.05219827, 0.2244861, 1.0]], ['2, k, 21', [-0.1977627, -0.4158897, 1.0]], ['2, k, 22', [-0.1768737, -0.3314103, 1.0]], ['2, k, 23', [0.2260079, -0.3907627, 1.0]], ['2, k, 24', [0.1936565, -0.3410242, 1.0]]]
[['2, k, 0', [-0.02474782, -0.2681072, 1.0]], ['2, k, 1', [-0.03948165, 0.01602935, 1.0]], ['2, k, 2', [-0.05372451, 0.2920228, 1.0]], ['2, k, 3', [-0.04665064, 0.4274478, 1.0]], ['2, k, 4', [-0.2127508, 0.1726563, 1.0]], ['2, k, 5', [-0.2464628, -0.07053865, 1.0]], ['2, k, 6', [-0.2250108, -0.2869314, 1.0]], ['2, k, 7', [-0.2090641, -0.3486994, 1.0]], ['2, k, 8', [0.1093427, 0.208893, 1.0]], ['2, k, 9', [0.1388578, -0.04861575, 1.0]], ['2, k, 10', [0.1774245, -0.245432, 1.0]], ['2, k, 11', [0.1759996, -0.2625354, 1.0]], ['2, k, 12', [-0.09240293, -0.2670766, 1.0]], ['2, k, 13', [-0.1252962, -0.558507, 1.0]], ['2, k, 14', [-0.1128002, -0.8191795, 1.0]], ['2, k, 15', [-0.1152584, -0.9118832, 1.0]], ['2, k, 16', [0.04379322, -0.2605675, 1.0]], ['2, k, 17', [0.07335287, -0.5515733, 1.0]], ['2, k, 18', [0.01025316, -0.8101005, 1.0]], ['2, k, 19', [0.0154888, -0.9134508, 1.0]], ['2, k, 20', [-0.05024753, 0.2241857, 1.0]], ['2, k, 21', [-0.194643, -0.4155963, 1.0]], ['2, k, 22', [-0.1779104, -0.3437824, 1.0]], ['2, k, 23', [0.1770112, -0.3062401, 1.0]], ['2, k, 24', [0.2116999, -0.2611616, 1.0]]]
[['2, k, 0', [-0.0205963, -0.2682568, 1.0]], ['2, k, 1', [-0.03556266, 0.01593273, 1.0]], ['2, k, 2', [-0.04999281, 0.2919254, 1.0]], ['2, k, 3', [-0.04232973, 0.4269935, 1.0]], ['2, k, 4', [-0.2090534, 0.1731058, 1.0]], ['2, k, 5', [-0.2446516, -0.07040603, 1.0]], ['2, k, 6', [-0.2223118, -0.288986, 1.0]], ['2, k, 7', [-0.2071222, -0.3481574, 1.0]], ['2, k, 8', [0.1130355, 0.2089416, 1.0]], ['2, k, 9', [0.1397721, -0.04896391, 1.0]], ['2, k, 10', [0.1775707, -0.2452058, 1.0]], ['2, k, 11', [0.1776507, -0.268426, 1.0]], ['2, k, 12', [-0.08841255, -0.2674495, 1.0]], ['2, k, 13', [-0.1240942, -0.5585127, 1.0]], ['2, k, 14', [-0.1128221, -0.8186048, 1.0]], ['2, k, 15', [-0.1161719, -0.9117125, 1.0]], ['2, k, 16', [0.04803815, -0.2604788, 1.0]], ['2, k, 17', [0.0866479, -0.5505313, 1.0]], ['2, k, 18', [0.04412624, -0.8842484, 1.0]], ['2, k, 19', [0.06042565, -0.9647683, 1.0]], ['2, k, 20', [-0.0464719, 0.2240916, 1.0]], ['2, k, 21', [-0.1928672, -0.4153902, 1.0]], ['2, k, 22', [-0.1739049, -0.3230635, 1.0]], ['2, k, 23', [0.1686332, -0.3179696, 1.0]], ['2, k, 24', [0.2097962, -0.2610421, 1.0]]]
[['2, k, 0', [-0.01642697, -0.268434, 1.0]], ['2, k, 1', [-0.03077706, 0.01566609, 1.0]], ['2, k, 2', [-0.04452456, 0.2915106, 1.0]], ['2, k, 3', [-0.03674527, 0.4270834, 1.0]], ['2, k, 4', [-0.2032742, 0.1733559, 1.0]], ['2, k, 5', [-0.2418212, -0.07102156, 1.0]], ['2, k, 6', [-0.2207375, -0.2889082, 1.0]], ['2, k, 7', [-0.2046023, -0.345654, 1.0]], ['2, k, 8', [0.117446, 0.2090857, 1.0]], ['2, k, 9', [0.141888, -0.04911907, 1.0]], ['2, k, 10', [0.1784928, -0.2452368, 1.0]], ['2, k, 11', [0.1806036, -0.2682577, 1.0]], ['2, k, 12', [-0.0841326, -0.2676897, 1.0]], ['2, k, 13', [-0.1230487, -0.5582962, 1.0]], ['2, k, 14', [-0.1129291, -0.8163293, 1.0]], ['2, k, 15', [-0.1174451, -0.9121292, 1.0]], ['2, k, 16', [0.05198485, -0.2605867, 1.0]], ['2, k, 17', [0.0954758, -0.5500267, 1.0]], ['2, k, 18', [0.0728284, -0.8922987, 1.0]], ['2, k, 19', [0.09096622, -0.9284768, 1.0]], ['2, k, 20', [-0.04118424, 0.223718, 1.0]], ['2, k, 21', [-0.1942461, -0.4120483, 1.0]], ['2, k, 22', [-0.1701693, -0.3317229, 1.0]], ['2, k, 23', [0.1755759, -0.3116994, 1.0]], ['2, k, 24', [0.2136691, -0.2612859, 1.0]]]
[['2, k, 0', [-0.01264514, -0.2682132, 1.0]], ['2, k, 1', [-0.02585074, 0.01594638, 1.0]], ['2, k, 2', [-0.03816788, 0.2918257, 1.0]], ['2, k, 3', [-0.0281445, 0.4268817, 1.0]], ['2, k, 4', [-0.1983184, 0.1738542, 1.0]], ['2, k, 5', [-0.2382443, -0.07104594, 1.0]], ['2, k, 6', [-0.2183481, -0.2899138, 1.0]], ['2, k, 7', [-0.202412, -0.3453227, 1.0]], ['2, k, 8', [0.1253475, 0.2097352, 1.0]], ['2, k, 9', [0.1463782, -0.0487068, 1.0]], ['2, k, 10', [0.183537, -0.2565139, 1.0]], ['2, k, 11', [0.1830441, -0.2781155, 1.0]], ['2, k, 12', [-0.08037218, -0.2672898, 1.0]], ['2, k, 13', [-0.1220893, -0.5574854, 1.0]], ['2, k, 14', [-0.1208209, -0.882595, 1.0]], ['2, k, 15', [-0.1162969, -0.958269, 1.0]], ['2, k, 16', [0.05579837, -0.2605321, 1.0]], ['2, k, 17', [0.1060023, -0.5489869, 1.0]], ['2, k, 18', [0.09789193, -0.8970956, 1.0]], ['2, k, 19', [0.1323947, -0.9729516, 1.0]], ['2, k, 20', [-0.03520701, 0.2240249, 1.0]], ['2, k, 21', [-0.1894809, -0.4105905, 1.0]], ['2, k, 22', [-0.1680286, -0.3241185, 1.0]], ['2, k, 23', [0.1730156, -0.3314179, 1.0]], ['2, k, 24', [0.2115298, -0.2643951, 1.0]]]
[['2, k, 0', [-0.009129259, -0.2680931, 1.0]], ['2, k, 1', [-0.02091363, 0.01623865, 1.0]], ['2, k, 2', [-0.03174025, 0.292304, 1.0]], ['2, k, 3', [-0.0181646, 0.4269366, 1.0]], ['2, k, 4', [-0.1915765, 0.1747984, 1.0]], ['2, k, 5', [-0.2338842, -0.07130343, 1.0]], ['2, k, 6', [-0.2154836, -0.2914703, 1.0]], ['2, k, 7', [-0.1998836, -0.3416969, 1.0]], ['2, k, 8', [0.1335071, 0.2101778, 1.0]], ['2, k, 9', [0.1526874, -0.04842257, 1.0]], ['2, k, 10', [0.1861026, -0.2593258, 1.0]], ['2, k, 11', [0.1880256, -0.2784443, 1.0]], ['2, k, 12', [-0.07668925, -0.2670124, 1.0]], ['2, k, 13', [-0.1210099, -0.5568267, 1.0]], ['2, k, 14', [-0.1203864, -0.8838462, 1.0]], ['2, k, 15', [-0.1182148, -0.9611127, 1.0]], ['2, k, 16', [0.05908233, -0.2605658, 1.0]], ['2, k, 17', [0.1166024, -0.5477639, 1.0]], ['2, k, 18', [0.1503512, -0.8939397, 1.0]], ['2, k, 19', [0.1698268, -0.9299844, 1.0]], ['2, k, 20', [-0.02914201, 0.2244543, 1.0]], ['2, k, 21', [-0.1902811, -0.4097098, 1.0]], ['2, k, 22', [-0.1633807, -0.3281535, 1.0]], ['2, k, 23', [0.1752389, -0.32444, 1.0]], ['2, k, 24', [0.2108572, -0.2646017, 1.0]]]
[['2, k, 0', [-0.004445057, -0.2680118, 1.0]], ['2, k, 1', [-0.01419337, 0.01660223, 1.0]], ['2, k, 2', [-0.0229238, 0.2929868, 1.0]], ['2, k, 3', [-0.008690415, 0.4257933, 1.0]], ['2, k, 4', [-0.1834399, 0.1753567, 1.0]], ['2, k, 5', [-0.2295714, -0.06930977, 1.0]], ['2, k, 6', [-0.2114958, -0.2902144, 1.0]], ['2, k, 7', [-0.1965305, -0.3395541, 1.0]], ['2, k, 8', [0.1421742, 0.2103793, 1.0]], ['2, k, 9', [0.1589512, -0.04837431, 1.0]], ['2, k, 10', [0.188306, -0.2604289, 1.0]], ['2, k, 11', [0.1916676, -0.2800301, 1.0]], ['2, k, 12', [-0.07184405, -0.2665296, 1.0]], ['2, k, 13', [-0.1197078, -0.5558072, 1.0]], ['2, k, 14', [-0.1193871, -0.8860947, 1.0]], ['2, k, 15', [-0.1201145, -0.9619637, 1.0]], ['2, k, 16', [0.0634319, -0.260884, 1.0]], ['2, k, 17', [0.1303174, -0.5460944, 1.0]], ['2, k, 18', [0.1782292, -0.8887454, 1.0]], ['2, k, 19', [0.1987948, -0.9246785, 1.0]], ['2, k, 20', [-0.02083797, 0.2250526, 1.0]], ['2, k, 21', [-0.187341, -0.4049445, 1.0]], ['2, k, 22', [-0.161354, -0.318222, 1.0]], ['2, k, 23', [0.1802099, -0.3246384, 1.0]], ['2, k, 24', [0.2273311, -0.2662712, 1.0]]]
[['2, k, 0', [0.003663203, -0.2682341, 1.0]], ['2, k, 1', [-0.004319399, 0.01705875, 1.0]], ['2, k, 2', [-0.01152396, 0.2941971, 1.0]], ['2, k, 3', [0.002049862, 0.4252483, 1.0]], ['2, k, 4', [-0.1746092, 0.1759247, 1.0]], ['2, k, 5', [-0.22302, -0.06818719, 1.0]], ['2, k, 6', [-0.2066908, -0.2896962, 1.0]], ['2, k, 7', [-0.1922507, -0.3375001, 1.0]], ['2, k, 8', [0.152578, 0.2098343, 1.0]], ['2, k, 9', [0.1679705, -0.04898941, 1.0]], ['2, k, 10', [0.1977479, -0.2665969, 1.0]], ['2, k, 11', [0.1982012, -0.2818792, 1.0]], ['2, k, 12', [-0.06377269, -0.2659724, 1.0]], ['2, k, 13', [-0.1177932, -0.5542258, 1.0]], ['2, k, 14', [-0.119521, -0.8854078, 1.0]], ['2, k, 15', [-0.1214491, -0.9621095, 1.0]], ['2, k, 16', [0.07131807, -0.2619185, 1.0]], ['2, k, 17', [0.1472809, -0.5446366, 1.0]], ['2, k, 18', [0.2144321, -0.8763393, 1.0]], ['2, k, 19', [0.2680482, -0.9397271, 1.0]], ['2, k, 20', [-0.009783413, 0.2260654, 1.0]], ['2, k, 21', [-0.1826989, -0.4048628, 1.0]], ['2, k, 22', [-0.1556304, -0.3218882, 1.0]], ['2, k, 23', [0.1826691, -0.3231661, 1.0]], ['2, k, 24', [0.2345123, -0.2705479, 1.0]]]
[['2, k, 0', [0.009962534, -0.2682632, 1.0]], ['2, k, 1', [0.004450225, 0.01745077, 1.0]], ['2, k, 2', [-0.0002813108, 0.2949973, 1.0]], ['2, k, 3', [0.0148389, 0.4257697, 1.0]], ['2, k, 4', [-0.1637708, 0.1765138, 1.0]], ['2, k, 5', [-0.2168119, -0.06808098, 1.0]], ['2, k, 6', [-0.2006277, -0.289208, 1.0]], ['2, k, 7', [-0.1871508, -0.3382473, 1.0]], ['2, k, 8', [0.1584803, 0.2089919, 1.0]], ['2, k, 9', [0.1793452, -0.0495935, 1.0]], ['2, k, 10', [0.2103598, -0.2239354, 1.0]], ['2, k, 11', [0.2047247, -0.2627954, 1.0]], ['2, k, 12', [-0.05745265, -0.2652568, 1.0]], ['2, k, 13', [-0.1160313, -0.5526802, 1.0]], ['2, k, 14', [-0.102025, -0.8162201, 1.0]], ['2, k, 15', [-0.11938, -0.9100655, 1.0]], ['2, k, 16', [0.07738093, -0.2626888, 1.0]], ['2, k, 17', [0.1625232, -0.5422549, 1.0]], ['2, k, 18', [0.2554167, -0.8673738, 1.0]], ['2, k, 19', [0.2770897, -0.9031232, 1.0]], ['2, k, 20', [0.000852504, 0.2267648, 1.0]], ['2, k, 21', [-0.1745742, -0.4047905, 1.0]], ['2, k, 22', [-0.151791, -0.3151464, 1.0]], ['2, k, 23', [0.2030768, -0.3090095, 1.0]], ['2, k, 24', [0.2402148, -0.2625935, 1.0]]]
[['2, k, 0', [0.01947769, -0.2688732, 1.0]], ['2, k, 1', [0.01542854, 0.01694551, 1.0]], ['2, k, 2', [0.01147345, 0.2944932, 1.0]], ['2, k, 3', [0.02797803, 0.4255508, 1.0]], ['2, k, 4', [-0.1513424, 0.1762795, 1.0]], ['2, k, 5', [-0.2095934, -0.06784298, 1.0]], ['2, k, 6', [-0.1942508, -0.2886318, 1.0]], ['2, k, 7', [-0.1808077, -0.3365875, 1.0]], ['2, k, 8', [0.1792822, 0.2043481, 1.0]], ['2, k, 9', [0.1904418, -0.05464951, 1.0]], ['2, k, 10', [0.2127974, -0.2246146, 1.0]], ['2, k, 11', [0.2150909, -0.2626258, 1.0]], ['2, k, 12', [-0.04822982, -0.2647904, 1.0]], ['2, k, 13', [-0.113717, -0.5508062, 1.0]], ['2, k, 14', [-0.1159562, -0.8918819, 1.0]], ['2, k, 15', [-0.129075, -0.9722655, 1.0]], ['2, k, 16', [0.08687228, -0.2644425, 1.0]], ['2, k, 17', [0.1718794, -0.5438408, 1.0]], ['2, k, 18', [0.2710093, -0.8627399, 1.0]], ['2, k, 19', [0.2949528, -0.8983608, 1.0]], ['2, k, 20', [0.01246964, 0.2262657, 1.0]], ['2, k, 21', [-0.1687937, -0.4076599, 1.0]], ['2, k, 22', [-0.1465043, -0.3307699, 1.0]], ['2, k, 23', [0.2115699, -0.3047732, 1.0]], ['2, k, 24', [0.2543009, -0.2615332, 1.0]]]
[['2, k, 0', [0.03060115, -0.2694063, 1.0]], ['2, k, 1', [0.02964002, 0.01647471, 1.0]], ['2, k, 2', [0.02872265, 0.2940319, 1.0]], ['2, k, 3', [0.04254237, 0.4258379, 1.0]], ['2, k, 4', [-0.136704, 0.1740167, 1.0]], ['2, k, 5', [-0.1948726, -0.07120534, 1.0]], ['2, k, 6', [-0.1855682, -0.288211, 1.0]], ['2, k, 7', [-0.1735779, -0.3357425, 1.0]], ['2, k, 8', [0.1921842, 0.2028092, 1.0]], ['2, k, 9', [0.203321, -0.05619835, 1.0]], ['2, k, 10', [0.2198522, -0.226235, 1.0]], ['2, k, 11', [0.2252617, -0.2649873, 1.0]], ['2, k, 12', [-0.03697773, -0.264687, 1.0]], ['2, k, 13', [-0.1106025, -0.5488236, 1.0]], ['2, k, 14', [-0.09597676, -0.8122088, 1.0]], ['2, k, 15', [-0.1193839, -0.9109933, 1.0]], ['2, k, 16', [0.09735043, -0.2655947, 1.0]], ['2, k, 17', [0.1779154, -0.5464498, 1.0]], ['2, k, 18', [0.2872974, -0.8635401, 1.0]], ['2, k, 19', [0.338526, -0.8962529, 1.0]], ['2, k, 20', [0.02895942, 0.2258027, 1.0]], ['2, k, 21', [-0.1665186, -0.4025224, 1.0]], ['2, k, 22', [-0.1362765, -0.3317741, 1.0]], ['2, k, 23', [0.226832, -0.3064393, 1.0]], ['2, k, 24', [0.2595278, -0.2588191, 1.0]]]
[['2, k, 0', [0.04181458, -0.2713911, 1.0]], ['2, k, 1', [0.04129401, 0.01527431, 1.0]], ['2, k, 2', [0.04050701, 0.2936046, 1.0]], ['2, k, 3', [0.0571002, 0.4259495, 1.0]], ['2, k, 4', [-0.1221944, 0.1726536, 1.0]], ['2, k, 5', [-0.1801926, -0.07474989, 1.0]], ['2, k, 6', [-0.176684, -0.2890011, 1.0]], ['2, k, 7', [-0.1658335, -0.3352956, 1.0]], ['2, k, 8', [0.2108842, 0.1943292, 1.0]], ['2, k, 9', [0.2202778, -0.06344608, 1.0]], ['2, k, 10', [0.2298003, -0.2277332, 1.0]], ['2, k, 11', [0.2352838, -0.2641684, 1.0]], ['2, k, 12', [-0.02497094, -0.2661883, 1.0]], ['2, k, 13', [-0.1053721, -0.5485399, 1.0]], ['2, k, 14', [-0.1127085, -0.8802631, 1.0]], ['2, k, 15', [-0.1282873, -0.9588844, 1.0]], ['2, k, 16', [0.1073856, -0.2680109, 1.0]], ['2, k, 17', [0.1866616, -0.5492597, 1.0]], ['2, k, 18', [0.3191325, -0.8691394, 1.0]], ['2, k, 19', [0.340187, -0.8997077, 1.0]], ['2, k, 20', [0.04074474, 0.2251814, 1.0]], ['2, k, 21', [-0.1605533, -0.4057521, 1.0]], ['2, k, 22', [-0.1280164, -0.3252316, 1.0]], ['2, k, 23', [0.2388541, -0.302068, 1.0]], ['2, k, 24', [0.2670779, -0.2553631, 1.0]]]
[['2, k, 0', [0.05546924, -0.2740119, 1.0]], ['2, k, 1', [0.0569107, 0.01303325, 1.0]], ['2, k, 2', [0.05811332, 0.2917925, 1.0]], ['2, k, 3', [0.07316922, 0.4245509, 1.0]], ['2, k, 4', [-0.1036387, 0.1706414, 1.0]], ['2, k, 5', [-0.165934, -0.07876209, 1.0]], ['2, k, 6', [-0.162555, -0.2946154, 1.0]], ['2, k, 7', [-0.1541685, -0.3395726, 1.0]], ['2, k, 8', [0.2239617, 0.1920581, 1.0]], ['2, k, 9', [0.2322432, -0.06236564, 1.0]], ['2, k, 10', [0.24088, -0.2308673, 1.0]], ['2, k, 11', [0.245957, -0.26768, 1.0]], ['2, k, 12', [-0.01098527, -0.268236, 1.0]], ['2, k, 13', [-0.09745583, -0.5488345, 1.0]], ['2, k, 14', [-0.11087, -0.8858016, 1.0]], ['2, k, 15', [-0.1318611, -0.9604746, 1.0]], ['2, k, 16', [0.1201333, -0.2711075, 1.0]], ['2, k, 17', [0.1943684, -0.5538462, 1.0]], ['2, k, 18', [0.3257631, -0.8696175, 1.0]], ['2, k, 19', [0.3460847, -0.8833371, 1.0]], ['2, k, 20', [0.05786289, 0.2232529, 1.0]], ['2, k, 21', [-0.151752, -0.4054317, 1.0]], ['2, k, 22', [-0.1161443, -0.3298785, 1.0]], ['2, k, 23', [0.2442147, -0.308879, 1.0]], ['2, k, 24', [0.278817, -0.2612286, 1.0]]]
[['2, k, 0', [0.0670825, -0.2773018, 1.0]], ['2, k, 1', [0.07111923, 0.01034493, 1.0]], ['2, k, 2', [0.07497586, 0.2898457, 1.0]], ['2, k, 3', [0.09169895, 0.4221137, 1.0]], ['2, k, 4', [-0.0896422, 0.1690782, 1.0]], ['2, k, 5', [-0.1494722, -0.08313288, 1.0]], ['2, k, 6', [-0.1492814, -0.2944412, 1.0]], ['2, k, 7', [-0.1396737, -0.3416067, 1.0]], ['2, k, 8', [0.2266351, 0.1910706, 1.0]], ['2, k, 9', [0.2458071, -0.06724797, 1.0]], ['2, k, 10', [0.261812, -0.232819, 1.0]], ['2, k, 11', [0.2580848, -0.2620462, 1.0]], ['2, k, 12', [7.707428e-06, -0.2711344, 1.0]], ['2, k, 13', [-0.08803809, -0.5512767, 1.0]], ['2, k, 14', [-0.09075344, -0.8148344, 1.0]], ['2, k, 15', [-0.1182679, -0.910907, 1.0]], ['2, k, 16', [0.1320321, -0.2747448, 1.0]], ['2, k, 17', [0.2055352, -0.5574805, 1.0]], ['2, k, 18', [0.3070955, -0.7905365, 1.0]], ['2, k, 19', [0.3428337, -0.8798102, 1.0]], ['2, k, 20', [0.07407068, 0.2211039, 1.0]], ['2, k, 21', [-0.1312931, -0.4100723, 1.0]], ['2, k, 22', [-0.1023231, -0.326497, 1.0]], ['2, k, 23', [0.2561686, -0.3074377, 1.0]], ['2, k, 24', [0.3004858, -0.2698813, 1.0]]]
[['2, k, 0', [0.08304138, -0.2810133, 1.0]], ['2, k, 1', [0.08577204, 0.006995447, 1.0]], ['2, k, 2', [0.08792708, 0.2868136, 1.0]], ['2, k, 3', [0.1084159, 0.4197279, 1.0]], ['2, k, 4', [-0.06918073, 0.1660318, 1.0]], ['2, k, 5', [-0.1301326, -0.08582018, 1.0]], ['2, k, 6', [-0.1318959, -0.2946356, 1.0]], ['2, k, 7', [-0.122838, -0.3418627, 1.0]], ['2, k, 8', [0.2681404, 0.1799691, 1.0]], ['2, k, 9', [0.2620477, -0.06870848, 1.0]], ['2, k, 10', [0.2677649, -0.2313952, 1.0]], ['2, k, 11', [0.2557775, -0.2684948, 1.0]], ['2, k, 12', [0.01662513, -0.274069, 1.0]], ['2, k, 13', [-0.07569896, -0.552898, 1.0]], ['2, k, 14', [-0.08273378, -0.8207082, 1.0]], ['2, k, 15', [-0.1167415, -0.9111462, 1.0]], ['2, k, 16', [0.1468216, -0.2791034, 1.0]], ['2, k, 17', [0.2123974, -0.5638062, 1.0]], ['2, k, 18', [0.3117487, -0.7975275, 1.0]], ['2, k, 19', [0.3417696, -0.8340053, 1.0]], ['2, k, 20', [0.08748073, 0.2179943, 1.0]], ['2, k, 21', [-0.1193917, -0.4120618, 1.0]], ['2, k, 22', [-0.08445189, -0.3319598, 1.0]], ['2, k, 23', [0.2651181, -0.3102691, 1.0]], ['2, k, 24', [0.2883607, -0.2624807, 1.0]]]
[['2, k, 0', [0.09953662, -0.2834126, 1.0]], ['2, k, 1', [0.1037157, 0.004202386, 1.0]], ['2, k, 2', [0.1072057, 0.283576, 1.0]], ['2, k, 3', [0.1232185, 0.4167505, 1.0]], ['2, k, 4', [-0.05422917, 0.1635296, 1.0]], ['2, k, 5', [-0.1138484, -0.08861832, 1.0]], ['2, k, 6', [-0.1117086, -0.2948748, 1.0]], ['2, k, 7', [-0.1027093, -0.3429747, 1.0]], ['2, k, 8', [0.2754215, 0.180585, 1.0]], ['2, k, 9', [0.2750471, -0.0697539, 1.0]], ['2, k, 10', [0.2775555, -0.2316237, 1.0]], ['2, k, 11', [0.2814005, -0.2660667, 1.0]], ['2, k, 12', [0.03285906, -0.276291, 1.0]], ['2, k, 13', [-0.06427381, -0.5535668, 1.0]], ['2, k, 14', [-0.08346016, -0.8225272, 1.0]], ['2, k, 15', [-0.1156558, -0.9110593, 1.0]], ['2, k, 16', [0.1630342, -0.2816493, 1.0]], ['2, k, 17', [0.2243278, -0.5671692, 1.0]], ['2, k, 18', [0.3146267, -0.8042263, 1.0]], ['2, k, 19', [0.3445271, -0.8405905, 1.0]], ['2, k, 20', [0.1064524, 0.2148677, 1.0]], ['2, k, 21', [-0.09150852, -0.4097135, 1.0]], ['2, k, 22', [-0.06690144, -0.3407612, 1.0]], ['2, k, 23', [0.2864877, -0.3068101, 1.0]], ['2, k, 24', [0.3205924, -0.2722071, 1.0]]]
[['2, k, 0', [0.1170822, -0.2858571, 1.0]], ['2, k, 1', [0.1192422, 0.002010774, 1.0]], ['2, k, 2', [0.1207236, 0.2816504, 1.0]], ['2, k, 3', [0.1392202, 0.4145462, 1.0]], ['2, k, 4', [-0.03831202, 0.1599123, 1.0]], ['2, k, 5', [-0.09581275, -0.09101778, 1.0]], ['2, k, 6', [-0.09432968, -0.2962902, 1.0]], ['2, k, 7', [-0.08319091, -0.3442529, 1.0]], ['2, k, 8', [0.2925667, 0.1784931, 1.0]], ['2, k, 9', [0.302753, -0.06228526, 1.0]], ['2, k, 10', [0.2902364, -0.2342888, 1.0]], ['2, k, 11', [0.2946497, -0.2694431, 1.0]], ['2, k, 12', [0.049233, -0.278985, 1.0]], ['2, k, 13', [-0.05094158, -0.5552439, 1.0]], ['2, k, 14', [-0.08277029, -0.8242811, 1.0]], ['2, k, 15', [-0.114072, -0.9111862, 1.0]], ['2, k, 16', [0.1812464, -0.283794, 1.0]], ['2, k, 17', [0.2334977, -0.571177, 1.0]], ['2, k, 18', [0.3539914, -0.8974707, 1.0]], ['2, k, 19', [0.3828793, -0.9328136, 1.0]], ['2, k, 20', [0.1204735, 0.2128724, 1.0]], ['2, k, 21', [-0.07370152, -0.4129359, 1.0]], ['2, k, 22', [-0.04570828, -0.3342983, 1.0]], ['2, k, 23', [0.2936066, -0.3067633, 1.0]], ['2, k, 24', [0.3325826, -0.2753834, 1.0]]]
